TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1092352.0,930.587761,1.0,8.57,4.32,-3.83,-29.25,-31.69,6.38,-1.25,-9.06,0.0,-0.5167006146700669,-0.07191053329592423,-0.5134299100588695,-108.83922979141936,-3.369477361207863,-64.15961512656168,-0.2357,-0.8133,-0.0294,-0.5311,0
1092352.0,930.587761,1.0,8.57,4.32,-3.83,-29.25,-31.69,6.38,-1.25,-9.06,0.0,-0.5167006146700669,-0.07191053329592423,-0.5134299100588695,-108.83922979141936,-3.369477361207863,-64.15961512656168,-0.2357,-0.8133,-0.0294,-0.5311,0
1092388.0,930.596294,1.0,10.03,4.03,-5.27,-28.56,-31.69,7.56,-3.69,-41.0,1.5,-0.922297207276412,-1.2427627339337624,-2.1189363020899545,-109.63083923692189,-3.140201723904295,-63.33648650708331,-0.2361,-0.8173,-0.0274,-0.525,0
1092388.0,930.596294,1.0,10.03,4.03,-5.27,-28.56,-31.69,7.56,-3.69,-41.0,1.5,-0.922297207276412,-1.2427627339337624,-2.1189363020899545,-109.63083923692189,-3.140201723904295,-63.33648650708331,-0.2361,-0.8173,-0.0274,-0.525,0
1092423.0,930.661387,1.0,8.47,4.14,-5.07,-27.87,-30.5,6.0,-9.25,-76.5,-4.13,-1.1407432419290418,-0.5978243321804733,-0.8200480254379237,-111.31904975679159,-2.509755787270372,-61.39428046224714,-0.239,-0.8257,-0.0219,-0.5105,0
1092423.0,930.661387,1.0,8.47,4.14,-5.07,-27.87,-30.5,6.0,-9.25,-76.5,-4.13,-1.1407432419290418,-0.5978243321804733,-0.8200480254379237,-111.31904975679159,-2.509755787270372,-61.39428046224714,-0.239,-0.8257,-0.0219,-0.5105,0
1092456.0,930.679608,1.0,8.8,4.56,-6.76,-27.87,-30.5,6.0,-14.13,-113.94,-6.38,-1.8206600365074075,-0.9480028503538245,-2.013573670776532,-114.42822374638149,-1.501192361934179,-57.77612880999805,-0.2443,-0.8407,-0.0131,-0.4831,0
1092456.0,930.679608,1.0,8.8,4.56,-6.76,-27.87,-30.5,6.0,-14.13,-113.94,-6.38,-1.8206600365074075,-0.9480028503538245,-2.013573670776532,-114.42822374638149,-1.501192361934179,-57.77612880999805,-0.2443,-0.8407,-0.0131,-0.4831,0
1092491.0,930.72765,1.0,7.29,4.01,-6.71,-28.56,-31.69,8.88,-27.06,-159.0,-24.37,-1.4646893152778362,-1.1235191808531473,-0.7214405134770789,-119.0385830310132,-0.28647919598176924,-51.965432739188564,-0.2558,-0.8618,-0.0025,-0.4381,0
1092491.0,930.72765,1.0,7.29,4.01,-6.71,-28.56,-31.69,8.88,-27.06,-159.0,-24.37,-1.4646893152778362,-1.1235191808531473,-0.7214405134770789,-119.0385830310132,-0.28647919598176924,-51.965432739188564,-0.2558,-0.8618,-0.0025,-0.4381,0
1092530.0,930.745848,1.0,4.44,6.6,-5.28,-26.75,-32.75,11.25,-94.19,-155.44,-40.94,-2.210361640120486,2.0462594944636647,0.7468970507634065,-121.66531355494112,0.9625804159917916,-47.143854289929536,-0.2786,-0.8732,0.0084,-0.3999,0
1092530.0,930.745848,1.0,4.44,6.6,-5.28,-26.75,-32.75,11.25,-94.19,-155.44,-40.94,-2.210361640120486,2.0462594944636647,0.7468970507634065,-121.66531355494112,0.9625804159917916,-47.143854289929536,-0.2786,-0.8732,0.0084,-0.3999,0
1092564.0,930.811809,1.0,2.77,9.4,-3.19,-26.75,-32.75,11.25,-83.56,-110.87,-45.0,-2.31667053248323,5.289543862447175,1.2706811990277682,-123.26060567533969,1.94815034703792,-42.24952684009252,-0.3091,-0.8799,0.017,-0.3604,0
1092564.0,930.811809,1.0,2.77,9.4,-3.19,-26.75,-32.75,11.25,-83.56,-110.87,-45.0,-2.31667053248323,5.289543862447175,1.2706811990277682,-123.26060567533969,1.94815034703792,-42.24952684009252,-0.3091,-0.8799,0.017,-0.3604,0
1092599.0,930.815593,1.0,1.65,10.92,-3.4,-23.0,-33.5,11.75,-11.06,14.13,-86.0,-3.4143276323600897,6.28769158965873,0.732720239844415,-122.87593702038136,0.5385823103159236,-40.98686336329807,-0.3255,-0.8783,0.0047,-0.3501,0
1092599.0,930.815593,1.0,1.65,10.92,-3.4,-23.0,-33.5,11.75,-11.06,14.13,-86.0,-3.4143276323600897,6.28769158965873,0.732720239844415,-122.87593702038136,0.5385823103159236,-40.98686336329807,-0.3255,-0.8783,0.0047,-0.3501,0
1092636.0,930.861633,1.0,2.85,10.06,-2.35,-21.5,-35.38,13.5,65.37,118.31,-121.19,-1.0830832559424444,5.812386889849121,0.8684348927536316,-121.66531355494112,-4.814261580058959,-42.605998374783326,-0.322,-0.8732,-0.042,-0.3633,0
1092636.0,930.861633,1.0,2.85,10.06,-2.35,-21.5,-35.38,13.5,65.37,118.31,-121.19,-1.0830832559424444,5.812386889849121,0.8684348927536316,-121.66531355494112,-4.814261580058959,-42.605998374783326,-0.322,-0.8732,-0.042,-0.3633,0
1092673.0,930.930171,1.0,2.66,11.48,-1.01,-17.37,-37.25,13.0,77.44,142.81,-184.31,0.24588131336760288,7.379830041750257,0.5673994386927106,-119.46918424877704,-10.937173775974523,-44.51874337646561,-0.3185,-0.8637,-0.0953,-0.3788,0
1092673.0,930.930171,1.0,2.66,11.48,-1.01,-17.37,-37.25,13.0,77.44,142.81,-184.31,0.24588131336760288,7.379830041750257,0.5673994386927106,-119.46918424877704,-10.937173775974523,-44.51874337646561,-0.3185,-0.8637,-0.0953,-0.3788,0
1092708.0,930.942902,1.0,4.33,10.75,-0.74,-17.37,-37.25,13.0,159.88,165.0,-230.25,2.97222233778174,5.239637393169837,-0.12164765684367751,-115.23680905302648,-22.22079043012782,-46.69415285279771,-0.3043,-0.8445,-0.1927,-0.3963,0
1092708.0,930.942902,1.0,4.33,10.75,-0.74,-17.37,-37.25,13.0,159.88,165.0,-230.25,2.97222233778174,5.239637393169837,-0.12164765684367751,-115.23680905302648,-22.22079043012782,-46.69415285279771,-0.3043,-0.8445,-0.1927,-0.3963,0
1092743.0,930.996227,1.0,5.08,11.79,3.99,-14.88,-37.69,13.0,203.0,146.56,-238.31,9.115503710562765,5.183673486038766,1.3942947238091978,-110.91382347990452,-34.91520624744418,-47.1313522186008,-0.2675,-0.8237,-0.3,-0.3998,0
1092743.0,930.996227,1.0,5.08,11.79,3.99,-14.88,-37.69,13.0,203.0,146.56,-238.31,9.115503710562765,5.183673486038766,1.3942947238091978,-110.91382347990452,-34.91520624744418,-47.1313522186008,-0.2675,-0.8237,-0.3,-0.3998,0
1092780.0,931.015646,1.0,8.56,8.27,7.18,-9.5,-39.5,16.69,196.44,329.5,-264.63,12.425629758379067,-1.8310216070304275,3.850981693061444,-103.47835920176271,-46.083279148130536,-49.75757860526172,-0.2307,-0.7852,-0.3914,-0.4207,0
1092780.0,931.015646,1.0,8.56,8.27,7.18,-9.5,-39.5,16.69,196.44,329.5,-264.63,12.425629758379067,-1.8310216070304275,3.850981693061444,-103.47835920176271,-46.083279148130536,-49.75757860526172,-0.2307,-0.7852,-0.3914,-0.4207,0
1092816.0,931.060883,1.0,19.11,7.08,0.94,-3.69,-37.25,21.19,128.88,437.94,-240.0,4.90992201662469,-13.617506009864469,-4.568964625537564,-87.78380702299309,-60.91512002849741,-58.16913315906611,-0.1618,-0.6933,-0.5069,-0.4861,0
1092816.0,931.060883,1.0,19.11,7.08,0.94,-3.69,-37.25,21.19,128.88,437.94,-240.0,4.90992201662469,-13.617506009864469,-4.568964625537564,-87.78380702299309,-60.91512002849741,-58.16913315906611,-0.1618,-0.6933,-0.5069,-0.4861,0
1092851.0,931.117924,1.0,25.3,9.4,-13.87,-3.69,-37.25,21.19,139.69,162.0,-165.44,-9.370789716567277,-12.762560511653703,-16.080262702642905,-79.21130478773588,-68.73515523864087,-61.08801371359054,-0.1292,-0.6375,-0.5645,-0.5082,0
1092851.0,931.117924,1.0,25.3,9.4,-13.87,-3.69,-37.25,21.19,139.69,162.0,-165.44,-9.370789716567277,-12.762560511653703,-16.080262702642905,-79.21130478773588,-68.73515523864087,-61.08801371359054,-0.1292,-0.6375,-0.5645,-0.5082,0
1092888.0,931.135215,1.0,19.67,2.52,-10.03,-4.38,-36.25,24.5,174.81,-85.5,-113.69,-9.443178593841598,-12.540317560288083,-5.923162889285818,-76.86613864248247,-77.10038770859832,-54.787121015133735,-0.116,-0.6216,-0.6232,-0.4601,0
1092888.0,931.135215,1.0,19.67,2.52,-10.03,-4.38,-36.25,24.5,174.81,-85.5,-113.69,-9.443178593841598,-12.540317560288083,-5.923162889285818,-76.86613864248247,-77.10038770859832,-54.787121015133735,-0.116,-0.6216,-0.6232,-0.4601,0
1092925.0,931.138323,1.0,13.63,3.87,-6.49,-1.19,-32.5,28.0,63.75,-128.5,-7.13,-3.8640663536456143,-9.533516229943789,-1.9003974291352534,-79.22617890812475,-79.04779472022427,-49.02603833164671,-0.1281,-0.6376,-0.6364,-0.4149,0
1092925.0,931.138323,1.0,13.63,3.87,-6.49,-1.19,-32.5,28.0,63.75,-128.5,-7.13,-3.8640663536456143,-9.533516229943789,-1.9003974291352534,-79.22617890812475,-79.04779472022427,-49.02603833164671,-0.1281,-0.6376,-0.6364,-0.4149,0
1092960.0,931.179095,1.0,12.08,10.09,-10.46,-1.19,-32.5,28.0,-31.44,-146.94,115.19,-1.1420372958997715,-6.0442836456324525,-8.062554963453577,-83.41068938154756,-75.9619815049614,-46.95638557950454,-0.1413,-0.6653,-0.6154,-0.3984,0
1092960.0,931.179095,1.0,12.08,10.09,-10.46,-1.19,-32.5,28.0,-31.44,-146.94,115.19,-1.1420372958997715,-6.0442836456324525,-8.062554963453577,-83.41068938154756,-75.9619815049614,-46.95638557950454,-0.1413,-0.6653,-0.6154,-0.3984,0
1092995.0,931.242735,1.0,8.59,14.93,-8.03,2.88,-31.0,29.5,-30.37,-276.69,123.69,5.450242836052646,-2.785943667831045,-8.185216798854666,-92.0924497403109,-69.38891628677108,-41.280605467484456,-0.183,-0.7199,-0.5692,-0.3525,0
1092995.0,931.242735,1.0,8.59,14.93,-8.03,2.88,-31.0,29.5,-30.37,-276.69,123.69,5.450242836052646,-2.785943667831045,-8.185216798854666,-92.0924497403109,-69.38891628677108,-41.280605467484456,-0.183,-0.7199,-0.5692,-0.3525,0
1093031.0,931.250361,1.0,2.16,17.16,-3.5,4.25,-31.69,28.25,41.56,-266.38,-36.0,10.06706052608162,2.973133545222158,-4.377706498850555,-96.81759077760199,-67.173649069206,-34.36304933185503,-0.2175,-0.7479,-0.5532,-0.2954,0
1093031.0,931.250361,1.0,2.16,17.16,-3.5,4.25,-31.69,28.25,41.56,-266.38,-36.0,10.06706052608162,2.973133545222158,-4.377706498850555,-96.81759077760199,-67.173649069206,-34.36304933185503,-0.2175,-0.7479,-0.5532,-0.2954,0
1093068.0,931.269905,1.0,-1.85,11.79,-0.75,9.75,-30.06,25.5,122.87,-110.94,-192.44,8.104059823413309,4.113091570380123,2.0351770307227968,-95.97520098011694,-71.4365213550059,-25.60605217391993,-0.2409,-0.743,-0.5838,-0.2216,0
1093068.0,931.269905,1.0,-1.85,11.79,-0.75,9.75,-30.06,25.5,122.87,-110.94,-192.44,8.104059823413309,4.113091570380123,2.0351770307227968,-95.97520098011694,-71.4365213550059,-25.60605217391993,-0.2409,-0.743,-0.5838,-0.2216,0
1093103.0,931.322402,1.0,-11.24,3.95,-1.98,9.75,-30.06,25.5,134.44,-43.81,-138.0,0.41791343148896143,11.28337235453826,5.520467937531957,-93.28764914604751,-77.40842008878053,-19.273367657733324,-0.229,-0.7271,-0.6253,-0.1674,0
1093103.0,931.322402,1.0,-11.24,3.95,-1.98,9.75,-30.06,25.5,134.44,-43.81,-138.0,0.41791343148896143,11.28337235453826,5.520467937531957,-93.28764914604751,-77.40842008878053,-19.273367657733324,-0.229,-0.7271,-0.6253,-0.1674,0
1093140.0,931.361003,1.0,-10.22,7.05,2.28,16.25,-25.56,26.69,243.0,-37.94,-84.37,5.609588729720478,11.089514526521342,7.592043522662514,-94.07501482571973,-79.31545721761533,-13.091899903813273,-0.2103,-0.7318,-0.6382,-0.114,0
1093140.0,931.361003,1.0,-10.22,7.05,2.28,16.25,-25.56,26.69,243.0,-37.94,-84.37,5.609588729720478,11.089514526521342,7.592043522662514,-94.07501482571973,-79.31545721761533,-13.091899903813273,-0.2103,-0.7318,-0.6382,-0.114,0
1093177.0,931.416074,1.0,-2.54,-2.02,-1.54,19.69,-19.56,29.56,216.75,122.19,-122.87,-2.5281010490703526,2.311018796803067,8.724292754672797,-91.58182113625665,-85.81237907644235,-8.29220473923879,-0.1319,-0.7168,-0.6808,-0.0723,0
1093177.0,931.416074,1.0,-2.54,-2.02,-1.54,19.69,-19.56,29.56,216.75,122.19,-122.87,-2.5281010490703526,2.311018796803067,8.724292754672797,-91.58182113625665,-85.81237907644235,-8.29220473923879,-0.1319,-0.7168,-0.6808,-0.0723,0
1093212.0,931.477624,1.0,1.16,-1.29,-4.91,19.69,-19.56,29.56,57.31,51.81,-90.62,-2.384968270279881,-1.3952346056789657,5.392689562380054,-89.12710972399763,-89.23974978700055,-7.396290017779931,-0.1002,-0.7017,-0.7024,-0.0645,0
1093212.0,931.477624,1.0,1.16,-1.29,-4.91,19.69,-19.56,29.56,57.31,51.81,-90.62,-2.384968270279881,-1.3952346056789657,5.392689562380054,-89.12710972399763,-89.23974978700055,-7.396290017779931,-0.1002,-0.7017,-0.7024,-0.0645,0
1093246.0,931.485533,1.0,1.43,-1.25,-6.87,18.69,-11.75,33.69,44.38,-12.5,-66.37,-2.7245752817284017,-1.6143331793571303,3.4211259087275128,-86.03159785221854,-92.67181786365629,-6.592650878252481,-0.0894,-0.6822,-0.7234,-0.0575,0
1093246.0,931.485533,1.0,1.43,-1.25,-6.87,18.69,-11.75,33.69,44.38,-12.5,-66.37,-2.7245752817284017,-1.6143331793571303,3.4211259087275128,-86.03159785221854,-92.67181786365629,-6.592650878252481,-0.0894,-0.6822,-0.7234,-0.0575,0
1093283.0,931.507433,1.0,2.84,2.53,-4.42,18.37,-8.69,34.88,48.13,-15.94,-31.62,1.4825990953322101,-3.272419553023093,5.213604148768788,-84.86171562810704,-94.14229255211987,-4.733977821845079,-0.0832,-0.6747,-0.7322,-0.0413,0
1093283.0,931.507433,1.0,2.84,2.53,-4.42,18.37,-8.69,34.88,48.13,-15.94,-31.62,1.4825990953322101,-3.272419553023093,5.213604148768788,-84.86171562810704,-94.14229255211987,-4.733977821845079,-0.0832,-0.6747,-0.7322,-0.0413,0
1093320.0,931.555064,1.0,4.94,2.12,-8.86,18.75,-6.38,34.38,51.56,8.5,5.88,0.2520843045102912,-5.489431080162789,1.020285568702926,-84.47417954583062,-94.7327966552025,-4.366995362783785,-0.0734,-0.6722,-0.7357,-0.0381,0
1093320.0,931.555064,1.0,4.94,2.12,-8.86,18.75,-6.38,34.38,51.56,8.5,5.88,0.2520843045102912,-5.489431080162789,1.020285568702926,-84.47417954583062,-94.7327966552025,-4.366995362783785,-0.0734,-0.6722,-0.7357,-0.0381,0
1093353.0,931.573747,1.0,0.31,5.38,-5.97,18.75,-6.38,34.38,91.06,-48.44,45.88,4.7001391811813455,-1.0819680409819274,3.3708565884758475,-86.23550907382524,-93.32103704825495,-1.1573944243672372,-0.0623,-0.6835,-0.7273,-0.0101,0
