TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1271595.0,1334.565028,1.0,3.82,1.08,9.03,4.56,-6.0,-43.06,-0.94,0.37,-0.19,-0.04381504919282775,-0.07836135867378513,-0.057002454285433046,-20.588095276846204,10.6148933492606,-91.6311343711985,-0.6673,-0.1787,0.0925,-0.7171,0
1271595.0,1334.565028,1.0,3.82,1.08,9.03,4.56,-6.0,-43.06,-0.94,0.37,-0.19,-0.04381504919282775,-0.07836135867378513,-0.057002454285433046,-20.588095276846204,10.6148933492606,-91.6311343711985,-0.6673,-0.1787,0.0925,-0.7171,0
1271631.0,1334.612573,1.0,3.88,1.06,9.01,4.56,-6.0,-43.06,0.44,-0.75,-0.56,-0.03091856488775302,-0.14129816410035112,-0.059310615731604344,-20.588095276846204,10.62640189942489,-91.6311343711985,-0.6672,-0.1787,0.0926,-0.7171,0
1271631.0,1334.612573,1.0,3.88,1.06,9.01,4.56,-6.0,-43.06,0.44,-0.75,-0.56,-0.03091856488775302,-0.14129816410035112,-0.059310615731604344,-20.588095276846204,10.62640189942489,-91.6311343711985,-0.6672,-0.1787,0.0926,-0.7171,0
1271664.0,1334.623876,1.0,3.77,1.04,8.96,4.19,-6.0,-42.69,0.19,-0.75,-0.19,-0.010867220458757654,-0.055892181069086,0.03051282995093807,-20.611388956075043,10.637910557080563,-91.61469420099051,-0.6672,-0.1789,0.0927,-0.717,0
1271664.0,1334.623876,1.0,3.77,1.04,8.96,4.19,-6.0,-42.69,0.19,-0.75,-0.19,-0.010867220458757654,-0.055892181069086,0.03051282995093807,-20.611388956075043,10.637910557080563,-91.61469420099051,-0.6672,-0.1789,0.0927,-0.717,0
1271701.0,1334.714643,1.0,4.74,1.68,9.28,4.19,-6.0,-42.69,1.56,0.0,-0.19,-0.645156088181772,-0.7725572865587607,-0.7002681428650597,-20.623036118505983,10.637910557080563,-91.6311343711985,-0.6672,-0.179,0.0927,-0.7171,0
1271701.0,1334.714643,1.0,4.74,1.68,9.28,4.19,-6.0,-42.69,1.56,0.0,-0.19,-0.645156088181772,-0.7725572865587607,-0.7002681428650597,-20.623036118505983,10.637910557080563,-91.6311343711985,-0.6672,-0.179,0.0927,-0.7171,0
1271736.0,1334.718337,1.0,8.86,3.27,8.02,4.19,-6.0,-42.69,13.25,-26.44,0.44,-2.5237124152935997,-4.829066627882713,-1.320968395162664,-21.07744476440248,10.68394626499923,-91.56538823890904,-0.6665,-0.1829,0.0931,-0.7167,0
1271736.0,1334.718337,1.0,8.86,3.27,8.02,4.19,-6.0,-42.69,13.25,-26.44,0.44,-2.5237124152935997,-4.829066627882713,-1.320968395162664,-21.07744476440248,10.68394626499923,-91.56538823890904,-0.6665,-0.1829,0.0931,-0.7167,0
1271771.0,1334.757728,1.0,12.05,4.42,9.36,4.19,-4.5,-44.38,56.0,-135.44,-1.25,-3.1424790174904045,-6.26047441698461,-4.450972021182695,-24.97187636961762,12.019765115233206,-90.46983065734315,-0.6619,-0.2162,0.1047,-0.71,0
1271771.0,1334.757728,1.0,12.05,4.42,9.36,4.19,-4.5,-44.38,56.0,-135.44,-1.25,-3.1424790174904045,-6.26047441698461,-4.450972021182695,-24.97187636961762,12.019765115233206,-90.46983065734315,-0.6619,-0.2162,0.1047,-0.71,0
1271805.0,1334.80881,1.0,15.86,5.7,8.9,2.38,-5.69,-42.19,95.37,-238.06,-25.87,-3.3145292682470515,-7.39867289074825,-7.441919076466624,-33.524381159227765,15.205041610922963,-87.14944663280797,-0.6513,-0.2884,0.1323,-0.6893,0
1271805.0,1334.80881,1.0,15.86,5.7,8.9,2.38,-5.69,-42.19,95.37,-238.06,-25.87,-3.3145292682470515,-7.39867289074825,-7.441919076466624,-33.524381159227765,15.205041610922963,-87.14944663280797,-0.6513,-0.2884,0.1323,-0.6893,0
1271842.0,1334.81514,1.0,14.63,5.75,13.85,-4.0,-7.88,-41.88,104.31,-412.5,-140.81,-0.13956414205718737,0.009698300846662011,-11.1433458900524,-44.02390431632849,19.354734757827334,-80.0766693058582,-0.6461,-0.3748,0.1681,-0.6433,0
1271842.0,1334.81514,1.0,14.63,5.75,13.85,-4.0,-7.88,-41.88,104.31,-412.5,-140.81,-0.13956414205718737,0.009698300846662011,-11.1433458900524,-44.02390431632849,19.354734757827334,-80.0766693058582,-0.6461,-0.3748,0.1681,-0.6433,0
1271877.0,1334.839412,1.0,12.82,6.4,12.29,-4.0,-7.88,-41.88,125.25,-368.38,-139.13,1.3106721602478262,4.56590912313813,-8.463301077318059,-58.45781325060041,23.60046219314315,-68.77680821232158,-0.633,-0.4883,0.2045,-0.5648,0
1271877.0,1334.839412,1.0,12.82,6.4,12.29,-4.0,-7.88,-41.88,125.25,-368.38,-139.13,1.3106721602478262,4.56590912313813,-8.463301077318059,-58.45781325060041,23.60046219314315,-68.77680821232158,-0.633,-0.4883,0.2045,-0.5648,0
