TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
583530.0,513.125803,1.0,9.54,3.35,1.97,55.88,28.06,14.88,15.81,-3.88,-16.62,-0.7824554575614234,0.5854793380162366,-0.4481038927898382,-75.00557127858174,18.25128911402984,-86.18842251678954,-0.3708,-0.6088,0.1586,-0.6832,0
583530.0,513.125803,1.0,9.54,3.35,1.97,55.88,28.06,14.88,15.81,-3.88,-16.62,-0.7824554575614234,0.5854793380162366,-0.4481038927898382,-75.00557127858174,18.25128911402984,-86.18842251678954,-0.3708,-0.6088,0.1586,-0.6832,0
583563.0,513.128695,1.0,9.88,4.21,1.66,55.88,28.06,14.88,37.13,-19.37,-35.13,-1.3247780255466242,0.7977850762708583,-0.9498644054711427,-76.18021553240146,17.02208275037734,-85.43747913251065,-0.3706,-0.6169,0.148,-0.6784,0
583563.0,513.128695,1.0,9.88,4.21,1.66,55.88,28.06,14.88,37.13,-19.37,-35.13,-1.3247780255466242,0.7977850762708583,-0.9498644054711427,-76.18021553240146,17.02208275037734,-85.43747913251065,-0.3706,-0.6169,0.148,-0.6784,0
583600.0,513.142892,1.0,10.72,4.76,1.29,48.38,28.5,11.5,60.5,-23.5,-43.94,-1.587924611262869,0.6098178527841056,-1.870109722430339,-77.6288499193909,15.459416628401117,-84.62905076314031,-0.3687,-0.6268,0.1345,-0.6732,0
583600.0,513.142892,1.0,10.72,4.76,1.29,48.38,28.5,11.5,60.5,-23.5,-43.94,-1.587924611262869,0.6098178527841056,-1.870109722430339,-77.6288499193909,15.459416628401117,-84.62905076314031,-0.3687,-0.6268,0.1345,-0.6732,0
583636.0,513.207612,1.0,12.3,5.84,0.24,32.38,25.87,0.69,89.87,-133.19,-78.94,-1.873997815218352,0.3300500275797682,-3.6778744323947716,-82.20376433319544,12.999629346780692,-81.20389126609984,-0.3626,-0.6574,0.1132,-0.6508,0
583636.0,513.207612,1.0,12.3,5.84,0.24,32.38,25.87,0.69,89.87,-133.19,-78.94,-1.873997815218352,0.3300500275797682,-3.6778744323947716,-82.20376433319544,12.999629346780692,-81.20389126609984,-0.3626,-0.6574,0.1132,-0.6508,0
583671.0,513.226411,1.0,11.71,7.66,-0.07,32.38,25.87,0.69,92.5,-252.75,-122.06,-1.6171841560025475,2.077496175595959,-3.93646918910545,-89.27195273153545,11.443790822449783,-74.83233783296691,-0.3568,-0.7026,0.0997,-0.6076,0
583671.0,513.226411,1.0,11.71,7.66,-0.07,32.38,25.87,0.69,92.5,-252.75,-122.06,-1.6171841560025475,2.077496175595959,-3.93646918910545,-89.27195273153545,11.443790822449783,-74.83233783296691,-0.3568,-0.7026,0.0997,-0.6076,0
583706.0,513.275289,1.0,11.09,10.06,-1.35,8.38,15.0,-12.56,133.38,-308.06,-201.44,-0.7869129104994763,3.7546412220079666,-4.729430536557571,-101.66447905765739,7.970538771598189,-62.55720873076424,-0.3528,-0.7753,0.0695,-0.5192,0
583706.0,513.275289,1.0,11.09,10.06,-1.35,8.38,15.0,-12.56,133.38,-308.06,-201.44,-0.7869129104994763,3.7546412220079666,-4.729430536557571,-101.66447905765739,7.970538771598189,-62.55720873076424,-0.3528,-0.7753,0.0695,-0.5192,0
583741.0,513.333648,1.0,6.5,12.1,-1.21,-13.75,-5.25,-16.37,134.88,-328.69,-339.31,0.22326017801106623,6.409301382026017,-2.3997053400379844,-115.38674111389929,-0.1145915781247664,-46.756565664840636,-0.358,-0.8452,-0.001,-0.3968,0
583741.0,513.333648,1.0,6.5,12.1,-1.21,-13.75,-5.25,-16.37,134.88,-328.69,-339.31,0.22326017801106623,6.409301382026017,-2.3997053400379844,-115.38674111389929,-0.1145915781247664,-46.756565664840636,-0.358,-0.8452,-0.001,-0.3968,0
583778.0,513.340514,1.0,4.33,8.88,-3.0,-20.87,-24.69,-4.75,179.0,-159.81,-489.88,1.0885836079724394,2.87796025753346,-0.04909099114377469,-121.33697927503366,-11.443790822449783,-36.23901092380315,-0.365,-0.8718,-0.0997,-0.311,0
