TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1329862.0,1300.115799,1.0,5.52,5.85,-5.76,-15.38,-37.25,12.69,0.94,0.0,0.44,-0.00437087455631166,-0.08650013235019927,-0.08592290205935349,-124.74966789127244,-7.005907963772472,-39.1694005926484,-0.3145,-0.886,-0.0611,-0.3352,0
1329862.0,1300.115799,1.0,5.52,5.85,-5.76,-15.38,-37.25,12.69,0.94,0.0,0.44,-0.00437087455631166,-0.08650013235019927,-0.08592290205935349,-124.74966789127244,-7.005907963772472,-39.1694005926484,-0.3145,-0.886,-0.0611,-0.3352,0
1329897.0,1300.13668,1.0,5.4,5.77,-5.53,-13.19,-36.88,11.88,2.31,-2.13,-0.25,0.06639826621863873,0.015159082739859997,0.16148740559788877,-124.82385344491155,-7.005907963772472,-39.120753020773094,-0.3141,-0.8863,-0.0611,-0.3348,0
1329897.0,1300.13668,1.0,5.4,5.77,-5.53,-13.19,-36.88,11.88,2.31,-2.13,-0.25,0.06639826621863873,0.015159082739859997,0.16148740559788877,-124.82385344491155,-7.005907963772472,-39.120753020773094,-0.3141,-0.8863,-0.0611,-0.3348,0
1329932.0,1300.139904,1.0,5.4,5.88,-5.59,-15.19,-37.25,12.25,-0.69,-0.69,0.75,0.020237161642935014,0.07509643543911926,0.06106376916334355,-124.84860239500853,-6.982946893042854,-39.09643198688301,-0.314,-0.8864,-0.0609,-0.3346,0
1329932.0,1300.139904,1.0,5.4,5.88,-5.59,-15.19,-37.25,12.25,-0.69,-0.69,0.75,0.020237161642935014,0.07509643543911926,0.06106376916334355,-124.84860239500853,-6.982946893042854,-39.09643198688301,-0.314,-0.8864,-0.0609,-0.3346,0
1329967.0,1300.181379,1.0,5.33,5.78,-5.73,-15.19,-37.25,12.25,1.31,0.75,0.0,-0.11361162648633269,-0.048977953828268195,0.07860325060750029,-124.87336158426493,-6.994427393261249,-39.120753020773094,-0.3137,-0.8865,-0.061,-0.3348,0
1329967.0,1300.181379,1.0,5.33,5.78,-5.73,-15.19,-37.25,12.25,1.31,0.75,0.0,-0.11361162648633269,-0.048977953828268195,0.07860325060750029,-124.87336158426493,-6.994427393261249,-39.120753020773094,-0.3137,-0.8865,-0.061,-0.3348,0
1330003.0,1300.199499,1.0,5.47,5.95,-5.74,-14.75,-36.88,12.25,-1.0,0.63,0.44,-0.03400760177189416,0.033189551655825156,-0.1064091613629845,-124.82385344491155,-7.005907963772472,-39.14507588885785,-0.3138,-0.8863,-0.0611,-0.335,0
1330003.0,1300.199499,1.0,5.47,5.95,-5.74,-14.75,-36.88,12.25,-1.0,0.63,0.44,-0.03400760177189416,0.033189551655825156,-0.1064091613629845,-124.82385344491155,-7.005907963772472,-39.14507588885785,-0.3138,-0.8863,-0.0611,-0.335,0
1330038.0,1300.241212,1.0,5.29,5.88,-5.6,-14.38,-37.25,12.69,-0.37,-0.56,-0.88,-0.07116732208197782,0.10779789435468023,0.11635512181180374,-124.84860239500853,-7.028869316139516,-39.120753020773094,-0.3137,-0.8864,-0.0613,-0.3348,0
1330038.0,1300.241212,1.0,5.29,5.88,-5.6,-14.38,-37.25,12.69,-0.37,-0.56,-0.88,-0.07116732208197782,0.10779789435468023,0.11635512181180374,-124.84860239500853,-7.028869316139516,-39.120753020773094,-0.3137,-0.8864,-0.0613,-0.3348,0
1330075.0,1300.257284,1.0,5.33,6.1,-5.67,-14.38,-37.25,12.69,-1.19,1.94,-0.44,-0.10926214814586019,0.22460302800688403,-0.07795496240455257,-124.79911472012829,-7.051830951076286,-39.13291422544671,-0.3141,-0.8862,-0.0615,-0.3349,0
1330075.0,1300.257284,1.0,5.33,6.1,-5.67,-14.38,-37.25,12.69,-1.19,1.94,-0.44,-0.10926214814586019,0.22460302800688403,-0.07795496240455257,-124.79911472012829,-7.051830951076286,-39.13291422544671,-0.3141,-0.8862,-0.0615,-0.3349,0
1330110.0,1300.300524,1.0,5.5,6.04,-5.96,-14.75,-37.25,11.5,-0.69,1.44,-2.63,-0.1571507904469521,-0.042750067109830425,-0.30407084773504245,-124.72495975966049,-7.143680335170353,-39.157238011195425,-0.3146,-0.8859,-0.0623,-0.3351,0
1330110.0,1300.300524,1.0,5.5,6.04,-5.96,-14.75,-37.25,11.5,-0.69,1.44,-2.63,-0.1571507904469521,-0.042750067109830425,-0.30407084773504245,-124.72495975966049,-7.143680335170353,-39.157238011195425,-0.3146,-0.8859,-0.0623,-0.3351,0
1330147.0,1300.318479,1.0,5.47,5.95,-5.82,-14.38,-37.25,11.88,0.69,-0.25,-3.19,-0.07386876602998368,-0.0420225593222483,-0.15269623908181984,-124.72495975966049,-7.212570385921346,-39.120753020773094,-0.3149,-0.8859,-0.0629,-0.3348,0
1330147.0,1300.318479,1.0,5.47,5.95,-5.82,-14.38,-37.25,11.88,0.69,-0.25,-3.19,-0.07386876602998368,-0.0420225593222483,-0.15269623908181984,-124.72495975966049,-7.212570385921346,-39.120753020773094,-0.3149,-0.8859,-0.0629,-0.3348,0
1330180.0,1300.364504,1.0,5.57,6.1,-5.82,-14.38,-37.25,11.88,-0.75,0.06,-3.44,-0.0041238406097329205,0.029476385722138065,-0.2981218498055842,-124.67557399344672,-7.292945412680463,-39.084272157289,-0.3154,-0.8857,-0.0636,-0.3345,0
1330180.0,1300.364504,1.0,5.57,6.1,-5.82,-14.38,-37.25,11.88,-0.75,0.06,-3.44,-0.0041238406097329205,0.029476385722138065,-0.2981218498055842,-124.67557399344672,-7.292945412680463,-39.084272157289,-0.3154,-0.8857,-0.0636,-0.3345,0
1330214.0,1300.425601,1.0,5.62,5.79,-5.9,-14.75,-36.88,11.88,2.0,1.37,-2.81,0.02718079912290086,-0.27269933640236843,-0.18551674581067878,-124.72495975966049,-7.442222882076423,-39.05995387185956,-0.3149,-0.8859,-0.0649,-0.3343,0
1330214.0,1300.425601,1.0,5.62,5.79,-5.9,-14.75,-36.88,11.88,2.0,1.37,-2.81,0.02718079912290086,-0.27269933640236843,-0.18551674581067878,-124.72495975966049,-7.442222882076423,-39.05995387185956,-0.3149,-0.8859,-0.0649,-0.3343,0
1330249.0,1300.442361,1.0,5.43,5.6,-5.53,-15.19,-37.69,11.88,2.56,-4.56,-1.81,0.15122929579723818,-0.16084300077362768,0.24751514222156068,-124.84860239500853,-7.47667331573405,-38.97485427752673,-0.3143,-0.8864,-0.0652,-0.3336,0
1330249.0,1300.442361,1.0,5.43,5.6,-5.53,-15.19,-37.69,11.88,2.56,-4.56,-1.81,0.15122929579723818,-0.16084300077362768,0.24751514222156068,-124.84860239500853,-7.47667331573405,-38.97485427752673,-0.3143,-0.8864,-0.0652,-0.3336,0
1330284.0,1300.485929,1.0,5.45,5.65,-5.65,-14.75,-37.69,11.88,1.75,-1.75,-0.5,0.10038356292450418,-0.1831829199122792,0.13691023317343642,-124.92291073579179,-7.47667331573405,-38.88977704125324,-0.314,-0.8867,-0.0652,-0.3329,0
1330284.0,1300.485929,1.0,5.45,5.65,-5.65,-14.75,-37.69,11.88,1.75,-1.75,-0.5,0.10038356292450418,-0.1831829199122792,0.13691023317343642,-124.92291073579179,-7.47667331573405,-38.88977704125324,-0.314,-0.8867,-0.0652,-0.3329,0
