TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
2088572.0,2060.127704,1.0,1.55,3.25,-9.1,9.06,-26.19,32.0,-1.31,-1.37,0.5,-0.03017445571080085,0.06251689528507876,0.020425950856918007,-129.56581673326838,-44.989651826175965,-16.419805484293857,-0.1219,-0.9047,-0.3826,-0.1428,0
2088572.0,2060.127704,1.0,1.55,3.25,-9.1,9.06,-26.19,32.0,-1.31,-1.37,0.5,-0.03017445571080085,0.06251689528507876,0.020425950856918007,-129.56581673326838,-44.989651826175965,-16.419805484293857,-0.1219,-0.9047,-0.3826,-0.1428,0
2088605.0,2060.131011,1.0,1.49,3.23,-9.15,9.06,-26.19,32.0,-1.0,-0.63,0.75,-0.10543624270060031,0.08296223535847824,-0.009535637315012835,-129.56581673326838,-44.96484726352389,-16.43138337904295,-0.1222,-0.9047,-0.3824,-0.1429,0
2088605.0,2060.131011,1.0,1.49,3.23,-9.15,9.06,-26.19,32.0,-1.0,-0.63,0.75,-0.10543624270060031,0.08296223535847824,-0.009535637315012835,-129.56581673326838,-44.96484726352389,-16.43138337904295,-0.1222,-0.9047,-0.3824,-0.1429,0
2088640.0,2060.206234,1.0,1.48,3.26,-9.21,8.25,-25.75,30.75,0.31,2.0,0.19,-0.11838597294850811,0.10768614995714176,-0.07345569045273592,-129.53892711088812,-44.96484726352389,-16.466118077182383,-0.1221,-0.9046,-0.3824,-0.1432,0
2088640.0,2060.206234,1.0,1.48,3.26,-9.21,8.25,-25.75,30.75,0.31,2.0,0.19,-0.11838597294850811,0.10768614995714176,-0.07345569045273592,-129.53892711088812,-44.96484726352389,-16.466118077182383,-0.1221,-0.9046,-0.3824,-0.1432,0
2088675.0,2060.224874,1.0,1.67,3.28,-9.26,9.38,-25.37,31.56,-0.69,1.0,0.75,-0.004729917096816749,-0.016531311261351433,-0.15801779896009904,-129.53892711088812,-44.952445815509726,-16.524012627926176,-0.122,-0.9046,-0.3823,-0.1437,0
2088675.0,2060.224874,1.0,1.67,3.28,-9.26,9.38,-25.37,31.56,-0.69,1.0,0.75,-0.004729917096816749,-0.016531311261351433,-0.15801779896009904,-129.53892711088812,-44.952445815509726,-16.524012627926176,-0.122,-0.9046,-0.3823,-0.1437,0
2088712.0,2060.26458,1.0,1.58,3.22,-9.19,9.06,-25.37,32.0,-1.06,-0.19,0.31,-0.08366400069327035,0.01162229262592196,-0.058123958753546034,-129.53892711088812,-44.940044922743645,-16.53559204728263,-0.1223,-0.9046,-0.3822,-0.1438,0
2088712.0,2060.26458,1.0,1.58,3.22,-9.19,9.06,-25.37,32.0,-1.06,-0.19,0.31,-0.08366400069327035,0.01162229262592196,-0.058123958753546034,-129.53892711088812,-44.940044922743645,-16.53559204728263,-0.1223,-0.9046,-0.3822,-0.1438,0
2088747.0,2060.328439,1.0,1.67,3.25,-9.3,9.06,-25.37,32.0,-1.37,-0.12,0.75,-0.04493667560140374,-0.044640635356757885,-0.18521608741634843,-129.53892711088812,-44.927644585005865,-16.5471716366683,-0.1223,-0.9046,-0.3821,-0.1439,0
2088747.0,2060.328439,1.0,1.67,3.25,-9.3,9.06,-25.37,32.0,-1.37,-0.12,0.75,-0.04493667560140374,-0.044640635356757885,-0.18521608741634843,-129.53892711088812,-44.927644585005865,-16.5471716366683,-0.1223,-0.9046,-0.3821,-0.1439,0
2088781.0,2060.336787,1.0,1.61,3.4,-9.21,8.25,-26.19,30.69,0.44,-0.88,0.56,0.043048708886618825,0.10122083781707358,-0.14142022244288377,-129.53892711088812,-44.915244802076664,-16.53559204728263,-0.1228,-0.9046,-0.382,-0.1438,0
2088781.0,2060.336787,1.0,1.61,3.4,-9.21,8.25,-26.19,30.69,0.44,-0.88,0.56,0.043048708886618825,0.10122083781707358,-0.14142022244288377,-129.53892711088812,-44.915244802076664,-16.53559204728263,-0.1228,-0.9046,-0.382,-0.1438,0
2088816.0,2060.396061,1.0,1.67,3.28,-9.26,7.56,-26.19,31.06,2.5,0.19,-0.25,-0.008206112342542649,-0.022644917109811757,-0.158003524706686,-129.56581673326838,-44.915244802076664,-16.524012627926176,-0.1224,-0.9047,-0.382,-0.1437,0
2088816.0,2060.396061,1.0,1.67,3.28,-9.26,7.56,-26.19,31.06,2.5,0.19,-0.25,-0.008206112342542649,-0.022644917109811757,-0.158003524706686,-129.56581673326838,-44.915244802076664,-16.524012627926176,-0.1224,-0.9047,-0.382,-0.1437,0
2088851.0,2060.409142,1.0,1.54,3.16,-9.23,7.56,-26.19,31.06,-0.44,-1.81,0.06,-0.1520053944296445,-0.010574387242688,-0.06891998569696689,-129.5927197609984,-44.915244802076664,-16.454539675361612,-0.1224,-0.9048,-0.382,-0.1431,0
2088851.0,2060.409142,1.0,1.54,3.16,-9.23,7.56,-26.19,31.06,-0.44,-1.81,0.06,-0.1520053944296445,-0.010574387242688,-0.06891998569696689,-129.5927197609984,-44.915244802076664,-16.454539675361612,-0.1224,-0.9048,-0.382,-0.1431,0
2088886.0,2060.458002,1.0,1.49,3.28,-9.21,9.06,-25.75,31.06,-0.5,1.06,0.5,-0.09957228175040389,0.10936646990213172,-0.0817636410229241,-129.5927197609984,-44.915244802076664,-16.454539675361612,-0.1224,-0.9048,-0.382,-0.1431,0
2088886.0,2060.458002,1.0,1.49,3.28,-9.21,9.06,-25.75,31.06,-0.5,1.06,0.5,-0.09957228175040389,0.10936646990213172,-0.0817636410229241,-129.5927197609984,-44.915244802076664,-16.454539675361612,-0.1224,-0.9048,-0.382,-0.1431,0
2088923.0,2060.48277,1.0,1.52,3.31,-9.01,8.69,-26.56,32.0,-0.19,1.37,-0.25,0.005086601157950399,0.1323451145491159,0.08918845404348197,-129.56581673326838,-44.915244802076664,-16.489275388774946,-0.1224,-0.9047,-0.382,-0.1434,0
2088923.0,2060.48277,1.0,1.52,3.31,-9.01,8.69,-26.56,32.0,-0.19,1.37,-0.25,0.005086601157950399,0.1323451145491159,0.08918845404348197,-129.56581673326838,-44.915244802076664,-16.489275388774946,-0.1224,-0.9047,-0.382,-0.1434,0
2088957.0,2060.486741,1.0,1.49,3.07,-9.16,8.69,-26.56,32.0,0.75,0.75,-0.25,-0.2264062510578,-0.018825151045457567,0.03429174709246219,-129.56581673326838,-44.927644585005865,-16.51243337847321,-0.1221,-0.9047,-0.3821,-0.1436,0
2088957.0,2060.486741,1.0,1.49,3.07,-9.16,8.69,-26.56,32.0,0.75,0.75,-0.25,-0.2264062510578,-0.018825151045457567,0.03429174709246219,-129.56581673326838,-44.927644585005865,-16.51243337847321,-0.1221,-0.9047,-0.3821,-0.1436,0
2088992.0,2060.565986,1.0,1.43,3.1,-9.21,9.06,-26.19,32.0,-0.81,2.56,0.12,-0.26970623282443534,0.04181734768184553,-0.011929828947188525,-129.56581673326838,-44.927644585005865,-16.5471716366683,-0.1221,-0.9047,-0.3821,-0.1439,0
2088992.0,2060.565986,1.0,1.43,3.1,-9.21,9.06,-26.19,32.0,-0.81,2.56,0.12,-0.26970623282443534,0.04181734768184553,-0.011929828947188525,-129.56581673326838,-44.927644585005865,-16.5471716366683,-0.1221,-0.9047,-0.3821,-0.1439,0
2089027.0,2060.577258,1.0,1.36,3.06,-9.28,8.69,-25.75,31.5,-0.56,5.38,1.06,-0.3722618526840036,0.06577645560724132,-0.051782663000951246,-129.53892711088812,-44.940044922743645,-16.59349169701811,-0.1218,-0.9046,-0.3822,-0.1443,0
2089027.0,2060.577258,1.0,1.36,3.06,-9.28,8.69,-25.75,31.5,-0.56,5.38,1.06,-0.3722618526840036,0.06577645560724132,-0.051782663000951246,-129.53892711088812,-44.940044922743645,-16.59349169701811,-0.1218,-0.9046,-0.3822,-0.1443,0
2089062.0,2060.622149,1.0,1.5,2.89,-9.75,8.69,-25.75,31.5,2.13,7.38,3.38,-0.5806856385702446,-0.1566572705949263,-0.45506831072788856,-129.56581673326838,-44.878048779944685,-16.81354941000451,-0.1202,-0.9047,-0.3817,-0.1462,0
2089062.0,2060.622149,1.0,1.5,2.89,-9.75,8.69,-25.75,31.5,2.13,7.38,3.38,-0.5806856385702446,-0.1566572705949263,-0.45506831072788856,-129.56581673326838,-44.878048779944685,-16.81354941000451,-0.1202,-0.9047,-0.3817,-0.1462,0
2089095.0,2060.640642,1.0,1.85,2.58,-10.7,9.06,-26.19,32.0,10.94,14.06,11.44,-0.9108284074308479,-0.6374701666057209,-1.2988857096767106,-129.7274367362795,-44.70453316546125,-17.080018727926856,-0.1172,-0.9053,-0.3803,-0.1485,0
2089095.0,2060.640642,1.0,1.85,2.58,-10.7,9.06,-26.19,32.0,10.94,14.06,11.44,-0.9108284074308479,-0.6374701666057209,-1.2988857096767106,-129.7274367362795,-44.70453316546125,-17.080018727926856,-0.1172,-0.9053,-0.3803,-0.1485,0
2089132.0,2060.681855,1.0,2.63,2.17,-11.95,7.88,-25.75,32.75,19.0,13.75,25.62,-1.1018651070084313,-1.381390279616885,-2.493998526859764,-130.40615307468192,-44.07334918943469,-17.474100846214466,-0.1093,-0.9078,-0.3752,-0.1519,0
