TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
204945.0,166.884071,1.0,4.11,8.9,-0.38,-4.0,-41.38,5.25,-0.44,-1.25,-3.19,-0.32320371875534604,-0.06165781335396847,0.0016391550169512215,-61.20779954435891,-59.48462353821214,-81.40024126031591,-0.2635,-0.5091,-0.4961,-0.6521,0
204945.0,166.884071,1.0,4.11,8.9,-0.38,-4.0,-41.38,5.25,-0.44,-1.25,-3.19,-0.32320371875534604,-0.06165781335396847,0.0016391550169512215,-61.20779954435891,-59.48462353821214,-81.40024126031591,-0.2635,-0.5091,-0.4961,-0.6521,0
204978.0,166.888776,1.0,4.18,8.91,-0.51,-4.0,-41.38,5.25,-4.13,-2.88,-3.25,-0.4703096095986381,-0.08014731487676396,-0.03677345320149783,-61.26106146367893,-59.431839453257375,-81.3246878357526,-0.2648,-0.5095,-0.4957,-0.6516,0
204978.0,166.888776,1.0,4.18,8.91,-0.51,-4.0,-41.38,5.25,-4.13,-2.88,-3.25,-0.4703096095986381,-0.08014731487676396,-0.03677345320149783,-61.26106146367893,-59.431839453257375,-81.3246878357526,-0.2648,-0.5095,-0.4957,-0.6516,0
205015.0,166.930255,1.0,3.76,9.56,0.04,-3.25,-41.38,6.5,-18.37,-5.13,-0.56,0.23885313038641964,0.32595715850667695,-0.4583147399746519,-61.26106146367893,-59.11542551802431,-81.44559388670763,-0.2672,-0.5095,-0.4933,-0.6524,0
205015.0,166.930255,1.0,3.76,9.56,0.04,-3.25,-41.38,6.5,-18.37,-5.13,-0.56,0.23885313038641964,0.32595715850667695,-0.4583147399746519,-61.26106146367893,-59.11542551802431,-81.44559388670763,-0.2672,-0.5095,-0.4933,-0.6524,0
205049.0,166.996439,1.0,3.79,10.17,0.28,-4.38,-40.69,6.0,-8.94,-7.13,-7.0,0.47334494100044466,0.4269646755617673,-1.031479254287925,-61.19448635278198,-58.82581410721352,-81.50608810294752,-0.2714,-0.509,-0.4911,-0.6528,0
205049.0,166.996439,1.0,3.79,10.17,0.28,-4.38,-40.69,6.0,-8.94,-7.13,-7.0,0.47334494100044466,0.4269646755617673,-1.031479254287925,-61.19448635278198,-58.82581410721352,-81.50608810294752,-0.2714,-0.509,-0.4911,-0.6528,0
205084.0,167.014839,1.0,3.73,8.69,0.45,-4.38,-40.69,6.0,14.19,-0.12,-9.44,0.46949029860616975,-0.19442801251045605,0.3529059476434977,-61.181174075769505,-59.220841629210256,-81.15862069013602,-0.2717,-0.5089,-0.4941,-0.6505,0
205084.0,167.014839,1.0,3.73,8.69,0.45,-4.38,-40.69,6.0,14.19,-0.12,-9.44,0.46949029860616975,-0.19442801251045605,0.3529059476434977,-61.181174075769505,-59.220841629210256,-81.15862069013602,-0.2717,-0.5089,-0.4941,-0.6505,0
205117.0,167.037874,1.0,4.04,8.7,-0.15,-3.56,-41.38,6.0,7.75,2.63,-5.25,-0.15767900593847228,-0.2927696364851222,0.21897440729044426,-61.114626396297396,-59.65626789743028,-80.87226170457618,-0.2712,-0.5084,-0.4974,-0.6486,0
205117.0,167.037874,1.0,4.04,8.7,-0.15,-3.56,-41.38,6.0,7.75,2.63,-5.25,-0.15767900593847228,-0.2927696364851222,0.21897440729044426,-61.114626396297396,-59.65626789743028,-80.87226170457618,-0.2712,-0.5084,-0.4974,-0.6486,0
205154.0,167.061167,1.0,4.08,8.67,-0.19,-2.88,-42.06,6.06,9.19,-5.75,-7.06,-0.17931494712192464,-0.37261186418055914,0.2316614074004999,-61.15455226396579,-59.94707947928739,-80.54144798375754,-0.2715,-0.5087,-0.4996,-0.6464,0
205154.0,167.061167,1.0,4.08,8.67,-0.19,-2.88,-42.06,6.06,9.19,-5.75,-7.06,-0.17931494712192464,-0.37261186418055914,0.2316614074004999,-61.15455226396579,-59.94707947928739,-80.54144798375754,-0.2715,-0.5087,-0.4996,-0.6464,0
205189.0,167.123364,1.0,4.0,8.56,-0.53,-2.88,-42.06,6.06,6.5,-2.06,-1.94,-0.4524213652849305,-0.24965556086819518,0.35744437152723485,-61.234428672679336,-60.17208928443668,-80.28637245269121,-0.2714,-0.5093,-0.5013,-0.6447,0
205189.0,167.123364,1.0,4.0,8.56,-0.53,-2.88,-42.06,6.06,6.5,-2.06,-1.94,-0.4524213652849305,-0.24965556086819518,0.35744437152723485,-61.234428672679336,-60.17208928443668,-80.28637245269121,-0.2714,-0.5093,-0.5013,-0.6447,0
205221.0,167.179952,1.0,4.05,9.31,-0.94,-2.88,-41.75,6.0,1.0,-5.75,-3.31,-0.7218285745041544,0.09957745636295989,-0.3634654290014634,-61.301017524157785,-60.19857784037951,-80.13655154254863,-0.2724,-0.5098,-0.5015,-0.6437,0
205221.0,167.179952,1.0,4.05,9.31,-0.94,-2.88,-41.75,6.0,1.0,-5.75,-3.31,-0.7218285745041544,0.09957745636295989,-0.3634654290014634,-61.301017524157785,-60.19857784037951,-80.13655154254863,-0.2724,-0.5098,-0.5015,-0.6437,0
205256.0,167.195507,1.0,3.8,9.13,-0.47,-2.5,-41.75,5.69,-0.69,-10.81,-8.31,-0.22201983763479993,0.03991372429839224,-0.09117370454784712,-61.40760741658022,-60.238317330964705,-79.86728811365496,-0.2745,-0.5106,-0.5018,-0.6419,0
205256.0,167.195507,1.0,3.8,9.13,-0.47,-2.5,-41.75,5.69,-0.69,-10.81,-8.31,-0.22201983763479993,0.03991372429839224,-0.09117370454784712,-61.40760741658022,-60.238317330964705,-79.86728811365496,-0.2745,-0.5106,-0.5018,-0.6419,0
205293.0,167.232895,1.0,3.06,9.23,0.21,-2.5,-41.75,7.19,-4.38,-9.25,-10.5,0.6328510755861407,0.40926056694913004,0.10960894076600347,-61.420935291391,-60.17208928443668,-79.58363899911447,-0.2797,-0.5107,-0.5013,-0.64,0
205293.0,167.232895,1.0,3.06,9.23,0.21,-2.5,-41.75,7.19,-4.38,-9.25,-10.5,0.6328510755861407,0.40926056694913004,0.10960894076600347,-61.420935291391,-60.17208928443668,-79.58363899911447,-0.2797,-0.5107,-0.5013,-0.64,0
205328.0,167.239752,1.0,3.08,9.13,0.37,-2.5,-41.75,7.19,2.06,-5.44,-11.0,0.7504885267458412,0.2503854412730302,0.19653688401529124,-61.38095442802087,-60.29131575913539,-79.36011799864445,-0.2823,-0.5104,-0.5022,-0.6385,0
205328.0,167.239752,1.0,3.08,9.13,0.37,-2.5,-41.75,7.19,2.06,-5.44,-11.0,0.7504885267458412,0.2503854412730302,0.19653688401529124,-61.38095442802087,-60.29131575913539,-79.36011799864445,-0.2823,-0.5104,-0.5022,-0.6385,0
205365.0,167.300914,1.0,3.15,8.73,0.08,-1.75,-42.06,7.19,7.81,3.38,-7.5,0.41521089390600463,0.08876762355822976,0.5351064271859443,-61.26106146367893,-60.7025381110459,-79.04779472022427,-0.283,-0.5095,-0.5053,-0.6364,0
205365.0,167.300914,1.0,3.15,8.73,0.08,-1.75,-42.06,7.19,7.81,3.38,-7.5,0.41521089390600463,0.08876762355822976,0.5351064271859443,-61.26106146367893,-60.7025381110459,-79.04779472022427,-0.283,-0.5095,-0.5053,-0.6364,0
205400.0,167.317855,1.0,3.19,8.8,-0.03,-2.06,-42.06,6.5,7.69,7.25,-6.0,0.32189151332166466,0.07785768319180075,0.45211505512863503,-61.08801371359054,-61.03479928474156,-78.94384302757037,-0.2823,-0.5082,-0.5078,-0.6357,0
205400.0,167.317855,1.0,3.19,8.8,-0.03,-2.06,-42.06,6.5,7.69,7.25,-6.0,0.32189151332166466,0.07785768319180075,0.45211505512863503,-61.08801371359054,-61.03479928474156,-78.94384302757037,-0.2823,-0.5082,-0.5078,-0.6357,0
205432.0,167.356095,1.0,3.37,8.97,-0.49,-2.06,-42.06,6.5,9.25,9.88,-3.75,-0.12336385289143514,0.10784230707749654,0.21336842399046496,-60.82208696099747,-61.487588485604824,-78.92899912643803,-0.2803,-0.5062,-0.5112,-0.6356,0
205432.0,167.356095,1.0,3.37,8.97,-0.49,-2.06,-42.06,6.5,9.25,9.88,-3.75,-0.12336385289143514,0.10784230707749654,0.21336842399046496,-60.82208696099747,-61.487588485604824,-78.92899912643803,-0.2803,-0.5062,-0.5112,-0.6356,0
205467.0,167.410192,1.0,3.76,9.32,-1.01,0.06,-41.75,6.88,6.38,9.5,-4.94,-0.6691549722050698,0.049561359216377276,-0.2715380958258464,-60.5963337471018,-61.82120140486282,-78.92899912643803,-0.2786,-0.5045,-0.5137,-0.6356,0
205467.0,167.410192,1.0,3.76,9.32,-1.01,0.06,-41.75,6.88,6.38,9.5,-4.94,-0.6691549722050698,0.049561359216377276,-0.2715380958258464,-60.5963337471018,-61.82120140486282,-78.92899912643803,-0.2786,-0.5045,-0.5137,-0.6356,0
205504.0,167.463433,1.0,3.54,9.65,-0.33,-1.37,-42.5,8.0,5.94,6.88,-10.0,0.08036982511344437,0.035838857493207144,-0.4770874658975419,-60.27806481809002,-62.20892259984077,-78.85480334917152,-0.2786,-0.5021,-0.5166,-0.6351,0
205504.0,167.463433,1.0,3.54,9.65,-0.33,-1.37,-42.5,8.0,5.94,6.88,-10.0,0.08036982511344437,0.035838857493207144,-0.4770874658975419,-60.27806481809002,-62.20892259984077,-78.85480334917152,-0.2786,-0.5021,-0.5166,-0.6351,0
205539.0,167.47108,1.0,3.29,9.47,-0.11,-1.37,-42.5,8.0,14.31,9.06,-6.81,0.36140214300317575,0.0596995562951097,-0.2124779288175045,-60.05293463473585,-62.67791907687011,-78.69171147031696,-0.2774,-0.5004,-0.5201,-0.634,0
205539.0,167.47108,1.0,3.29,9.47,-0.11,-1.37,-42.5,8.0,14.31,9.06,-6.81,0.36140214300317575,0.0596995562951097,-0.2124779288175045,-60.05293463473585,-62.67791907687011,-78.69171147031696,-0.2774,-0.5004,-0.5201,-0.634,0
205572.0,167.489098,1.0,3.52,9.17,-0.5,-0.25,-41.75,7.69,28.12,12.69,-4.94,-0.025963287442703598,-0.15567582326003038,-0.027189074631911225,-59.90739833750701,-63.64641513634406,-78.29219886729086,-0.2723,-0.4993,-0.5273,-0.6313,0
205572.0,167.489098,1.0,3.52,9.17,-0.5,-0.25,-41.75,7.69,28.12,12.69,-4.94,-0.025963287442703598,-0.15567582326003038,-0.027189074631911225,-59.90739833750701,-63.64641513634406,-78.29219886729086,-0.2723,-0.4993,-0.5273,-0.6313,0
205606.0,167.529307,1.0,3.43,9.31,-0.51,-0.69,-42.06,8.88,10.44,12.88,-8.56,0.059300795398160355,-0.08233341145816642,-0.1276745681335978,-59.65626789743028,-64.22724850843996,-78.12975943011051,-0.2697,-0.4974,-0.5316,-0.6302,0
205606.0,167.529307,1.0,3.43,9.31,-0.51,-0.69,-42.06,8.88,10.44,12.88,-8.56,0.059300795398160355,-0.08233341145816642,-0.1276745681335978,-59.65626789743028,-64.22724850843996,-78.12975943011051,-0.2697,-0.4974,-0.5316,-0.6302,0
205643.0,167.632703,1.0,3.23,9.38,-0.32,-1.06,-41.75,9.19,12.81,14.38,-9.06,0.33174291994153315,-0.03364166895458709,-0.11345659585766121,-59.181304135018124,-64.94571342127749,-78.07073688001653,-0.2672,-0.4938,-0.5369,-0.6298,0
205643.0,167.632703,1.0,3.23,9.38,-0.32,-1.06,-41.75,9.19,12.81,14.38,-9.06,0.33174291994153315,-0.03364166895458709,-0.11345659585766121,-59.181304135018124,-64.94571342127749,-78.07073688001653,-0.2672,-0.4938,-0.5369,-0.6298,0
205678.0,167.644821,1.0,3.4,9.41,-0.43,-1.06,-41.75,9.19,26.81,14.5,-3.56,0.23371803715162343,-0.1747554159559055,-0.20373642729160757,-58.95740435856217,-65.61251381736736,-77.8790835134503,-0.2632,-0.4921,-0.5418,-0.6285,0
205678.0,167.644821,1.0,3.4,9.41,-0.43,-1.06,-41.75,9.19,26.81,14.5,-3.56,0.23371803715162343,-0.1747554159559055,-0.20373642729160757,-58.95740435856217,-65.61251381736736,-77.8790835134503,-0.2632,-0.4921,-0.5418,-0.6285,0
205713.0,167.648008,1.0,3.47,8.75,-0.81,0.06,-42.5,10.88,32.25,11.56,-6.44,-0.12355241985707455,-0.3391532249052114,0.36582324120478127,-58.86528222790042,-66.8438272739107,-77.24698728308945,-0.2559,-0.4914,-0.5508,-0.6242,0
205713.0,167.648008,1.0,3.47,8.75,-0.81,0.06,-42.5,10.88,32.25,11.56,-6.44,-0.12355241985707455,-0.3391532249052114,0.36582324120478127,-58.86528222790042,-66.8438272739107,-77.24698728308945,-0.2559,-0.4914,-0.5508,-0.6242,0
205748.0,167.682428,1.0,3.2,9.24,-1.02,0.06,-42.06,10.69,3.56,16.31,-4.5,-0.08273573873627549,0.08428251944042753,-0.024120633803462965,-58.52347906562028,-67.32502809337325,-77.24698728308945,-0.2532,-0.4888,-0.5543,-0.6242,0
205748.0,167.682428,1.0,3.2,9.24,-1.02,0.06,-42.06,10.69,3.56,16.31,-4.5,-0.08273573873627549,0.08428251944042753,-0.024120633803462965,-58.52347906562028,-67.32502809337325,-77.24698728308945,-0.2532,-0.4888,-0.5543,-0.6242,0
