TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
718790.0,440.236158,1.0,4.12,1.34,-8.99,3.88,-0.19,48.06,0.31,3.0,0.75,0.14305049960657812,0.09935148994224774,-0.17131401256331635,-73.53939139013687,-100.38504889165011,-21.182355652510953,0.1335,-0.5986,-0.7682,-0.1838,0
718790.0,440.236158,1.0,4.12,1.34,-8.99,3.88,-0.19,48.06,0.31,3.0,0.75,0.14305049960657812,0.09935148994224774,-0.17131401256331635,-73.53939139013687,-100.38504889165011,-21.182355652510953,0.1335,-0.5986,-0.7682,-0.1838,0
718825.0,440.30566,1.0,4.15,1.23,-8.94,3.88,-0.5,48.88,0.06,2.31,-2.19,0.03406636491813064,0.0929365742881264,-0.1255804783941077,-73.46788204137806,-100.40294962921641,-21.24064723466595,0.1343,-0.5981,-0.7683,-0.1843,0
718825.0,440.30566,1.0,4.15,1.23,-8.94,3.88,-0.5,48.88,0.06,2.31,-2.19,0.03406636491813064,0.0929365742881264,-0.1255804783941077,-73.46788204137806,-100.40294962921641,-21.24064723466595,0.1343,-0.5981,-0.7683,-0.1843,0
718860.0,440.344791,1.0,4.1,1.23,-8.83,3.88,-0.5,48.88,1.0,3.31,0.0,0.049597884499285594,0.09988656814212293,-0.005554784010474378,-73.4249924149719,-100.42085372385361,-21.287284503296153,0.1348,-0.5978,-0.7684,-0.1847,0
718860.0,440.344791,1.0,4.1,1.23,-8.83,3.88,-0.5,48.88,1.0,3.31,0.0,0.049597884499285594,0.09988656814212293,-0.005554784010474378,-73.4249924149719,-100.42085372385361,-21.287284503296153,0.1348,-0.5978,-0.7684,-0.1847,0
718893.0,440.351681,1.0,4.33,1.2,-9.19,3.5,-0.5,48.5,1.56,3.5,-0.56,-0.026659991362280477,0.08571720345849099,-0.4225699998774015,-73.36782485981517,-100.42085372385361,-21.310604474849132,0.136,-0.5974,-0.7684,-0.1849,0
718893.0,440.351681,1.0,4.33,1.2,-9.19,3.5,-0.5,48.5,1.56,3.5,-0.56,-0.026659991362280477,0.08571720345849099,-0.4225699998774015,-73.36782485981517,-100.42085372385361,-21.310604474849132,0.136,-0.5974,-0.7684,-0.1849,0
718927.0,440.408663,1.0,4.12,1.22,-8.71,3.5,-0.5,48.56,0.5,-0.37,-0.81,0.04982374306734483,0.046444786827057105,0.09468518970525786,-73.35353629089147,-100.43876117788851,-21.298944377524897,0.1359,-0.5973,-0.7685,-0.1848,0
718927.0,440.408663,1.0,4.12,1.22,-8.71,3.5,-0.5,48.56,0.5,-0.37,-0.81,0.04982374306734483,0.046444786827057105,0.09468518970525786,-73.35353629089147,-100.43876117788851,-21.298944377524897,0.1359,-0.5973,-0.7685,-0.1848,0
718964.0,440.43327,1.0,4.18,1.22,-8.83,3.5,-0.5,48.56,1.19,2.56,-0.06,0.04186550589093174,0.0607843415667666,-0.03836155627746329,-73.31067854232553,-100.45667199365036,-21.32226479540238,0.1367,-0.597,-0.7686,-0.185,0
718964.0,440.43327,1.0,4.18,1.22,-8.83,3.5,-0.5,48.56,1.19,2.56,-0.06,0.04186550589093174,0.0607843415667666,-0.03836155627746329,-73.31067854232553,-100.45667199365036,-21.32226479540238,0.1367,-0.597,-0.7686,-0.185,0
718997.0,440.477379,1.0,4.24,1.14,-8.83,2.69,0.19,48.88,1.94,0.88,-0.56,-0.04487690371402642,0.03125619282213299,-0.05454207367564656,-73.29639527690128,-100.45667199365036,-21.32226479540238,0.1371,-0.5969,-0.7686,-0.185,0
718997.0,440.477379,1.0,4.24,1.14,-8.83,2.69,0.19,48.88,1.94,0.88,-0.56,-0.04487690371402642,0.03125619282213299,-0.05454207367564656,-73.29639527690128,-100.45667199365036,-21.32226479540238,0.1371,-0.5969,-0.7686,-0.185,0
719032.0,440.494737,1.0,4.15,1.16,-8.72,3.5,-0.5,48.88,0.19,1.75,-0.56,0.0025626159614562383,0.06200887853012005,0.08026072483817792,-73.28211333587478,-100.45667199365036,-21.33392533931821,0.1375,-0.5968,-0.7686,-0.1851,0
719032.0,440.494737,1.0,4.15,1.16,-8.72,3.5,-0.5,48.88,0.19,1.75,-0.56,0.0025626159614562383,0.06200887853012005,0.08026072483817792,-73.28211333587478,-100.45667199365036,-21.33392533931821,0.1375,-0.5968,-0.7686,-0.1851,0
719067.0,440.532421,1.0,4.22,1.15,-8.73,3.5,0.19,47.25,1.37,2.75,-0.63,-0.01724969397203524,0.01974421936484494,0.04227021355889882,-73.25355342465495,-100.45667199365036,-21.357247097771978,0.1382,-0.5966,-0.7686,-0.1853,0
719067.0,440.532421,1.0,4.22,1.15,-8.73,3.5,0.19,47.25,1.37,2.75,-0.63,-0.01724969397203524,0.01974421936484494,0.04227021355889882,-73.25355342465495,-100.45667199365036,-21.357247097771978,0.1382,-0.5966,-0.7686,-0.1853,0
