TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
823650.0,783.558128,1.0,6.05,2.04,7.18,-17.06,-13.75,-29.37,-0.25,0.56,0.44,-0.07662159838124424,-0.029188100267060424,0.19885227182814091,-41.0847460230468,-2.4065996467302937,-129.0838339340417,-0.2474,-0.3509,-0.021,-0.9029,0
823650.0,783.558128,1.0,6.05,2.04,7.18,-17.06,-13.75,-29.37,-0.25,0.56,0.44,-0.07662159838124424,-0.029188100267060424,0.19885227182814091,-41.0847460230468,-2.4065996467302937,-129.0838339340417,-0.2474,-0.3509,-0.021,-0.9029,0
823687.0,783.598714,1.0,6.06,2.08,7.31,-17.87,-15.56,-26.56,-0.25,-0.06,0.31,-0.016445736379339826,0.01959171385192171,0.08628757350049554,-41.0847460230468,-2.4065996467302937,-129.0838339340417,-0.2473,-0.3509,-0.021,-0.9029,0
823687.0,783.598714,1.0,6.06,2.08,7.31,-17.87,-15.56,-26.56,-0.25,-0.06,0.31,-0.016445736379339826,0.01959171385192171,0.08628757350049554,-41.0847460230468,-2.4065996467302937,-129.0838339340417,-0.2473,-0.3509,-0.021,-0.9029,0
823721.0,783.616366,1.0,6.04,2.05,7.33,-17.06,-14.06,-27.0,0.06,-0.06,0.56,0.022019456806719226,0.00522718520309895,0.0900411357893578,-41.0847460230468,-2.4065996467302937,-129.0838339340417,-0.2473,-0.3509,-0.021,-0.9029,0
823721.0,783.616366,1.0,6.04,2.05,7.33,-17.06,-14.06,-27.0,0.06,-0.06,0.56,0.022019456806719226,0.00522718520309895,0.0900411357893578,-41.0847460230468,-2.4065996467302937,-129.0838339340417,-0.2473,-0.3509,-0.021,-0.9029,0
823756.0,783.660265,1.0,6.08,1.99,7.24,-17.06,-14.06,-27.0,0.37,0.44,0.31,-0.037246348648408714,-0.08021883001360308,0.1455797876051257,-41.07250897869502,-2.4180613422720283,-129.1104989092044,-0.2473,-0.3508,-0.0211,-0.903,0
823756.0,783.660265,1.0,6.08,1.99,7.24,-17.06,-14.06,-27.0,0.37,0.44,0.31,-0.037246348648408714,-0.08021883001360308,0.1455797876051257,-41.07250897869502,-2.4180613422720283,-129.1104989092044,-0.2473,-0.3508,-0.0211,-0.903,0
823793.0,783.679085,1.0,6.01,1.99,7.41,-17.5,-14.38,-27.37,-0.12,0.12,0.75,0.11643385066201213,-0.024905047549869885,0.06118321297402041,-41.07250897869502,-2.4180613422720283,-129.1104989092044,-0.2473,-0.3508,-0.0211,-0.903,0
823793.0,783.679085,1.0,6.01,1.99,7.41,-17.5,-14.38,-27.37,-0.12,0.12,0.75,0.11643385066201213,-0.024905047549869885,0.06118321297402041,-41.07250897869502,-2.4180613422720283,-129.1104989092044,-0.2473,-0.3508,-0.0211,-0.903,0
823828.0,783.72401,1.0,6.06,2.06,7.35,-17.75,-14.38,-26.56,0.0,0.63,0.81,0.014911895485720993,0.008441435854710244,0.06039911170794454,-41.07250897869502,-2.4065996467302937,-129.13717693179007,-0.2471,-0.3508,-0.021,-0.9031,0
823828.0,783.72401,1.0,6.06,2.06,7.35,-17.75,-14.38,-26.56,0.0,0.63,0.81,0.014911895485720993,0.008441435854710244,0.06039911170794454,-41.07250897869502,-2.4065996467302937,-129.13717693179007,-0.2471,-0.3508,-0.021,-0.9031,0
823865.0,783.770643,1.0,6.07,2.04,7.26,-17.75,-14.38,-26.56,0.75,0.19,0.37,-0.04196281535580476,-0.027433094170538963,0.1261754998800999,-41.06027242384908,-2.4180613422720283,-129.13717693179007,-0.247,-0.3507,-0.0211,-0.9031,0
823865.0,783.770643,1.0,6.07,2.04,7.26,-17.75,-14.38,-26.56,0.75,0.19,0.37,-0.04196281535580476,-0.027433094170538963,0.1261754998800999,-41.06027242384908,-2.4180613422720283,-129.13717693179007,-0.247,-0.3507,-0.0211,-0.9031,0
823900.0,783.834636,1.0,6.06,1.89,7.31,-17.5,-14.38,-27.75,0.63,0.25,0.31,0.06394508928957499,-0.1499912003592173,0.12650466713590447,-41.07250897869502,-2.4409848060552455,-129.13717693179007,-0.2469,-0.3508,-0.0213,-0.9031,0
823900.0,783.834636,1.0,6.06,1.89,7.31,-17.5,-14.38,-27.75,0.63,0.25,0.31,0.06394508928957499,-0.1499912003592173,0.12650466713590447,-41.07250897869502,-2.4409848060552455,-129.13717693179007,-0.2469,-0.3508,-0.0213,-0.9031,0
823934.0,783.846527,1.0,6.09,2.13,7.34,-17.06,-14.06,-28.56,-1.31,0.88,0.75,-0.0446017090659858,0.05683247218772136,0.034476201010678054,-41.04803635831072,-2.3951379752687134,-129.13717693179007,-0.2469,-0.3506,-0.0209,-0.9031,0
823934.0,783.846527,1.0,6.09,2.13,7.34,-17.06,-14.06,-28.56,-1.31,0.88,0.75,-0.0446017090659858,0.05683247218772136,0.034476201010678054,-41.04803635831072,-2.3951379752687134,-129.13717693179007,-0.2469,-0.3506,-0.0209,-0.9031,0
823969.0,783.890721,1.0,6.11,2.13,7.3,-17.06,-14.06,-28.56,0.44,-0.12,0.81,-0.08410917162493384,0.044703966111214744,0.05216758407128275,-41.04803635831072,-2.383676327772471,-129.16386802241826,-0.2468,-0.3506,-0.0208,-0.9032,0
823969.0,783.890721,1.0,6.11,2.13,7.3,-17.06,-14.06,-28.56,0.44,-0.12,0.81,-0.08410917162493384,0.044703966111214744,0.05216758407128275,-41.04803635831072,-2.383676327772471,-129.16386802241826,-0.2468,-0.3506,-0.0208,-0.9032,0
824004.0,783.897953,1.0,5.95,1.92,7.29,-16.69,-14.38,-27.0,1.56,-0.37,-0.44,0.10900057183062424,-0.07149628040089018,0.20373340360963965,-41.0847460230468,-2.4295230620087382,-129.13717693179007,-0.2466,-0.3509,-0.0212,-0.9031,0
824004.0,783.897953,1.0,5.95,1.92,7.29,-16.69,-14.38,-27.0,1.56,-0.37,-0.44,0.10900057183062424,-0.07149628040089018,0.20373340360963965,-41.0847460230468,-2.4295230620087382,-129.13717693179007,-0.2466,-0.3509,-0.0212,-0.9031,0
824039.0,783.951425,1.0,6.03,1.89,7.37,-18.19,-13.38,-26.56,-0.56,1.56,0.31,0.11627212259015254,-0.1245697743829125,0.09990681987935801,-41.04803635831072,-2.4295230620087382,-129.19057220176188,-0.2465,-0.3506,-0.0212,-0.9033,0
824039.0,783.951425,1.0,6.03,1.89,7.37,-18.19,-13.38,-26.56,-0.56,1.56,0.31,0.11627212259015254,-0.1245697743829125,0.09990681987935801,-41.04803635831072,-2.4295230620087382,-129.19057220176188,-0.2465,-0.3506,-0.0212,-0.9033,0
824076.0,784.007212,1.0,6.13,2.07,7.34,-18.19,-14.06,-27.37,-1.06,0.25,0.69,-0.05302465599761844,-0.01394259986628077,0.022254566976798174,-40.999096985270164,-2.3951379752687134,-129.21728949054744,-0.2466,-0.3502,-0.0209,-0.9034,0
824076.0,784.007212,1.0,6.13,2.07,7.34,-18.19,-14.06,-27.37,-1.06,0.25,0.69,-0.05302465599761844,-0.01394259986628077,0.022254566976798174,-40.999096985270164,-2.3951379752687134,-129.21728949054744,-0.2466,-0.3502,-0.0209,-0.9034,0
824111.0,784.022929,1.0,6.1,2.15,7.27,-18.19,-14.06,-27.37,0.37,0.37,1.31,-0.11432916131835402,0.06622315711846305,0.07690471369709684,-40.999096985270164,-2.372214704126748,-129.21728949054744,-0.2463,-0.3502,-0.0207,-0.9034,0
824111.0,784.022929,1.0,6.1,2.15,7.27,-18.19,-14.06,-27.37,0.37,0.37,1.31,-0.11432916131835402,0.06622315711846305,0.07690471369709684,-40.999096985270164,-2.372214704126748,-129.21728949054744,-0.2463,-0.3502,-0.0207,-0.9034,0
824145.0,784.062173,1.0,5.99,1.98,7.3,-16.69,-14.06,-27.37,2.31,-0.81,0.81,0.05410873682921424,-0.028463079916165146,0.15850188247607555,-41.03580078188174,-2.3951379752687134,-129.21728949054744,-0.246,-0.3505,-0.0209,-0.9034,0
824145.0,784.062173,1.0,5.99,1.98,7.3,-16.69,-14.06,-27.37,2.31,-0.81,0.81,0.05410873682921424,-0.028463079916165146,0.15850188247607555,-41.03580078188174,-2.3951379752687134,-129.21728949054744,-0.246,-0.3505,-0.0209,-0.9034,0
824180.0,784.128021,1.0,5.99,1.91,7.45,-17.87,-15.56,-26.56,-0.19,0.94,0.63,0.17464055347823124,-0.07092219423539037,0.06010339520475583,-40.999096985270164,-2.4065996467302937,-129.27076347961943,-0.2457,-0.3502,-0.021,-0.9036,0
824180.0,784.128021,1.0,5.99,1.91,7.45,-17.87,-15.56,-26.56,-0.19,0.94,0.63,0.17464055347823124,-0.07092219423539037,0.06010339520475583,-40.999096985270164,-2.4065996467302937,-129.27076347961943,-0.2457,-0.3502,-0.021,-0.9036,0
824217.0,784.168025,1.0,6.14,1.97,7.31,-17.87,-15.56,-26.56,-0.31,0.25,1.19,-0.04090742321021775,-0.10359109473804773,0.059640434609328,-40.974630229445324,-2.3951379752687134,-129.29752022162853,-0.2455,-0.35,-0.0209,-0.9037,0
