TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1059178.0,833.644434,1.0,1.63,2.71,-9.45,4.69,20.19,23.19,-0.19,0.31,-0.81,0.03190402740243373,0.08760677416171747,-0.1580279770425328,-57.54068306215137,-118.88063215220505,-18.84344630604392,0.0087,-0.4813,-0.8611,-0.1637,0
1059178.0,833.644434,1.0,1.63,2.71,-9.45,4.69,20.19,23.19,-0.19,0.31,-0.81,0.03190402740243373,0.08760677416171747,-0.1580279770425328,-57.54068306215137,-118.88063215220505,-18.84344630604392,0.0087,-0.4813,-0.8611,-0.1637,0
1059215.0,833.657413,1.0,1.69,2.63,-9.57,6.56,21.69,23.56,0.63,0.69,-0.19,-0.0738803316638501,0.1057758303592955,-0.2601892840208322,-57.54068306215137,-118.88063215220505,-18.785369486689323,0.009,-0.4813,-0.8611,-0.1632,0
1059215.0,833.657413,1.0,1.69,2.63,-9.57,6.56,21.69,23.56,0.63,0.69,-0.19,-0.0738803316638501,0.1057758303592955,-0.2601892840208322,-57.54068306215137,-118.88063215220505,-18.785369486689323,0.009,-0.4813,-0.8611,-0.1632,0
1059250.0,833.660575,1.0,1.7,2.79,-9.41,5.5,20.56,23.56,-1.12,-0.5,0.44,0.07097545151258831,-0.020278811905038108,-0.15411057613425072,-57.54068306215137,-118.88063215220505,-18.831830551914916,0.0089,-0.4813,-0.8611,-0.1636,0
1059250.0,833.660575,1.0,1.7,2.79,-9.41,5.5,20.56,23.56,-1.12,-0.5,0.44,0.07097545151258831,-0.020278811905038108,-0.15411057613425072,-57.54068306215137,-118.88063215220505,-18.831830551914916,0.0089,-0.4813,-0.8611,-0.1636,0
1059284.0,833.664058,1.0,1.69,2.73,-9.46,5.5,20.56,23.56,-1.44,-1.37,-0.56,0.01856417782767067,0.028805504768982138,-0.183316246899766,-57.54068306215137,-118.88063215220505,-18.820214993044136,0.0088,-0.4813,-0.8611,-0.1635,0
1059284.0,833.664058,1.0,1.69,2.73,-9.46,5.5,20.56,23.56,-1.44,-1.37,-0.56,0.01856417782767067,0.028805504768982138,-0.183316246899766,-57.54068306215137,-118.88063215220505,-18.820214993044136,0.0088,-0.4813,-0.8611,-0.1635,0
1059319.0,833.724165,1.0,1.68,2.63,-9.55,5.88,21.37,22.37,2.19,-0.25,-0.06,-0.07089229543907667,0.10501187820233304,-0.23953070651149844,-57.54068306215137,-118.90317397360042,-18.785369486689323,0.0087,-0.4813,-0.8612,-0.1632,0
1059319.0,833.724165,1.0,1.68,2.63,-9.55,5.88,21.37,22.37,2.19,-0.25,-0.06,-0.07089229543907667,0.10501187820233304,-0.23953070651149844,-57.54068306215137,-118.90317397360042,-18.785369486689323,0.0087,-0.4813,-0.8612,-0.1632,0
1059354.0,833.727414,1.0,1.64,2.65,-9.4,6.56,21.0,23.19,0.81,-0.69,-0.19,-0.012987408510759316,0.079650147539436,-0.09615703544288756,-57.54068306215137,-118.90317397360042,-18.762140123042595,0.0085,-0.4813,-0.8612,-0.163,0
1059354.0,833.727414,1.0,1.64,2.65,-9.4,6.56,21.0,23.19,0.81,-0.69,-0.19,-0.012987408510759316,0.079650147539436,-0.09615703544288756,-57.54068306215137,-118.90317397360042,-18.762140123042595,0.0085,-0.4813,-0.8612,-0.163,0
1059389.0,833.764966,1.0,1.62,2.56,-9.38,6.56,21.0,23.19,0.81,-0.44,-0.69,-0.06972845096064523,0.12945924214492877,-0.04935214325006676,-57.54068306215137,-118.92572331092977,-18.72729753587516,0.0086,-0.4813,-0.8613,-0.1627,0
1059389.0,833.764966,1.0,1.62,2.56,-9.38,6.56,21.0,23.19,0.81,-0.44,-0.69,-0.06972845096064523,0.12945924214492877,-0.04935214325006676,-57.54068306215137,-118.92572331092977,-18.72729753587516,0.0086,-0.4813,-0.8613,-0.1627,0
1059424.0,833.783233,1.0,1.61,2.82,-9.4,6.19,21.0,23.06,-3.94,-0.69,-0.12,0.14569252097714513,0.018219867383418853,-0.13734023158026964,-57.579905543790595,-118.88063215220505,-18.738911537329376,0.0084,-0.4816,-0.8611,-0.1628,0
1059424.0,833.783233,1.0,1.61,2.82,-9.4,6.19,21.0,23.06,-3.94,-0.69,-0.12,0.14569252097714513,0.018219867383418853,-0.13734023158026964,-57.579905543790595,-118.88063215220505,-18.738911537329376,0.0084,-0.4816,-0.8611,-0.1628,0
1059459.0,833.840044,1.0,1.66,2.74,-9.35,5.88,21.0,23.19,2.0,1.19,-0.94,0.06842638736707476,-0.0008391876891005179,-0.07672073701456839,-57.55375640336801,-118.92572331092977,-18.704070115126306,0.0088,-0.4814,-0.8613,-0.1625,0
1059459.0,833.840044,1.0,1.66,2.74,-9.35,5.88,21.0,23.19,2.0,1.19,-0.94,0.06842638736707476,-0.0008391876891005179,-0.07672073701456839,-57.55375640336801,-118.92572331092977,-18.704070115126306,0.0088,-0.4814,-0.8613,-0.1625,0
1059493.0,833.857742,1.0,1.75,2.73,-9.52,5.88,20.56,24.0,-0.81,0.56,-0.56,-0.009258703548976621,-0.014958995500866878,-0.25046143941749577,-57.54068306215137,-118.92572331092977,-18.72729753587516,0.0091,-0.4813,-0.8613,-0.1627,0
1059493.0,833.857742,1.0,1.75,2.73,-9.52,5.88,20.56,24.0,-0.81,0.56,-0.56,-0.009258703548976621,-0.014958995500866878,-0.25046143941749577,-57.54068306215137,-118.92572331092977,-18.72729753587516,0.0091,-0.4813,-0.8613,-0.1627,0
1059530.0,833.938873,1.0,1.62,2.58,-9.49,5.88,20.56,24.0,1.19,-1.5,-0.94,-0.0656507040045338,0.14847307456874703,-0.15901835346189053,-57.51453883608689,-118.9708445669936,-18.704070115126306,0.0087,-0.4811,-0.8615,-0.1625,0
1059530.0,833.938873,1.0,1.62,2.58,-9.49,5.88,20.56,24.0,1.19,-1.5,-0.94,-0.0656507040045338,0.14847307456874703,-0.15901835346189053,-57.51453883608689,-118.9708445669936,-18.704070115126306,0.0087,-0.4811,-0.8615,-0.1625,0
1059565.0,833.996958,1.0,1.57,2.65,-9.53,6.19,21.37,23.56,0.37,0.0,-0.25,0.008373282822141004,0.1692537809920056,-0.2073193950877812,-57.51453883608689,-118.94828017259013,-18.72729753587516,0.0085,-0.4811,-0.8614,-0.1627,0
1059565.0,833.996958,1.0,1.57,2.65,-9.53,6.19,21.37,23.56,0.37,0.0,-0.25,0.008373282822141004,0.1692537809920056,-0.2073193950877812,-57.51453883608689,-118.94828017259013,-18.72729753587516,0.0085,-0.4811,-0.8614,-0.1627,0
