TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1468450.0,1426.044938,1.0,9.58,0.98,2.03,19.69,21.56,41.0,-0.06,0.75,0.37,-0.07083421852297267,0.27849026613094496,-0.030784913896843236,-61.24774461015986,-41.133699099479514,-86.67586147437743,0.3821,-0.5094,-0.3513,-0.6863,0
1468450.0,1426.044938,1.0,9.58,0.98,2.03,19.69,21.56,41.0,-0.06,0.75,0.37,-0.07083421852297267,0.27849026613094496,-0.030784913896843236,-61.24774461015986,-41.133699099479514,-86.67586147437743,0.3821,-0.5094,-0.3513,-0.6863,0
1468485.0,1426.083517,1.0,9.53,1.03,2.24,18.56,21.56,42.56,-0.5,1.44,0.75,0.0715517577958773,0.11262749230270441,-0.036194883159232916,-61.234428672679336,-41.133699099479514,-86.69161784271962,0.3822,-0.5093,-0.3513,-0.6864,0
1468485.0,1426.083517,1.0,9.53,1.03,2.24,18.56,21.56,42.56,-0.5,1.44,0.75,0.0715517577958773,0.11262749230270441,-0.036194883159232916,-61.234428672679336,-41.133699099479514,-86.69161784271962,0.3822,-0.5093,-0.3513,-0.6864,0
1468522.0,1426.156681,1.0,9.54,1.01,2.17,17.87,21.56,41.0,0.63,0.06,-0.44,0.01979388320904585,0.16548231559485993,-0.027617832706861023,-61.22111365086855,-41.14593859433644,-86.69161784271962,0.3822,-0.5092,-0.3514,-0.6864,0
1468522.0,1426.156681,1.0,9.54,1.01,2.17,17.87,21.56,41.0,0.63,0.06,-0.44,0.01979388320904585,0.16548231559485993,-0.027617832706861023,-61.22111365086855,-41.14593859433644,-86.69161784271962,0.3822,-0.5092,-0.3514,-0.6864,0
1468557.0,1426.174494,1.0,9.57,1.0,2.07,17.87,21.56,41.0,-0.12,-2.81,-1.31,-0.036500508777619345,0.23895648768363786,-0.03262677778468159,-61.26106146367893,-41.20714343304567,-86.64435486876549,0.3819,-0.5095,-0.3519,-0.6861,0
1468557.0,1426.174494,1.0,9.57,1.0,2.07,17.87,21.56,41.0,-0.12,-2.81,-1.31,-0.036500508777619345,0.23895648768363786,-0.03262677778468159,-61.26106146367893,-41.20714343304567,-86.64435486876549,0.3819,-0.5095,-0.3519,-0.6861,0
1468592.0,1426.215589,1.0,9.48,0.93,2.25,19.69,21.19,42.25,0.63,-2.69,-0.63,0.0006846165560514539,0.004675196297551976,0.019016083989461308,-61.367629313530685,-41.31734313597096,-86.54988402192322,0.3811,-0.5103,-0.3528,-0.6855,0
1468592.0,1426.215589,1.0,9.48,0.93,2.25,19.69,21.19,42.25,0.63,-2.69,-0.63,0.0006846165560514539,0.004675196297551976,0.019016083989461308,-61.367629313530685,-41.31734313597096,-86.54988402192322,0.3811,-0.5103,-0.3528,-0.6855,0
1468626.0,1426.232249,1.0,9.46,0.96,2.36,18.56,21.56,42.56,-0.37,-2.0,-0.12,0.08247077120440305,-0.08973899115897122,0.010326940537192186,-61.40760741658022,-41.34183738204944,-86.50267609022359,0.3809,-0.5106,-0.353,-0.6852,0
1468626.0,1426.232249,1.0,9.46,0.96,2.36,18.56,21.56,42.56,-0.37,-2.0,-0.12,0.08247077120440305,-0.08973899115897122,0.010326940537192186,-61.40760741658022,-41.34183738204944,-86.50267609022359,0.3809,-0.5106,-0.353,-0.6852,0
1468661.0,1426.27122,1.0,9.6,1.06,1.96,18.56,21.56,42.56,0.0,0.06,0.19,-0.027210394465435384,0.32114146008318833,-0.04329049510192107,-61.434264087050586,-41.36633360366066,-86.48694417859592,0.3807,-0.5108,-0.3532,-0.6851,0
1468661.0,1426.27122,1.0,9.6,1.06,1.96,18.56,21.56,42.56,0.0,0.06,0.19,-0.027210394465435384,0.32114146008318833,-0.04329049510192107,-61.434264087050586,-41.36633360366066,-86.48694417859592,0.3807,-0.5108,-0.3532,-0.6851,0
1468696.0,1426.289535,1.0,9.4,0.95,2.26,19.69,21.87,42.25,2.5,-2.69,-0.56,0.045051205647922865,-0.04054182928747774,0.09241164854146966,-61.47425600283563,-41.45208595969683,-86.4083150637589,0.3805,-0.5111,-0.3539,-0.6846,0
1468696.0,1426.289535,1.0,9.4,0.95,2.26,19.69,21.87,42.25,2.5,-2.69,-0.56,0.045051205647922865,-0.04054182928747774,0.09241164854146966,-61.47425600283563,-41.45208595969683,-86.4083150637589,0.3805,-0.5111,-0.3539,-0.6846,0
1468733.0,1426.403039,1.0,9.46,1.01,2.32,19.0,21.56,42.25,1.06,3.94,0.75,0.10609685596693263,-0.05017870854490791,0.014800044329582818,-61.40760741658022,-41.47659109099214,-86.42403683122414,0.3809,-0.5106,-0.3541,-0.6847,0
1468733.0,1426.403039,1.0,9.46,1.01,2.32,19.0,21.56,42.25,1.06,3.94,0.75,0.10609685596693263,-0.05017870854490791,0.014800044329582818,-61.40760741658022,-41.47659109099214,-86.42403683122414,0.3809,-0.5106,-0.3541,-0.6847,0
1468766.0,1426.449057,1.0,9.64,0.97,2.01,19.0,21.56,42.25,1.12,4.5,1.0,-0.1030356123237024,0.25224027763343493,-0.08457633978883905,-61.301017524157785,-41.43983413767325,-86.48694417859592,0.3817,-0.5098,-0.3538,-0.6851,0
1468766.0,1426.449057,1.0,9.64,0.97,2.01,19.0,21.56,42.25,1.12,4.5,1.0,-0.1030356123237024,0.25224027763343493,-0.08457633978883905,-61.301017524157785,-41.43983413767325,-86.48694417859592,0.3817,-0.5098,-0.3538,-0.6851,0
1468801.0,1426.461461,1.0,9.5,1.05,2.18,20.06,21.87,42.25,0.37,-1.88,-0.94,0.0672004965616404,0.11558922227494972,0.004251149465721582,-61.301017524157785,-41.45208595969683,-86.47121429796438,0.3817,-0.5098,-0.3539,-0.685,0
1468801.0,1426.461461,1.0,9.5,1.05,2.18,20.06,21.87,42.25,0.37,-1.88,-0.94,0.0672004965616404,0.11558922227494972,0.004251149465721582,-61.301017524157785,-41.45208595969683,-86.47121429796438,0.3817,-0.5098,-0.3539,-0.685,0
1468835.0,1426.470805,1.0,9.54,1.0,2.17,19.0,21.56,42.56,1.25,2.19,0.44,0.00415236575142619,0.11300744762457215,-0.027357935457446914,-61.234428672679336,-41.46433827740303,-86.48694417859592,0.3819,-0.5093,-0.354,-0.6851,0
1468835.0,1426.470805,1.0,9.54,1.0,2.17,19.0,21.56,42.56,1.25,2.19,0.44,0.00415236575142619,0.11300744762457215,-0.027357935457446914,-61.234428672679336,-41.46433827740303,-86.48694417859592,0.3819,-0.5093,-0.354,-0.6851,0
1468870.0,1426.511917,1.0,9.49,0.94,2.25,19.0,21.56,42.56,0.31,0.75,0.25,-0.008846035106934824,0.012422350134356552,0.00838650931553886,-61.19448635278198,-41.46433827740303,-86.50267609022359,0.3821,-0.509,-0.354,-0.6852,0
1468870.0,1426.511917,1.0,9.49,0.94,2.25,19.0,21.56,42.56,0.31,0.75,0.25,-0.008846035106934824,0.012422350134356552,0.00838650931553886,-61.19448635278198,-41.46433827740303,-86.50267609022359,0.3821,-0.509,-0.354,-0.6852,0
1468905.0,1426.532678,1.0,9.82,1.35,2.01,19.69,21.87,42.25,-1.0,1.69,0.37,0.18504220119740133,0.4658238344366681,-0.2950215220327177,-61.181174075769505,-41.46433827740303,-86.53414601080243,0.3821,-0.5089,-0.354,-0.6854,0
1468905.0,1426.532678,1.0,9.82,1.35,2.01,19.69,21.87,42.25,-1.0,1.69,0.37,0.18504220119740133,0.4658238344366681,-0.2950215220327177,-61.181174075769505,-41.46433827740303,-86.53414601080243,0.3821,-0.5089,-0.354,-0.6854,0
1468942.0,1426.585042,1.0,10.2,1.6,1.74,18.19,22.25,42.25,0.81,0.56,-4.56,0.1962973300919646,0.8707183270896324,-0.6255557568411181,-61.08801371359054,-41.550118397289665,-86.58136615125805,0.3816,-0.5082,-0.3547,-0.6857,0
1468942.0,1426.585042,1.0,10.2,1.6,1.74,18.19,22.25,42.25,0.81,0.56,-4.56,0.1962973300919646,0.8707183270896324,-0.6255557568411181,-61.08801371359054,-41.550118397289665,-86.58136615125805,0.3816,-0.5082,-0.3547,-0.6857,0
1468977.0,1426.588038,1.0,11.04,1.65,0.78,19.37,22.25,43.38,2.19,-15.06,-10.94,-0.35518824988117204,1.7962854696506592,-1.2323580994022425,-61.114626396297396,-41.93029563540066,-86.45548644724632,0.3799,-0.5084,-0.3578,-0.6849,0
1468977.0,1426.588038,1.0,11.04,1.65,0.78,19.37,22.25,43.38,2.19,-15.06,-10.94,-0.35518824988117204,1.7962854696506592,-1.2323580994022425,-61.114626396297396,-41.93029563540066,-86.45548644724632,0.3799,-0.5084,-0.3578,-0.6849,0
1469009.0,1426.625869,1.0,11.63,3.55,0.25,19.37,22.25,43.38,-9.69,-32.88,-13.5,0.9844833201660159,2.983111923087226,-1.942977051385494,-61.9013549664198,-42.51991407307619,-86.01592640293836,0.3724,-0.5143,-0.3626,-0.6821,0
1469009.0,1426.625869,1.0,11.63,3.55,0.25,19.37,22.25,43.38,-9.69,-32.88,-13.5,0.9844833201660159,2.983111923087226,-1.942977051385494,-61.9013549664198,-42.51991407307619,-86.01592640293836,0.3724,-0.5143,-0.3626,-0.6821,0
1469046.0,1426.644453,1.0,12.84,4.55,-1.21,19.37,22.25,43.5,65.31,-80.56,3.06,1.201232526656423,4.443302781043064,-3.0714826601676855,-62.86584483464826,-44.122802699784934,-84.22677998503734,0.3704,-0.5215,-0.3756,-0.6706,0
1469046.0,1426.644453,1.0,12.84,4.55,-1.21,19.37,22.25,43.5,65.31,-80.56,3.06,1.201232526656423,4.443302781043064,-3.0714826601676855,-62.86584483464826,-44.122802699784934,-84.22677998503734,0.3704,-0.5215,-0.3756,-0.6706,0
1469083.0,1426.69423,1.0,14.78,2.07,-4.46,20.06,24.19,43.38,74.12,-104.44,-18.62,-2.1377700448977475,5.589169700383451,-4.574449446685344,-63.889331204462884,-48.42223359833176,-79.85234457633115,0.374,-0.5291,-0.4101,-0.6418,0
1469083.0,1426.69423,1.0,14.78,2.07,-4.46,20.06,24.19,43.38,74.12,-104.44,-18.62,-2.1377700448977475,5.589169700383451,-4.574449446685344,-63.889331204462884,-48.42223359833176,-79.85234457633115,0.374,-0.5291,-0.4101,-0.6418,0
1469118.0,1426.742447,1.0,12.81,3.55,-0.14,20.06,24.19,43.38,-6.19,-128.19,-46.81,1.204799450705025,1.2185244576851075,-3.375984654332349,-65.8990509847622,-50.79554323372684,-77.70240232798936,0.356,-0.5439,-0.4289,-0.6273,0
1469118.0,1426.742447,1.0,12.81,3.55,-0.14,20.06,24.19,43.38,-6.19,-128.19,-46.81,1.204799450705025,1.2185244576851075,-3.375984654332349,-65.8990509847622,-50.79554323372684,-77.70240232798936,0.356,-0.5439,-0.4289,-0.6273,0
1469153.0,1426.802655,1.0,11.28,4.38,1.57,18.56,31.56,43.75,40.5,-126.69,-42.31,2.8974885506155523,-1.0951675362921676,-1.995589963943429,-68.44387353354183,-54.12986845766676,-74.71696010988838,0.3295,-0.5624,-0.455,-0.6068,0
1469153.0,1426.802655,1.0,11.28,4.38,1.57,18.56,31.56,43.75,40.5,-126.69,-42.31,2.8974885506155523,-1.0951675362921676,-1.995589963943429,-68.44387353354183,-54.12986845766676,-74.71696010988838,0.3295,-0.5624,-0.455,-0.6068,0
1469188.0,1426.911673,1.0,11.99,3.29,0.01,13.0,33.38,45.25,49.56,-96.31,-59.25,1.0776080527885026,-1.1518001889109613,-2.5260876202281235,-69.26352892437745,-58.09047248173242,-71.95960119494846,0.31,-0.5683,-0.4855,-0.5875,0
1469188.0,1426.911673,1.0,11.99,3.29,0.01,13.0,33.38,45.25,49.56,-96.31,-59.25,1.0776080527885026,-1.1518001889109613,-2.5260876202281235,-69.26352892437745,-58.09047248173242,-71.95960119494846,0.31,-0.5683,-0.4855,-0.5875,0
1469227.0,1426.977855,1.0,11.61,3.88,-0.8,5.75,36.56,49.06,33.69,-70.5,-66.25,1.107635259009742,-0.7322538709182904,-2.388572359658868,-69.44467449288967,-60.35758382043169,-71.1967628126257,0.2898,-0.5696,-0.5027,-0.5821,0
1469227.0,1426.977855,1.0,11.61,3.88,-0.8,5.75,36.56,49.06,33.69,-70.5,-66.25,1.107635259009742,-0.7322538709182904,-2.388572359658868,-69.44467449288967,-60.35758382043169,-71.1967628126257,0.2898,-0.5696,-0.5027,-0.5821,0
1469259.0,1427.038074,1.0,11.13,3.93,-1.24,5.75,36.56,49.06,32.81,-77.56,-75.06,0.7984565348037971,-1.0296546064846095,-1.9900308278165326,-69.26352892437745,-64.07848807925822,-69.27745617086707,0.2692,-0.5683,-0.5305,-0.5684,0
1469259.0,1427.038074,1.0,11.13,3.93,-1.24,5.75,36.56,49.06,32.81,-77.56,-75.06,0.7984565348037971,-1.0296546064846095,-1.9900308278165326,-69.26352892437745,-64.07848807925822,-69.27745617086707,0.2692,-0.5683,-0.5305,-0.5684,0
1469296.0,1427.09603,1.0,10.07,3.05,-1.31,-4.06,32.75,52.69,23.06,-84.37,-80.0,-0.016105141807978063,-1.4878101892139735,-0.6914289416577777,-69.04085162488089,-67.02240272652745,-67.71095944217275,0.2523,-0.5667,-0.5521,-0.5571,0
1469296.0,1427.09603,1.0,10.07,3.05,-1.31,-4.06,32.75,52.69,23.06,-84.37,-80.0,-0.016105141807978063,-1.4878101892139735,-0.6914289416577777,-69.04085162488089,-67.02240272652745,-67.71095944217275,0.2523,-0.5667,-0.5521,-0.5571,0
