TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1867433.0,1809.371739,1.0,1.38,-1.51,-9.63,20.19,4.0,27.06,0.44,0.44,-0.88,-0.058201363819382304,-0.0403893119821368,-0.03796179045305159,-81.35490406773994,-97.45833109591425,1.3407518310456548,0.1002,-0.6518,-0.7516,0.0117,0
1867433.0,1809.371739,1.0,1.38,-1.51,-9.63,20.19,4.0,27.06,0.44,0.44,-0.88,-0.058201363819382304,-0.0403893119821368,-0.03796179045305159,-81.35490406773994,-97.45833109591425,1.3407518310456548,0.1002,-0.6518,-0.7516,0.0117,0
1867468.0,1809.40932,1.0,1.35,-1.53,-9.58,20.19,4.0,27.06,0.56,-0.88,-1.0,-0.08269183481632335,-0.01583850662593933,0.012125447875860118,-81.3246878357526,-97.49308186392096,1.3522117780748235,0.1001,-0.6516,-0.7518,0.0118,0
1867468.0,1809.40932,1.0,1.35,-1.53,-9.58,20.19,4.0,27.06,0.56,-0.88,-1.0,-0.08269183481632335,-0.01583850662593933,0.012125447875860118,-81.3246878357526,-97.49308186392096,1.3522117780748235,0.1001,-0.6516,-0.7518,0.0118,0
1867503.0,1809.412347,1.0,1.25,-1.58,-9.59,18.0,5.06,25.5,0.37,-1.19,-0.69,-0.11623688360039702,0.08456792212445186,0.008367637593904576,-81.29447844633472,-97.52784465140512,1.3865917007687605,0.0999,-0.6514,-0.752,0.0121,0
1867503.0,1809.412347,1.0,1.25,-1.58,-9.59,18.0,5.06,25.5,0.37,-1.19,-0.69,-0.11623688360039702,0.08456792212445186,0.008367637593904576,-81.29447844633472,-97.52784465140512,1.3865917007687605,0.0999,-0.6514,-0.752,0.0121,0
1867538.0,1809.439315,1.0,1.37,-1.45,-9.59,19.06,5.06,26.25,-0.06,1.12,0.06,-0.004747713421311098,-0.05017614129128445,0.01150018929968688,-81.29447844633472,-97.52784465140512,1.3751317128217122,0.1,-0.6514,-0.752,0.012,0
1867538.0,1809.439315,1.0,1.37,-1.45,-9.59,19.06,5.06,26.25,-0.06,1.12,0.06,-0.004747713421311098,-0.05017614129128445,0.01150018929968688,-81.29447844633472,-97.52784465140512,1.3751317128217122,0.1,-0.6514,-0.752,0.012,0
1867575.0,1809.558307,1.0,1.29,-1.38,-9.45,17.56,4.25,27.75,-0.5,-0.94,-0.75,0.050757738901615154,0.0023103330722973325,0.16982384642107995,-81.27937631548129,-97.5452305573509,1.3751317128217122,0.1,-0.6513,-0.7521,0.012,0
1867575.0,1809.558307,1.0,1.29,-1.38,-9.45,17.56,4.25,27.75,-0.5,-0.94,-0.75,0.050757738901615154,0.0023103330722973325,0.16982384642107995,-81.27937631548129,-97.5452305573509,1.3751317128217122,0.1,-0.6513,-0.7521,0.012,0
1867610.0,1809.569265,1.0,1.22,-1.53,-9.56,17.56,4.25,27.75,2.0,0.19,-0.63,-0.05896596619490596,0.1044861079540087,0.049165402621669685,-81.24917717727452,-97.56261947404963,1.4209717482803246,0.1003,-0.6511,-0.7522,0.0124,0
1867610.0,1809.569265,1.0,1.22,-1.53,-9.56,17.56,4.25,27.75,2.0,0.19,-0.63,-0.05896596619490596,0.1044861079540087,0.049165402621669685,-81.24917717727452,-97.56261947404963,1.4209717482803246,0.1003,-0.6511,-0.7522,0.0124,0
1867646.0,1809.691991,1.0,1.3,-1.41,-9.64,19.87,4.69,26.69,0.31,1.19,0.31,0.06532657628299368,0.017744652497661106,-0.022038496729303247,-81.24917717727452,-97.56261947404963,1.432431792389882,0.1005,-0.6511,-0.7522,0.0125,0
1867646.0,1809.691991,1.0,1.3,-1.41,-9.64,19.87,4.69,26.69,0.31,1.19,0.31,0.06532657628299368,0.017744652497661106,-0.022038496729303247,-81.24917717727452,-97.56261947404963,1.432431792389882,0.1005,-0.6511,-0.7522,0.0125,0
1867681.0,1809.707616,1.0,1.32,-1.59,-9.48,18.37,4.69,26.69,2.69,1.56,-0.25,-0.1326719769045547,0.013815402422954093,0.10494358920812452,-81.24917717727452,-97.56261947404963,1.432431792389882,0.101,-0.6511,-0.7522,0.0125,0
1867681.0,1809.707616,1.0,1.32,-1.59,-9.48,18.37,4.69,26.69,2.69,1.56,-0.25,-0.1326719769045547,0.013815402422954093,0.10494358920812452,-81.24917717727452,-97.56261947404963,1.432431792389882,0.101,-0.6511,-0.7522,0.0125,0
1867714.0,1809.710751,1.0,1.29,-1.47,-9.6,18.37,4.69,26.69,0.63,1.0,-0.25,0.01645274311709108,0.04767556397556705,0.009586340523066283,-81.24917717727452,-97.5452305573509,1.4209717482803246,0.1016,-0.6511,-0.7521,0.0124,0
1867714.0,1809.710751,1.0,1.29,-1.47,-9.6,18.37,4.69,26.69,0.63,1.0,-0.25,0.01645274311709108,0.04767556397556705,0.009586340523066283,-81.24917717727452,-97.5452305573509,1.4209717482803246,0.1016,-0.6511,-0.7521,0.0124,0
1867749.0,1809.713893,1.0,1.27,-1.58,-9.67,18.75,5.06,26.69,2.56,0.69,-0.56,-0.061103551208608234,0.09269148288990803,-0.07291854548969745,-81.21898486479368,-97.5452305573509,1.4782721132478738,0.1022,-0.6509,-0.7521,0.0129,0
1867749.0,1809.713893,1.0,1.27,-1.58,-9.67,18.75,5.06,26.69,2.56,0.69,-0.56,-0.061103551208608234,0.09269148288990803,-0.07291854548969745,-81.21898486479368,-97.5452305573509,1.4782721132478738,0.1022,-0.6509,-0.7521,0.0129,0
1867786.0,1809.716902,1.0,1.26,-1.46,-9.51,18.75,4.25,26.25,3.25,0.5,-0.25,0.042269647215326694,0.06380468000039285,0.10338033252531353,-81.21898486479368,-97.5452305573509,1.535572847865537,0.1026,-0.6509,-0.7521,0.0134,0
1867786.0,1809.716902,1.0,1.26,-1.46,-9.51,18.75,4.25,26.25,3.25,0.5,-0.25,0.042269647215326694,0.06380468000039285,0.10338033252531353,-81.21898486479368,-97.5452305573509,1.535572847865537,0.1026,-0.6509,-0.7521,0.0134,0
1867819.0,1809.75463,1.0,1.3,-1.39,-9.58,18.75,4.25,26.25,5.88,1.06,-1.19,0.14232404639018018,0.0232943536414163,0.040499210722396484,-81.17370917960935,-97.5452305573509,1.627254827906764,0.1036,-0.6506,-0.7521,0.0142,0
1867819.0,1809.75463,1.0,1.3,-1.39,-9.58,18.75,4.25,26.25,5.88,1.06,-1.19,0.14232404639018018,0.0232943536414163,0.040499210722396484,-81.17370917960935,-97.5452305573509,1.627254827906764,0.1036,-0.6506,-0.7521,0.0142,0
1867853.0,1809.770479,1.0,1.44,-1.53,-9.86,18.37,5.06,26.25,12.94,0.25,-2.06,0.10666549730380846,-0.05881085578099632,-0.2739880628870548,-81.05304885614036,-97.59740634756899,1.8908465277120163,0.1063,-0.6498,-0.7524,0.0165,0
1867853.0,1809.770479,1.0,1.44,-1.53,-9.86,18.37,5.06,26.25,12.94,0.25,-2.06,0.10666549730380846,-0.05881085578099632,-0.2739880628870548,-81.05304885614036,-97.59740634756899,1.8908465277120163,0.1063,-0.6498,-0.7524,0.0165,0
1867888.0,1809.804755,1.0,1.3,-1.9,-9.53,17.56,5.06,27.75,9.69,0.63,-2.69,-0.23803374088820836,0.09083693826797767,0.005834289619315314,-80.94756010432138,-97.64960928769193,2.1544482337672353,0.1082,-0.6491,-0.7527,0.0188,0
1867888.0,1809.804755,1.0,1.3,-1.9,-9.53,17.56,5.06,27.75,9.69,0.63,-2.69,-0.23803374088820836,0.09083693826797767,0.005834289619315314,-80.94756010432138,-97.64960928769193,2.1544482337672353,0.1082,-0.6491,-0.7527,0.0188,0
1867925.0,1809.812008,1.0,1.34,-1.75,-9.56,19.87,5.5,27.87,5.88,0.12,-0.5,-0.0507420952811814,0.029640204160746086,-0.003969078226601752,-80.87226170457618,-97.68442635735761,2.3263684457528235,0.1097,-0.6486,-0.7529,0.0203,0
1867925.0,1809.812008,1.0,1.34,-1.75,-9.56,19.87,5.5,27.87,5.88,0.12,-0.5,-0.0507420952811814,0.029640204160746086,-0.003969078226601752,-80.87226170457618,-97.68442635735761,2.3263684457528235,0.1097,-0.6486,-0.7529,0.0203,0
1867958.0,1809.86213,1.0,1.22,-1.89,-9.41,19.87,5.5,27.87,6.81,-0.94,-0.56,-0.1685299503229392,0.14714819942030521,0.13408337767831746,-80.8271028985237,-97.70183943099725,2.4753701852018106,0.1107,-0.6483,-0.753,0.0216,0
1867958.0,1809.86213,1.0,1.22,-1.89,-9.41,19.87,5.5,27.87,6.81,-0.94,-0.56,-0.1685299503229392,0.14714819942030521,0.13408337767831746,-80.8271028985237,-97.70183943099725,2.4753701852018106,0.1107,-0.6483,-0.753,0.0216,0
1867995.0,1810.001497,1.0,1.26,-1.88,-9.4,18.37,4.69,26.69,3.81,1.88,0.81,-0.13316943766571487,0.10569276202784128,0.13953590421491135,-80.8120533305175,-97.68442635735761,2.601451839540937,0.112,-0.6482,-0.7529,0.0227,0
1867995.0,1810.001497,1.0,1.26,-1.88,-9.4,18.37,4.69,26.69,3.81,1.88,0.81,-0.13316943766571487,0.10569276202784128,0.13953590421491135,-80.8120533305175,-97.68442635735761,2.601451839540937,0.112,-0.6482,-0.7529,0.0227,0
1868029.0,1810.055056,1.0,1.32,-1.86,-9.44,19.06,6.19,28.25,2.38,2.13,0.69,-0.09786193470590066,0.05615115611011057,0.09568351414478649,-80.8271028985237,-97.64960928769193,2.6243761106355543,0.1129,-0.6483,-0.7527,0.0229,0
1868029.0,1810.055056,1.0,1.32,-1.86,-9.44,19.06,6.19,28.25,2.38,2.13,0.69,-0.09786193470590066,0.05615115611011057,0.09568351414478649,-80.8271028985237,-97.64960928769193,2.6243761106355543,0.1129,-0.6483,-0.7527,0.0229,0
1868062.0,1810.06199,1.0,1.32,-1.93,-9.5,19.06,6.19,28.25,1.56,1.75,1.25,-0.1359829468439154,0.08046198696139961,0.024404117442051287,-80.84215414965239,-97.58001140346656,2.658762714530565,0.1138,-0.6484,-0.7523,0.0232,0
1868062.0,1810.06199,1.0,1.32,-1.93,-9.5,19.06,6.19,28.25,1.56,1.75,1.25,-0.1359829468439154,0.08046198696139961,0.024404117442051287,-80.84215414965239,-97.58001140346656,2.658762714530565,0.1138,-0.6484,-0.7523,0.0232,0
