TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1836869.0,1778.730129,1.0,5.32,-2.43,-7.84,-6.5,10.25,28.87,-2.5,-3.19,-0.25,0.03741327489363855,0.14453993609731652,0.026537094019072782,-85.89062667972252,-82.18855815257656,-13.668786527863627,0.2994,-0.6813,-0.6573,-0.119,0
1836869.0,1778.730129,1.0,5.32,-2.43,-7.84,-6.5,10.25,28.87,-2.5,-3.19,-0.25,0.03741327489363855,0.14453993609731652,0.026537094019072782,-85.89062667972252,-82.18855815257656,-13.668786527863627,0.2994,-0.6813,-0.6573,-0.119,0
1836904.0,1778.769814,1.0,5.36,-2.45,-7.82,-5.38,9.88,28.87,-0.56,0.37,0.25,0.0138821052626098,0.09714266784015324,0.015078594488093344,-85.89062667972252,-82.18855815257656,-13.668786527863627,0.2991,-0.6813,-0.6573,-0.119,0
1836904.0,1778.769814,1.0,5.36,-2.45,-7.82,-5.38,9.88,28.87,-0.56,0.37,0.25,0.0138821052626098,0.09714266784015324,0.015078594488093344,-85.89062667972252,-82.18855815257656,-13.668786527863627,0.2991,-0.6813,-0.6573,-0.119,0
1836941.0,1778.786156,1.0,5.44,-2.46,-7.82,-6.88,10.25,27.37,-0.25,-0.75,0.81,0.015195154095928642,0.029375698602205125,-0.03187154419675231,-85.92193964679628,-82.17335373167708,-13.657245433015797,0.2991,-0.6815,-0.6572,-0.1189,0
1836941.0,1778.786156,1.0,5.44,-2.46,-7.82,-6.88,10.25,27.37,-0.25,-0.75,0.81,0.015195154095928642,0.029375698602205125,-0.03187154419675231,-85.92193964679628,-82.17335373167708,-13.657245433015797,0.2991,-0.6815,-0.6572,-0.1189,0
1836976.0,1778.872437,1.0,5.44,-2.48,-7.85,-6.88,10.25,27.37,-0.12,-0.06,0.94,0.005228002644316998,0.042267411966441015,-0.06070456613747233,-85.95326058406742,-82.15815106961863,-13.634163660769715,0.299,-0.6817,-0.6571,-0.1187,0
1836976.0,1778.872437,1.0,5.44,-2.48,-7.85,-6.88,10.25,27.37,-0.12,-0.06,0.94,0.005228002644316998,0.042267411966441015,-0.06070456613747233,-85.95326058406742,-82.15815106961863,-13.634163660769715,0.299,-0.6817,-0.6571,-0.1187,0
1837012.0,1778.963837,1.0,5.37,-2.46,-7.9,-7.25,9.88,27.75,-1.25,-1.25,0.12,0.02616330506601261,0.12407277347769052,-0.05653515634526762,-85.96892404416116,-82.15815106961863,-13.634163660769715,0.2988,-0.6818,-0.6571,-0.1187,0
1837012.0,1778.963837,1.0,5.37,-2.46,-7.9,-7.25,9.88,27.75,-1.25,-1.25,0.12,0.02616330506601261,0.12407277347769052,-0.05653515634526762,-85.96892404416116,-82.15815106961863,-13.634163660769715,0.2988,-0.6818,-0.6571,-0.1187,0
1837049.0,1778.967978,1.0,5.41,-2.47,-7.79,-6.5,10.69,25.75,0.88,0.0,0.56,-0.005322976673793445,0.031032245861946084,0.006032230408324679,-85.96892404416116,-82.14295016552349,-13.645704477358525,0.2988,-0.6818,-0.657,-0.1188,0
1837049.0,1778.967978,1.0,5.41,-2.47,-7.79,-6.5,10.69,25.75,0.88,0.0,0.56,-0.005322976673793445,0.031032245861946084,0.006032230408324679,-85.96892404416116,-82.14295016552349,-13.645704477358525,0.2988,-0.6818,-0.657,-0.1188,0
1837084.0,1779.032535,1.0,5.39,-2.6,-7.85,-6.5,10.69,25.75,0.19,1.19,-0.25,-0.11806003378812446,0.08815303018319187,-0.06314690123821798,-85.96892404416116,-82.14295016552349,-13.645704477358525,0.2989,-0.6818,-0.657,-0.1188,0
1837084.0,1779.032535,1.0,5.39,-2.6,-7.85,-6.5,10.69,25.75,0.19,1.19,-0.25,-0.11806003378812446,0.08815303018319187,-0.06314690123821798,-85.96892404416116,-82.14295016552349,-13.645704477358525,0.2989,-0.6818,-0.657,-0.1188,0
1837117.0,1779.070356,1.0,5.36,-2.53,-7.92,-6.5,10.25,27.0,-1.25,-0.44,0.25,-0.04206355347318136,0.15159321565444261,-0.0843636060181776,-85.98458949996679,-82.12775101851454,-13.680327762024124,0.2988,-0.6819,-0.6569,-0.1191,0
1837117.0,1779.070356,1.0,5.36,-2.53,-7.92,-6.5,10.25,27.0,-1.25,-0.44,0.25,-0.04206355347318136,0.15159321565444261,-0.0843636060181776,-85.98458949996679,-82.12775101851454,-13.680327762024124,0.2988,-0.6819,-0.6569,-0.1191,0
1837152.0,1779.086315,1.0,5.54,-2.52,-7.89,-6.88,10.25,27.75,0.06,2.31,0.63,-0.0192323280638933,-0.0047776799699983385,-0.1579727872073189,-86.0002569525403,-82.08216411124334,-13.726494094235367,0.2991,-0.682,-0.6566,-0.1195,0
1837152.0,1779.086315,1.0,5.54,-2.52,-7.89,-6.88,10.25,27.75,0.06,2.31,0.63,-0.0192323280638933,-0.0047776799699983385,-0.1579727872073189,-86.0002569525403,-82.08216411124334,-13.726494094235367,0.2991,-0.682,-0.6566,-0.1195,0
1837189.0,1779.1246,1.0,5.64,-2.5,-7.85,-6.88,9.19,27.75,-0.69,1.31,1.81,0.005512865141342416,-0.10318605742100861,-0.17690759465891936,-86.04727130143922,-82.00622099250182,-13.761120312162008,0.2994,-0.6823,-0.6561,-0.1198,0
