TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
670201.0,25.550321,1.0,2.7,-0.23,-9.53,-38.19,-7.38,20.56,0.25,-1.75,-1.69,0.060721494332808656,-0.2925841576604702,-0.09660741414471019,-103.12744256593236,74.1844858325427,-14.08435967436596,-0.0882,-0.7833,0.6031,-0.1226,0
670201.0,25.550321,1.0,2.7,-0.23,-9.53,-38.19,-7.38,20.56,0.25,-1.75,-1.69,0.060721494332808656,-0.2925841576604702,-0.09660741414471019,-103.12744256593236,74.1844858325427,-14.08435967436596,-0.0882,-0.7833,0.6031,-0.1226,0
670234.0,25.60489,1.0,2.7,-0.21,-9.57,-38.19,-7.38,20.56,-2.38,0.0,-1.31,0.05020118737285678,-0.2979655237363316,-0.13456201803134782,-103.16431731106186,74.14139436333637,-14.026630173419028,-0.0885,-0.7835,0.6028,-0.1221,0
670234.0,25.60489,1.0,2.7,-0.21,-9.57,-38.19,-7.38,20.56,-2.38,0.0,-1.31,0.05020118737285678,-0.2979655237363316,-0.13456201803134782,-103.16431731106186,74.14139436333637,-14.026630173419028,-0.0885,-0.7835,0.6028,-0.1221,0
670271.0,25.686058,1.0,2.97,-0.11,-9.65,-39.38,-7.75,21.37,0.12,0.5,2.94,0.009130837798723812,-0.04655560598870634,-0.29054016377091685,-103.09058276649,74.21322028612757,-14.038175786909195,-0.0885,-0.7831,0.6033,-0.1222,0
670271.0,25.686058,1.0,2.97,-0.11,-9.65,-39.38,-7.75,21.37,0.12,0.5,2.94,0.009130837798723812,-0.04655560598870634,-0.29054016377091685,-103.09058276649,74.21322028612757,-14.038175786909195,-0.0885,-0.7831,0.6033,-0.1222,0
670306.0,25.758365,1.0,2.73,-0.03,-9.29,-39.38,-7.75,21.37,-2.63,-1.44,-0.37,-0.08775755849658112,-0.1398514588006966,0.1251914228847717,-103.07215846453475,74.25633218994321,-13.98044914927855,-0.0886,-0.783,0.6036,-0.1217,0
670306.0,25.758365,1.0,2.73,-0.03,-9.29,-39.38,-7.75,21.37,-2.63,-1.44,-0.37,-0.08775755849658112,-0.1398514588006966,0.1251914228847717,-103.07215846453475,74.25633218994321,-13.98044914927855,-0.0886,-0.783,0.6036,-0.1217,0
670339.0,25.798637,1.0,2.86,0.0,-9.71,-39.0,-6.56,21.06,-3.31,1.25,0.75,-0.10890243429184276,-0.14379139704369903,-0.3141782414998815,-103.07215846453475,74.24196019139418,-13.96890425008599,-0.0894,-0.783,0.6035,-0.1216,0
670339.0,25.798637,1.0,2.86,0.0,-9.71,-39.0,-6.56,21.06,-3.31,1.25,0.75,-0.10890243429184276,-0.14379139704369903,-0.3141782414998815,-103.07215846453475,74.24196019139418,-13.96890425008599,-0.0894,-0.783,0.6035,-0.1216,0
670373.0,25.810412,1.0,2.87,0.22,-9.42,-39.0,-7.0,21.75,-0.25,-1.0,1.56,-0.29085223644003155,0.0069817344221285715,-0.039011797560503325,-103.01690791684815,74.29945637663063,-13.93427040697098,-0.0895,-0.7827,0.6039,-0.1213,0
670373.0,25.810412,1.0,2.87,0.22,-9.42,-39.0,-7.0,21.75,-0.25,-1.0,1.56,-0.29085223644003155,0.0069817344221285715,-0.039011797560503325,-103.01690791684815,74.29945637663063,-13.93427040697098,-0.0895,-0.7827,0.6039,-0.1213,0
670410.0,25.813132,1.0,2.89,-0.11,-9.56,-39.0,-6.56,22.19,2.13,1.75,-1.56,0.012543545458466199,-0.10506491213840752,-0.1806721648099785,-103.07215846453475,74.22758955699375,-14.003539375629764,-0.0894,-0.783,0.6034,-0.1219,0
670410.0,25.813132,1.0,2.89,-0.11,-9.56,-39.0,-6.56,22.19,2.13,1.75,-1.56,0.012543545458466199,-0.10506491213840752,-0.1806721648099785,-103.07215846453475,74.22758955699375,-14.003539375629764,-0.0894,-0.783,0.6034,-0.1219,0
670443.0,25.847989,1.0,2.95,-0.11,-9.77,-39.0,-6.56,22.19,-0.88,1.81,-0.06,0.012574123069516385,-0.12375401281203713,-0.3988400340817524,-103.07215846453475,74.19885237818175,-14.038175786909195,-0.09,-0.783,0.6032,-0.1222,0
