TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
135671.0,32.424369,1.0,9.63,1.37,-0.01,-27.37,25.75,-3.88,-3.19,4.31,1.37,0.027231122275475177,-0.13246767025956652,0.08062250763110157,-10.902639624835572,88.7577714340783,-0.5500415954991054,-0.7084,-0.095,0.6994,-0.0048,0
135671.0,32.424369,1.0,9.63,1.37,-0.01,-27.37,25.75,-3.88,-3.19,4.31,1.37,0.027231122275475177,-0.13246767025956652,0.08062250763110157,-10.902639624835572,88.7577714340783,-0.5500415954991054,-0.7084,-0.095,0.6994,-0.0048,0
135706.0,32.460893,1.0,9.71,1.24,-0.01,-27.37,25.75,-3.88,2.19,2.75,-0.63,0.06056350531754402,0.005668819345232334,0.017977979428929203,-10.937173775974523,88.67763467052184,-0.5729601824818275,-0.7089,-0.0953,0.6989,-0.005,0
135706.0,32.460893,1.0,9.71,1.24,-0.01,-27.37,25.75,-3.88,2.19,2.75,-0.63,0.06056350531754402,0.005668819345232334,0.017977979428929203,-10.937173775974523,88.67763467052184,-0.5729601824818275,-0.7089,-0.0953,0.6989,-0.005,0
135739.0,32.463609,1.0,9.58,1.15,-0.02,-26.25,26.56,-4.75,1.94,1.88,-1.5,0.0906203348931813,0.08237238873769315,0.1586293354036883,-11.029269725697887,88.59755263252764,-0.60733810621587,-0.7092,-0.0961,0.6984,-0.0053,0
135739.0,32.463609,1.0,9.58,1.15,-0.02,-26.25,26.56,-4.75,1.94,1.88,-1.5,0.0906203348931813,0.08237238873769315,0.1586293354036883,-11.029269725697887,88.59755263252764,-0.60733810621587,-0.7092,-0.0961,0.6984,-0.0053,0
135774.0,32.47046,1.0,9.65,1.23,-0.16,-25.87,26.19,-3.88,-0.37,3.5,-0.19,0.2355943185532733,-0.010037390243931132,0.08011955138356974,-11.040782220655421,88.50152621211957,-0.6302567522155992,-0.7098,-0.0962,0.6978,-0.0055,0
135774.0,32.47046,1.0,9.65,1.23,-0.16,-25.87,26.19,-3.88,-0.37,3.5,-0.19,0.2355943185532733,-0.010037390243931132,0.08011955138356974,-11.040782220655421,88.50152621211957,-0.6302567522155992,-0.7098,-0.0962,0.6978,-0.0055,0
135809.0,32.488626,1.0,9.65,1.32,-0.03,-25.87,26.19,-3.88,0.0,0.25,-0.5,0.09417179702005833,-0.07824592021785592,0.06751198636577271,-11.052294827398207,88.50152621211957,-0.6302567522155992,-0.7098,-0.0963,0.6978,-0.0055,0
135809.0,32.488626,1.0,9.65,1.32,-0.03,-25.87,26.19,-3.88,0.0,0.25,-0.5,0.09417179702005833,-0.07824592021785592,0.06751198636577271,-11.052294827398207,88.50152621211957,-0.6302567522155992,-0.7098,-0.0963,0.6978,-0.0055,0
