TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
352768.0,281.288029,1.0,5.88,3.62,6.77,-9.38,-8.38,-41.38,0.88,1.19,0.69,0.10560475161695426,-0.18339356749232927,0.13882116225994068,-39.68064610609173,19.389609385924846,-56.92715416608731,-0.7933,-0.3394,0.1684,-0.4766,0
352768.0,281.288029,1.0,5.88,3.62,6.77,-9.38,-8.38,-41.38,0.88,1.19,0.69,0.10560475161695426,-0.18339356749232927,0.13882116225994068,-39.68064610609173,19.389609385924846,-56.92715416608731,-0.7933,-0.3394,0.1684,-0.4766,0
352804.0,281.291281,1.0,5.73,3.71,6.78,-8.69,-8.0,-39.38,-0.5,1.44,2.94,-0.05322461095227071,-0.11025671294659589,0.18633760392682497,-39.65628250180669,19.401234664747335,-56.99233821526014,-0.793,-0.3392,0.1685,-0.4771,0
352804.0,281.291281,1.0,5.73,3.71,6.78,-8.69,-8.0,-39.38,-0.5,1.44,2.94,-0.05322461095227071,-0.11025671294659589,0.18633760392682497,-39.65628250180669,19.401234664747335,-56.99233821526014,-0.793,-0.3392,0.1685,-0.4771,0
352839.0,281.299471,1.0,5.7,3.84,6.9,-8.69,-7.56,-39.0,5.44,7.25,12.63,-0.19259885061955995,-0.06153722449423826,0.06987852005133988,-39.61974059674283,19.273367657733324,-57.50146795059126,-0.7911,-0.3389,0.1674,-0.481,0
352839.0,281.299471,1.0,5.7,3.84,6.9,-8.69,-7.56,-39.0,5.44,7.25,12.63,-0.19259885061955995,-0.06153722449423826,0.06987852005133988,-39.61974059674283,19.273367657733324,-57.50146795059126,-0.7911,-0.3389,0.1674,-0.481,0
352874.0,281.363948,1.0,6.56,4.48,6.53,-8.69,-7.56,-39.0,25.69,12.88,41.69,-0.4202083508655814,-1.064749011456203,-0.41267651814520967,-39.71719501771099,19.04094412601985,-58.62858825496232,-0.7858,-0.3397,0.1654,-0.4896,0
352874.0,281.363948,1.0,6.56,4.48,6.53,-8.69,-7.56,-39.0,25.69,12.88,41.69,-0.4202083508655814,-1.064749011456203,-0.41267651814520967,-39.71719501771099,19.04094412601985,-58.62858825496232,-0.7858,-0.3397,0.1654,-0.4896,0
352907.0,281.371229,1.0,7.39,2.95,6.09,-8.69,-8.0,-39.38,47.38,7.56,87.62,1.0363825209936424,-1.4192426199433004,-0.05815418740865397,-40.36359153375482,19.017706136871343,-61.82120140486282,-0.7681,-0.345,0.1652,-0.5137,0
352907.0,281.371229,1.0,7.39,2.95,6.09,-8.69,-8.0,-39.38,47.38,7.56,87.62,1.0363825209936424,-1.4192426199433004,-0.05815418740865397,-40.36359153375482,19.017706136871343,-61.82120140486282,-0.7681,-0.345,0.1652,-0.5137,0
352944.0,281.427637,1.0,6.71,7.57,6.38,-9.06,-8.38,-39.38,28.75,-3.06,126.87,-3.881163727220418,-1.4916011193661007,-1.4069620060939503,-40.400219905352074,19.947852442498814,-65.20397390849296,-0.7487,-0.3453,0.1732,-0.5388,0
352944.0,281.427637,1.0,6.71,7.57,6.38,-9.06,-8.38,-39.38,28.75,-3.06,126.87,-3.881163727220418,-1.4916011193661007,-1.4069620060939503,-40.400219905352074,19.947852442498814,-65.20397390849296,-0.7487,-0.3453,0.1732,-0.5388,0
352978.0,281.450204,1.0,7.76,9.57,6.0,-9.06,-8.38,-39.38,65.37,-3.06,68.87,-5.709623018337808,-2.383944032306904,-2.421167296610845,-41.10922158106119,20.11076285425295,-67.82138560708218,-0.7314,-0.3511,0.1746,-0.5579,0
352978.0,281.450204,1.0,7.76,9.57,6.0,-9.06,-8.38,-39.38,65.37,-3.06,68.87,-5.709623018337808,-2.383944032306904,-2.421167296610845,-41.10922158106119,20.11076285425295,-67.82138560708218,-0.7314,-0.3511,0.1746,-0.5579,0
353013.0,281.453955,1.0,10.72,6.19,5.53,-9.38,-8.75,-38.19,114.19,-28.31,77.25,-1.6845667766021317,-3.7433884663631254,-3.114831245007009,-44.27121519182588,18.692456695573654,-70.70426845211382,-0.7049,-0.3768,0.1624,-0.5786,0
353013.0,281.453955,1.0,10.72,6.19,5.53,-9.38,-8.75,-38.19,114.19,-28.31,77.25,-1.6845667766021317,-3.7433884663631254,-3.114831245007009,-44.27121519182588,18.692456695573654,-70.70426845211382,-0.7049,-0.3768,0.1624,-0.5786,0
353048.0,281.492524,1.0,9.09,11.57,7.05,-11.19,-11.0,-39.0,107.69,-77.5,58.56,-6.658291468567552,-0.25552709705902465,-5.086212741000107,-48.749115614414855,18.98285063278348,-72.42759839996175,-0.6734,-0.4127,0.1649,-0.5908,0
353048.0,281.492524,1.0,9.09,11.57,7.05,-11.19,-11.0,-39.0,107.69,-77.5,58.56,-6.658291468567552,-0.25552709705902465,-5.086212741000107,-48.749115614414855,18.98285063278348,-72.42759839996175,-0.6734,-0.4127,0.1649,-0.5908,0
353085.0,281.591241,1.0,10.76,9.62,7.53,-14.19,-13.56,-35.69,199.81,-91.5,1.63,-3.364768667872085,0.1388060587730946,-6.120746670195485,-54.245713551086965,17.485694626999514,-72.34240418316186,-0.6486,-0.4559,0.152,-0.5902,0
353085.0,281.591241,1.0,10.76,9.62,7.53,-14.19,-13.56,-35.69,199.81,-91.5,1.63,-3.364768667872085,0.1388060587730946,-6.120746670195485,-54.245713551086965,17.485694626999514,-72.34240418316186,-0.6486,-0.4559,0.152,-0.5902,0
353118.0,281.595841,1.0,11.32,9.91,7.11,-14.19,-13.56,-35.69,257.0,-118.75,35.88,-1.9551035775476575,1.7268145535935773,-6.62801706381841,-63.889331204462884,15.18192036535379,-72.08709874052985,-0.597,-0.5291,0.1321,-0.5884,0
353118.0,281.595841,1.0,11.32,9.91,7.11,-14.19,-13.56,-35.69,257.0,-118.75,35.88,-1.9551035775476575,1.7268145535935773,-6.62801706381841,-63.889331204462884,15.18192036535379,-72.08709874052985,-0.597,-0.5291,0.1321,-0.5884,0
353155.0,281.65488,1.0,9.6,9.49,6.35,-17.5,-19.0,-32.56,279.5,-170.19,-19.37,-0.8048755491431967,3.633333511071748,-4.639583521154037,-72.5981261731199,13.114968872872083,-70.2973367467073,-0.5523,-0.592,0.1142,-0.5757,0
353155.0,281.65488,1.0,9.6,9.49,6.35,-17.5,-19.0,-32.56,279.5,-170.19,-19.37,-0.8048755491431967,3.633333511071748,-4.639583521154037,-72.5981261731199,13.114968872872083,-70.2973367467073,-0.5523,-0.592,0.1142,-0.5757,0
353191.0,281.673016,1.0,7.57,9.66,7.92,-22.25,-25.0,-25.25,273.63,-137.5,-98.06,2.0694704605313547,7.381762921349461,-2.6261199321582556,-84.79962950157953,8.671395302011163,-64.8778117314165,-0.5019,-0.6743,0.0756,-0.5364,0
353191.0,281.673016,1.0,7.57,9.66,7.92,-22.25,-25.0,-25.25,273.63,-137.5,-98.06,2.0694704605313547,7.381762921349461,-2.6261199321582556,-84.79962950157953,8.671395302011163,-64.8778117314165,-0.5019,-0.6743,0.0756,-0.5364,0
