TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
2185670.0,2148.711845,1.0,4.08,1.61,-7.23,3.0,-17.0,41.19,-10.94,31.81,6.88,-0.7089590060025753,0.14800020002881942,1.3812792029015526,-98.91076580586659,-70.2973367467073,-34.56701075551299,0.053,-0.7599,-0.5757,-0.2971,0
2185670.0,2148.711845,1.0,4.08,1.61,-7.23,3.0,-17.0,41.19,-10.94,31.81,6.88,-0.7089590060025753,0.14800020002881942,1.3812792029015526,-98.91076580586659,-70.2973367467073,-34.56701075551299,0.053,-0.7599,-0.5757,-0.2971,0
2185705.0,2148.734662,1.0,4.13,1.54,-6.96,2.25,-17.0,39.06,-27.69,67.75,9.69,-0.8066008159295447,0.19189557995544404,1.6101464033354222,-98.3657986482455,-69.70978337535752,-36.33548075823788,0.058,-0.7568,-0.5715,-0.3118,0
2185705.0,2148.734662,1.0,4.13,1.54,-6.96,2.25,-17.0,39.06,-27.69,67.75,9.69,-0.8066008159295447,0.19189557995544404,1.6101464033354222,-98.3657986482455,-69.70978337535752,-36.33548075823788,0.058,-0.7568,-0.5715,-0.3118,0
2185742.0,2148.829134,1.0,4.53,1.12,-7.79,0.0,-17.75,37.38,-8.81,64.44,14.31,-1.6299060749584056,0.4604041419902297,0.8852804743693117,-97.73667466579633,-68.70739234130575,-38.65896530684754,0.0682,-0.7532,-0.5643,-0.331,0
2185742.0,2148.829134,1.0,4.53,1.12,-7.79,0.0,-17.75,37.38,-8.81,64.44,14.31,-1.6299060749584056,0.4604041419902297,0.8852804743693117,-97.73667466579633,-68.70739234130575,-38.65896530684754,0.0682,-0.7532,-0.5643,-0.331,0
2185775.0,2148.864399,1.0,3.62,-0.91,-5.98,0.0,-17.75,37.38,-13.63,55.81,15.38,-2.8620995480949842,-0.21684333614464613,3.368151328386862,-97.388865555759,-68.09776471776088,-39.912193788917286,0.0761,-0.7512,-0.5599,-0.3413,0
2185775.0,2148.864399,1.0,3.62,-0.91,-5.98,0.0,-17.75,37.38,-13.63,55.81,15.38,-2.8620995480949842,-0.21684333614464613,3.368151328386862,-97.388865555759,-68.09776471776088,-39.912193788917286,0.0761,-0.7512,-0.5599,-0.3413,0
2185814.0,2148.877836,1.0,3.66,-2.16,-4.95,-1.75,-18.25,38.25,-44.31,72.12,48.63,-3.6505382842206586,-1.0312299424554188,4.49874692616541,-97.1287952916504,-66.19973175300399,-42.74132469735877,0.083,-0.7497,-0.5461,-0.3644,0
2185814.0,2148.877836,1.0,3.66,-2.16,-4.95,-1.75,-18.25,38.25,-44.31,72.12,48.63,-3.6505382842206586,-1.0312299424554188,4.49874692616541,-97.1287952916504,-66.19973175300399,-42.74132469735877,0.083,-0.7497,-0.5461,-0.3644,0
2185848.0,2148.898192,1.0,6.75,0.0,-5.42,-5.56,-19.37,38.69,-119.75,71.62,85.25,-1.6697289422255865,-2.002894614754085,1.5519956509867523,-98.15564818979227,-62.731592972927196,-45.78458156617274,0.0827,-0.7556,-0.5205,-0.389,0
2185848.0,2148.898192,1.0,6.75,0.0,-5.42,-5.56,-19.37,38.69,-119.75,71.62,85.25,-1.6697289422255865,-2.002894614754085,1.5519956509867523,-98.15564818979227,-62.731592972927196,-45.78458156617274,0.0827,-0.7556,-0.5205,-0.389,0
2185883.0,2148.94333,1.0,6.5,0.35,-5.05,-5.56,-19.37,38.69,-119.5,73.37,57.38,-1.5717176196626843,-1.589372679830806,1.8770473486277828,-99.10487032365977,-57.802305908948476,-50.567318276092784,0.0698,-0.761,-0.4833,-0.4271,0
2185883.0,2148.94333,1.0,6.5,0.35,-5.05,-5.56,-19.37,38.69,-119.5,73.37,57.38,-1.5717176196626843,-1.589372679830806,1.8770473486277828,-99.10487032365977,-57.802305908948476,-50.567318276092784,0.0698,-0.761,-0.4833,-0.4271,0
2185918.0,2148.967407,1.0,5.39,-2.02,-3.37,-8.56,-22.37,37.88,-137.25,66.69,68.31,-2.7575087554108366,-2.9097232436891813,4.475697354462102,-99.68951411614925,-52.76991465901129,-55.278110287373416,0.0563,-0.7643,-0.4444,-0.4639,0
2185918.0,2148.967407,1.0,5.39,-2.02,-3.37,-8.56,-22.37,37.88,-137.25,66.69,68.31,-2.7575087554108366,-2.9097232436891813,4.475697354462102,-99.68951411614925,-52.76991465901129,-55.278110287373416,0.0563,-0.7643,-0.4444,-0.4639,0
2185955.0,2149.019491,1.0,7.27,0.56,-1.29,-13.38,-25.25,34.56,-206.81,29.62,86.12,0.8258517345081948,-3.328688946378924,3.243998187594851,-100.95954923279672,-47.619376147320615,-58.77320186377301,0.0342,-0.7714,-0.4037,-0.4907,0
2185955.0,2149.019491,1.0,7.27,0.56,-1.29,-13.38,-25.25,34.56,-206.81,29.62,86.12,0.8258517345081948,-3.328688946378924,3.243998187594851,-100.95954923279672,-47.619376147320615,-58.77320186377301,0.0342,-0.7714,-0.4037,-0.4907,0
2185992.0,2149.038552,1.0,10.53,3.28,-1.17,-13.38,-25.25,34.56,-243.13,26.31,77.5,2.9651313624215865,-2.833457180419735,-0.4980924232880177,-102.13740297255076,-40.15611188549902,-63.49812368940196,-0.0107,-0.7779,-0.3433,-0.5262,0
2185992.0,2149.038552,1.0,10.53,3.28,-1.17,-13.38,-25.25,34.56,-243.13,26.31,77.5,2.9651313624215865,-2.833457180419735,-0.4980924232880177,-102.13740297255076,-40.15611188549902,-63.49812368940196,-0.0107,-0.7779,-0.3433,-0.5262,0
2186027.0,2149.081351,1.0,7.5,6.85,-0.28,-17.5,-29.37,29.25,-211.69,-11.0,53.94,4.245986927335415,1.7197397091246929,0.7366450195296732,-102.7595135194493,-34.73506381234489,-66.11767701122476,-0.0537,-0.7813,-0.2985,-0.5455,0
2186027.0,2149.081351,1.0,7.5,6.85,-0.28,-17.5,-29.37,29.25,-211.69,-11.0,53.94,4.245986927335415,1.7197397091246929,0.7366450195296732,-102.7595135194493,-34.73506381234489,-66.11767701122476,-0.0537,-0.7813,-0.2985,-0.5455,0
2186063.0,2149.086518,1.0,8.83,6.34,1.33,-20.0,-33.25,21.5,-125.37,45.38,77.5,5.285616315950954,1.0016903890502378,0.2676628145050213,-102.85135685891359,-29.452373148891272,-68.79069483955588,-0.0713,-0.7818,-0.2542,-0.5649,0
2186063.0,2149.086518,1.0,8.83,6.34,1.33,-20.0,-33.25,21.5,-125.37,45.38,77.5,5.285616315950954,1.0016903890502378,0.2676628145050213,-102.85135685891359,-29.452373148891272,-68.79069483955588,-0.0713,-0.7818,-0.2542,-0.5649,0
2186098.0,2149.151826,1.0,10.45,7.43,-0.32,-20.75,-33.75,17.06,-143.0,86.37,40.25,3.637385318443327,1.9097784799716022,-2.343739878625721,-100.92354086053491,-25.92343814014406,-72.21469959987994,-0.088,-0.7712,-0.2243,-0.5893,0
2186098.0,2149.151826,1.0,10.45,7.43,-0.32,-20.75,-33.75,17.06,-143.0,86.37,40.25,3.637385318443327,1.9097784799716022,-2.343739878625721,-100.92354086053491,-25.92343814014406,-72.21469959987994,-0.088,-0.7712,-0.2243,-0.5893,0
2186133.0,2149.172394,1.0,10.71,5.79,0.86,-20.75,-33.75,17.06,-99.87,115.37,31.69,3.3805503210009196,0.648669824137774,-1.9031282637603208,-97.21541095446709,-22.664725505964547,-77.12969565730245,-0.1003,-0.7502,-0.1965,-0.6234,0
2186133.0,2149.172394,1.0,10.71,5.79,0.86,-20.75,-33.75,17.06,-99.87,115.37,31.69,3.3805503210009196,0.648669824137774,-1.9031282637603208,-97.21541095446709,-22.664725505964547,-77.12969565730245,-0.1003,-0.7502,-0.1965,-0.6234,0
2186168.0,2149.219006,1.0,9.32,3.38,-1.11,-22.56,-34.69,11.56,-116.37,119.69,45.81,-0.1561784930495093,-0.44766728323628424,-0.15799260682883798,-92.5059720581388,-19.029325032716933,-82.88987813746495,-0.1129,-0.7224,-0.1653,-0.6619,0
2186168.0,2149.219006,1.0,9.32,3.38,-1.11,-22.56,-34.69,11.56,-116.37,119.69,45.81,-0.1561784930495093,-0.44766728323628424,-0.15799260682883798,-92.5059720581388,-19.029325032716933,-82.88987813746495,-0.1129,-0.7224,-0.1653,-0.6619,0
2186205.0,2149.280315,1.0,8.73,7.93,4.54,-23.37,-35.5,5.19,-99.56,118.37,53.88,4.898748652482572,4.372612840802643,-0.9911237790827983,-89.93409723395683,-14.754288420181698,-86.48694417859592,-0.1221,-0.7067,-0.1284,-0.6851,0
2186205.0,2149.280315,1.0,8.73,7.93,4.54,-23.37,-35.5,5.19,-99.56,118.37,53.88,4.898748652482572,4.372612840802643,-0.9911237790827983,-89.93409723395683,-14.754288420181698,-86.48694417859592,-0.1221,-0.7067,-0.1284,-0.6851,0
2186242.0,2149.298715,1.0,9.72,3.23,2.42,-23.37,-35.5,5.19,8.5,222.56,57.06,1.3675263520089982,-0.08099062083928765,-0.6284356343346342,-82.43206880803427,-14.142092768246478,-94.6144322101244,-0.1019,-0.6589,-0.1231,-0.735,0
2186242.0,2149.298715,1.0,9.72,3.23,2.42,-23.37,-35.5,5.19,8.5,222.56,57.06,1.3675263520089982,-0.08099062083928765,-0.6284356343346342,-82.43206880803427,-14.142092768246478,-94.6144322101244,-0.1019,-0.6589,-0.1231,-0.735,0
2186276.0,2149.341062,1.0,9.43,4.52,4.13,-24.5,-34.88,-0.06,-96.19,182.88,57.75,2.0538172373252337,1.5599185083263225,-1.1368726962366544,-77.21765539082577,-11.973676148985312,-100.45667199365036,-0.0953,-0.624,-0.1043,-0.7686,0
2186276.0,2149.341062,1.0,9.43,4.52,4.13,-24.5,-34.88,-0.06,-96.19,182.88,57.75,2.0538172373252337,1.5599185083263225,-1.1368726962366544,-77.21765539082577,-11.973676148985312,-100.45667199365036,-0.0953,-0.624,-0.1043,-0.7686,0
2186313.0,2149.365728,1.0,9.26,5.02,4.96,-26.06,-34.75,-4.75,-51.44,214.75,35.5,1.226551693127534,2.4643880193363614,-1.505819342908179,-69.24960284688514,-9.23461264182475,-108.85892668852874,-0.0957,-0.5682,-0.0805,-0.8134,0
2186313.0,2149.365728,1.0,9.26,5.02,4.96,-26.06,-34.75,-4.75,-51.44,214.75,35.5,1.226551693127534,2.4643880193363614,-1.505819342908179,-69.24960284688514,-9.23461264182475,-108.85892668852874,-0.0957,-0.5682,-0.0805,-0.8134,0
2186348.0,2149.414028,1.0,9.78,1.81,4.98,-25.56,-34.0,-13.06,9.25,221.81,52.13,0.04390722332914701,-0.6342221682927571,-1.2983369156602595,-62.95987835378689,-9.039186076064471,-115.38674111389929,-0.082,-0.5222,-0.0788,-0.8452,0
2186348.0,2149.414028,1.0,9.78,1.81,4.98,-25.56,-34.0,-13.06,9.25,221.81,52.13,0.04390722332914701,-0.6342221682927571,-1.2983369156602595,-62.95987835378689,-9.039186076064471,-115.38674111389929,-0.082,-0.5222,-0.0788,-0.8452,0
2186383.0,2149.431772,1.0,9.47,2.37,6.17,-25.56,-34.0,-13.06,-63.88,159.63,55.44,-0.22206643684560493,0.34884018753970003,-1.7343940178167596,-55.91286019688734,-7.3733240323499585,-122.92389068833597,-0.0657,-0.4688,-0.0643,-0.8785,0
2186383.0,2149.431772,1.0,9.47,2.37,6.17,-25.56,-34.0,-13.06,-63.88,159.63,55.44,-0.22206643684560493,0.34884018753970003,-1.7343940178167596,-55.91286019688734,-7.3733240323499585,-122.92389068833597,-0.0657,-0.4688,-0.0643,-0.8785,0
2186418.0,2149.48035,1.0,8.76,3.66,7.59,-23.37,-33.25,-17.5,-61.94,139.56,41.19,0.07276466169839005,2.1844185350802396,-2.1501188347482003,-50.351969465243805,-4.779853967883568,-128.8709813830911,-0.0594,-0.4254,-0.0417,-0.9021,0
2186418.0,2149.48035,1.0,8.76,3.66,7.59,-23.37,-33.25,-17.5,-61.94,139.56,41.19,0.07276466169839005,2.1844185350802396,-2.1501188347482003,-50.351969465243805,-4.779853967883568,-128.8709813830911,-0.0594,-0.4254,-0.0417,-0.9021,0
2186455.0,2149.500919,1.0,9.24,2.33,7.69,-22.56,-32.06,-20.87,5.75,141.75,49.38,-0.914017640994104,0.9654539005515462,-2.366068287952835,-46.232752066659124,-4.412865642375664,-133.15540493778332,-0.048,-0.3926,-0.0385,-0.9176,0
2186455.0,2149.500919,1.0,9.24,2.33,7.69,-22.56,-32.06,-20.87,5.75,141.75,49.38,-0.914017640994104,0.9654539005515462,-2.366068287952835,-46.232752066659124,-4.412865642375664,-133.15540493778332,-0.048,-0.3926,-0.0385,-0.9176,0
2186491.0,2149.504442,1.0,9.22,2.34,7.6,-22.56,-32.06,-20.87,-7.56,116.44,53.31,-1.896528882691542,1.3081338917426066,-2.148932960206965,-41.62366360590611,-3.679021045975539,-138.0382513966867,-0.0302,-0.3553,-0.0321,-0.9337,0
2186491.0,2149.504442,1.0,9.22,2.34,7.6,-22.56,-32.06,-20.87,-7.56,116.44,53.31,-1.896528882691542,1.3081338917426066,-2.148932960206965,-41.62366360590611,-3.679021045975539,-138.0382513966867,-0.0302,-0.3553,-0.0321,-0.9337,0
2186526.0,2149.566686,1.0,9.24,2.53,7.38,-20.69,-32.06,-25.37,16.87,91.37,69.25,-2.5731885912322943,1.7846237621539438,-1.8739629334683237,-38.853322196886715,-3.300693295071686,-140.95145697943067,-0.013,-0.3326,-0.0288,-0.9425,0
2186526.0,2149.566686,1.0,9.24,2.53,7.38,-20.69,-32.06,-25.37,16.87,91.37,69.25,-2.5731885912322943,1.7846237621539438,-1.8739629334683237,-38.853322196886715,-3.300693295071686,-140.95145697943067,-0.013,-0.3326,-0.0288,-0.9425,0
2186563.0,2149.614245,1.0,9.36,2.25,7.08,-19.87,-32.0,-29.06,41.38,64.19,63.75,-3.3096401125763713,1.8000602847725828,-1.5337452883667133,-36.02205079852741,-3.724881599063971,-143.7573372230702,0.0135,-0.3092,-0.0325,-0.9504,0
