TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1905266.0,1813.990267,1.0,5.25,5.43,-5.88,-14.75,-37.38,15.5,1.0,2.63,1.5,-0.07268270823824519,0.0638505862740506,0.23521121962034464,-125.57083317422124,-14.072813487232235,-40.962397583514125,-0.2678,-0.8893,-0.1225,-0.3499,0
1905266.0,1813.990267,1.0,5.25,5.43,-5.88,-14.75,-37.38,15.5,1.0,2.63,1.5,-0.07268270823824519,0.0638505862740506,0.23521121962034464,-125.57083317422124,-14.072813487232235,-40.962397583514125,-0.2678,-0.8893,-0.1225,-0.3499,0
1905301.0,1813.993666,1.0,5.53,5.6,-6.09,-14.75,-37.38,15.5,1.44,-0.44,0.75,-0.014042115669555988,0.015603826451486835,-0.14465942839120416,-125.57083317422124,-14.061267443693245,-40.999096985270164,-0.2675,-0.8893,-0.1224,-0.3502,0
1905301.0,1813.993666,1.0,5.53,5.6,-6.09,-14.75,-37.38,15.5,1.44,-0.44,0.75,-0.014042115669555988,0.015603826451486835,-0.14465942839120416,-125.57083317422124,-14.061267443693245,-40.999096985270164,-0.2675,-0.8893,-0.1224,-0.3502,0
1905334.0,1814.022013,1.0,5.45,5.41,-6.19,-14.06,-37.0,15.88,0.31,-0.44,-1.0,-0.13751785622217838,-0.14275235112075224,-0.05476017326982152,-125.62096841990898,-14.095906005216998,-40.962397583514125,-0.2671,-0.8895,-0.1227,-0.3499,0
1905334.0,1814.022013,1.0,5.45,5.41,-6.19,-14.06,-37.0,15.88,0.31,-0.44,-1.0,-0.13751785622217838,-0.14275235112075224,-0.05476017326982152,-125.62096841990898,-14.095906005216998,-40.962397583514125,-0.2671,-0.8895,-0.1227,-0.3499,0
1905371.0,1814.042402,1.0,5.34,5.56,-6.07,-14.06,-37.38,17.19,-0.69,-4.69,-2.69,-0.11326599141266075,0.06014586891423068,-0.004448475178094213,-125.64605206137206,-14.130545861300057,-40.85232569399261,-0.2676,-0.8896,-0.123,-0.349,0
1905371.0,1814.042402,1.0,5.34,5.56,-6.07,-14.06,-37.38,17.19,-0.69,-4.69,-2.69,-0.11326599141266075,0.06014586891423068,-0.004448475178094213,-125.64605206137206,-14.130545861300057,-40.85232569399261,-0.2676,-0.8896,-0.123,-0.349,0
1905405.0,1814.06971,1.0,5.1,5.54,-5.88,-14.06,-37.0,14.69,0.19,-2.44,-2.38,-0.13394471438382222,0.20198673700162573,0.2558772474126947,-125.72136723881638,-14.188281840563283,-40.70562437914749,-0.2681,-0.8899,-0.1235,-0.3478,0
1905405.0,1814.06971,1.0,5.1,5.54,-5.88,-14.06,-37.0,14.69,0.19,-2.44,-2.38,-0.13394471438382222,0.20198673700162573,0.2558772474126947,-125.72136723881638,-14.188281840563283,-40.70562437914749,-0.2681,-0.8899,-0.1235,-0.3478,0
1905438.0,1814.096243,1.0,5.45,5.77,-6.07,-14.06,-37.0,14.69,1.88,0.69,-1.0,0.00246952319672894,0.174120190660227,-0.18384428510219664,-125.72136723881638,-14.2344732300193,-40.69340241756593,-0.268,-0.8899,-0.1239,-0.3477,0
1905438.0,1814.096243,1.0,5.45,5.77,-6.07,-14.06,-37.0,14.69,1.88,0.69,-1.0,0.00246952319672894,0.174120190660227,-0.18384428510219664,-125.72136723881638,-14.2344732300193,-40.69340241756593,-0.268,-0.8899,-0.1239,-0.3477,0
1905473.0,1814.139186,1.0,5.37,5.63,-5.99,-14.06,-37.38,14.56,6.31,0.88,-2.13,0.010249642750794596,0.137272892433685,-0.011443047930759676,-125.7967791099571,-14.38461134345722,-40.66895994437227,-0.2667,-0.8902,-0.1252,-0.3475,0
1905473.0,1814.139186,1.0,5.37,5.63,-5.99,-14.06,-37.38,14.56,6.31,0.88,-2.13,0.010249642750794596,0.137272892433685,-0.011443047930759676,-125.7967791099571,-14.38461134345722,-40.66895994437227,-0.2667,-0.8902,-0.1252,-0.3475,0
1905510.0,1814.198211,1.0,5.15,5.48,-6.03,-14.38,-37.0,16.69,0.06,0.37,-2.25,-0.1718974878104172,0.09161215740968132,0.16943782705811472,-125.82193795794701,-14.500119080393963,-40.64451940316256,-0.2661,-0.8903,-0.1262,-0.3473,0
1905510.0,1814.198211,1.0,5.15,5.48,-6.03,-14.38,-37.0,16.69,0.06,0.37,-2.25,-0.1718974878104172,0.09161215740968132,0.16943782705811472,-125.82193795794701,-14.500119080393963,-40.64451940316256,-0.2661,-0.8903,-0.1262,-0.3473,0
1905543.0,1814.214557,1.0,5.33,5.59,-6.25,-14.38,-37.0,16.69,4.69,-0.31,-2.75,-0.1735882813103063,0.02639206115289694,-0.12756715927832118,-125.84710760989958,-14.638747929971785,-40.60786221038467,-0.2655,-0.8904,-0.1274,-0.347,0
1905543.0,1814.214557,1.0,5.33,5.59,-6.25,-14.38,-37.0,16.69,4.69,-0.31,-2.75,-0.1735882813103063,0.02639206115289694,-0.12756715927832118,-125.84710760989958,-14.638747929971785,-40.60786221038467,-0.2655,-0.8904,-0.1274,-0.347,0
1905580.0,1814.292225,1.0,5.05,5.58,-6.24,-14.06,-37.38,15.38,5.31,3.75,-1.31,-0.364059871010838,0.14329372459078904,0.038158441995127745,-125.87228808096124,-14.73117911928188,-40.60786221038467,-0.2649,-0.8905,-0.1282,-0.347,0
1905580.0,1814.292225,1.0,5.05,5.58,-6.24,-14.06,-37.38,15.38,5.31,3.75,-1.31,-0.364059871010838,0.14329372459078904,0.038158441995127745,-125.87228808096124,-14.73117911928188,-40.60786221038467,-0.2649,-0.8905,-0.1282,-0.347,0
1905614.0,1814.297668,1.0,5.25,5.49,-6.08,-14.75,-37.0,16.25,11.88,4.69,-1.63,-0.10218906140856088,0.09627203115376348,0.07786338029526085,-125.97311846044451,-14.985414779298193,-40.69340241756593,-0.2615,-0.8909,-0.1304,-0.3477,0
1905614.0,1814.297668,1.0,5.25,5.49,-6.08,-14.75,-37.0,16.25,11.88,4.69,-1.63,-0.10218906140856088,0.09627203115376348,0.07786338029526085,-125.97311846044451,-14.985414779298193,-40.69340241756593,-0.2615,-0.8909,-0.1304,-0.3477,0
1905649.0,1814.351085,1.0,5.31,6.08,-5.96,-14.75,-37.0,16.25,14.13,2.31,-0.5,0.07237455576786767,0.6424647497937106,-0.20664620898882013,-126.09940169684566,-15.158799741488716,-40.70562437914749,-0.259,-0.8914,-0.1319,-0.3478,0
1905649.0,1814.351085,1.0,5.31,6.08,-5.96,-14.75,-37.0,16.25,14.13,2.31,-0.5,0.07237455576786767,0.6424647497937106,-0.20664620898882013,-126.09940169684566,-15.158799741488716,-40.70562437914749,-0.259,-0.8914,-0.1319,-0.3478,0
1905684.0,1814.368268,1.0,5.08,5.74,-6.12,-14.75,-37.75,16.25,28.75,9.75,0.37,-0.19242421520682268,0.5251839839887444,0.014022431039574457,-126.40360438507471,-15.575066901599747,-40.86455395752174,-0.2509,-0.8926,-0.1355,-0.3491,0
1905684.0,1814.368268,1.0,5.08,5.74,-6.12,-14.75,-37.75,16.25,28.75,9.75,0.37,-0.19242421520682268,0.5251839839887444,0.014022431039574457,-126.40360438507471,-15.575066901599747,-40.86455395752174,-0.2509,-0.8926,-0.1355,-0.3491,0
1905719.0,1814.461084,1.0,5.05,6.15,-6.24,-13.69,-36.25,17.5,14.19,11.0,-6.88,-0.26217394083392,0.9212690665574117,-0.2603817438534026,-126.45446035214495,-16.003112701402525,-41.12146009512062,-0.2454,-0.8928,-0.1392,-0.3512,0
1905719.0,1814.461084,1.0,5.05,6.15,-6.24,-13.69,-36.25,17.5,14.19,11.0,-6.88,-0.26217394083392,0.9212690665574117,-0.2603817438534026,-126.45446035214495,-16.003112701402525,-41.12146009512062,-0.2454,-0.8928,-0.1392,-0.3512,0
1905756.0,1814.466297,1.0,4.33,7.51,-5.32,-14.38,-37.0,17.87,6.5,3.31,-8.94,0.01347258214047875,2.6694113109426745,-0.007903568173228237,-126.37819315148275,-16.489275388774946,-41.096983557102725,-0.2443,-0.8925,-0.1434,-0.351,0
1905756.0,1814.466297,1.0,4.33,7.51,-5.32,-14.38,-37.0,17.87,6.5,3.31,-8.94,0.01347258214047875,2.6694113109426745,-0.007903568173228237,-126.37819315148275,-16.489275388774946,-41.096983557102725,-0.2443,-0.8925,-0.1434,-0.351,0
1905790.0,1814.478708,1.0,4.03,10.31,-5.42,-14.38,-37.0,17.87,11.56,16.62,-24.0,0.018927072581679916,5.099706525991271,-1.4141358510304674,-126.12469119973765,-17.080018727926856,-41.26836056402613,-0.243,-0.8915,-0.1485,-0.3524,0
1905790.0,1814.478708,1.0,4.03,10.31,-5.42,-14.38,-37.0,17.87,11.56,16.62,-24.0,0.018927072581679916,5.099706525991271,-1.4141358510304674,-126.12469119973765,-17.080018727926856,-41.26836056402613,-0.243,-0.8915,-0.1485,-0.3524,0
1905827.0,1814.522151,1.0,2.0,9.48,-4.42,-13.69,-36.69,18.0,10.56,14.06,-115.25,-0.4049441397963045,5.356381500927325,0.6114339905650841,-124.94770072590691,-20.23879269230359,-40.74229316618827,-0.248,-0.8868,-0.1757,-0.3481,0
1905827.0,1814.522151,1.0,2.0,9.48,-4.42,-13.69,-36.69,18.0,10.56,14.06,-115.25,-0.4049441397963045,5.356381500927325,0.6114339905650841,-124.94770072590691,-20.23879269230359,-40.74229316618827,-0.248,-0.8868,-0.1757,-0.3481,0
1905862.0,1814.536401,1.0,1.95,9.32,-3.97,-11.38,-36.69,18.0,20.75,26.31,-141.31,0.27772556148612426,5.013975841475579,0.7950621946464693,-122.9958904624243,-24.150948661500916,-40.26593689865936,-0.2556,-0.8788,-0.2092,-0.3442,0
1905862.0,1814.536401,1.0,1.95,9.32,-3.97,-11.38,-36.69,18.0,20.75,26.31,-141.31,0.27772556148612426,5.013975841475579,0.7950621946464693,-122.9958904624243,-24.150948661500916,-40.26593689865936,-0.2556,-0.8788,-0.2092,-0.3442,0
1905897.0,1814.62427,1.0,1.91,8.89,-3.52,-11.38,-36.69,18.0,51.63,57.63,-138.44,1.0632578984482879,4.379647379432651,1.1603345145914297,-119.94836140851372,-29.96215210560615,-40.02193352838936,-0.2578,-0.8658,-0.2585,-0.3422,0
1905897.0,1814.62427,1.0,1.91,8.89,-3.52,-11.38,-36.69,18.0,51.63,57.63,-138.44,1.0632578984482879,4.379647379432651,1.1603345145914297,-119.94836140851372,-29.96215210560615,-40.02193352838936,-0.2578,-0.8658,-0.2585,-0.3422,0
1905932.0,1814.634499,1.0,3.84,8.26,-4.18,-8.06,-38.25,18.75,87.06,92.31,-137.81,2.079279086233547,2.1472657562660924,0.24048837406461132,-116.27122992614628,-36.75785092937251,-40.66895994437227,-0.2419,-0.8493,-0.3153,-0.3475,0
1905932.0,1814.634499,1.0,3.84,8.26,-4.18,-8.06,-38.25,18.75,87.06,92.31,-137.81,2.079279086233547,2.1472657562660924,0.24048837406461132,-116.27122992614628,-36.75785092937251,-40.66895994437227,-0.2419,-0.8493,-0.3153,-0.3475,0
1905969.0,1814.637325,1.0,4.28,7.83,-4.53,-4.25,-37.06,20.37,68.44,89.5,-155.69,2.1227909533298575,1.1142245463454192,0.09065997176395335,-112.73350926918677,-42.20039204818604,-41.23162880897231,-0.2307,-0.8326,-0.36,-0.3521,0
1905969.0,1814.637325,1.0,4.28,7.83,-4.53,-4.25,-37.06,20.37,68.44,89.5,-155.69,2.1227909533298575,1.1142245463454192,0.09065997176395335,-112.73350926918677,-42.20039204818604,-41.23162880897231,-0.2307,-0.8326,-0.36,-0.3521,0
1906006.0,1814.689606,1.0,5.39,7.21,-4.41,-4.25,-37.06,20.37,117.87,77.0,-142.06,2.772681661437893,-0.5948012913575988,0.19193482854924504,-108.56396821294662,-49.55555952443805,-40.87678270719479,-0.2079,-0.8119,-0.4191,-0.3492,0
1906006.0,1814.689606,1.0,5.39,7.21,-4.41,-4.25,-37.06,20.37,117.87,77.0,-142.06,2.772681661437893,-0.5948012913575988,0.19193482854924504,-108.56396821294662,-49.55555952443805,-40.87678270719479,-0.2079,-0.8119,-0.4191,-0.3492,0
1906038.0,1814.743823,1.0,9.94,3.27,-5.71,-0.56,-35.25,22.75,166.63,119.87,-117.56,1.2621578238759055,-6.557718032281928,-0.06775589791169345,-105.78405748823397,-55.34279598100366,-40.4979166397379,-0.1691,-0.7975,-0.4644,-0.3461,0
1906038.0,1814.743823,1.0,9.94,3.27,-5.71,-0.56,-35.25,22.75,166.63,119.87,-117.56,1.2621578238759055,-6.557718032281928,-0.06775589791169345,-105.78405748823397,-55.34279598100366,-40.4979166397379,-0.1691,-0.7975,-0.4644,-0.3461,0
1906077.0,1814.751069,1.0,9.66,4.71,-8.05,1.75,-33.5,26.56,-19.94,6.5,-106.44,-0.19682421702900155,-5.729381598705125,-2.3357404863914653,-100.9775585633047,-60.6892594156321,-41.10922158106119,-0.1621,-0.7715,-0.5052,-0.3511,0
1906077.0,1814.751069,1.0,9.66,4.71,-8.05,1.75,-33.5,26.56,-19.94,6.5,-106.44,-0.19682421702900155,-5.729381598705125,-2.3357404863914653,-100.9775585633047,-60.6892594156321,-41.10922158106119,-0.1621,-0.7715,-0.5052,-0.3511,0
1906112.0,1814.815994,1.0,6.12,6.71,-6.74,3.69,-30.19,28.87,15.0,-42.56,-74.5,1.1817560732140773,-2.3183915171657428,-1.1994670880813185,-99.44105363347383,-62.78528219858726,-39.9000028418168,-0.1738,-0.7629,-0.5209,-0.3412,0
1906112.0,1814.815994,1.0,6.12,6.71,-6.74,3.69,-30.19,28.87,15.0,-42.56,-74.5,1.1817560732140773,-2.3183915171657428,-1.1994670880813185,-99.44105363347383,-62.78528219858726,-39.9000028418168,-0.1738,-0.7629,-0.5209,-0.3412,0
1906145.0,1814.83617,1.0,5.78,4.65,-3.9,3.69,-30.19,28.87,74.5,52.19,-68.5,1.7333183177853257,-3.3578623892520016,2.3259235791183546,-97.49308186392096,-66.17237591930831,-38.45258771550743,-0.1686,-0.7518,-0.5459,-0.3293,0
1906145.0,1814.83617,1.0,5.78,4.65,-3.9,3.69,-30.19,28.87,74.5,52.19,-68.5,1.7333183177853257,-3.3578623892520016,2.3259235791183546,-97.49308186392096,-66.17237591930831,-38.45258771550743,-0.1686,-0.7518,-0.5459,-0.3293,0
1906182.0,1814.878188,1.0,7.53,1.7,-4.79,6.38,-30.37,28.06,37.25,146.38,-25.87,-0.9610504436629008,-5.6213796461603955,2.734770976821723,-95.13963050405616,-68.62413121482328,-39.997543615819765,-0.1434,-0.7381,-0.5637,-0.342,0
1906182.0,1814.878188,1.0,7.53,1.7,-4.79,6.38,-30.37,28.06,37.25,146.38,-25.87,-0.9610504436629008,-5.6213796461603955,2.734770976821723,-95.13963050405616,-68.62413121482328,-39.997543615819765,-0.1434,-0.7381,-0.5637,-0.342,0
1906219.0,1814.898221,1.0,8.72,3.31,-8.11,6.38,-27.37,30.19,-40.0,96.62,21.5,-2.553375142113719,-4.862541837786164,-1.2659541317937038,-92.34037663402385,-69.02694418354291,-44.432083684823404,-0.1252,-0.7214,-0.5666,-0.3781,0
1906219.0,1814.898221,1.0,8.72,3.31,-8.11,6.38,-27.37,30.19,-40.0,96.62,21.5,-2.553375142113719,-4.862541837786164,-1.2659541317937038,-92.34037663402385,-69.02694418354291,-44.432083684823404,-0.1252,-0.7214,-0.5666,-0.3781,0
1906253.0,1814.942171,1.0,8.67,4.08,-5.88,6.38,-27.37,30.19,-38.94,65.25,58.94,-0.6873267781156989,-4.690774181968536,-0.38716770848696846,-92.10896087538232,-67.62818664851126,-46.90641643845059,-0.1165,-0.72,-0.5565,-0.398,0
1906253.0,1814.942171,1.0,8.67,4.08,-5.88,6.38,-27.37,30.19,-38.94,65.25,58.94,-0.6873267781156989,-4.690774181968536,-0.38716770848696846,-92.10896087538232,-67.62818664851126,-46.90641643845059,-0.1165,-0.72,-0.5565,-0.398,0
