TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
571353.0,527.5861,1.0,9.48,2.41,-2.6,-36.19,-12.38,33.88,-3.19,64.87,-16.31,-0.12626956415114865,0.19633481776587902,-0.3118483390077156,-58.97056807924402,-75.70052817172606,-59.669477410983546,0.3656,-0.4922,-0.6136,-0.4975,0
571353.0,527.5861,1.0,9.48,2.41,-2.6,-36.19,-12.38,33.88,-3.19,64.87,-16.31,-0.12626956415114865,0.19633481776587902,-0.3118483390077156,-58.97056807924402,-75.70052817172606,-59.669477410983546,0.3656,-0.4922,-0.6136,-0.4975,0
571387.0,527.607445,1.0,8.88,2.3,-2.43,-36.19,-12.38,33.88,-5.5,35.75,-17.44,-0.1508372400309601,0.36579949657256017,0.32547186353789037,-58.0118417792849,-75.39608386757838,-60.5963337471018,0.3694,-0.4849,-0.6115,-0.5045,0
571387.0,527.607445,1.0,8.88,2.3,-2.43,-36.19,-12.38,33.88,-5.5,35.75,-17.44,-0.1508372400309601,0.36579949657256017,0.32547186353789037,-58.0118417792849,-75.39608386757838,-60.5963337471018,0.3694,-0.4849,-0.6115,-0.5045,0
571424.0,527.665525,1.0,9.63,2.11,-2.21,-38.38,-13.06,32.25,-12.5,60.88,0.56,-0.5735749339253329,0.3454779293896546,-0.27426051420838427,-56.809873491969896,-74.40012733902506,-62.08851089054388,0.3772,-0.4757,-0.6046,-0.5157,0
571424.0,527.665525,1.0,9.63,2.11,-2.21,-38.38,-13.06,32.25,-12.5,60.88,0.56,-0.5735749339253329,0.3454779293896546,-0.27426051420838427,-56.809873491969896,-74.40012733902506,-62.08851089054388,0.3772,-0.4757,-0.6046,-0.5157,0
571459.0,527.687152,1.0,9.48,2.54,-1.83,-38.56,-13.5,30.56,-24.31,41.06,-14.63,-0.16524956010533476,0.2632789300022549,-0.17204113601087023,-56.146501764592166,-73.36782485981517,-63.49812368940196,0.3805,-0.4706,-0.5974,-0.5262,0
571459.0,527.687152,1.0,9.48,2.54,-1.83,-38.56,-13.5,30.56,-24.31,41.06,-14.63,-0.16524956010533476,0.2632789300022549,-0.17204113601087023,-56.146501764592166,-73.36782485981517,-63.49812368940196,0.3805,-0.4706,-0.5974,-0.5262,0
571494.0,527.733286,1.0,9.63,2.26,-1.28,-38.56,-13.5,30.56,-32.19,34.06,11.0,-0.4956137160541898,-0.037307669954202316,-0.155070493078572,-55.614685483247094,-72.21469959987994,-64.9185496744115,0.3835,-0.4665,-0.5893,-0.5367,0
571494.0,527.733286,1.0,9.63,2.26,-1.28,-38.56,-13.5,30.56,-32.19,34.06,11.0,-0.4956137160541898,-0.037307669954202316,-0.155070493078572,-55.614685483247094,-72.21469959987994,-64.9185496744115,0.3835,-0.4665,-0.5893,-0.5367,0
571529.0,527.798229,1.0,10.43,2.39,-1.49,-40.0,-15.0,29.87,-33.69,19.56,20.56,-0.49364252310268464,0.2861962399155886,-0.9818396427462464,-56.12052906282052,-70.50769114431372,-65.9536821068983,0.3865,-0.4704,-0.5772,-0.5443,0
571529.0,527.798229,1.0,10.43,2.39,-1.49,-40.0,-15.0,29.87,-33.69,19.56,20.56,-0.49364252310268464,0.2861962399155886,-0.9818396427462464,-56.12052906282052,-70.50769114431372,-65.9536821068983,0.3865,-0.4704,-0.5772,-0.5443,0
571566.0,527.817268,1.0,11.59,0.91,-0.49,-41.38,-14.19,28.19,-38.13,-35.38,58.13,-1.882256383660545,-0.986793259358036,-1.6336144186860793,-57.60605796369463,-69.58415236536644,-65.42174546134221,0.3877,-0.4818,-0.5706,-0.5404,0
571566.0,527.817268,1.0,11.59,0.91,-0.49,-41.38,-14.19,28.19,-38.13,-35.38,58.13,-1.882256383660545,-0.986793259358036,-1.6336144186860793,-57.60605796369463,-69.58415236536644,-65.42174546134221,0.3877,-0.4818,-0.5706,-0.5404,0
571600.0,527.820204,1.0,11.03,1.06,-0.99,-41.38,-14.19,28.19,-87.62,-87.31,59.63,-1.1883913509760233,-0.8877470576076201,-1.2189670420813368,-62.4231766521413,-67.40765461346972,-64.67425982878002,0.3705,-0.5182,-0.5549,-0.5349,0
571600.0,527.820204,1.0,11.03,1.06,-0.99,-41.38,-14.19,28.19,-87.62,-87.31,59.63,-1.1883913509760233,-0.8877470576076201,-1.2189670420813368,-62.4231766521413,-67.40765461346972,-64.67425982878002,0.3705,-0.5182,-0.5549,-0.5349,0
571635.0,527.859649,1.0,9.13,1.5,-1.62,-40.56,-13.38,28.19,-134.13,-52.63,118.19,-0.059146653138676175,-0.08307132530403472,0.4140518062979641,-67.38010802744758,-64.17313980035841,-64.17313980035841,0.3578,-0.5547,-0.5312,-0.5312,0
571635.0,527.859649,1.0,9.13,1.5,-1.62,-40.56,-13.38,28.19,-134.13,-52.63,118.19,-0.059146653138676175,-0.08307132530403472,0.4140518062979641,-67.38010802744758,-64.17313980035841,-64.17313980035841,0.3578,-0.5547,-0.5312,-0.5312,0
571670.0,527.925389,1.0,10.13,-0.45,-1.86,-40.19,-13.0,31.06,-47.81,6.19,81.62,-1.6250810874399975,-0.3610233494427222,-0.36722701913100764,-70.92922160534616,-60.11912281043993,-64.41675547774169,0.3583,-0.5802,-0.5009,-0.533,0
571670.0,527.925389,1.0,10.13,-0.45,-1.86,-40.19,-13.0,31.06,-47.81,6.19,81.62,-1.6250810874399975,-0.3610233494427222,-0.36722701913100764,-70.92922160534616,-60.11912281043993,-64.41675547774169,0.3583,-0.5802,-0.5009,-0.533,0
571707.0,527.943985,1.0,11.4,3.5,0.46,-40.06,-12.25,29.25,-196.81,-83.06,49.31,3.023030831393343,-1.7667751058813441,-1.6021794893772174,-74.93336628710402,-56.796846315050196,-65.4626072017906,0.3339,-0.6083,-0.4756,-0.5407,0
571707.0,527.943985,1.0,11.4,3.5,0.46,-40.06,-12.25,29.25,-196.81,-83.06,49.31,3.023030831393343,-1.7667751058813441,-1.6021794893772174,-74.93336628710402,-56.796846315050196,-65.4626072017906,0.3339,-0.6083,-0.4756,-0.5407,0
571740.0,527.993043,1.0,8.52,2.92,-2.42,-40.06,-12.25,29.25,-139.0,-158.88,52.75,1.8582530728936757,0.859909554357853,0.7082627211793575,-82.34069929138175,-53.64140160793269,-63.848822930175274,0.2888,-0.6583,-0.4512,-0.5288,0
571740.0,527.993043,1.0,8.52,2.92,-2.42,-40.06,-12.25,29.25,-139.0,-158.88,52.75,1.8582530728936757,0.859909554357853,0.7082627211793575,-82.34069929138175,-53.64140160793269,-63.848822930175274,0.2888,-0.6583,-0.4512,-0.5288,0
571777.0,528.000449,1.0,8.58,1.02,-3.88,-37.88,-14.88,29.69,-109.94,-103.44,56.56,-0.24714251621685002,0.8928457723619305,0.38046588321904906,-86.59711027164687,-51.76155935207183,-62.35619623181861,0.2668,-0.6858,-0.4365,-0.5177,0
571777.0,528.000449,1.0,8.58,1.02,-3.88,-37.88,-14.88,29.69,-109.94,-103.44,56.56,-0.24714251621685002,0.8928457723619305,0.38046588321904906,-86.59711027164687,-51.76155935207183,-62.35619623181861,0.2668,-0.6858,-0.4365,-0.5177,0
571813.0,528.064128,1.0,8.32,2.45,-2.89,-34.88,-15.5,33.88,-91.37,-168.88,100.87,1.9802148199677505,0.4242506141356259,0.8917321269522827,-94.02458435289965,-48.42223359833176,-59.036399515897585,0.2323,-0.7315,-0.4101,-0.4927,0
571813.0,528.064128,1.0,8.32,2.45,-2.89,-34.88,-15.5,33.88,-91.37,-168.88,100.87,1.9802148199677505,0.4242506141356259,0.8917321269522827,-94.02458435289965,-48.42223359833176,-59.036399515897585,0.2323,-0.7315,-0.4101,-0.4927,0
571850.0,528.082685,1.0,7.31,0.55,-4.78,-34.88,-15.5,33.88,-56.88,-122.69,120.87,-0.18595523902469868,0.8373110930426708,1.0973830513672418,-99.70728571646619,-45.6850888383235,-55.38161658816516,0.2213,-0.7644,-0.3882,-0.4647,0
571850.0,528.082685,1.0,7.31,0.55,-4.78,-34.88,-15.5,33.88,-56.88,-122.69,120.87,-0.18595523902469868,0.8373110930426708,1.0973830513672418,-99.70728571646619,-45.6850888383235,-55.38161658816516,0.2213,-0.7644,-0.3882,-0.4647,0
