TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
3616036.0,3589.884965,1.0,2.59,1.11,-9.28,-10.38,-23.0,35.38,0.56,1.31,-0.06,-0.06539296560590536,-0.09424368874542,0.10894708192806668,-162.3787540603093,-2.4180613422720283,-16.026256661631813,-0.0599,-0.9882,-0.0211,-0.1394,0
3616036.0,3589.884965,1.0,2.59,1.11,-9.28,-10.38,-23.0,35.38,0.56,1.31,-0.06,-0.06539296560590536,-0.09424368874542,0.10894708192806668,-162.3787540603093,-2.4180613422720283,-16.026256661631813,-0.0599,-0.9882,-0.0211,-0.1394,0
3616073.0,3589.925106,1.0,2.57,1.14,-9.21,-10.38,-22.56,34.19,0.31,-0.19,1.25,-0.06454411634389871,-0.047055382644290655,0.17741223951191287,-162.3787540603093,-2.383676327772471,-16.026256661631813,-0.0595,-0.9882,-0.0208,-0.1394,0
3616073.0,3589.925106,1.0,2.57,1.14,-9.21,-10.38,-22.56,34.19,0.31,-0.19,1.25,-0.06454411634389871,-0.047055382644290655,0.17741223951191287,-162.3787540603093,-2.383676327772471,-16.026256661631813,-0.0595,-0.9882,-0.0208,-0.1394,0
3616108.0,3589.934277,1.0,2.7,1.15,-9.35,-10.38,-22.56,34.19,1.06,1.06,-0.06,0.01584234229455058,-0.05823044959675827,0.0070909162998358255,-162.3787540603093,-2.383676327772471,-16.0609738361326,-0.0594,-0.9882,-0.0208,-0.1397,0
3616108.0,3589.934277,1.0,2.7,1.15,-9.35,-10.38,-22.56,34.19,1.06,1.06,-0.06,0.01584234229455058,-0.05823044959675827,0.0070909162998358255,-162.3787540603093,-2.383676327772471,-16.0609738361326,-0.0594,-0.9882,-0.0208,-0.1397,0
3616145.0,3589.993619,1.0,2.72,1.07,-9.38,-10.38,-21.87,34.19,1.63,-1.5,-0.06,0.027019128023435073,-0.1288319127553394,-0.017319274431628173,-162.3787540603093,-2.3951379752687134,-16.04940127991137,-0.0587,-0.9882,-0.0209,-0.1396,0
3616145.0,3589.993619,1.0,2.72,1.07,-9.38,-10.38,-21.87,34.19,1.63,-1.5,-0.06,0.027019128023435073,-0.1288319127553394,-0.017319274431628173,-162.3787540603093,-2.3951379752687134,-16.04940127991137,-0.0587,-0.9882,-0.0209,-0.1396,0
3616180.0,3590.055357,1.0,2.51,1.05,-9.2,-9.69,-23.0,35.38,-0.44,-2.25,-0.19,-0.11343792567090002,-0.11661790268983363,0.2141460462978344,-162.45372607444324,-2.383676327772471,-15.979969398223387,-0.0587,-0.9883,-0.0208,-0.139,0
3616180.0,3590.055357,1.0,2.51,1.05,-9.2,-9.69,-23.0,35.38,-0.44,-2.25,-0.19,-0.11343792567090002,-0.11661790268983363,0.2141460462978344,-162.45372607444324,-2.383676327772471,-15.979969398223387,-0.0587,-0.9883,-0.0208,-0.139,0
