TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
345958.0,56.711916,1.0,-1.33,-0.61,-9.58,11.5,-14.88,36.56,3.25,2.44,-0.06,0.01617986105938621,-0.08230752272134562,0.11591402775312609,-154.37448496866148,-24.045492963672757,8.671395302011163,0.0125,-0.9751,-0.2083,0.0756,0
345958.0,56.711916,1.0,-1.33,-0.61,-9.58,11.5,-14.88,36.56,3.25,2.44,-0.06,0.01617986105938621,-0.08230752272134562,0.11591402775312609,-154.37448496866148,-24.045492963672757,8.671395302011163,0.0125,-0.9751,-0.2083,0.0756,0
345993.0,56.769174,1.0,-1.33,-0.74,-9.56,11.06,-13.75,37.75,1.81,0.25,0.0,-0.03908393195091854,-0.181324324898899,0.1280295437850132,-154.37448496866148,-24.03377694135321,8.648411389524659,0.0135,-0.9751,-0.2082,0.0754,0
345993.0,56.769174,1.0,-1.33,-0.74,-9.56,11.06,-13.75,37.75,1.81,0.25,0.0,-0.03908393195091854,-0.181324324898899,0.1280295437850132,-154.37448496866148,-24.03377694135321,8.648411389524659,0.0135,-0.9751,-0.2082,0.0754,0
346025.0,56.772882,1.0,-1.25,-0.5,-9.67,11.06,-13.75,37.75,-0.94,-1.69,-0.44,0.15143277899955487,-0.0022203260901372257,0.04455682365730951,-154.3228637180319,-24.045492963672757,8.68288738926451,0.0132,-0.975,-0.2083,0.0757,0
346025.0,56.772882,1.0,-1.25,-0.5,-9.67,11.06,-13.75,37.75,-0.94,-1.69,-0.44,0.15143277899955487,-0.0022203260901372257,0.04455682365730951,-154.3228637180319,-24.045492963672757,8.68288738926451,0.0132,-0.975,-0.2083,0.0757,0
346060.0,56.787866,1.0,-1.37,-0.56,-9.62,11.5,-14.88,37.0,2.0,0.44,-0.37,0.021614239677566253,-0.005947596254235632,0.07349031515243531,-154.3228637180319,-24.045492963672757,8.740349140335569,0.0134,-0.975,-0.2083,0.0762,0
346060.0,56.787866,1.0,-1.37,-0.56,-9.62,11.5,-14.88,37.0,2.0,0.44,-0.37,0.021614239677566253,-0.005947596254235632,0.07349031515243531,-154.3228637180319,-24.045492963672757,8.740349140335569,0.0134,-0.975,-0.2083,0.0762,0
346097.0,56.830772,1.0,-1.43,-0.75,-9.42,11.06,-14.06,37.25,1.88,0.37,-0.5,-0.14209013199564696,-0.13583157575509147,0.2512766332802343,-154.3228637180319,-24.045492963672757,8.705871826379285,0.0143,-0.975,-0.2083,0.0759,0
346097.0,56.830772,1.0,-1.43,-0.75,-9.42,11.06,-14.06,37.25,1.88,0.37,-0.5,-0.14209013199564696,-0.13583157575509147,0.2512766332802343,-154.3228637180319,-24.045492963672757,8.705871826379285,0.0143,-0.975,-0.2083,0.0759,0
346132.0,56.84669,1.0,-1.33,-0.6,-9.49,11.06,-14.06,37.25,-0.12,-1.12,-0.63,0.017518188988206,-0.039323410456812646,0.20523620918540786,-154.3228637180319,-24.068925773800885,8.69437956401469,0.0143,-0.975,-0.2085,0.0758,0
346132.0,56.84669,1.0,-1.33,-0.6,-9.49,11.06,-14.06,37.25,-0.12,-1.12,-0.63,0.017518188988206,-0.039323410456812646,0.20523620918540786,-154.3228637180319,-24.068925773800885,8.69437956401469,0.0143,-0.975,-0.2085,0.0758,0
346165.0,56.886052,1.0,-1.33,-0.82,-9.62,11.5,-14.5,37.25,3.0,1.63,-0.12,-0.04579714145752373,-0.2240620950160751,0.06327282371192666,-154.3228637180319,-24.057209241108925,8.705871826379285,0.0152,-0.975,-0.2084,0.0759,0
346165.0,56.886052,1.0,-1.33,-0.82,-9.62,11.5,-14.5,37.25,3.0,1.63,-0.12,-0.04579714145752373,-0.2240620950160751,0.06327282371192666,-154.3228637180319,-24.057209241108925,8.705871826379285,0.0152,-0.975,-0.2084,0.0759,0
346200.0,56.942572,1.0,-1.3,-0.68,-9.49,11.5,-14.5,36.75,0.06,-2.25,0.5,0.01775570840186458,-0.10828744969201004,0.2045430143921827,-154.3228637180319,-24.057209241108925,8.705871826379285,0.0152,-0.975,-0.2084,0.0759,0
346200.0,56.942572,1.0,-1.3,-0.68,-9.49,11.5,-14.5,36.75,0.06,-2.25,0.5,0.01775570840186458,-0.10828744969201004,0.2045430143921827,-154.3228637180319,-24.057209241108925,8.705871826379285,0.0152,-0.975,-0.2084,0.0759,0
