TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1617485.0,396.943101,1.0,3.99,0.08,8.79,1.88,-4.88,-44.38,-1.12,-0.06,-1.5,0.09569280646647582,0.033756313386308245,0.15365546990224566,-19.66867198617123,14.858287755594212,-97.82381585601729,-0.6213,-0.1708,0.1293,-0.7537,0
1617485.0,396.943101,1.0,3.99,0.08,8.79,1.88,-4.88,-44.38,-1.12,-0.06,-1.5,0.09569280646647582,0.033756313386308245,0.15365546990224566,-19.66867198617123,14.858287755594212,-97.82381585601729,-0.6213,-0.1708,0.1293,-0.7537,0
1617522.0,396.968648,1.0,4.04,0.14,8.76,1.06,-6.0,-46.0,-2.06,1.06,-1.12,0.016014811824138442,-0.013509784407987002,0.1589372652878236,-19.61052428537218,14.89295693159816,-97.7889502665729,-0.6216,-0.1703,0.1296,-0.7535,0
1617522.0,396.968648,1.0,4.04,0.14,8.76,1.06,-6.0,-46.0,-2.06,1.06,-1.12,0.016014811824138442,-0.013509784407987002,0.1589372652878236,-19.61052428537218,14.89295693159816,-97.7889502665729,-0.6216,-0.1703,0.1296,-0.7535,0
1617557.0,397.013297,1.0,3.97,0.05,8.95,2.19,-5.25,-44.75,-0.06,0.69,-1.12,0.12997198259780318,0.10332323313797298,0.01694461152004223,-19.564009796752835,14.89295693159816,-97.75409683092421,-0.622,-0.1699,0.1296,-0.7533,0
1617557.0,397.013297,1.0,3.97,0.05,8.95,2.19,-5.25,-44.75,-0.06,0.69,-1.12,0.12997198259780318,0.10332323313797298,0.01694461152004223,-19.564009796752835,14.89295693159816,-97.75409683092421,-0.622,-0.1699,0.1296,-0.7533,0
1617592.0,397.071191,1.0,4.13,0.06,8.84,2.19,-5.25,-44.75,-2.0,2.25,-0.81,0.07424666574039296,-0.09296079205064522,0.050014016026439734,-19.4826172689267,14.881400387429185,-97.75409683092421,-0.6222,-0.1692,0.1295,-0.7533,0
1617592.0,397.071191,1.0,4.13,0.06,8.84,2.19,-5.25,-44.75,-2.0,2.25,-0.81,0.07424666574039296,-0.09296079205064522,0.050014016026439734,-19.4826172689267,14.881400387429185,-97.75409683092421,-0.6222,-0.1692,0.1295,-0.7533,0
1617627.0,397.083042,1.0,4.33,0.13,8.85,1.5,-4.56,-44.0,-1.5,0.88,-1.81,-0.03527054860651602,-0.25958576412496814,-0.043206406032760825,-19.41286014518169,14.904513628099544,-97.68442635735761,-0.6228,-0.1686,0.1297,-0.7529,0
1617627.0,397.083042,1.0,4.33,0.13,8.85,1.5,-4.56,-44.0,-1.5,0.88,-1.81,-0.03527054860651602,-0.25958576412496814,-0.043206406032760825,-19.41286014518169,14.904513628099544,-97.68442635735761,-0.6228,-0.1686,0.1297,-0.7529,0
