TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
993718.0,762.974452,1.0,6.45,-0.2,7.35,-38.0,-16.0,-10.75,-0.25,0.12,0.0,0.12165592677884318,0.053183910366460196,0.026702591800008335,-38.14932632838656,-15.771709071970362,-114.87396927454428,0.4051,-0.3268,-0.1372,-0.8428,0
993718.0,762.974452,1.0,6.45,-0.2,7.35,-38.0,-16.0,-10.75,-0.25,0.12,0.0,0.12165592677884318,0.053183910366460196,0.026702591800008335,-38.14932632838656,-15.771709071970362,-114.87396927454428,0.4051,-0.3268,-0.1372,-0.8428,0
993753.0,762.976871,1.0,6.41,-0.25,7.32,-38.0,-16.0,-10.75,0.37,0.19,0.56,0.08817015786559546,0.012631142938463569,0.07396966632572166,-38.14932632838656,-15.771709071970362,-114.87396927454428,0.4051,-0.3268,-0.1372,-0.8428,0
993753.0,762.976871,1.0,6.41,-0.25,7.32,-38.0,-16.0,-10.75,0.37,0.19,0.56,0.08817015786559546,0.012631142938463569,0.07396966632572166,-38.14932632838656,-15.771709071970362,-114.87396927454428,0.4051,-0.3268,-0.1372,-0.8428,0
993789.0,763.031849,1.0,6.42,-0.23,7.2,-38.0,-16.37,-11.19,-0.25,0.37,0.06,0.04839595576330269,0.09099415292164004,0.157884384875965,-38.16145144122449,-15.760140597334962,-114.87396927454428,0.405,-0.3269,-0.1371,-0.8428,0
993789.0,763.031849,1.0,6.42,-0.23,7.2,-38.0,-16.37,-11.19,-0.25,0.37,0.06,0.04839595576330269,0.09099415292164004,0.157884384875965,-38.16145144122449,-15.760140597334962,-114.87396927454428,0.405,-0.3269,-0.1371,-0.8428,0
993824.0,763.127961,1.0,6.42,-0.25,7.36,-37.56,-16.75,-10.75,-0.44,0.25,-0.5,0.10169873198012802,-0.0002462531708047333,0.037404516991959014,-38.14932632838656,-15.760140597334962,-114.87396927454428,0.405,-0.3268,-0.1371,-0.8428,0
993824.0,763.127961,1.0,6.42,-0.25,7.36,-37.56,-16.75,-10.75,-0.44,0.25,-0.5,0.10169873198012802,-0.0002462531708047333,0.037404516991959014,-38.14932632838656,-15.760140597334962,-114.87396927454428,0.405,-0.3268,-0.1371,-0.8428,0
993861.0,763.212387,1.0,6.47,-0.22,7.25,-37.56,-16.75,-10.75,-0.31,0.06,-0.25,0.05435165741097825,0.10462275381454567,0.08770458515581048,-38.14932632838656,-15.748572284340511,-114.87396927454428,0.405,-0.3268,-0.137,-0.8428,0
993861.0,763.212387,1.0,6.47,-0.22,7.25,-37.56,-16.75,-10.75,-0.31,0.06,-0.25,0.05435165741097825,0.10462275381454567,0.08770458515581048,-38.14932632838656,-15.748572284340511,-114.87396927454428,0.405,-0.3268,-0.137,-0.8428,0
