TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
644929.0,353.439598,1.0,-4.78,-1.25,-8.39,32.0,-11.0,17.69,0.06,2.75,0.19,-0.07888934918689211,-0.08972194747018358,0.07069979250987046,-119.08377982565197,-51.367054033500715,29.61828173729524,-0.061,-0.862,-0.4334,0.2556,0
644929.0,353.439598,1.0,-4.78,-1.25,-8.39,32.0,-11.0,17.69,0.06,2.75,0.19,-0.07888934918689211,-0.08972194747018358,0.07069979250987046,-119.08377982565197,-51.367054033500715,29.61828173729524,-0.061,-0.862,-0.4334,0.2556,0
644962.0,353.443037,1.0,-4.85,-1.18,-8.38,32.0,-11.0,17.69,-3.31,0.63,0.31,-0.07643989834448217,0.006859703400153294,0.05301427344088516,-119.10638959402517,-51.40520334224811,29.547170301814955,-0.0614,-0.8621,-0.4337,0.255,0
644962.0,353.443037,1.0,-4.85,-1.18,-8.38,32.0,-11.0,17.69,-3.31,0.63,0.31,-0.07643989834448217,0.006859703400153294,0.05301427344088516,-119.10638959402517,-51.40520334224811,29.547170301814955,-0.0614,-0.8621,-0.4337,0.255,0
644999.0,353.447464,1.0,-4.74,-0.96,-8.59,32.75,-10.56,16.37,-3.25,0.81,0.88,0.2137284974070056,-0.007476974321095509,-0.04888470006834389,-119.12900695445512,-51.40520334224811,29.464221664430085,-0.0619,-0.8622,-0.4337,0.2543,0
644999.0,353.447464,1.0,-4.74,-0.96,-8.59,32.75,-10.56,16.37,-3.25,0.81,0.88,0.2137284974070056,-0.007476974321095509,-0.04888470006834389,-119.12900695445512,-51.40520334224811,29.464221664430085,-0.0619,-0.8622,-0.4337,0.2543,0
645036.0,353.491998,1.0,-4.81,-1.2,-8.27,32.0,-11.38,16.0,1.88,1.44,0.63,-0.13228724698512898,0.002880875974249908,0.16551460084504832,-119.17426448564116,-51.37976979085595,29.452373148891272,-0.0617,-0.8624,-0.4335,0.2542,0
645036.0,353.491998,1.0,-4.81,-1.2,-8.27,32.0,-11.38,16.0,1.88,1.44,0.63,-0.13228724698512898,0.002880875974249908,0.16551460084504832,-119.17426448564116,-51.37976979085595,29.452373148891272,-0.0617,-0.8624,-0.4335,0.2542,0
645068.0,353.496391,1.0,-4.86,-1.2,-8.25,32.0,-11.38,16.0,-2.75,1.94,1.06,-0.17521393310839245,0.04621663244414753,0.15837222101113824,-119.19690467351397,-51.37976979085595,29.393135398012305,-0.0619,-0.8625,-0.4335,0.2537,0
645068.0,353.496391,1.0,-4.86,-1.2,-8.25,32.0,-11.38,16.0,-2.75,1.94,1.06,-0.17521393310839245,0.04621663244414753,0.15837222101113824,-119.19690467351397,-51.37976979085595,29.393135398012305,-0.0619,-0.8625,-0.4335,0.2537,0
645103.0,353.55865,1.0,-4.91,-0.86,-8.43,32.38,-11.69,16.0,-6.38,1.31,-0.12,0.10188553322430682,0.22372269862488703,0.016237981487217112,-119.19690467351397,-51.43063961098535,29.23915478171118,-0.0632,-0.8625,-0.4339,0.2524,0
645103.0,353.55865,1.0,-4.91,-0.86,-8.43,32.38,-11.69,16.0,-6.38,1.31,-0.12,0.10188553322430682,0.22372269862488703,0.016237981487217112,-119.19690467351397,-51.43063961098535,29.23915478171118,-0.0632,-0.8625,-0.4339,0.2524,0
645140.0,353.565695,1.0,-4.8,-1.03,-8.46,32.38,-12.06,16.37,-0.25,1.06,0.19,0.029133777569554264,0.03744927102026152,0.025533050739829477,-119.24220793672812,-51.43063961098535,29.19178700040293,-0.063,-0.8627,-0.4339,0.252,0
645140.0,353.565695,1.0,-4.8,-1.03,-8.46,32.38,-12.06,16.37,-0.25,1.06,0.19,0.029133777569554264,0.03744927102026152,0.025533050739829477,-119.24220793672812,-51.43063961098535,29.19178700040293,-0.063,-0.8627,-0.4339,0.252,0
645175.0,353.657998,1.0,-4.77,-0.95,-8.49,32.38,-12.06,16.37,-1.31,1.31,-0.63,0.10799443213031118,0.052924800559734586,0.022937199221630067,-119.24220793672812,-51.456078599192516,29.1444243172648,-0.0634,-0.8627,-0.4341,0.2516,0
645175.0,353.657998,1.0,-4.77,-0.95,-8.49,32.38,-12.06,16.37,-1.31,1.31,-0.63,0.10799443213031118,0.052924800559734586,0.022937199221630067,-119.24220793672812,-51.456078599192516,29.1444243172648,-0.0634,-0.8627,-0.4341,0.2516,0
645208.0,353.742928,1.0,-4.75,-0.95,-8.45,31.56,-11.69,17.19,-2.31,0.94,-1.19,0.0903358169979015,0.051782895171408105,0.06721172195054237,-119.21955248767715,-51.50696474252449,29.073389830335397,-0.0638,-0.8626,-0.4345,0.251,0
645208.0,353.742928,1.0,-4.75,-0.95,-8.45,31.56,-11.69,17.19,-2.31,0.94,-1.19,0.0903358169979015,0.051782895171408105,0.06721172195054237,-119.21955248767715,-51.50696474252449,29.073389830335397,-0.0638,-0.8626,-0.4345,0.251,0
645242.0,353.833649,1.0,-4.75,-0.99,-8.32,32.0,-9.88,17.69,-1.94,1.31,-1.69,-0.0020012356574792833,0.07934901897185098,0.1755182010760521,-119.19690467351397,-51.58331440676472,28.97869493391196,-0.0638,-0.8625,-0.4351,0.2502,0
645242.0,353.833649,1.0,-4.75,-0.99,-8.32,32.0,-9.88,17.69,-1.94,1.31,-1.69,-0.0020012356574792833,0.07934901897185098,0.1755182010760521,-119.19690467351397,-51.58331440676472,28.97869493391196,-0.0638,-0.8625,-0.4351,0.2502,0
645279.0,353.929461,1.0,-4.69,-0.98,-8.42,32.0,-10.56,17.69,1.63,1.37,-2.0,0.06932012177059488,0.018528342473942305,0.11914508793709722,-119.17426448564116,-51.646957908772436,28.931355072204077,-0.0636,-0.8624,-0.4356,0.2498,0
645279.0,353.929461,1.0,-4.69,-0.98,-8.42,32.0,-10.56,17.69,1.63,1.37,-2.0,0.06932012177059488,0.018528342473942305,0.11914508793709722,-119.17426448564116,-51.646957908772436,28.931355072204077,-0.0636,-0.8624,-0.4356,0.2498,0
645312.0,353.979014,1.0,-4.56,-1.21,-8.63,32.0,-10.56,17.69,0.12,0.81,-2.19,0.033458678477095466,-0.2695588582086106,-0.02497339284799338,-119.15163191547691,-51.71061852077841,28.89585348706327,-0.063,-0.8623,-0.4361,0.2495,0
