TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1392654.0,1303.857439,1.0,9.01,3.99,1.2,-17.69,-12.25,-28.75,-2.13,3.75,-0.88,-0.11675122311034802,-0.2391645222546921,-0.11652335751003129,-69.97532009784457,36.49230113700159,-55.45927852016165,-0.5972,-0.5734,0.3131,-0.4653,0
1392654.0,1303.857439,1.0,9.01,3.99,1.2,-17.69,-12.25,-28.75,-2.13,3.75,-0.88,-0.11675122311034802,-0.2391645222546921,-0.11652335751003129,-69.97532009784457,36.49230113700159,-55.45927852016165,-0.5972,-0.5734,0.3131,-0.4653,0
1392687.0,1303.86094,1.0,8.78,3.88,1.51,-17.69,-12.25,-28.75,3.0,-2.06,-0.12,-0.048364697788695565,0.11193085661389213,0.09027040987768586,-70.05926324812907,36.49230113700159,-55.44633294451449,-0.5967,-0.574,0.3131,-0.4652,0
1392687.0,1303.86094,1.0,8.78,3.88,1.51,-17.69,-12.25,-28.75,3.0,-2.06,-0.12,-0.048364697788695565,0.11193085661389213,0.09027040987768586,-70.05926324812907,36.49230113700159,-55.44633294451449,-0.5967,-0.574,0.3131,-0.4652,0
1392721.0,1303.90305,1.0,8.84,3.92,1.34,-17.69,-11.88,-27.56,-1.56,2.5,0.25,-0.0913439284526496,-0.07238600713978083,0.044784576183444,-70.0172862891219,36.45610555039494,-55.48517197824964,-0.5969,-0.5737,0.3128,-0.4655,0
1392721.0,1303.90305,1.0,8.84,3.92,1.34,-17.69,-11.88,-27.56,-1.56,2.5,0.25,-0.0913439284526496,-0.07238600713978083,0.044784576183444,-70.0172862891219,36.45610555039494,-55.48517197824964,-0.5969,-0.5737,0.3128,-0.4655,0
1392758.0,1303.90597,1.0,8.93,3.93,1.31,-16.56,-12.69,-27.56,0.44,3.94,0.12,-0.07301896602250402,-0.13819501336935947,-0.03618853209433048,-69.9333646603909,36.39578793652754,-55.536968130068544,-0.5974,-0.5731,0.3123,-0.4659,0
1392758.0,1303.90597,1.0,8.93,3.93,1.31,-16.56,-12.69,-27.56,0.44,3.94,0.12,-0.07301896602250402,-0.13819501336935947,-0.03618853209433048,-69.9333646603909,36.39578793652754,-55.536968130068544,-0.5974,-0.5731,0.3123,-0.4659,0
1392791.0,1303.913482,1.0,8.86,3.88,1.48,-16.56,-12.69,-27.56,0.5,2.56,0.25,-0.025971526196298056,0.028686598119269435,0.021819773628395822,-69.91938190191141,36.34754136011127,-55.588776612226965,-0.5975,-0.573,0.3119,-0.4663,0
1392791.0,1303.913482,1.0,8.86,3.88,1.48,-16.56,-12.69,-27.56,0.5,2.56,0.25,-0.025971526196298056,0.028686598119269435,0.021819773628395822,-69.91938190191141,36.34754136011127,-55.588776612226965,-0.5975,-0.573,0.3119,-0.4663,0
1392826.0,1303.933248,1.0,8.92,3.97,1.28,-17.25,-12.25,-26.75,-1.63,3.25,0.37,-0.12210191557396732,-0.19482734967868742,-0.037781594867746904,-69.79359069064598,36.29930145114271,-55.640597444132574,-0.5982,-0.5721,0.3115,-0.4667,0
1392826.0,1303.933248,1.0,8.92,3.97,1.28,-17.25,-12.25,-26.75,-1.63,3.25,0.37,-0.12210191557396732,-0.19482734967868742,-0.037781594867746904,-69.79359069064598,36.29930145114271,-55.640597444132574,-0.5982,-0.5721,0.3115,-0.4667,0
1392861.0,1303.936312,1.0,8.87,3.96,1.35,-17.25,-12.25,-27.19,-0.06,-1.0,0.19,-0.11671050481375667,-0.11267838857555801,0.0008006110478060435,-69.82153596259464,36.29930145114271,-55.614685483247094,-0.5981,-0.5723,0.3115,-0.4665,0
1392861.0,1303.936312,1.0,8.87,3.96,1.35,-17.25,-12.25,-27.19,-0.06,-1.0,0.19,-0.11671050481375667,-0.11267838857555801,0.0008006110478060435,-69.82153596259464,36.29930145114271,-55.614685483247094,-0.5981,-0.5723,0.3115,-0.4665,0
1392896.0,1303.953143,1.0,8.83,3.88,1.53,-17.0,-11.88,-28.0,0.88,0.37,0.25,-0.028379749934518195,0.07057650975842344,0.04148673735743458,-69.86346279099202,36.29930145114271,-55.614685483247094,-0.5978,-0.5726,0.3115,-0.4665,0
1392896.0,1303.953143,1.0,8.83,3.88,1.53,-17.0,-11.88,-28.0,0.88,0.37,0.25,-0.028379749934518195,0.07057650975842344,0.04148673735743458,-69.86346279099202,36.29930145114271,-55.614685483247094,-0.5978,-0.5726,0.3115,-0.4665,0
