TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
3734767.0,968.523685,1.0,9.19,2.1,1.49,-19.87,-22.75,-17.06,-3.94,1.12,0.5,0.13261711534835033,-0.16424974486120547,0.2650759829926539,-81.24917717727452,4.355527902560735,-92.65522197363407,-0.2271,-0.6511,0.038,-0.7233,0
3734767.0,968.523685,1.0,9.19,2.1,1.49,-19.87,-22.75,-17.06,-3.94,1.12,0.5,0.13261711534835033,-0.16424974486120547,0.2650759829926539,-81.24917717727452,4.355527902560735,-92.65522197363407,-0.2271,-0.6511,0.038,-0.7233,0
3734800.0,968.531433,1.0,9.45,2.63,1.34,-18.75,-22.37,-16.69,-11.38,0.75,1.69,-0.24978064935015692,0.19149937907345294,-0.0885982341285736,-81.08320374700907,4.607822312445006,-92.72162065181283,-0.2285,-0.65,0.0402,-0.7237,0
3734800.0,968.531433,1.0,9.45,2.63,1.34,-18.75,-22.37,-16.69,-11.38,0.75,1.69,-0.24978064935015692,0.19149937907345294,-0.0885982341285736,-81.08320374700907,4.607822312445006,-92.72162065181283,-0.2285,-0.65,0.0402,-0.7237,0
3734837.0,968.59451,1.0,9.4,2.4,1.53,-19.19,-22.75,-17.06,3.94,0.37,-1.19,0.016061370621902604,0.05987583510362415,-0.014605363584864861,-81.0681254533819,4.539012581284228,-92.73822662555116,-0.2284,-0.6499,0.0396,-0.7238,0
3734837.0,968.59451,1.0,9.4,2.4,1.53,-19.19,-22.75,-17.06,3.94,0.37,-1.19,0.016061370621902604,0.05987583510362415,-0.014605363584864861,-81.0681254533819,4.539012581284228,-92.73822662555116,-0.2284,-0.6499,0.0396,-0.7238,0
3734874.0,968.602543,1.0,9.5,2.31,1.34,-19.19,-22.37,-15.88,-0.37,2.94,-0.12,-0.13898149277889776,-0.12470648631381676,-0.059799839579390834,-81.00782923439905,4.49314033842009,-92.80467578226568,-0.2285,-0.6495,0.0392,-0.7242,0
3734874.0,968.602543,1.0,9.5,2.31,1.34,-19.19,-22.37,-15.88,-0.37,2.94,-0.12,-0.13898149277889776,-0.12470648631381676,-0.059799839579390834,-81.00782923439905,4.49314033842009,-92.80467578226568,-0.2285,-0.6495,0.0392,-0.7242,0
3734906.0,968.663644,1.0,9.66,2.24,1.15,-19.19,-22.37,-15.88,-4.25,0.06,1.12,-0.29571041129828063,-0.2829087705929574,-0.1677280748561678,-81.02290074748137,4.642227799866185,-92.75483512396401,-0.2287,-0.6496,0.0405,-0.7239,0
3734906.0,968.663644,1.0,9.66,2.24,1.15,-19.19,-22.37,-15.88,-4.25,0.06,1.12,-0.29571041129828063,-0.2829087705929574,-0.1677280748561678,-81.02290074748137,4.642227799866185,-92.75483512396401,-0.2287,-0.6496,0.0405,-0.7239,0
3734943.0,968.68042,1.0,9.16,2.68,1.66,-19.5,-23.5,-16.25,-4.13,-4.13,-1.94,0.039213549151358246,0.43302960435892324,0.12912202745909163,-81.0681254533819,4.791323123878448,-92.62203774366758,-0.2301,-0.6499,0.0418,-0.7231,0
3734943.0,968.68042,1.0,9.16,2.68,1.66,-19.5,-23.5,-16.25,-4.13,-4.13,-1.94,0.039213549151358246,0.43302960435892324,0.12912202745909163,-81.0681254533819,4.791323123878448,-92.62203774366758,-0.2301,-0.6499,0.0418,-0.7231,0
3734980.0,968.686705,1.0,9.36,2.08,1.43,-19.5,-23.06,-17.5,4.06,3.94,-1.56,0.04498463093084283,-0.2536701142748834,0.115699176881364,-81.02290074748137,4.71104003397371,-92.67181786365629,-0.2303,-0.6496,0.0411,-0.7234,0
3734980.0,968.686705,1.0,9.36,2.08,1.43,-19.5,-23.06,-17.5,4.06,3.94,-1.56,0.04498463093084283,-0.2536701142748834,0.115699176881364,-81.02290074748137,4.71104003397371,-92.67181786365629,-0.2303,-0.6496,0.0411,-0.7234,0
3735015.0,968.722618,1.0,9.48,2.68,1.38,-19.5,-23.06,-17.5,-4.5,0.19,0.56,-0.2550924229957181,0.22844424821095832,-0.13517785413172945,-80.93249704821434,4.837200229263812,-92.70501720124948,-0.2313,-0.649,0.0422,-0.7236,0
3735015.0,968.722618,1.0,9.48,2.68,1.38,-19.5,-23.06,-17.5,-4.5,0.19,0.56,-0.2550924229957181,0.22844424821095832,-0.13517785413172945,-80.93249704821434,4.837200229263812,-92.70501720124948,-0.2313,-0.649,0.0422,-0.7236,0
3735048.0,968.784808,1.0,9.66,2.94,1.3,-19.19,-23.06,-15.88,-2.94,-2.0,1.0,-0.43924305176614253,0.38971839101302486,-0.35722648081092245,-80.94756010432138,4.96336629149859,-92.65522197363407,-0.2318,-0.6491,0.0433,-0.7233,0
