TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
4003381.0,1237.696306,1.0,3.72,5.31,-7.69,7.69,-36.0,20.69,0.5,-0.37,-1.37,-0.08223428841363867,-0.18982545376530524,-0.24958208855642106,-120.52337099749846,-41.30509675325747,-33.4525819599508,-0.1968,-0.8683,-0.3527,-0.2878,0
4003381.0,1237.696306,1.0,3.72,5.31,-7.69,7.69,-36.0,20.69,0.5,-0.37,-1.37,-0.08223428841363867,-0.18982545376530524,-0.24958208855642106,-120.52337099749846,-41.30509675325747,-33.4525819599508,-0.1968,-0.8683,-0.3527,-0.2878,0
4003414.0,1237.723175,1.0,3.7,5.56,-7.51,7.69,-36.0,19.5,1.63,-1.44,-4.63,0.15552639876318552,-0.004848749156247223,-0.24220506059866231,-120.5002737712679,-41.36633360366066,-33.356870714029654,-0.1976,-0.8682,-0.3532,-0.287,0
4003414.0,1237.723175,1.0,3.7,5.56,-7.51,7.69,-36.0,19.5,1.63,-1.44,-4.63,0.15552639876318552,-0.004848749156247223,-0.24220506059866231,-120.5002737712679,-41.36633360366066,-33.356870714029654,-0.1976,-0.8682,-0.3532,-0.287,0
4003448.0,1237.726849,1.0,3.31,5.28,-7.41,6.19,-36.0,21.56,-0.37,-1.69,-0.25,-0.13618567355779698,0.10016089394230043,0.12604974703829086,-120.52337099749846,-41.41533197987328,-33.28510299804687,-0.1975,-0.8683,-0.3536,-0.2864,0
4003448.0,1237.726849,1.0,3.31,5.28,-7.41,6.19,-36.0,21.56,-0.37,-1.69,-0.25,-0.13618567355779698,0.10016089394230043,0.12604974703829086,-120.52337099749846,-41.41533197987328,-33.28510299804687,-0.1975,-0.8683,-0.3536,-0.2864,0
4003485.0,1237.768976,1.0,3.57,5.41,-7.31,8.06,-36.38,19.87,-0.69,3.13,1.0,0.1386990060504376,0.02227070664588382,0.03785444469502863,-120.5002737712679,-41.41533197987328,-33.3449084936511,-0.1971,-0.8682,-0.3536,-0.2869,0
4003485.0,1237.768976,1.0,3.57,5.41,-7.31,8.06,-36.38,19.87,-0.69,3.13,1.0,0.1386990060504376,0.02227070664588382,0.03785444469502863,-120.5002737712679,-41.41533197987328,-33.3449084936511,-0.1971,-0.8682,-0.3536,-0.2869,0
4003518.0,1237.775332,1.0,3.76,5.47,-7.66,8.06,-36.38,19.87,1.19,2.94,-2.94,0.04216675389446389,-0.1257419666738544,-0.328265437372087,-120.3618610756272,-41.51335250906026,-33.44061674182814,-0.1971,-0.8676,-0.3544,-0.2877,0
4003518.0,1237.775332,1.0,3.76,5.47,-7.66,8.06,-36.38,19.87,1.19,2.94,-2.94,0.04216675389446389,-0.1257419666738544,-0.328265437372087,-120.3618610756272,-41.51335250906026,-33.44061674182814,-0.1971,-0.8676,-0.3544,-0.2877,0
4003555.0,1237.793304,1.0,3.44,5.18,-7.54,8.06,-35.56,20.69,0.75,-1.31,-1.44,-0.20183498945450218,-0.0756505990314853,0.035716594030120064,-120.3618610756272,-41.586888761097505,-33.38079627736779,-0.197,-0.8676,-0.355,-0.2872,0
4003555.0,1237.793304,1.0,3.44,5.18,-7.54,8.06,-35.56,20.69,0.75,-1.31,-1.44,-0.20183498945450218,-0.0756505990314853,0.035716594030120064,-120.3618610756272,-41.586888761097505,-33.38079627736779,-0.197,-0.8676,-0.355,-0.2872,0
4003592.0,1237.800687,1.0,3.56,5.49,-7.41,7.69,-36.0,20.25,-0.69,1.0,-1.94,0.10203529152177848,0.0570349604734508,-0.07809257694998806,-120.29276401197048,-41.635922884224854,-33.40472333858408,-0.1972,-0.8673,-0.3554,-0.2874,0
4003592.0,1237.800687,1.0,3.56,5.49,-7.41,7.69,-36.0,20.25,-0.69,1.0,-1.94,0.10203529152177848,0.0570349604734508,-0.07809257694998806,-120.29276401197048,-41.635922884224854,-33.40472333858408,-0.1972,-0.8673,-0.3554,-0.2874,0
4003624.0,1237.849588,1.0,3.49,5.31,-7.63,7.69,-36.0,20.25,-1.06,1.75,-2.38,-0.17355275876117449,-0.048328697615845684,-0.12112133987850981,-120.20074735368749,-41.72175180713575,-33.42865189900328,-0.1973,-0.8669,-0.3561,-0.2876,0
4003624.0,1237.849588,1.0,3.49,5.31,-7.63,7.69,-36.0,20.25,-1.06,1.75,-2.38,-0.17355275876117449,-0.048328697615845684,-0.12112133987850981,-120.20074735368749,-41.72175180713575,-33.42865189900328,-0.1973,-0.8669,-0.3561,-0.2876,0
4003659.0,1237.901236,1.0,3.55,5.52,-7.54,7.25,-35.19,20.75,0.19,-2.94,-0.37,0.03587267569431485,0.05477546965126967,-0.18935984388585858,-120.2467396055226,-41.734015080636915,-33.356870714029654,-0.1974,-0.8671,-0.3562,-0.287,0
4003659.0,1237.901236,1.0,3.55,5.52,-7.54,7.25,-35.19,20.75,0.19,-2.94,-0.37,0.03587267569431485,0.05477546965126967,-0.18935984388585858,-120.2467396055226,-41.734015080636915,-33.356870714029654,-0.1974,-0.8671,-0.3562,-0.287,0
4003694.0,1237.920975,1.0,3.42,5.48,-7.3,8.38,-36.38,19.5,-0.37,-3.0,-0.88,0.10631526079024611,0.14707895949096983,0.06068340632658753,-120.26974778474063,-41.74627885444266,-33.26118341298741,-0.1976,-0.8672,-0.3563,-0.2862,0
4003694.0,1237.920975,1.0,3.42,5.48,-7.3,8.38,-36.38,19.5,-0.37,-3.0,-0.88,0.10631526079024611,0.14707895949096983,0.06068340632658753,-120.26974778474063,-41.74627885444266,-33.26118341298741,-0.1976,-0.8672,-0.3563,-0.2862,0
4003729.0,1237.963224,1.0,3.47,5.4,-7.31,8.38,-36.38,19.5,2.19,3.88,-2.5,0.09061828432534857,0.05316236141143538,0.07906231908572892,-120.22373946495337,-41.819872014974116,-33.26118341298741,-0.1975,-0.867,-0.3569,-0.2862,0
4003729.0,1237.963224,1.0,3.47,5.4,-7.31,8.38,-36.38,19.5,2.19,3.88,-2.5,0.09061828432534857,0.05316236141143538,0.07906231908572892,-120.22373946495337,-41.819872014974116,-33.26118341298741,-0.1975,-0.867,-0.3569,-0.2862,0
4003764.0,1238.020832,1.0,3.88,5.47,-8.17,8.38,-35.19,20.75,5.06,-1.5,-5.56,-0.19457558305186595,-0.32339430384594525,-0.756576612485409,-120.01709840281569,-42.028484200807156,-33.3449084936511,-0.1973,-0.8661,-0.3586,-0.2869,0
4003764.0,1238.020832,1.0,3.88,5.47,-8.17,8.38,-35.19,20.75,5.06,-1.5,-5.56,-0.19457558305186595,-0.32339430384594525,-0.756576612485409,-120.01709840281569,-42.028484200807156,-33.3449084936511,-0.1973,-0.8661,-0.3586,-0.2869,0
4003799.0,1238.029633,1.0,3.33,5.28,-7.35,8.06,-37.38,19.87,3.19,-9.75,1.69,-0.028440242306216335,0.05292827057957483,0.16371529365717308,-120.26974778474063,-42.016208864191285,-32.98621503760272,-0.1971,-0.8672,-0.3585,-0.2839,0
4003799.0,1238.029633,1.0,3.33,5.28,-7.35,8.06,-37.38,19.87,3.19,-9.75,1.69,-0.028440242306216335,0.05292827057957483,0.16371529365717308,-120.26974778474063,-42.016208864191285,-32.98621503760272,-0.1971,-0.8672,-0.3585,-0.2839,0
4003835.0,1238.087344,1.0,3.59,5.62,-7.45,7.69,-35.19,19.87,-1.06,3.63,-3.38,0.23399614723306883,0.06651785704553914,-0.1891401727564368,-120.22373946495337,-42.0775906009399,-32.97426433366517,-0.1973,-0.867,-0.359,-0.2838,0
4003835.0,1238.087344,1.0,3.59,5.62,-7.45,7.69,-35.19,19.87,-1.06,3.63,-3.38,0.23399614723306883,0.06651785704553914,-0.1891401727564368,-120.22373946495337,-42.0775906009399,-32.97426433366517,-0.1973,-0.867,-0.359,-0.2838,0
4003868.0,1238.203346,1.0,3.57,5.25,-7.69,7.69,-35.19,19.87,3.88,-2.81,-4.0,-0.09932918074667507,-0.2071928420182485,-0.16283869501684123,-120.15478718177204,-42.24952684009252,-32.878671967526124,-0.197,-0.8667,-0.3604,-0.283,0
4003868.0,1238.203346,1.0,3.57,5.25,-7.69,7.69,-35.19,19.87,3.88,-2.81,-4.0,-0.09932918074667507,-0.2071928420182485,-0.16283869501684123,-120.15478718177204,-42.24952684009252,-32.878671967526124,-0.197,-0.8667,-0.3604,-0.283,0
4003905.0,1238.239517,1.0,3.36,5.1,-7.67,9.56,-36.0,20.75,7.56,-2.44,-3.31,-0.2581111744044331,-0.15931387462677948,0.006828689843421998,-120.17776326239715,-42.360109908529765,-32.7233845063738,-0.1968,-0.8668,-0.3613,-0.2817,0
