TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1186582.0,1147.05433,1.0,1.13,1.34,-9.53,8.25,-18.06,27.06,-2.69,-0.37,0.81,-0.07471817063423664,0.11972235690943411,0.11781705932891029,-144.61452078820068,-33.64407662582566,-9.372576979838527,-0.0446,-0.9527,-0.2894,-0.0817,0
1186582.0,1147.05433,1.0,1.13,1.34,-9.53,8.25,-18.06,27.06,-2.69,-0.37,0.81,-0.07471817063423664,0.11972235690943411,0.11781705932891029,-144.61452078820068,-33.64407662582566,-9.372576979838527,-0.0446,-0.9527,-0.2894,-0.0817,0
1186617.0,1147.092306,1.0,1.17,1.36,-9.71,8.69,-18.5,25.5,-1.25,0.63,1.44,-0.07131749906028972,0.09783793715802036,-0.06694820695477155,-144.65224571956077,-33.58422417640036,-9.395572354596672,-0.0452,-0.9528,-0.2889,-0.0819,0
1186617.0,1147.092306,1.0,1.17,1.36,-9.71,8.69,-18.5,25.5,-1.25,0.63,1.44,-0.07131749906028972,0.09783793715802036,-0.06694820695477155,-144.65224571956077,-33.58422417640036,-9.395572354596672,-0.0452,-0.9528,-0.2889,-0.0819,0
1186652.0,1147.109218,1.0,1.3,1.64,-9.65,8.25,-18.5,26.69,-1.94,0.56,0.88,0.18383863916166118,0.24817370662747174,-0.062833936158464,-144.65224571956077,-33.548317235556404,-9.45306245260688,-0.046,-0.9528,-0.2886,-0.0824,0
1186652.0,1147.109218,1.0,1.3,1.64,-9.65,8.25,-18.5,26.69,-1.94,0.56,0.88,0.18383863916166118,0.24817370662747174,-0.062833936158464,-144.65224571956077,-33.548317235556404,-9.45306245260688,-0.046,-0.9528,-0.2886,-0.0824,0
1186686.0,1147.149006,1.0,1.19,1.31,-9.69,7.88,-18.5,25.06,1.25,0.63,-0.44,-0.09323573756487988,0.0323856612218818,-0.04314990995694856,-144.65224571956077,-33.548317235556404,-9.45306245260688,-0.0461,-0.9528,-0.2886,-0.0824,0
1186686.0,1147.149006,1.0,1.19,1.31,-9.69,7.88,-18.5,25.06,1.25,0.63,-0.44,-0.09323573756487988,0.0323856612218818,-0.04314990995694856,-144.65224571956077,-33.548317235556404,-9.45306245260688,-0.0461,-0.9528,-0.2886,-0.0824,0
1186721.0,1147.205729,1.0,1.14,1.5,-9.65,7.88,-18.5,25.06,-0.44,1.94,-0.81,-0.032192299336601726,0.21134992547099307,-0.023222576227368563,-144.61452078820068,-33.57225481905068,-9.48755765518811,-0.0466,-0.9527,-0.2888,-0.0827,0
1186721.0,1147.205729,1.0,1.14,1.5,-9.65,7.88,-18.5,25.06,-0.44,1.94,-0.81,-0.032192299336601726,0.21134992547099307,-0.023222576227368563,-144.61452078820068,-33.57225481905068,-9.48755765518811,-0.0466,-0.9527,-0.2888,-0.0827,0
