TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1563422.0,1502.664558,1.0,6.33,1.07,-6.3,-29.25,-12.06,20.75,3.5,-18.44,-0.12,-0.19757868770595927,0.2678557006772011,0.8181564673895938,-123.38130576448057,32.10284865965952,-41.182660023882,-0.1571,-0.8804,0.2765,-0.3517,0
1563422.0,1502.664558,1.0,6.33,1.07,-6.3,-29.25,-12.06,20.75,3.5,-18.44,-0.12,-0.19757868770595927,0.2678557006772011,0.8181564673895938,-123.38130576448057,32.10284865965952,-41.182660023882,-0.1571,-0.8804,0.2765,-0.3517,0
1563457.0,1502.721522,1.0,6.55,1.05,-6.57,-29.0,-12.38,20.75,0.94,-3.81,-3.69,-0.17458855001776302,0.22778244368724887,0.4745798118503952,-123.69623657185858,31.852522560972307,-41.07250897869502,-0.1556,-0.8817,0.2744,-0.3508,0
1563457.0,1502.721522,1.0,6.55,1.05,-6.57,-29.0,-12.38,20.75,0.94,-3.81,-3.69,-0.17458855001776302,0.22778244368724887,0.4745798118503952,-123.69623657185858,31.852522560972307,-41.07250897869502,-0.1556,-0.8817,0.2744,-0.3508,0
1563492.0,1502.736134,1.0,6.77,0.59,-7.0,-29.0,-12.38,20.75,0.88,2.75,-5.44,0.005678664287680268,-0.27757022522756236,0.05452599941228087,-123.79346416819726,31.626171458397582,-41.10922158106119,-0.1559,-0.8821,0.2725,-0.3511,0
1563492.0,1502.736134,1.0,6.77,0.59,-7.0,-29.0,-12.38,20.75,0.88,2.75,-5.44,0.005678664287680268,-0.27757022522756236,0.05452599941228087,-123.79346416819726,31.626171458397582,-41.10922158106119,-0.1559,-0.8821,0.2725,-0.3511,0
1563527.0,1502.752213,1.0,6.47,0.81,-6.8,-29.69,-12.38,20.5,0.06,-1.81,-2.88,-0.18526621248266656,-0.12438667972919182,0.3881997886107449,-123.86648635871313,31.55471850803618,-41.04803635831072,-0.1562,-0.8824,0.2719,-0.3506,0
1563527.0,1502.752213,1.0,6.47,0.81,-6.8,-29.69,-12.38,20.5,0.06,-1.81,-2.88,-0.18526621248266656,-0.12438667972919182,0.3881997886107449,-123.86648635871313,31.55471850803618,-41.04803635831072,-0.1562,-0.8824,0.2719,-0.3506,0
1563564.0,1502.793121,1.0,6.67,0.31,-6.68,-29.69,-12.38,22.5,2.44,9.63,-7.19,0.26893619523561263,-0.4214973047708471,0.3749262262159547,-124.0372118533993,31.031112572318904,-41.30509675325747,-0.1553,-0.8831,0.2675,-0.3527,0
1563564.0,1502.793121,1.0,6.67,0.31,-6.68,-29.69,-12.38,22.5,2.44,9.63,-7.19,0.26893619523561263,-0.4214973047708471,0.3749262262159547,-124.0372118533993,31.031112572318904,-41.30509675325747,-0.1553,-0.8831,0.2675,-0.3527,0
1563598.0,1502.849415,1.0,6.89,0.34,-6.68,-29.69,-12.38,22.5,-5.88,16.69,-6.5,0.34866999607456917,-0.3795506839304291,0.21788206495405227,-123.84213593724546,30.805215870860085,-41.635922884224854,-0.1572,-0.8823,0.2656,-0.3554,0
1563598.0,1502.849415,1.0,6.89,0.34,-6.68,-29.69,-12.38,22.5,-5.88,16.69,-6.5,0.34866999607456917,-0.3795506839304291,0.21788206495405227,-123.84213593724546,30.805215870860085,-41.635922884224854,-0.1572,-0.8823,0.2656,-0.3554,0
1563631.0,1502.865886,1.0,7.85,0.46,-7.86,-29.25,-12.38,21.69,-9.88,13.5,-4.19,0.18430326662285879,-0.5922816973316416,-1.294202881509511,-123.57491843142249,30.567562314513644,-41.967112565300916,-0.1606,-0.8812,0.2636,-0.3581,0
1563631.0,1502.865886,1.0,7.85,0.46,-7.86,-29.25,-12.38,21.69,-9.88,13.5,-4.19,0.18430326662285879,-0.5922816973316416,-1.294202881509511,-123.57491843142249,30.567562314513644,-41.967112565300916,-0.1606,-0.8812,0.2636,-0.3581,0
1563668.0,1502.904624,1.0,7.01,1.11,-6.66,-30.06,-12.75,21.69,-6.75,-13.31,0.69,0.01729134207131211,0.22529820760020747,0.07645258539727529,-123.84213593724546,30.63884419055943,-41.57463147554045,-0.1609,-0.8823,0.2642,-0.3549,0
1563668.0,1502.904624,1.0,7.01,1.11,-6.66,-30.06,-12.75,21.69,-6.75,-13.31,0.69,0.01729134207131211,0.22529820760020747,0.07645258539727529,-123.84213593724546,30.63884419055943,-41.57463147554045,-0.1609,-0.8823,0.2642,-0.3549,0
1563705.0,1502.957735,1.0,7.15,0.81,-7.3,-30.06,-12.75,22.06,-8.06,-4.06,-0.75,-0.02728739564430538,-0.2840566146811784,-0.43967457214267824,-124.0127932062898,30.52004779633356,-41.37858245579029,-0.1619,-0.883,0.2632,-0.3533,0
1563705.0,1502.957735,1.0,7.15,0.81,-7.3,-30.06,-12.75,22.06,-8.06,-4.06,-0.75,-0.02728739564430538,-0.2840566146811784,-0.43967457214267824,-124.0127932062898,30.52004779633356,-41.37858245579029,-0.1619,-0.883,0.2632,-0.3533,0
1563738.0,1502.973606,1.0,6.87,1.22,-7.05,-30.06,-12.75,22.06,2.0,-10.88,-0.19,-0.2538319667044875,0.08793354570277556,-0.10877419789587428,-124.18392994389637,30.63884419055943,-41.06027242384908,-0.162,-0.8837,0.2642,-0.3507,0
1563738.0,1502.973606,1.0,6.87,1.22,-7.05,-30.06,-12.75,22.06,2.0,-10.88,-0.19,-0.2538319667044875,0.08793354570277556,-0.10877419789587428,-124.18392994389637,30.63884419055943,-41.06027242384908,-0.162,-0.8837,0.2642,-0.3507,0
1563774.0,1503.015622,1.0,6.75,0.96,-6.96,-29.69,-12.75,21.25,-12.56,-8.13,-3.63,-0.05825150406932644,-0.12002377756545368,0.06458137700762556,-124.5030425986932,30.55568318057679,-40.66895994437227,-0.1628,-0.885,0.2635,-0.3475,0
1563774.0,1503.015622,1.0,6.75,0.96,-6.96,-29.69,-12.75,21.25,-12.56,-8.13,-3.63,-0.05825150406932644,-0.12002377756545368,0.06458137700762556,-124.5030425986932,30.55568318057679,-40.66895994437227,-0.1628,-0.885,0.2635,-0.3475,0
1563811.0,1503.035771,1.0,6.9,1.61,-7.24,-28.56,-12.75,21.25,-1.19,-7.19,-2.81,-0.44021676886625266,0.3136190758602516,-0.30905819427218795,-124.72495975966049,30.413159765182684,-40.43685258518578,-0.1638,-0.8859,0.2623,-0.3456,0
1563811.0,1503.035771,1.0,6.9,1.61,-7.24,-28.56,-12.75,21.25,-1.19,-7.19,-2.81,-0.44021676886625266,0.3136190758602516,-0.30905819427218795,-124.72495975966049,30.413159765182684,-40.43685258518578,-0.1638,-0.8859,0.2623,-0.3456,0
1563844.0,1503.079665,1.0,6.67,1.35,-6.89,-28.56,-12.75,21.25,5.56,-3.75,-4.06,-0.22174974122209146,0.22798559422898101,0.12768571547595542,-125.07180537967443,30.270684516880635,-40.26593689865936,-0.1617,-0.8873,0.2611,-0.3442,0
1563844.0,1503.079665,1.0,6.67,1.35,-6.89,-28.56,-12.75,21.25,5.56,-3.75,-4.06,-0.22174974122209146,0.22798559422898101,0.12768571547595542,-125.07180537967443,30.270684516880635,-40.26593689865936,-0.1617,-0.8873,0.2611,-0.3442,0
1563879.0,1503.095593,1.0,6.65,1.1,-7.06,-29.25,-13.19,21.25,4.88,0.37,-6.13,-0.17216045408536612,-0.05877158734230081,0.0473976373151217,-125.27091255577453,30.009604103998097,-40.26593689865936,-0.1609,-0.8881,0.2589,-0.3442,0
