,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,777732.0,326.994725,1.0,2.26,2.73,-9.08,9.0,-22.69,34.69,-4.31,-4.5,0.25,-0.1413060903049515,0.2818751556987864,0.06460303925081234,-119.74257704437856,-55.135868994465206,-21.25230621784773,-0.0604,-0.8649,-0.4628,-0.1844
1,777732.0,326.994725,1.0,2.26,2.73,-9.08,9.0,-22.69,34.69,-4.31,-4.5,0.25,-0.1413060903049515,0.2818751556987864,0.06460303925081234,-119.74257704437856,-55.135868994465206,-21.25230621784773,-0.0604,-0.8649,-0.4628,-0.1844
2,777766.0,327.00479,1.0,2.49,2.73,-9.09,8.56,-22.69,35.5,1.0,1.69,2.19,-0.035328229325700955,0.09199985808310453,-0.005148405100129594,-119.78825181236216,-55.07124433789578,-21.275624852029367,-0.0607,-0.8651,-0.4623,-0.1846
3,777766.0,327.00479,1.0,2.49,2.73,-9.09,8.56,-22.69,35.5,1.0,1.69,2.19,-0.035328229325700955,0.09199985808310453,-0.005148405100129594,-119.78825181236216,-55.07124433789578,-21.275624852029367,-0.0607,-0.8651,-0.4623,-0.1846
4,777803.0,327.06712999999996,1.0,2.5,3.06,-9.46,9.69,-22.69,34.25,1.37,4.13,-1.06,0.07011611493511244,0.30026900327443684,-0.4407946695797769,-119.74257704437856,-55.097091918968275,-21.38056975127936,-0.0608,-0.8649,-0.4625,-0.1855
5,777803.0,327.06712999999996,1.0,2.5,3.06,-9.46,9.69,-22.69,34.25,1.37,4.13,-1.06,0.07011611493511244,0.30026900327443684,-0.4407946695797769,-119.74257704437856,-55.097091918968275,-21.38056975127936,-0.0608,-0.8649,-0.4625,-0.1855
6,777836.0,327.086947,1.0,2.32,2.47,-8.95,9.69,-22.69,34.25,6.0,-9.75,-3.63,-0.240802688407602,0.06288313358093013,0.239839675928204,-119.74257704437856,-55.213443709052655,-21.08910064572278,-0.0604,-0.8649,-0.4634,-0.183
7,777836.0,327.086947,1.0,2.32,2.47,-8.95,9.69,-22.69,34.25,6.0,-9.75,-3.63,-0.240802688407602,0.06288313358093013,0.239839675928204,-119.74257704437856,-55.213443709052655,-21.08910064572278,-0.0604,-0.8649,-0.4634,-0.183
8,777873.0,327.09504300000003,1.0,2.24,2.97,-8.96,7.88,-22.25,35.88,-6.81,-5.0,2.63,0.10071301465921256,0.3896101660628293,0.1134482169368436,-119.81110097439955,-55.14879620852955,-21.042478443283557,-0.0616,-0.8652,-0.4629,-0.1826
9,777873.0,327.09504300000003,1.0,2.24,2.97,-8.96,7.88,-22.25,35.88,-6.81,-5.0,2.63,0.10071301465921256,0.3896101660628293,0.1134482169368436,-119.81110097439955,-55.14879620852955,-21.042478443283557,-0.0616,-0.8652,-0.4629,-0.1826
