TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1863561.0,1414.731718,1.0,8.13,5.73,-0.93,-26.69,-34.25,-2.5,-1.25,-3.19,2.44,-0.22234542877705143,0.3102880231097833,-0.1757837640185027,-93.62199370524858,-11.040782220655421,-75.36712180089249,-0.2924,-0.7291,-0.0962,-0.6113,0
1863561.0,1414.731718,1.0,8.13,5.73,-0.93,-26.69,-34.25,-2.5,-1.25,-3.19,2.44,-0.22234542877705143,0.3102880231097833,-0.1757837640185027,-93.62199370524858,-11.040782220655421,-75.36712180089249,-0.2924,-0.7291,-0.0962,-0.6113,0
1863598.0,1414.7418,1.0,7.88,5.77,-0.3,-26.69,-34.69,-2.88,-3.5,-5.44,1.06,0.3186950257440275,0.6592345636584818,0.06287540949124448,-93.705742238603,-10.960197096754332,-75.23686238255408,-0.2933,-0.7296,-0.0955,-0.6104,0
1863598.0,1414.7418,1.0,7.88,5.77,-0.3,-26.69,-34.69,-2.88,-3.5,-5.44,1.06,0.3186950257440275,0.6592345636584818,0.06287540949124448,-93.705742238603,-10.960197096754332,-75.23686238255408,-0.2933,-0.7296,-0.0955,-0.6104,0
1863630.0,1414.810595,1.0,7.91,5.64,-0.57,-26.69,-34.69,-2.88,1.69,5.38,-2.38,0.09037814664047394,0.44363387941227206,0.08566132746018162,-93.62199370524858,-11.00624507066077,-75.28026949834306,-0.2936,-0.7291,-0.0959,-0.6107,0
1863630.0,1414.810595,1.0,7.91,5.64,-0.57,-26.69,-34.69,-2.88,1.69,5.38,-2.38,0.09037814664047394,0.44363387941227206,0.08566132746018162,-93.62199370524858,-11.00624507066077,-75.28026949834306,-0.2936,-0.7291,-0.0959,-0.6107,0
1863667.0,1414.830429,1.0,8.36,5.43,-1.18,-26.25,-34.69,-2.5,1.31,2.88,-2.13,-0.345947139659213,-0.14838146625680926,-0.22456146806471544,-93.52158145031369,-11.15591333813419,-75.39608386757838,-0.293,-0.7285,-0.0972,-0.6115,0
1863667.0,1414.830429,1.0,8.36,5.43,-1.18,-26.25,-34.69,-2.5,1.31,2.88,-2.13,-0.345947139659213,-0.14838146625680926,-0.22456146806471544,-93.52158145031369,-11.15591333813419,-75.39608386757838,-0.293,-0.7285,-0.0972,-0.6115,0
1863704.0,1414.871697,1.0,8.13,5.32,-0.63,-27.5,-35.0,-3.25,1.81,-2.19,-4.13,0.16659300453001408,0.029575924687637034,0.07178626004346533,-93.58851254585272,-11.248026360967865,-75.26579905121056,-0.2936,-0.7289,-0.098,-0.6106,0
1863704.0,1414.871697,1.0,8.13,5.32,-0.63,-27.5,-35.0,-3.25,1.81,-2.19,-4.13,0.16659300453001408,0.029575924687637034,0.07178626004346533,-93.58851254585272,-11.248026360967865,-75.26579905121056,-0.2936,-0.7289,-0.098,-0.6106,0
