TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1464786.0,1015.256873,1.0,8.88,3.9,0.84,-32.19,-30.37,-6.88,-3.81,-0.12,-1.0,0.12000828252837861,0.4001455854565743,0.08062915267686321,-85.59354940204219,-7.947565068163919,-89.38473348979856,-0.1974,-0.6794,-0.0693,-0.7033,0
1464786.0,1015.256873,1.0,8.88,3.9,0.84,-32.19,-30.37,-6.88,-3.81,-0.12,-1.0,0.12000828252837861,0.4001455854565743,0.08062915267686321,-85.59354940204219,-7.947565068163919,-89.38473348979856,-0.1974,-0.6794,-0.0693,-0.7033,0
1464821.0,1015.282506,1.0,9.15,3.41,0.38,-32.19,-30.37,-6.5,2.31,1.81,-0.37,-0.25785030523256935,-0.23544294510989894,0.04073581648960456,-85.46867747110113,-8.142851840335263,-89.5298988974798,-0.1963,-0.6786,-0.071,-0.7042,0
1464821.0,1015.282506,1.0,9.15,3.41,0.38,-32.19,-30.37,-6.5,2.31,1.81,-0.37,-0.25785030523256935,-0.23544294510989894,0.04073581648960456,-85.46867747110113,-8.142851840335263,-89.5298988974798,-0.1963,-0.6786,-0.071,-0.7042,0
1464856.0,1015.327045,1.0,8.98,3.64,0.66,-32.19,-30.37,-6.5,-4.38,-1.06,1.25,-0.024271083077182926,0.08630737681766698,0.094927086364482,-85.48427958340939,-8.039461810968866,-89.49762416816228,-0.1971,-0.6787,-0.0701,-0.704,0
1464856.0,1015.327045,1.0,8.98,3.64,0.66,-32.19,-30.37,-6.5,-4.38,-1.06,1.25,-0.024271083077182926,0.08630737681766698,0.094927086364482,-85.48427958340939,-8.039461810968866,-89.49762416816228,-0.1971,-0.6787,-0.0701,-0.704,0
1464893.0,1015.382183,1.0,8.92,3.63,0.75,-32.19,-30.0,-6.06,-3.06,1.81,0.88,0.05242434900992027,0.11940944881023641,0.14803762185966107,-85.42188290417067,-7.936078336486531,-89.54603964341462,-0.1976,-0.6783,-0.0692,-0.7043,0
1464893.0,1015.382183,1.0,8.92,3.63,0.75,-32.19,-30.0,-6.06,-3.06,1.81,0.88,0.05242434900992027,0.11940944881023641,0.14803762185966107,-85.42188290417067,-7.936078336486531,-89.54603964341462,-0.1976,-0.6783,-0.0692,-0.7043,0
1464928.0,1015.388754,1.0,9.15,3.48,0.35,-32.5,-30.69,-8.06,11.88,1.94,-0.63,-0.31716884443530957,-0.18231729849063516,0.01780102135135131,-85.375105970642,-8.096899901459961,-89.61062519853644,-0.197,-0.678,-0.0706,-0.7047,0
1464928.0,1015.388754,1.0,9.15,3.48,0.35,-32.5,-30.69,-8.06,11.88,1.94,-0.63,-0.31716884443530957,-0.18231729849063516,0.01780102135135131,-85.375105970642,-8.096899901459961,-89.61062519853644,-0.197,-0.678,-0.0706,-0.7047,0
1464961.0,1015.442465,1.0,9.08,3.37,0.47,-32.5,-30.69,-8.06,3.75,-5.13,0.75,-0.14028324168640388,-0.22206843029373813,0.11360062303049823,-85.59354940204219,-8.200293609338797,-89.43310172436692,-0.1953,-0.6794,-0.0715,-0.7036,0
1464961.0,1015.442465,1.0,9.08,3.37,0.47,-32.5,-30.69,-8.06,3.75,-5.13,0.75,-0.14028324168640388,-0.22206843029373813,0.11360062303049823,-85.59354940204219,-8.200293609338797,-89.43310172436692,-0.1953,-0.6794,-0.0715,-0.7036,0
1464995.0,1015.461716,1.0,8.88,3.59,0.7,-31.75,-31.5,-6.06,-4.25,-4.19,0.44,0.06195441837869556,0.09516169396651208,0.2035460277395309,-85.71854745258325,-8.062436803571837,-89.30416461407226,-0.1964,-0.6802,-0.0703,-0.7028,0
1464995.0,1015.461716,1.0,8.88,3.59,0.7,-31.75,-31.5,-6.06,-4.25,-4.19,0.44,0.06195441837869556,0.09516169396651208,0.2035460277395309,-85.71854745258325,-8.062436803571837,-89.30416461407226,-0.1964,-0.6802,-0.0703,-0.7028,0
1465032.0,1015.50857,1.0,9.0,3.58,0.6,-32.19,-31.5,-6.5,1.69,6.5,-1.69,-0.05331362536737466,0.015720248319091246,0.10235659289698873,-85.59354940204219,-8.073924421552887,-89.40085398971644,-0.1968,-0.6794,-0.0704,-0.7034,0
1465032.0,1015.50857,1.0,9.0,3.58,0.6,-32.19,-31.5,-6.5,1.69,6.5,-1.69,-0.05331362536737466,0.015720248319091246,0.10235659289698873,-85.59354940204219,-8.073924421552887,-89.40085398971644,-0.1968,-0.6794,-0.0704,-0.7034,0
