TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1564237.0,1114.894436,1.0,1.35,5.2,-9.5,16.0,-14.56,35.56,-10.69,14.75,7.88,-0.36546812768319636,0.3394108798142983,-1.0958145517567015,-73.4249924149719,-97.63220528770944,-29.49976914452507,-0.1061,-0.5978,-0.7526,-0.2546,0
1564237.0,1114.894436,1.0,1.35,5.2,-9.5,16.0,-14.56,35.56,-10.69,14.75,7.88,-0.36546812768319636,0.3394108798142983,-1.0958145517567015,-73.4249924149719,-97.63220528770944,-29.49976914452507,-0.1061,-0.5978,-0.7526,-0.2546,0
1564272.0,1114.899277,1.0,0.9,5.35,-7.94,15.56,-14.19,36.19,-3.75,-8.31,2.94,0.5708670245998871,0.348869566117433,0.21350135807531068,-73.53939139013687,-97.44096021432263,-29.60642902193697,-0.1077,-0.5986,-0.7515,-0.2555,0
1564272.0,1114.899277,1.0,0.9,5.35,-7.94,15.56,-14.19,36.19,-3.75,-8.31,2.94,0.5708670245998871,0.348869566117433,0.21350135807531068,-73.53939139013687,-97.44096021432263,-29.60642902193697,-0.1077,-0.5986,-0.7515,-0.2555,0
1564309.0,1114.967338,1.0,1.77,5.41,-10.62,13.38,-15.25,35.25,3.19,-2.75,-0.88,-0.8381405104610115,0.2084830950691261,-2.2116466881249224,-73.53939139013687,-97.45833109591425,-29.60642902193697,-0.1066,-0.5986,-0.7516,-0.2555,0
1564309.0,1114.967338,1.0,1.77,5.41,-10.62,13.38,-15.25,35.25,3.19,-2.75,-0.88,-0.8381405104610115,0.2084830950691261,-2.2116466881249224,-73.53939139013687,-97.45833109591425,-29.60642902193697,-0.1066,-0.5986,-0.7516,-0.2555,0
1564344.0,1114.983568,1.0,0.98,4.96,-8.03,13.38,-15.25,35.25,11.31,-66.62,-8.81,0.1831638055941568,0.14306270111662656,0.3204028978067708,-73.81143181449298,-97.52784465140512,-28.529168952703607,-0.1152,-0.6005,-0.752,-0.2464,0
1564344.0,1114.983568,1.0,0.98,4.96,-8.03,13.38,-15.25,35.25,11.31,-66.62,-8.81,0.1831638055941568,0.14306270111662656,0.3204028978067708,-73.81143181449298,-97.52784465140512,-28.529168952703607,-0.1152,-0.6005,-0.752,-0.2464,0
1564379.0,1115.02127,1.0,0.52,5.14,-7.51,13.75,-15.25,35.38,-15.63,-13.0,6.25,0.6466901451819826,0.2610236281720666,0.7179890138227503,-74.29945637663063,-97.16343265081738,-27.70226118700864,-0.1248,-0.6039,-0.7499,-0.2394,0
1564379.0,1115.02127,1.0,0.52,5.14,-7.51,13.75,-15.25,35.38,-15.63,-13.0,6.25,0.6466901451819826,0.2610236281720666,0.7179890138227503,-74.29945637663063,-97.16343265081738,-27.70226118700864,-0.1248,-0.6039,-0.7499,-0.2394,0
1564413.0,1115.037761,1.0,0.56,5.32,-7.99,16.37,-14.56,34.88,-13.75,15.5,5.38,0.48815047444955195,0.39352115194379733,0.21170600760131997,-74.29945637663063,-96.83485491073408,-28.422768181257144,-0.1246,-0.6039,-0.748,-0.2455,0
1564413.0,1115.037761,1.0,0.56,5.32,-7.99,16.37,-14.56,34.88,-13.75,15.5,5.38,0.48815047444955195,0.39352115194379733,0.21170600760131997,-74.29945637663063,-96.83485491073408,-28.422768181257144,-0.1246,-0.6039,-0.748,-0.2455,0
1564450.0,1115.075371,1.0,0.99,5.0,-8.72,15.25,-16.06,35.69,-2.19,25.31,6.25,-0.2158170410064293,0.31614170676514686,-0.2865148864989262,-74.19885237818175,-96.81759077760199,-28.955024371859846,-0.1194,-0.6032,-0.7479,-0.25,0
1564450.0,1115.075371,1.0,0.99,5.0,-8.72,15.25,-16.06,35.69,-2.19,25.31,6.25,-0.2158170410064293,0.31614170676514686,-0.2865148864989262,-74.19885237818175,-96.81759077760199,-28.955024371859846,-0.1194,-0.6032,-0.7479,-0.25,0
1564485.0,1115.131946,1.0,1.06,5.6,-8.28,15.25,-16.06,35.69,-10.88,10.25,8.25,0.4510168676292867,0.17782628679526447,-0.233617008244277,-74.25633218994321,-96.52454726797548,-29.59457663056109,-0.1171,-0.6036,-0.7462,-0.2554,0
1564485.0,1115.131946,1.0,1.06,5.6,-8.28,15.25,-16.06,35.69,-10.88,10.25,8.25,0.4510168676292867,0.17782628679526447,-0.233617008244277,-74.25633218994321,-96.52454726797548,-29.59457663056109,-0.1171,-0.6036,-0.7462,-0.2554,0
1564520.0,1115.188313,1.0,1.16,5.41,-9.22,16.0,-15.25,35.75,1.5,1.37,-2.31,-0.19140015517449493,0.3802532312512046,-0.9376914624034658,-74.21322028612757,-96.49012680362361,-29.80796936990455,-0.1158,-0.6033,-0.746,-0.2572,0
1564520.0,1115.188313,1.0,1.16,5.41,-9.22,16.0,-15.25,35.75,1.5,1.37,-2.31,-0.19140015517449493,0.3802532312512046,-0.9376914624034658,-74.21322028612757,-96.49012680362361,-29.80796936990455,-0.1158,-0.6033,-0.746,-0.2572,0
