,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,421150.0,193.76213,1.0,8.95,2.06,3.41,-24.75,-19.37,-9.0,-6.25,8.44,9.5,-0.1053752488897286,0.3452670649369015,0.016660893224074158,-68.12542738094108,-8.740349140335567,-110.91382347990452,-0.0449,-0.5601,-0.0762,-0.8237
1,421150.0,193.76213,1.0,8.95,2.06,3.41,-24.75,-19.37,-9.0,-6.25,8.44,9.5,-0.1053752488897286,0.3452670649369015,0.016660893224074158,-68.12542738094108,-8.740349140335567,-110.91382347990452,-0.0449,-0.5601,-0.0762,-0.8237
2,421185.0,193.782266,1.0,8.99,2.07,3.42,-24.75,-19.37,-9.0,-3.19,6.38,7.81,-0.14310272028940202,0.3887966327826299,-0.02339368198751579,-67.94570061664109,-8.556479215940191,-111.13643927299914,-0.0436,-0.5588,-0.0746,-0.8248
3,421185.0,193.782266,1.0,8.99,2.07,3.42,-24.75,-19.37,-9.0,-3.19,6.38,7.81,-0.14310272028940202,0.3887966327826299,-0.02339368198751579,-67.94570061664109,-8.556479215940191,-111.13643927299914,-0.0436,-0.5588,-0.0746,-0.8248
4,421218.0,193.84323899999998,1.0,8.97,1.93,3.4,-24.37,-18.25,-8.56,-0.5,6.81,5.44,-0.1878004860629124,0.28041123648272703,0.027493568288274872,-67.75236088092288,-8.476043091817116,-111.3393661020306,-0.0424,-0.5574,-0.0739,-0.8258
5,421218.0,193.84323899999998,1.0,8.97,1.93,3.4,-24.37,-18.25,-8.56,-0.5,6.81,5.44,-0.1878004860629124,0.28041123648272703,0.027493568288274872,-67.75236088092288,-8.476043091817116,-111.3393661020306,-0.0424,-0.5574,-0.0739,-0.8258
6,421255.0,193.9032,1.0,9.12,2.1,3.38,-24.69,-18.56,-9.75,-5.63,2.38,5.75,-0.2679549887735917,0.4452829461515469,-0.13008604469082918,-67.72475880644298,-8.361141590530956,-111.40034681062792,-0.0422,-0.5572,-0.0729,-0.8261
7,421255.0,193.9032,1.0,9.12,2.1,3.38,-24.69,-18.56,-9.75,-5.63,2.38,5.75,-0.2679549887735917,0.4452829461515469,-0.13008604469082918,-67.72475880644298,-8.361141590530956,-111.40034681062792,-0.0422,-0.5572,-0.0729,-0.8261
8,421289.0,193.91050800000002,1.0,8.89,1.98,3.48,-24.69,-18.56,-9.75,0.69,-2.19,2.19,-0.07405119626699891,0.3520199377199505,0.06326771335132797,-67.82138560708218,-8.361141590530956,-111.2987386824523,-0.0424,-0.5579,-0.0729,-0.8256
9,421289.0,193.91050800000002,1.0,8.89,1.98,3.48,-24.69,-18.56,-9.75,0.69,-2.19,2.19,-0.07405119626699891,0.3520199377199505,0.06326771335132797,-67.82138560708218,-8.361141590530956,-111.2987386824523,-0.0424,-0.5579,-0.0729,-0.8256
10,421322.0,193.927422,1.0,8.85,1.85,3.37,-25.06,-18.69,-9.38,-1.12,-1.44,0.94,-0.1469926833323041,0.2352053158222499,0.16170460821805932,-67.90425219273371,-8.395611151395807,-111.1972622086614,-0.0422,-0.5585,-0.0732,-0.8251
