TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
636073.0,568.686548,1.0,2.78,2.13,-9.69,9.0,-21.87,33.25,-1.31,-4.25,2.13,0.11869163448748798,0.17585982766461528,-0.49463077555972923,-126.93984342653314,-48.84977960308056,-19.20363223785156,-0.0275,-0.8947,-0.4135,-0.1668,0
636073.0,568.686548,1.0,2.78,2.13,-9.69,9.0,-21.87,33.25,-1.31,-4.25,2.13,0.11869163448748798,0.17585982766461528,-0.49463077555972923,-126.93984342653314,-48.84977960308056,-19.20363223785156,-0.0275,-0.8947,-0.4135,-0.1668,0
636108.0,568.704275,1.0,2.38,1.42,-9.13,8.19,-21.87,33.0,10.44,-4.31,2.44,-0.4041790023483209,-0.03177535002018017,0.27389962766821263,-127.09397976921673,-48.81202590600522,-18.913144938477476,-0.0259,-0.8953,-0.4132,-0.1643,0
636108.0,568.704275,1.0,2.38,1.42,-9.13,8.19,-21.87,33.0,10.44,-4.31,2.44,-0.4041790023483209,-0.03177535002018017,0.27389962766821263,-127.09397976921673,-48.81202590600522,-18.913144938477476,-0.0259,-0.8953,-0.4132,-0.1643,0
636143.0,568.759933,1.0,2.77,1.79,-9.33,8.5,-21.87,33.25,-2.13,1.31,4.13,0.042665349793267845,-0.049685767163577754,-0.08888490178618191,-127.22274573469288,-48.69879864666846,-18.92476206303288,-0.0254,-0.8958,-0.4123,-0.1644,0
636143.0,568.759933,1.0,2.77,1.79,-9.33,8.5,-21.87,33.25,-2.13,1.31,4.13,0.042665349793267845,-0.049685767163577754,-0.08888490178618191,-127.22274573469288,-48.69879864666846,-18.92476206303288,-0.0254,-0.8958,-0.4123,-0.1644,0
636178.0,568.824526,1.0,2.82,1.88,-9.55,8.5,-21.87,33.25,2.44,-3.31,1.19,0.085400726714897,-0.010892937505218692,-0.32655719514750636,-127.30014547607834,-48.63591649318546,-18.831830551914916,-0.0253,-0.8961,-0.4118,-0.1636,0
636178.0,568.824526,1.0,2.82,1.88,-9.55,8.5,-21.87,33.25,2.44,-3.31,1.19,0.085400726714897,-0.010892937505218692,-0.32655719514750636,-127.30014547607834,-48.63591649318546,-18.831830551914916,-0.0253,-0.8961,-0.4118,-0.1636,0
636213.0,568.831822,1.0,2.44,1.77,-9.06,8.5,-21.87,33.25,-3.25,-2.31,-0.12,-0.06059422634973706,0.13937957305847515,0.2595561136727511,-127.35180399190799,-48.62334193420396,-18.72729753587516,-0.0259,-0.8963,-0.4117,-0.1627,0
636213.0,568.831822,1.0,2.44,1.77,-9.06,8.5,-21.87,33.25,-3.25,-2.31,-0.12,-0.06059422634973706,0.13937957305847515,0.2595561136727511,-127.35180399190799,-48.62334193420396,-18.72729753587516,-0.0259,-0.8963,-0.4117,-0.1627,0
636250.0,568.849683,1.0,2.42,2.08,-9.07,8.06,-22.25,33.38,-3.31,-0.37,0.88,0.13343711666124836,0.3432426704303071,0.19873248343622052,-127.35180399190799,-48.58562199629408,-18.773754707559725,-0.0271,-0.8963,-0.4114,-0.1631,0
636250.0,568.849683,1.0,2.42,2.08,-9.07,8.06,-22.25,33.38,-3.31,-0.37,0.88,0.13343711666124836,0.3432426704303071,0.19873248343622052,-127.35180399190799,-48.58562199629408,-18.773754707559725,-0.0271,-0.8963,-0.4114,-0.1631,0
636284.0,568.896666,1.0,2.68,1.72,-9.22,8.06,-22.25,33.38,0.31,3.0,-0.31,-0.023807810013429007,-0.0646113177563109,0.052447902144932,-127.32596885361228,-48.58562199629408,-18.831830551914916,-0.0267,-0.8962,-0.4114,-0.1636,0
636284.0,568.896666,1.0,2.68,1.72,-9.22,8.06,-22.25,33.38,0.31,3.0,-0.31,-0.023807810013429007,-0.0646113177563109,0.052447902144932,-127.32596885361228,-48.58562199629408,-18.831830551914916,-0.0267,-0.8962,-0.4114,-0.1636,0
636317.0,568.914579,1.0,2.59,1.83,-9.35,8.06,-21.87,33.0,-2.5,-1.12,-1.63,-0.04951566876045768,0.07289278047782599,-0.06612746336366371,-127.30014547607834,-48.62334193420396,-18.855062255560348,-0.0275,-0.8961,-0.4117,-0.1638,0
636317.0,568.914579,1.0,2.59,1.83,-9.35,8.06,-21.87,33.0,-2.5,-1.12,-1.63,-0.04951566876045768,0.07289278047782599,-0.06612746336366371,-127.30014547607834,-48.62334193420396,-18.855062255560348,-0.0275,-0.8961,-0.4117,-0.1638,0
636354.0,568.957006,1.0,2.18,1.97,-8.75,7.69,-23.0,32.56,-4.5,-2.0,-2.44,-0.0072142809665051155,0.39708367722119786,0.5850410022472428,-127.24853393391233,-48.66106748213057,-18.796984460560502,-0.0286,-0.8959,-0.412,-0.1633,0
636354.0,568.957006,1.0,2.18,1.97,-8.75,7.69,-23.0,32.56,-4.5,-2.0,-2.44,-0.0072142809665051155,0.39708367722119786,0.5850410022472428,-127.24853393391233,-48.66106748213057,-18.796984460560502,-0.0286,-0.8959,-0.412,-0.1633,0
636389.0,569.013293,1.0,2.45,2.1,-9.13,7.69,-23.0,32.56,-1.63,5.56,-2.69,0.10842492455034,0.3124211979048527,0.12883841726932488,-127.14545121783674,-48.72395587995984,-18.92476206303288,-0.029,-0.8955,-0.4125,-0.1644,0
636389.0,569.013293,1.0,2.45,2.1,-9.13,7.69,-23.0,32.56,-1.63,5.56,-2.69,0.10842492455034,0.3124211979048527,0.12883841726932488,-127.14545121783674,-48.72395587995984,-18.92476206303288,-0.029,-0.8955,-0.4125,-0.1644,0
636422.0,569.030569,1.0,2.64,1.82,-9.28,8.06,-22.25,33.0,-1.12,3.0,-2.63,-0.04963321078766755,0.008258800019109613,-0.01159161123615604,-126.96550395698281,-48.84977960308056,-19.06418290551579,-0.0288,-0.8948,-0.4135,-0.1656,0
636422.0,569.030569,1.0,2.64,1.82,-9.28,8.06,-22.25,33.0,-1.12,3.0,-2.63,-0.04963321078766755,0.008258800019109613,-0.01159161123615604,-126.96550395698281,-48.84977960308056,-19.06418290551579,-0.0288,-0.8948,-0.4135,-0.1656,0
636459.0,569.078272,1.0,2.77,1.52,-9.27,9.19,-22.56,33.75,2.31,5.94,-0.5,-0.20298017039594698,-0.26010655693749063,0.018527420594683264,-126.88855686312145,-48.90012665540839,-19.215254308568724,-0.0278,-0.8945,-0.4139,-0.1669,0
636459.0,569.078272,1.0,2.77,1.52,-9.27,9.19,-22.56,33.75,2.31,5.94,-0.5,-0.20298017039594698,-0.26010655693749063,0.018527420594683264,-126.88855686312145,-48.90012665540839,-19.215254308568724,-0.0278,-0.8945,-0.4139,-0.1669,0
636493.0,569.097066,1.0,3.02,1.7,-9.56,7.69,-21.56,33.75,-3.81,-0.81,1.44,-0.030442211348637713,-0.2993998318773272,-0.3576715716760983,-126.88855686312145,-48.84977960308056,-19.30823806837105,-0.028,-0.8945,-0.4135,-0.1677,0
636493.0,569.097066,1.0,3.02,1.7,-9.56,7.69,-21.56,33.75,-3.81,-0.81,1.44,-0.030442211348637713,-0.2993998318773272,-0.3576715716760983,-126.88855686312145,-48.84977960308056,-19.30823806837105,-0.028,-0.8945,-0.4135,-0.1677,0
636528.0,569.139684,1.0,2.76,1.7,-9.36,7.69,-21.56,33.75,-1.06,-3.13,1.88,-0.11619812660241233,-0.13733586801026532,-0.09712891790461775,-126.99117600895985,-48.761696420190965,-19.23849904872923,-0.0287,-0.8949,-0.4128,-0.1671,0
636528.0,569.139684,1.0,2.76,1.7,-9.36,7.69,-21.56,33.75,-1.06,-3.13,1.88,-0.11619812660241233,-0.13733586801026532,-0.09712891790461775,-126.99117600895985,-48.761696420190965,-19.23849904872923,-0.0287,-0.8949,-0.4128,-0.1671,0
636563.0,569.144108,1.0,2.67,1.79,-9.39,8.19,-22.25,32.88,-1.63,-2.44,4.38,-0.11118553554539251,-0.019119516656239788,-0.11768233123359018,-127.1197096819897,-48.64849167574625,-19.192010366536692,-0.0293,-0.8954,-0.4119,-0.1667,0
636563.0,569.144108,1.0,2.67,1.79,-9.39,8.19,-22.25,32.88,-1.63,-2.44,4.38,-0.11118553554539251,-0.019119516656239788,-0.11768233123359018,-127.1197096819897,-48.64849167574625,-19.192010366536692,-0.0293,-0.8954,-0.4119,-0.1667,0
636598.0,569.202273,1.0,2.72,1.92,-9.13,8.5,-21.56,34.06,-2.38,-0.69,5.75,0.09883863612421516,0.008016029488453258,0.08904398476762765,-127.27433384194985,-48.47249577682955,-19.180388694494322,-0.0295,-0.896,-0.4105,-0.1666,0
636598.0,569.202273,1.0,2.72,1.92,-9.13,8.5,-21.56,34.06,-2.38,-0.69,5.75,0.09883863612421516,0.008016029488453258,0.08904398476762765,-127.27433384194985,-48.47249577682955,-19.180388694494322,-0.0295,-0.896,-0.4105,-0.1666,0
636633.0,569.219161,1.0,2.63,2.28,-9.28,8.5,-21.56,34.06,-0.31,-1.19,1.75,0.2453925791929197,0.31459281237896475,-0.09660773897037167,-127.40350962041992,-48.321738958989876,-19.20363223785156,-0.0305,-0.8965,-0.4093,-0.1668,0
636633.0,569.219161,1.0,2.63,2.28,-9.28,8.5,-21.56,34.06,-0.31,-1.19,1.75,0.2453925791929197,0.31459281237896475,-0.09660773897037167,-127.40350962041992,-48.321738958989876,-19.20363223785156,-0.0305,-0.8965,-0.4093,-0.1668,0
636667.0,569.260898,1.0,2.31,1.85,-8.96,8.5,-22.56,32.56,1.56,0.31,1.06,-0.14795848499276754,0.2526500411516859,0.37508193082800645,-127.45526250130641,-48.284063664687984,-19.180388694494322,-0.0298,-0.8967,-0.409,-0.1666,0
