,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,876666.0,809.711829,1.0,7.24,2.09,6.18,-16.69,-33.69,-17.75,-0.06,-0.12,-0.56,-0.06026529856455079,-0.06939896734599937,0.06141260539948413,-49.41676675386262,-8.92424161449454,-128.31613447366578,-0.0965,-0.418,-0.0778,-0.9
1,876666.0,809.711829,1.0,7.24,2.09,6.18,-16.69,-33.69,-17.75,-0.06,-0.12,-0.56,-0.06026529856455079,-0.06939896734599937,0.06141260539948413,-49.41676675386262,-8.92424161449454,-128.31613447366578,-0.0965,-0.418,-0.0778,-0.9
2,876703.0,809.73737,1.0,7.29,2.17,6.09,-15.88,-33.38,-17.37,-0.44,0.69,0.31,-0.17014510158074525,0.004182892178776321,0.0643641723401931,-49.41676675386262,-8.901253805563371,-128.31613447366578,-0.0966,-0.418,-0.0776,-0.9
3,876703.0,809.73737,1.0,7.29,2.17,6.09,-15.88,-33.38,-17.37,-0.44,0.69,0.31,-0.17014510158074525,0.004182892178776321,0.0643641723401931,-49.41676675386262,-8.901253805563371,-128.31613447366578,-0.0966,-0.418,-0.0776,-0.9
4,876738.0,809.7793230000001,1.0,7.26,2.15,6.22,-17.0,-33.69,-18.19,-0.37,0.37,0.06,-0.05101829288469584,-0.01588881532287223,0.007892697191710596,-49.40415306764388,-8.901253805563371,-128.31613447366578,-0.0966,-0.4179,-0.0776,-0.9
5,876738.0,809.7793230000001,1.0,7.26,2.15,6.22,-17.0,-33.69,-18.19,-0.37,0.37,0.06,-0.05101829288469584,-0.01588881532287223,0.007892697191710596,-49.40415306764388,-8.901253805563371,-128.31613447366578,-0.0966,-0.4179,-0.0776,-0.9
6,876775.0,809.8506,1.0,7.23,2.2,6.24,-17.0,-33.69,-18.19,-0.63,0.69,0.0,-0.024119676507919918,0.04013243435195868,0.0062261505474587855,-49.39154002007115,-8.889760035755181,-128.31613447366578,-0.0966,-0.4178,-0.0775,-0.9
7,876775.0,809.8506,1.0,7.23,2.2,6.24,-17.0,-33.69,-18.19,-0.63,0.69,0.0,-0.024119676507919918,0.04013243435195868,0.0062261505474587855,-49.39154002007115,-8.889760035755181,-128.31613447366578,-0.0966,-0.4178,-0.0775,-0.9
8,876808.0,809.868374,1.0,7.26,2.15,6.1,-15.88,-33.69,-19.0,-0.19,1.25,-0.31,-0.15189734302089278,-0.007512813597464474,0.08466611013394676,-49.353704706731605,-8.889760035755181,-128.3687376178253,-0.0966,-0.4175,-0.0775,-0.9002
9,876808.0,809.868374,1.0,7.26,2.15,6.1,-15.88,-33.69,-19.0,-0.19,1.25,-0.31,-0.15189734302089278,-0.007512813597464474,0.08466611013394676,-49.353704706731605,-8.889760035755181,-128.3687376178253,-0.0966,-0.4175,-0.0775,-0.9002
10,876845.0,809.871434,1.0,7.23,2.21,6.1,-17.0,-33.38,-17.75,-0.37,0.12,0.75,-0.14202554590855027,0.057773360133568825,0.09359224339377724,-49.341094211246,-8.889760035755181,-128.39505791682004,-0.0966,-0.4174,-0.0775,-0.9003
11,876845.0,809.871434,1.0,7.23,2.21,6.1,-17.0,-33.38,-17.75,-0.37,0.12,0.75,-0.14202554590855027,0.057773360133568825,0.09359224339377724,-49.341094211246,-8.889760035755181,-128.39505791682004,-0.0966,-0.4174,-0.0775,-0.9003
12,876879.0,809.9109599999999,1.0,7.15,2.22,6.29,-17.0,-33.38,-17.75,-0.56,-0.88,0.31,0.055854639273416,0.07878191130774638,0.02883461670898768,-49.353704706731605,-8.878266355561609,-128.3687376178253,-0.0964,-0.4175,-0.0774,-0.9002
13,876879.0,809.9109599999999,1.0,7.15,2.22,6.29,-17.0,-33.38,-17.75,-0.56,-0.88,0.31,0.055854639273416,0.07878191130774638,0.02883461670898768,-49.353704706731605,-8.878266355561609,-128.3687376178253,-0.0964,-0.4175,-0.0774,-0.9002
14,876914.0,809.970096,1.0,7.15,2.12,6.15,-16.25,-34.06,-18.19,1.37,1.5,2.63,-0.04216527617918167,-0.010171498995385608,0.14034157174814155,-49.341094211246,-8.901253805563371,-128.39505791682004,-0.096,-0.4174,-0.0776,-0.9003
15,876914.0,809.970096,1.0,7.15,2.12,6.15,-16.25,-34.06,-18.19,1.37,1.5,2.63,-0.04216527617918167,-0.010171498995385608,0.14034157174814155,-49.341094211246,-8.901253805563371,-128.39505791682004,-0.096,-0.4174,-0.0776,-0.9003
16,876947.0,810.0327070000001,1.0,7.25,2.21,6.24,-16.69,-34.06,-17.37,1.0,1.19,2.88,-0.0502919325907505,0.05627975081992398,-0.010605385858305285,-49.31587513221956,-8.889760035755181,-128.44773606463812,-0.0952,-0.4172,-0.0775,-0.9005
17,876947.0,810.0327070000001,1.0,7.25,2.21,6.24,-16.69,-34.06,-17.37,1.0,1.19,2.88,-0.0502919325907505,0.05627975081992398,-0.010605385858305285,-49.31587513221956,-8.889760035755181,-128.44773606463812,-0.0952,-0.4172,-0.0775,-0.9005
