TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
4396533.0,1066.361659,1.0,9.39,1.66,-2.63,-40.06,-23.56,2.19,-1.12,5.0,4.56,0.3588438514873812,-0.07366234156807894,-0.07820735606156681,-103.31196618957797,19.878046180611584,-65.92636443455984,-0.2431,-0.7843,0.1726,-0.5441,0
4396533.0,1066.361659,1.0,9.39,1.66,-2.63,-40.06,-23.56,2.19,-1.12,5.0,4.56,0.3588438514873812,-0.07366234156807894,-0.07820735606156681,-103.31196618957797,19.878046180611584,-65.92636443455984,-0.2431,-0.7843,0.1726,-0.5441,0
4396568.0,1066.365518,1.0,9.24,1.59,-2.52,-40.06,-23.56,2.19,-12.44,-0.06,3.88,0.41259498411898043,-0.07467625351869489,0.10715058836847469,-103.09058276649,20.168955080859906,-65.91270718206279,-0.245,-0.7831,0.1751,-0.544,0
4396568.0,1066.365518,1.0,9.24,1.59,-2.52,-40.06,-23.56,2.19,-12.44,-0.06,3.88,0.41259498411898043,-0.07467625351869489,0.10715058836847469,-103.09058276649,20.168955080859906,-65.91270718206279,-0.245,-0.7831,0.1751,-0.544,0
4396603.0,1066.400534,1.0,9.54,1.46,-2.39,-40.75,-22.37,1.75,-9.0,3.0,8.0,0.6377420853960147,-0.10185200866315625,-0.11495325758120423,-102.74115590851987,20.54151049721856,-66.07666398061995,-0.2465,-0.7812,0.1783,-0.5452,0
4396603.0,1066.400534,1.0,9.54,1.46,-2.39,-40.75,-22.37,1.75,-9.0,3.0,8.0,0.6377420853960147,-0.10185200866315625,-0.11495325758120423,-102.74115590851987,20.54151049721856,-66.07666398061995,-0.2465,-0.7812,0.1783,-0.5452,0
4396638.0,1066.446384,1.0,9.15,1.18,-2.12,-41.19,-23.19,1.75,-28.5,-2.81,1.5,0.8494260592046496,-0.16465074595100404,0.3800564741391401,-102.4479327130834,21.147383365420364,-65.9536821068983,-0.2497,-0.7796,0.1835,-0.5443,0
4396638.0,1066.446384,1.0,9.15,1.18,-2.12,-41.19,-23.19,1.75,-28.5,-2.81,1.5,0.8494260592046496,-0.16465074595100404,0.3800564741391401,-102.4479327130834,21.147383365420364,-65.9536821068983,-0.2497,-0.7796,0.1835,-0.5443,0
4396673.0,1066.505771,1.0,8.76,0.97,-2.16,-41.19,-23.19,1.75,-28.31,-18.25,12.75,0.8123218122163567,-0.32816549818825314,0.7746767560628616,-102.2651416958551,21.917240280609395,-65.63978314161311,-0.2529,-0.7786,0.1901,-0.542,0
4396673.0,1066.505771,1.0,8.76,0.97,-2.16,-41.19,-23.19,1.75,-28.31,-18.25,12.75,0.8123218122163567,-0.32816549818825314,0.7746767560628616,-102.2651416958551,21.917240280609395,-65.63978314161311,-0.2529,-0.7786,0.1901,-0.542,0
