TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
106020.0,73.053131,1.0,-0.86,-3.14,-9.47,12.75,-1.88,33.56,-0.31,-1.81,-2.94,-0.06673139786761123,0.02662588680085687,-0.20708746323972171,-136.77619735313192,-38.54969038931156,10.396251161173769,0.1354,-0.9297,-0.3301,0.0906,0
106020.0,73.053131,1.0,-0.86,-3.14,-9.47,12.75,-1.88,33.56,-0.31,-1.81,-2.94,-0.06673139786761123,0.02662588680085687,-0.20708746323972171,-136.77619735313192,-38.54969038931156,10.396251161173769,0.1354,-0.9297,-0.3301,0.0906,0
106057.0,73.082771,1.0,-0.83,-2.99,-9.43,13.5,-2.25,34.75,-1.37,-1.69,-3.25,0.038776960758309054,0.1036336325963989,-0.12016501880181352,-136.68295663578678,-38.68325358261288,10.453784866884499,0.135,-0.9294,-0.3312,0.0911,0
106057.0,73.082771,1.0,-0.83,-2.99,-9.43,13.5,-2.25,34.75,-1.37,-1.69,-3.25,0.038776960758309054,0.1036336325963989,-0.12016501880181352,-136.68295663578678,-38.68325358261288,10.453784866884499,0.135,-0.9294,-0.3312,0.0911,0
106090.0,73.129035,1.0,-0.71,-3.22,-9.4,13.5,-2.25,34.75,2.88,0.25,-3.44,-0.011261573014661685,-0.1428961730984919,-0.15386975856115015,-136.58990657854866,-38.78042477210455,10.465291924669184,0.1353,-0.9291,-0.332,0.0912,0
106090.0,73.129035,1.0,-0.71,-3.22,-9.4,13.5,-2.25,34.75,2.88,0.25,-3.44,-0.011261573014661685,-0.1428961730984919,-0.15386975856115015,-136.58990657854866,-38.78042477210455,10.465291924669184,0.1353,-0.9291,-0.332,0.0912,0
106125.0,73.1849,1.0,-0.8,-3.3,-9.41,13.5,-2.69,34.0,1.0,-3.0,-2.44,-0.10922878409075848,-0.13314725901989166,-0.1957717507632406,-136.43524351543036,-38.87762497174376,10.545844298925708,0.1359,-0.9286,-0.3328,0.0919,0
106125.0,73.1849,1.0,-0.8,-3.3,-9.41,13.5,-2.69,34.0,1.0,-3.0,-2.44,-0.10922878409075848,-0.13314725901989166,-0.1957717507632406,-136.43524351543036,-38.87762497174376,10.545844298925708,0.1359,-0.9286,-0.3328,0.0919,0
106162.0,73.19197,1.0,-0.84,-3.34,-9.21,13.5,-2.69,34.75,2.0,-2.13,-1.31,-0.20141381782027562,-0.17675900870657468,-0.022566078957273916,-136.34269592729157,-38.938389870878915,10.637910557080563,0.136,-0.9283,-0.3333,0.0927,0
106162.0,73.19197,1.0,-0.84,-3.34,-9.21,13.5,-2.69,34.75,2.0,-2.13,-1.31,-0.20141381782027562,-0.17675900870657468,-0.022566078957273916,-136.34269592729157,-38.938389870878915,10.637910557080563,0.136,-0.9283,-0.3333,0.0927,0
106194.0,73.249593,1.0,-0.76,-3.16,-9.41,13.5,-2.69,34.75,-1.81,-1.63,-0.75,0.02121250860373619,-0.05916035969315181,-0.14861745403255,-136.311888173766,-38.97485427752673,10.66092819534247,0.1359,-0.9282,-0.3336,0.0929,0
106194.0,73.249593,1.0,-0.76,-3.16,-9.41,13.5,-2.69,34.75,-1.81,-1.63,-0.75,0.02121250860373619,-0.05916035969315181,-0.14861745403255,-136.311888173766,-38.97485427752673,10.66092819534247,0.1359,-0.9282,-0.3336,0.0929,0
106227.0,73.253088,1.0,-0.98,-3.3,-9.34,13.5,-2.25,34.5,3.0,-1.0,-0.81,-0.22682494814380771,-0.038699402335207855,-0.14488519810679357,-136.25033456727624,-38.99916616307866,10.787532942523711,0.136,-0.928,-0.3338,0.094,0
106227.0,73.253088,1.0,-0.98,-3.3,-9.34,13.5,-2.25,34.5,3.0,-1.0,-0.81,-0.22682494814380771,-0.038699402335207855,-0.14488519810679357,-136.25033456727624,-38.99916616307866,10.787532942523711,0.136,-0.928,-0.3338,0.094,0
106262.0,73.275984,1.0,-0.66,-3.45,-9.49,13.88,-2.25,34.5,1.94,-5.75,1.31,-0.01051025890856122,-0.32499546620145825,-0.30732387189655697,-136.21958862710648,-38.98700999206525,10.902639624835572,0.1365,-0.9279,-0.3337,0.095,0
106262.0,73.275984,1.0,-0.66,-3.45,-9.49,13.88,-2.25,34.5,1.94,-5.75,1.31,-0.01051025890856122,-0.32499546620145825,-0.30732387189655697,-136.21958862710648,-38.98700999206525,10.902639624835572,0.1365,-0.9279,-0.3337,0.095,0
106297.0,73.354017,1.0,-0.67,-3.55,-9.56,13.88,-2.25,34.5,0.75,-16.31,3.44,0.02794917263055091,-0.42733008158829855,-0.4042073511296831,-136.15815825603804,-38.938389870878915,11.455307417011953,0.1357,-0.9277,-0.3333,0.0998,0
106297.0,73.354017,1.0,-0.67,-3.55,-9.56,13.88,-2.25,34.5,0.75,-16.31,3.44,0.02794917263055091,-0.42733008158829855,-0.4042073511296831,-136.15815825603804,-38.938389870878915,11.455307417011953,0.1357,-0.9277,-0.3333,0.0998,0
106332.0,73.363969,1.0,-1.14,-3.8,-9.12,13.88,-1.88,35.25,-4.44,-27.87,9.19,-0.494414322414938,-0.48881106478568936,-0.11457060135415453,-136.15815825603804,-38.8168714421915,12.204140573704523,0.1328,-0.9277,-0.3323,0.1063,0
106332.0,73.363969,1.0,-1.14,-3.8,-9.12,13.88,-1.88,35.25,-4.44,-27.87,9.19,-0.494414322414938,-0.48881106478568936,-0.11457060135415453,-136.15815825603804,-38.8168714421915,12.204140573704523,0.1328,-0.9277,-0.3323,0.1063,0
106366.0,73.377001,1.0,-1.21,-4.08,-9.32,14.56,-1.5,34.5,-0.31,-33.81,15.06,-0.4614891209312587,-0.7791486976973852,-0.39888061325762436,-136.25033456727624,-38.44045190034536,13.495684664619231,0.1287,-0.928,-0.3292,0.1175,0
106366.0,73.377001,1.0,-1.21,-4.08,-9.32,14.56,-1.5,34.5,-0.31,-33.81,15.06,-0.4614891209312587,-0.7791486976973852,-0.39888061325762436,-136.25033456727624,-38.44045190034536,13.495684664619231,0.1287,-0.928,-0.3292,0.1175,0
106401.0,73.434631,1.0,-1.12,-5.63,-9.56,15.38,-2.69,34.0,24.75,-92.44,33.31,-0.8363684486743588,-2.1457685962586623,-1.1039441611523682,-136.12747373883852,-37.83422856646789,15.632898017228824,0.1269,-0.9276,-0.3242,0.136,0
106401.0,73.434631,1.0,-1.12,-5.63,-9.56,15.38,-2.69,34.0,24.75,-92.44,33.31,-0.8363684486743588,-2.1457685962586623,-1.1039441611523682,-136.12747373883852,-37.83422856646789,15.632898017228824,0.1269,-0.9276,-0.3242,0.136,0
106436.0,73.478519,1.0,-2.45,-4.64,-7.37,15.38,-2.69,34.0,7.56,-158.81,65.06,-1.2332193607433983,-1.4326386267488522,0.9592935262596765,-135.4574981156968,-36.178730774621194,21.403893300909647,0.1125,-0.9254,-0.3105,0.1857,0
106436.0,73.478519,1.0,-2.45,-4.64,-7.37,15.38,-2.69,34.0,7.56,-158.81,65.06,-1.2332193607433983,-1.4326386267488522,0.9592935262596765,-135.4574981156968,-36.178730774621194,21.403893300909647,0.1125,-0.9254,-0.3105,0.1857,0
106473.0,73.502329,1.0,-5.58,-4.18,-4.71,18.0,-2.25,32.38,4.06,-148.81,74.37,-3.914486347586443,0.14487078252451502,2.3602610032492883,-134.64810211296725,-34.66303165808797,26.04103972629063,0.0956,-0.9227,-0.2979,0.2253,0
106473.0,73.502329,1.0,-5.58,-4.18,-4.71,18.0,-2.25,32.38,4.06,-148.81,74.37,-3.914486347586443,0.14487078252451502,2.3602610032492883,-134.64810211296725,-34.66303165808797,26.04103972629063,0.0956,-0.9227,-0.2979,0.2253,0
106510.0,73.538567,1.0,-6.53,-4.04,-3.44,21.75,-2.25,30.25,-12.81,-15.75,50.25,-4.886896758403052,0.3681965251807173,2.967149185499384,-134.73735728971755,-32.771158669290664,28.753875441458412,0.0825,-0.923,-0.2821,0.2483,0
106510.0,73.538567,1.0,-6.53,-4.04,-3.44,21.75,-2.25,30.25,-12.81,-15.75,50.25,-4.886896758403052,0.3681965251807173,2.967149185499384,-134.73735728971755,-32.771158669290664,28.753875441458412,0.0825,-0.923,-0.2821,0.2483,0
106545.0,73.597847,1.0,-4.87,-5.07,-4.91,21.75,-2.25,30.25,30.62,-7.06,45.88,-3.3701735242996618,-1.5208814386102443,2.0698063240685514,-135.54829362030736,-31.376141122007805,29.03787686998247,0.0836,-0.9257,-0.2704,0.2507,0
106545.0,73.597847,1.0,-4.87,-5.07,-4.91,21.75,-2.25,30.25,30.62,-7.06,45.88,-3.3701735242996618,-1.5208814386102443,2.0698063240685514,-135.54829362030736,-31.376141122007805,29.03787686998247,0.0836,-0.9257,-0.2704,0.2507,0
106577.0,73.653251,1.0,-4.79,-5.56,-4.9,23.56,-4.19,29.06,7.75,22.75,46.44,-3.48585380208793,-2.128999026079861,1.9846370610296145,-137.088392741319,-29.404982305122264,28.813027467482133,0.0859,-0.9307,-0.2538,0.2488,0
106577.0,73.653251,1.0,-4.79,-5.56,-4.9,23.56,-4.19,29.06,7.75,22.75,46.44,-3.48585380208793,-2.128999026079861,1.9846370610296145,-137.088392741319,-29.404982305122264,28.813027467482133,0.0859,-0.9307,-0.2538,0.2488,0
106612.0,73.660398,1.0,-3.9,-5.3,-6.12,23.56,-4.19,29.5,-8.81,15.56,55.88,-2.1124817012373858,-2.4744264610258115,1.4299540671806348,-138.585728177911,-27.93836845602765,28.34002932498839,0.0822,-0.9354,-0.2414,0.2448,0
106612.0,73.660398,1.0,-3.9,-5.3,-6.12,23.56,-4.19,29.5,-8.81,15.56,55.88,-2.1124817012373858,-2.4744264610258115,1.4299540671806348,-138.585728177911,-27.93836845602765,28.34002932498839,0.0822,-0.9354,-0.2414,0.2448,0
106649.0,73.677698,1.0,-1.92,-5.39,-8.98,23.87,-6.0,30.0,-19.87,-90.12,107.75,1.0704308452751603,-3.819664828525719,-0.07480932558582509,-139.93551354464947,-25.183180957237056,29.59457663056109,0.0684,-0.9395,-0.218,0.2554,0
106649.0,73.677698,1.0,-1.92,-5.39,-8.98,23.87,-6.0,30.0,-19.87,-90.12,107.75,1.0704308452751603,-3.819664828525719,-0.07480932558582509,-139.93551354464947,-25.183180957237056,29.59457663056109,0.0684,-0.9395,-0.218,0.2554,0
106684.0,73.717441,1.0,-7.04,-1.25,-3.77,23.87,-6.0,30.0,-24.62,-158.88,156.81,-3.6298097674745127,1.4032495366350801,2.721992507228731,-139.0746070515941,-21.590514086807826,33.919519970596944,0.0449,-0.9369,-0.1873,0.2917,0
106684.0,73.717441,1.0,-7.04,-1.25,-3.77,23.87,-6.0,30.0,-24.62,-158.88,156.81,-3.6298097674745127,1.4032495366350801,2.721992507228731,-139.0746070515941,-21.590514086807826,33.919519970596944,0.0449,-0.9369,-0.1873,0.2917,0
106721.0,73.739435,1.0,-6.96,-0.11,-3.93,23.87,-7.5,29.06,30.94,-48.25,122.87,-2.857540970606919,1.7513925703472872,2.5495373740422638,-138.5533323833026,-16.605072138436235,37.54363247388456,0.0289,-0.9353,-0.1444,0.3218,0
106721.0,73.739435,1.0,-6.96,-0.11,-3.93,23.87,-7.5,29.06,30.94,-48.25,122.87,-2.857540970606919,1.7513925703472872,2.5495373740422638,-138.5533323833026,-16.605072138436235,37.54363247388456,0.0289,-0.9353,-0.1444,0.3218,0
106758.0,73.822078,1.0,-5.99,-2.81,-5.43,25.37,-9.69,26.56,49.94,18.75,85.31,-1.7921524354759688,-1.386365696661672,1.552724885053939,-139.5028685781741,-13.553381828311744,37.810002605741936,0.0305,-0.9382,-0.118,0.324,0
106758.0,73.822078,1.0,-5.99,-2.81,-5.43,25.37,-9.69,26.56,49.94,18.75,85.31,-1.7921524354759688,-1.386365696661672,1.552724885053939,-139.5028685781741,-13.553381828311744,37.810002605741936,0.0305,-0.9382,-0.118,0.324,0
106790.0,73.82849,1.0,-5.03,0.51,-8.87,25.37,-9.69,26.56,-46.56,44.19,109.06,1.3266410751019457,1.299953817970992,-0.23267485424169365,-142.34696199162144,-9.92457255015729,36.10640826375515,0.0226,-0.9465,-0.0865,0.3099,0
106790.0,73.82849,1.0,-5.03,0.51,-8.87,25.37,-9.69,26.56,-46.56,44.19,109.06,1.3266410751019457,1.299953817970992,-0.23267485424169365,-142.34696199162144,-9.92457255015729,36.10640826375515,0.0226,-0.9465,-0.0865,0.3099,0
106825.0,73.880123,1.0,-6.52,4.41,-7.75,24.5,-10.5,27.75,-24.31,35.5,93.69,-0.42024688784933645,4.9091404394356,-0.07994358420032022,-144.5768347492103,-6.718914520918895,34.73506381234489,0.0039,-0.9526,-0.0586,0.2985,0
106825.0,73.880123,1.0,-6.52,4.41,-7.75,24.5,-10.5,27.75,-24.31,35.5,93.69,-0.42024688784933645,4.9091404394356,-0.07994358420032022,-144.5768347492103,-6.718914520918895,34.73506381234489,0.0039,-0.9526,-0.0586,0.2985,0
