TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
94758.0,1127.33978,1.0,8.92,-1.72,3.23,-39.75,-9.88,-21.69,0.88,0.75,1.06,-0.04479025783578701,0.0292514819098314,0.165341054446543,-67.2562029587362,17.90319186690899,-109.25386439900599,-0.0643,-0.5538,0.1556,-0.8154,0
94758.0,1127.33978,1.0,8.92,-1.72,3.23,-39.75,-9.88,-21.69,0.88,0.75,1.06,-0.04479025783578701,0.0292514819098314,0.165341054446543,-67.2562029587362,17.90319186690899,-109.25386439900599,-0.0643,-0.5538,0.1556,-0.8154,0
94793.0,1127.363365,1.0,8.92,-1.68,3.08,-39.88,-9.19,-20.87,-0.81,2.19,-2.13,-0.19606673045215156,0.00828218752382981,0.22350389641900215,-67.20116264131201,17.87999134136898,-109.31327042212921,-0.0648,-0.5534,0.1554,-0.8157,0
94793.0,1127.363365,1.0,8.92,-1.68,3.08,-39.88,-9.19,-20.87,-0.81,2.19,-2.13,-0.19606673045215156,0.00828218752382981,0.22350389641900215,-67.20116264131201,17.87999134136898,-109.31327042212921,-0.0648,-0.5534,0.1554,-0.8157,0
94826.0,1127.400055,1.0,8.92,-1.77,3.16,-40.69,-8.69,-20.37,-0.31,1.19,-2.44,-0.10340018448134897,-0.06417593022479884,0.18011948003440814,-67.173649069206,17.833592505981912,-109.3528985741182,-0.0654,-0.5532,0.155,-0.8159,0
94826.0,1127.400055,1.0,8.92,-1.77,3.16,-40.69,-8.69,-20.37,-0.31,1.19,-2.44,-0.10340018448134897,-0.06417593022479884,0.18011948003440814,-67.173649069206,17.833592505981912,-109.3528985741182,-0.0654,-0.5532,0.155,-0.8159,0
94863.0,1127.43037,1.0,9.05,-1.65,3.12,-40.69,-9.19,-20.37,-1.75,0.63,-2.5,-0.21117607352467382,0.031175635093462772,0.09511908331404051,-67.20116264131201,17.833592505981912,-109.29346359122704,-0.0667,-0.5534,0.155,-0.8156,0
94863.0,1127.43037,1.0,9.05,-1.65,3.12,-40.69,-9.19,-20.37,-1.75,0.63,-2.5,-0.21117607352467382,0.031175635093462772,0.09511908331404051,-67.20116264131201,17.833592505981912,-109.29346359122704,-0.0667,-0.5534,0.155,-0.8156,0
94896.0,1127.498849,1.0,10.33,-2.19,2.5,-40.69,-9.19,-20.37,-16.12,4.13,-26.31,-1.0621144948890135,-0.6735501753988911,-0.9717192162110848,-67.21492107332485,17.79879531415178,-109.21428447215929,-0.0718,-0.5535,0.1547,-0.8152,0
94896.0,1127.498849,1.0,10.33,-2.19,2.5,-40.69,-9.19,-20.37,-16.12,4.13,-26.31,-1.0621144948890135,-0.6735501753988911,-0.9717192162110848,-67.21492107332485,17.79879531415178,-109.21428447215929,-0.0718,-0.5535,0.1547,-0.8152,0
94932.0,1127.503505,1.0,11.36,-3.01,1.16,-40.25,-9.19,-20.0,-39.44,-3.44,-49.44,-2.2357588262918413,-2.1151423389633246,-1.5943523838512927,-67.2837297114374,17.821993257993135,-108.7801674720705,-0.0896,-0.554,0.1549,-0.813,0
94932.0,1127.503505,1.0,11.36,-3.01,1.16,-40.25,-9.19,-20.0,-39.44,-3.44,-49.44,-2.2357588262918413,-2.1151423389633246,-1.5943523838512927,-67.2837297114374,17.821993257993135,-108.7801674720705,-0.0896,-0.554,0.1549,-0.813,0
94969.0,1127.5376,1.0,12.99,-4.04,0.54,-39.5,-9.5,-21.19,-91.0,-41.06,-82.94,-2.5528755067620716,-3.5448905291142645,-3.08791776257236,-68.19460380315535,18.564721836939235,-107.0854130457935,-0.1138,-0.5606,0.1613,-0.8043,0
94969.0,1127.5376,1.0,12.99,-4.04,0.54,-39.5,-9.5,-21.19,-91.0,-41.06,-82.94,-2.5528755067620716,-3.5448905291142645,-3.08791776257236,-68.19460380315535,18.564721836939235,-107.0854130457935,-0.1138,-0.5606,0.1613,-0.8043,0
95002.0,1127.585815,1.0,14.15,-3.7,0.05,-39.5,-9.5,-21.19,-226.06,-74.44,-148.94,-2.0342621426367176,-4.001070527509989,-4.113415092122455,-70.479628139678,21.34558610673021,-101.80973815523876,-0.1743,-0.577,0.1852,-0.7761,0
95002.0,1127.585815,1.0,14.15,-3.7,0.05,-39.5,-9.5,-21.19,-226.06,-74.44,-148.94,-2.0342621426367176,-4.001070527509989,-4.113415092122455,-70.479628139678,21.34558610673021,-101.80973815523876,-0.1743,-0.577,0.1852,-0.7761,0
95039.0,1127.614431,1.0,15.12,-0.42,0.57,-40.25,-10.25,-20.37,-310.25,-91.31,-207.88,-1.5153110495975968,-1.9476515318717436,-5.127411267229521,-72.38499549855874,26.46463761296408,-92.37347575931803,-0.2796,-0.5905,0.2289,-0.7216,0
95039.0,1127.614431,1.0,15.12,-0.42,0.57,-40.25,-10.25,-20.37,-310.25,-91.31,-207.88,-1.5153110495975968,-1.9476515318717436,-5.127411267229521,-72.38499549855874,26.46463761296408,-92.37347575931803,-0.2796,-0.5905,0.2289,-0.7216,0
95076.0,1127.654367,1.0,14.48,3.61,0.52,-39.88,-11.0,-18.69,-276.5,-28.69,-279.38,-2.9481022674097064,-0.472646871144766,-4.82407786829455,-72.42759839996175,27.950176987884003,-85.06370833977694,-0.3683,-0.5908,0.2415,-0.676,0
95076.0,1127.654367,1.0,14.48,3.61,0.52,-39.88,-11.0,-18.69,-276.5,-28.69,-279.38,-2.9481022674097064,-0.472646871144766,-4.82407786829455,-72.42759839996175,27.950176987884003,-85.06370833977694,-0.3683,-0.5908,0.2415,-0.676,0
95113.0,1127.6907,1.0,15.5,3.87,-1.7,-37.25,-14.38,-21.0,-64.94,-56.88,-262.31,-2.03325212344769,-3.95710229075872,-5.6311000712690475,-74.77463787425259,24.702001461626935,-76.96857576197083,-0.4454,-0.6072,0.2139,-0.6223,0
95113.0,1127.6907,1.0,15.5,3.87,-1.7,-37.25,-14.38,-21.0,-64.94,-56.88,-262.31,-2.03325212344769,-3.95710229075872,-5.6311000712690475,-74.77463787425259,24.702001461626935,-76.96857576197083,-0.4454,-0.6072,0.2139,-0.6223,0
95145.0,1127.731889,1.0,13.29,6.59,1.88,-37.25,-14.38,-21.0,4.19,-161.94,-193.19,-0.7983373890473433,0.9577055088342896,-5.094090168582149,-79.43458474445285,23.307876019955895,-70.10125098879591,-0.4702,-0.639,0.202,-0.5743,0
95145.0,1127.731889,1.0,13.29,6.59,1.88,-37.25,-14.38,-21.0,4.19,-161.94,-193.19,-0.7983373890473433,0.9577055088342896,-5.094090168582149,-79.43458474445285,23.307876019955895,-70.10125098879591,-0.4702,-0.639,0.202,-0.5743,0
