,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,831842.0,534.793801,1.0,0.05,2.64,-9.44,-7.75,-28.5,32.69,-0.19,4.69,-0.94,0.05191069649836014,0.041982065547682364,0.004546002094171442,-154.42620867150097,20.25043303206116,2.8192367490322434,-0.1326,-0.9752,0.1758,0.0246
1,831842.0,534.793801,1.0,0.05,2.64,-9.44,-7.75,-28.5,32.69,-0.19,4.69,-0.94,0.05191069649836014,0.041982065547682364,0.004546002094171442,-154.42620867150097,20.25043303206116,2.8192367490322434,-0.1326,-0.9752,0.1758,0.0246
2,831877.0,534.835142,1.0,0.06,2.59,-9.59,-8.19,-28.5,33.5,6.38,1.63,-3.69,0.07788595909641963,-0.02334741998583345,-0.12678790816430666,-154.52996593229264,20.157316215575328,2.738999060214957,-0.1318,-0.9754,0.175,0.0239
3,831877.0,534.835142,1.0,0.06,2.59,-9.59,-8.19,-28.5,33.5,6.38,1.63,-3.69,0.07788595909641963,-0.02334741998583345,-0.12678790816430666,-154.52996593229264,20.157316215575328,2.738999060214957,-0.1318,-0.9754,0.175,0.0239
4,831911.0,534.895489,1.0,-0.33,2.38,-9.02,-8.19,-28.5,33.5,4.94,2.25,-2.75,-0.29255896196110953,-0.17518589980121813,0.4783372289632659,-154.79119639620873,20.040939097265657,2.6243761106355543,-0.13,-0.9759,0.174,0.0229
5,831911.0,534.895489,1.0,-0.33,2.38,-9.02,-8.19,-28.5,33.5,4.94,2.25,-2.75,-0.29255896196110953,-0.17518589980121813,0.4783372289632659,-154.79119639620873,20.040939097265657,2.6243761106355543,-0.13,-0.9759,0.174,0.0229
6,831946.0,534.9118480000001,1.0,-0.06,2.36,-9.17,-8.06,-27.69,34.0,2.0,22.0,0.31,-0.09645217828970952,-0.1518271064939467,0.3393512560584728,-154.89643727544527,19.936217546906203,2.1315259137202647,-0.1301,-0.9761,0.1731,0.0186
7,831946.0,534.9118480000001,1.0,-0.06,2.36,-9.17,-8.06,-27.69,34.0,2.0,22.0,0.31,-0.09645217828970952,-0.1518271064939467,0.3393512560584728,-154.89643727544527,19.936217546906203,2.1315259137202647,-0.1301,-0.9761,0.1731,0.0186
8,831983.0,534.9680950000001,1.0,-1.06,0.99,-7.72,-8.06,-27.69,32.25,16.5,64.69,9.5,-1.0157779197040473,-1.4226786302471848,2.148564029414417,-154.89643727544527,20.087487431641744,-0.2406424508273681,-0.1296,-0.9761,0.1744,-0.0021
9,831983.0,534.9680950000001,1.0,-1.06,0.99,-7.72,-8.06,-27.69,32.25,16.5,64.69,9.5,-1.0157779197040473,-1.4226786302471848,2.148564029414417,-154.89643727544527,20.087487431641744,-0.2406424508273681,-0.1296,-0.9761,0.1744,-0.0021
10,832016.0,534.971666,1.0,2.77,3.09,-10.54,-8.06,-27.69,32.25,-26.19,205.25,14.0,1.06657882554445,0.6263097375858924,-1.4531344438295246,-153.71118144535646,19.924582858932858,-5.341901218009245,-0.1405,-0.9738,0.17300000000000001,-0.0466
11,832016.0,534.971666,1.0,2.77,3.09,-10.54,-8.06,-27.69,32.25,-26.19,205.25,14.0,1.06657882554445,0.6263097375858924,-1.4531344438295246,-153.71118144535646,19.924582858932858,-5.341901218009245,-0.1405,-0.9738,0.17300000000000001,-0.0466
12,832051.0,535.055572,1.0,2.74,3.32,-9.31,-9.88,-27.69,33.5,-3.38,159.31,-0.37,-0.0003309485525768985,0.7274829303126458,-0.4245214127257579,-151.3927025567389,19.16876722159467,-11.639588800101585,-0.1519,-0.9690000000000001,0.1665,-0.1014
13,832051.0,535.055572,1.0,2.74,3.32,-9.31,-9.88,-27.69,33.5,-3.38,159.31,-0.37,-0.0003309485525768985,0.7274829303126458,-0.4245214127257579,-151.3927025567389,19.16876722159467,-11.639588800101585,-0.1519,-0.9690000000000001,0.1665,-0.1014
14,832088.0,535.059112,1.0,2.23,0.19,-7.89,-16.25,-28.06,31.06,59.25,170.69,28.62,0.1613577882165632,-1.803818112006331,1.807818592664316,-149.46197984083236,19.157145947707967,-16.38507281218067,-0.1461,-0.9647,0.1664,-0.1425
15,832088.0,535.059112,1.0,2.23,0.19,-7.89,-16.25,-28.06,31.06,59.25,170.69,28.62,0.1613577882165632,-1.803818112006331,1.807818592664316,-149.46197984083236,19.157145947707967,-16.38507281218067,-0.1461,-0.9647,0.1664,-0.1425
16,832124.0,535.111368,1.0,4.57,1.49,-9.18,-21.06,-27.0,27.06,-20.69,227.31,27.69,0.1041815894100488,-0.9286176840236676,-0.5134379547291896,-143.61025532246643,19.05256341690962,-24.57298013035922,-0.1575,-0.95,0.1655,-0.2128
17,832124.0,535.111368,1.0,4.57,1.49,-9.18,-21.06,-27.0,27.06,-20.69,227.31,27.69,0.1041815894100488,-0.9286176840236676,-0.5134379547291896,-143.61025532246643,19.05256341690962,-24.57298013035922,-0.1575,-0.95,0.1655,-0.2128
18,832157.0,535.1287120000001,1.0,5.63,1.43,-8.29,-21.06,-27.0,27.06,-12.31,113.44,20.0,0.7398312839639128,-0.8444803084023733,-0.2534395960219449,-140.00247242955643,18.843446306043923,-28.387306821530828,-0.1733,-0.9397,0.1637,-0.2452
19,832157.0,535.1287120000001,1.0,5.63,1.43,-8.29,-21.06,-27.0,27.06,-12.31,113.44,20.0,0.7398312839639128,-0.8444803084023733,-0.2534395960219449,-140.00247242955643,18.843446306043923,-28.387306821530828,-0.1733,-0.9397,0.1637,-0.2452
20,832196.0,535.168948,1.0,4.82,0.3,-7.47,-25.69,-27.56,24.37,-32.56,120.0,68.06,0.1316591844969317,-1.774683135393348,1.091349338055629,-135.397065246721,20.867676487915002,-33.05792701658909,-0.174,-0.9252,0.1811,-0.2845
