TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
693704.0,140.107545,1.0,9.45,2.27,1.66,-30.25,-30.06,-2.88,-1.12,2.19,0.06,-0.12051343325450252,0.037322845251015035,-0.05210669228263143,-77.84962137759723,-13.991994191085649,-100.29559547862137,-0.0325,-0.6283,-0.1218,-0.7677,0
693704.0,140.107545,1.0,9.45,2.27,1.66,-30.25,-30.06,-2.88,-1.12,2.19,0.06,-0.12051343325450252,0.037322845251015035,-0.05210669228263143,-77.84962137759723,-13.991994191085649,-100.29559547862137,-0.0325,-0.6283,-0.1218,-0.7677,0
693737.0,140.134008,1.0,9.41,2.3,1.53,-29.19,-29.0,-2.88,-0.06,0.06,0.25,-0.23567223804057788,0.09644087571330706,0.002867171228821519,-77.84962137759723,-13.96890425008599,-100.29559547862137,-0.0325,-0.6283,-0.1216,-0.7677,0
693737.0,140.134008,1.0,9.41,2.3,1.53,-29.19,-29.0,-2.88,-0.06,0.06,0.25,-0.23567223804057788,0.09644087571330706,0.002867171228821519,-77.84962137759723,-13.96890425008599,-100.29559547862137,-0.0325,-0.6283,-0.1216,-0.7677,0
693772.0,140.173985,1.0,9.28,2.28,1.75,-30.69,-28.56,-3.25,-0.63,0.25,0.37,0.00604220138879813,0.07116250806186541,0.09201159246013191,-77.86435168062559,-13.96890425008599,-100.27771483475883,-0.0325,-0.6284,-0.1216,-0.7676,0
693772.0,140.173985,1.0,9.28,2.28,1.75,-30.69,-28.56,-3.25,-0.63,0.25,0.37,0.00604220138879813,0.07116250806186541,0.09201159246013191,-77.86435168062559,-13.96890425008599,-100.27771483475883,-0.0325,-0.6284,-0.1216,-0.7676,0
693809.0,140.196735,1.0,9.35,2.25,1.73,-31.0,-28.56,-3.25,-1.31,1.25,-0.12,-0.039488222415555746,0.03013083416132556,0.03549690463182209,-77.82016535805076,-13.96890425008599,-100.33136679814685,-0.0326,-0.6281,-0.1216,-0.7679,0
693809.0,140.196735,1.0,9.35,2.25,1.73,-31.0,-28.56,-3.25,-1.31,1.25,-0.12,-0.039488222415555746,0.03013083416132556,0.03549690463182209,-77.82016535805076,-13.96890425008599,-100.33136679814685,-0.0326,-0.6281,-0.1216,-0.7679,0
693841.0,140.236588,1.0,9.3,2.26,1.69,-31.0,-28.56,-3.25,0.5,-0.12,-0.37,-0.06723420917254325,0.056039476583650716,0.08831479595495928,-77.82016535805076,-13.957359493385505,-100.33136679814685,-0.0327,-0.6281,-0.1215,-0.7679,0
693841.0,140.236588,1.0,9.3,2.26,1.69,-31.0,-28.56,-3.25,0.5,-0.12,-0.37,-0.06723420917254325,0.056039476583650716,0.08831479595495928,-77.82016535805076,-13.957359493385505,-100.33136679814685,-0.0327,-0.6281,-0.1215,-0.7679,0
693878.0,140.2445,1.0,9.4,2.34,1.8,-30.25,-29.69,-2.88,-0.94,0.37,-0.81,0.02629381779231689,0.09351403761604349,-0.045566185199890086,-77.82016535805076,-13.957359493385505,-100.33136679814685,-0.033,-0.6281,-0.1215,-0.7679,0
693878.0,140.2445,1.0,9.4,2.34,1.8,-30.25,-29.69,-2.88,-0.94,0.37,-0.81,0.02629381779231689,0.09351403761604349,-0.045566185199890086,-77.82016535805076,-13.957359493385505,-100.33136679814685,-0.033,-0.6281,-0.1215,-0.7679,0
693913.0,140.315221,1.0,9.23,2.27,1.81,-29.87,-29.25,-4.06,2.19,-0.25,0.25,0.06508598166706905,0.05677214505758532,0.131194417003611,-77.82016535805076,-13.991994191085649,-100.33136679814685,-0.0328,-0.6281,-0.1218,-0.7679,0
693913.0,140.315221,1.0,9.23,2.27,1.81,-29.87,-29.25,-4.06,2.19,-0.25,0.25,0.06508598166706905,0.05677214505758532,0.131194417003611,-77.82016535805076,-13.991994191085649,-100.33136679814685,-0.0328,-0.6281,-0.1218,-0.7679,0
693948.0,140.334796,1.0,9.44,2.19,1.67,-29.87,-29.25,-4.06,0.44,1.81,-0.69,-0.13125421490763672,-0.04596242099454484,-0.02591120178894535,-77.76127164487418,-14.026630173419028,-100.36715150883053,-0.0327,-0.6277,-0.1221,-0.7681,0
693948.0,140.334796,1.0,9.44,2.19,1.67,-29.87,-29.25,-4.06,0.44,1.81,-0.69,-0.13125421490763672,-0.04596242099454484,-0.02591120178894535,-77.76127164487418,-14.026630173419028,-100.36715150883053,-0.0327,-0.6277,-0.1221,-0.7681,0
693983.0,140.380842,1.0,9.35,2.23,1.59,-30.37,-29.75,-2.75,0.44,0.81,-1.12,-0.18910017022102965,0.017529405600325232,0.06563188865446534,-77.74655203029215,-14.049721543626418,-100.38504889165011,-0.0329,-0.6276,-0.1223,-0.7682,0
693983.0,140.380842,1.0,9.35,2.23,1.59,-30.37,-29.75,-2.75,0.44,0.81,-1.12,-0.18910017022102965,0.017529405600325232,0.06563188865446534,-77.74655203029215,-14.049721543626418,-100.38504889165011,-0.0329,-0.6276,-0.1223,-0.7682,0
694020.0,140.398532,1.0,9.42,2.25,1.84,-31.0,-29.37,-3.69,0.12,-0.25,0.06,0.04131124489739417,-0.014044970830037196,-0.051473356899094824,-77.74655203029215,-14.049721543626418,-100.38504889165011,-0.0329,-0.6276,-0.1223,-0.7682,0
694020.0,140.398532,1.0,9.42,2.25,1.84,-31.0,-29.37,-3.69,0.12,-0.25,0.06,0.04131124489739417,-0.014044970830037196,-0.051473356899094824,-77.74655203029215,-14.049721543626418,-100.38504889165011,-0.0329,-0.6276,-0.1223,-0.7682,0
694054.0,140.46136,1.0,9.4,2.27,1.81,-31.0,-29.37,-3.69,-0.06,-0.37,-1.06,0.01822920512178025,0.011046661931596535,-0.03146697772194429,-77.74655203029215,-14.061267443693245,-100.38504889165011,-0.033,-0.6276,-0.1224,-0.7682,0
694054.0,140.46136,1.0,9.4,2.27,1.81,-31.0,-29.37,-3.69,-0.06,-0.37,-1.06,0.01822920512178025,0.011046661931596535,-0.03146697772194429,-77.74655203029215,-14.061267443693245,-100.38504889165011,-0.033,-0.6276,-0.1224,-0.7682,0
694087.0,140.50916,1.0,9.35,2.12,1.7,-31.37,-30.06,-2.38,1.94,-1.06,-0.06,-0.08906138456983993,-0.11166906984798008,0.07081423265995035,-77.76127164487418,-14.10745247990795,-100.34925747843585,-0.0328,-0.6277,-0.1228,-0.768,0
694087.0,140.50916,1.0,9.35,2.12,1.7,-31.37,-30.06,-2.38,1.94,-1.06,-0.06,-0.08906138456983993,-0.11166906984798008,0.07081423265995035,-77.76127164487418,-14.10745247990795,-100.34925747843585,-0.0328,-0.6277,-0.1228,-0.768,0
694122.0,140.522809,1.0,9.2,2.21,1.73,-29.87,-28.87,-4.06,-1.19,-1.69,-1.25,-0.012706382619258515,-0.0010228951246677997,0.18808266897162973,-77.80543964009445,-14.10745247990795,-100.31347946564678,-0.033,-0.628,-0.1228,-0.7678,0
694122.0,140.522809,1.0,9.2,2.21,1.73,-29.87,-28.87,-4.06,-1.19,-1.69,-1.25,-0.012706382619258515,-0.0010228951246677997,0.18808266897162973,-77.80543964009445,-14.10745247990795,-100.31347946564678,-0.033,-0.628,-0.1228,-0.7678,0
