,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,1328797.0,776.403823,1.0,6.98,5.67,-3.93,-15.69,-38.0,12.88,0.75,0.31,0.19,0.0373310641984983,0.03794652447304259,-0.007185460864739923,-107.64651805195676,-26.00575632582789,-60.158846336733674,-0.2159,-0.8072,-0.225,-0.5012
1,1328797.0,776.403823,1.0,6.98,5.67,-3.93,-15.69,-38.0,12.88,0.75,0.31,0.19,0.0373310641984983,0.03794652447304259,-0.007185460864739923,-107.64651805195676,-26.00575632582789,-60.158846336733674,-0.2159,-0.8072,-0.225,-0.5012
2,1328832.0,776.40667,1.0,6.95,5.8,-3.94,-15.69,-38.0,12.88,0.06,0.0,0.37,0.035994530797596014,0.16024744623823214,-0.06447582990039713,-107.66593345101973,-25.99399574998519,-60.158846336733674,-0.2159,-0.8073,-0.2249,-0.5012
3,1328832.0,776.40667,1.0,6.95,5.8,-3.94,-15.69,-38.0,12.88,0.06,0.0,0.37,0.035994530797596014,0.16024744623823214,-0.06447582990039713,-107.66593345101973,-25.99399574998519,-60.158846336733674,-0.2159,-0.8073,-0.2249,-0.5012
4,1328865.0,776.413724,1.0,7.06,5.68,-4.14,-14.88,-38.69,11.25,1.06,1.12,0.56,-0.12168288683131605,-0.01848179754855428,-0.15479827312834793,-107.627107150319,-26.041039726290627,-60.19857784037951,-0.2153,-0.8071,-0.2253,-0.5015
5,1328865.0,776.413724,1.0,7.06,5.68,-4.14,-14.88,-38.69,11.25,1.06,1.12,0.56,-0.12168288683131605,-0.01848179754855428,-0.15479827312834793,-107.627107150319,-26.041039726290627,-60.19857784037951,-0.2153,-0.8071,-0.2253,-0.5015
6,1328900.0,776.477485,1.0,7.01,5.72,-4.0,-14.19,-38.25,12.06,1.44,-1.44,-0.25,-0.004458794498583829,0.05928150956975298,-0.08551689213110336,-107.64651805195676,-26.041039726290627,-60.17208928443668,-0.2153,-0.8072,-0.2253,-0.5013
7,1328900.0,776.477485,1.0,7.01,5.72,-4.0,-14.19,-38.25,12.06,1.44,-1.44,-0.25,-0.004458794498583829,0.05928150956975298,-0.08551689213110336,-107.64651805195676,-26.041039726290627,-60.17208928443668,-0.2153,-0.8072,-0.2253,-0.5013
8,1328936.0,776.4943049999999,1.0,6.97,5.73,-3.93,-15.25,-38.0,13.56,-1.06,0.19,-0.5,0.048779113344097465,0.09858456455985333,-0.03441710076361382,-107.66593345101973,-26.041039726290627,-60.145604275403045,-0.2153,-0.8073,-0.2253,-0.5011
9,1328936.0,776.4943049999999,1.0,6.97,5.73,-3.93,-15.25,-38.0,13.56,-1.06,0.19,-0.5,0.048779113344097465,0.09858456455985333,-0.03441710076361382,-107.66593345101973,-26.041039726290627,-60.145604275403045,-0.2153,-0.8073,-0.2253,-0.5011
