TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
4037316.0,3999.739699,1.0,5.49,4.51,6.83,-12.56,-27.5,-28.75,2.38,-6.13,0.81,0.06726352116302747,0.167814444500205,-0.04710126187675989,-45.75970496782289,-9.108157120464725,-110.18961077711621,-0.4124,-0.3888,-0.0794,-0.8201,0
4037316.0,3999.739699,1.0,5.49,4.51,6.83,-12.56,-27.5,-28.75,2.38,-6.13,0.81,0.06726352116302747,0.167814444500205,-0.04710126187675989,-45.75970496782289,-9.108157120464725,-110.18961077711621,-0.4124,-0.3888,-0.0794,-0.8201,0
4037349.0,3999.798997,1.0,5.46,4.6,6.83,-12.56,-27.5,-28.75,2.25,-1.0,2.69,0.04656839941039703,0.25409726778360575,-0.07028099918599828,-45.88411078347371,-9.17713147157167,-110.16958750511162,-0.4114,-0.3898,-0.08,-0.82,0
4037349.0,3999.798997,1.0,5.46,4.6,6.83,-12.56,-27.5,-28.75,2.25,-1.0,2.69,0.04656839941039703,0.25409726778360575,-0.07028099918599828,-45.88411078347371,-9.17713147157167,-110.16958750511162,-0.4114,-0.3898,-0.08,-0.82,0
4037386.0,3999.819526,1.0,5.87,4.93,6.73,-12.56,-27.5,-27.5,6.19,-3.06,7.06,-0.34223573229332627,0.15898674380062072,-0.38708817197779943,-46.04592388413567,-9.280599254023052,-110.22967237255023,-0.4096,-0.3911,-0.0809,-0.8203,0
4037386.0,3999.819526,1.0,5.87,4.93,6.73,-12.56,-27.5,-27.5,6.19,-3.06,7.06,-0.34223573229332627,0.15898674380062072,-0.38708817197779943,-46.04592388413567,-9.280599254023052,-110.22967237255023,-0.4096,-0.3911,-0.0809,-0.8203,0
4037421.0,3999.865344,1.0,6.53,5.15,6.36,-11.75,-28.25,-27.87,22.06,-12.75,11.19,-0.8835328952336011,-0.22000087927136125,-0.6233053803532602,-46.53194812307301,-9.499056247386589,-110.1295559906411,-0.4063,-0.395,-0.0828,-0.8198,0
4037421.0,3999.865344,1.0,6.53,5.15,6.36,-11.75,-28.25,-27.87,22.06,-12.75,11.19,-0.8835328952336011,-0.22000087927136125,-0.6233053803532602,-46.53194812307301,-9.499056247386589,-110.1295559906411,-0.4063,-0.395,-0.0828,-0.8198,0
4037455.0,3999.873411,1.0,6.76,5.52,5.78,-11.75,-28.25,-27.87,46.81,-62.13,25.12,-1.2747327678173757,-0.06409891002898238,-0.5831213016401762,-48.522767881927,-9.694547078719877,-109.41237708953594,-0.3972,-0.4109,-0.0845,-0.8162,0
4037455.0,3999.873411,1.0,6.76,5.52,5.78,-11.75,-28.25,-27.87,46.81,-62.13,25.12,-1.2747327678173757,-0.06409891002898238,-0.5831213016401762,-48.522767881927,-9.694547078719877,-109.41237708953594,-0.3972,-0.4109,-0.0845,-0.8162,0
4037490.0,3999.939771,1.0,6.45,5.08,5.79,-13.0,-28.25,-28.75,78.5,-147.06,37.06,-0.28426770310278693,0.2124959897197618,-0.2336207795818801,-52.514222253767834,-9.660046657878475,-107.37517302657601,-0.3845,-0.4424,-0.0842,-0.8058,0
4037490.0,3999.939771,1.0,6.45,5.08,5.79,-13.0,-28.25,-28.75,78.5,-147.06,37.06,-0.28426770310278693,0.2124959897197618,-0.2336207795818801,-52.514222253767834,-9.660046657878475,-107.37517302657601,-0.3845,-0.4424,-0.0842,-0.8058,0
4037527.0,3999.958141,1.0,8.24,6.08,4.2,-14.75,-29.75,-25.0,95.31,-166.13,47.81,-1.4279497695564343,0.05747004537631195,-1.1688525693363232,-59.76196847937517,-9.23461264182475,-103.21965750009807,-0.3619,-0.4982,-0.0805,-0.7838,0
4037527.0,3999.958141,1.0,8.24,6.08,4.2,-14.75,-29.75,-25.0,95.31,-166.13,47.81,-1.4279497695564343,0.05747004537631195,-1.1688525693363232,-59.76196847937517,-9.23461264182475,-103.21965750009807,-0.3619,-0.4982,-0.0805,-0.7838,0
4037564.0,4000.008503,1.0,7.96,5.6,4.11,-14.75,-29.75,-25.0,117.06,-190.13,47.0,-0.16651500539968128,0.42424526273779994,-0.7482535386412348,-66.04932726333173,-9.142643881088318,-99.22859240723112,-0.3413,-0.545,-0.0797,-0.7617,0
4037564.0,4000.008503,1.0,7.96,5.6,4.11,-14.75,-29.75,-25.0,117.06,-190.13,47.0,-0.16651500539968128,0.42424526273779994,-0.7482535386412348,-66.04932726333173,-9.142643881088318,-99.22859240723112,-0.3413,-0.545,-0.0797,-0.7617,0
4037599.0,4000.075035,1.0,7.95,5.33,2.5,-19.69,-31.25,-21.25,111.56,-160.69,26.37,-0.15967362771622695,0.42114473819231923,-0.07558362616493142,-74.31383383792469,-9.407070184120801,-93.33773486561994,-0.3151,-0.604,-0.082,-0.7274,0
4037599.0,4000.075035,1.0,7.95,5.33,2.5,-19.69,-31.25,-21.25,111.56,-160.69,26.37,-0.15967362771622695,0.42114473819231923,-0.07558362616493142,-74.31383383792469,-9.407070184120801,-93.33773486561994,-0.3151,-0.604,-0.082,-0.7274,0
4037634.0,4000.095059,1.0,9.81,5.18,0.16,-24.06,-32.0,-14.56,125.06,-173.31,15.38,-0.9780564901309062,-0.811143414494254,-1.2151262571754007,-82.23418197710798,-10.48830635783265,-87.24438704610047,-0.2884,-0.6576,-0.0914,-0.6899,0
4037634.0,4000.095059,1.0,9.81,5.18,0.16,-24.06,-32.0,-14.56,125.06,-173.31,15.38,-0.9780564901309062,-0.811143414494254,-1.2151262571754007,-82.23418197710798,-10.48830635783265,-87.24438704610047,-0.2884,-0.6576,-0.0914,-0.6899,0
4037670.0,4000.098405,1.0,9.39,5.36,-0.17,-26.37,-33.56,-7.19,129.56,-298.81,28.87,0.2017455397152938,0.03644272042349028,-1.0048517765957534,-91.05716253041412,-10.304202691653051,-79.76271757028876,-0.2675,-0.7136,-0.0898,-0.6412,0
4037670.0,4000.098405,1.0,9.39,5.36,-0.17,-26.37,-33.56,-7.19,129.56,-298.81,28.87,0.2017455397152938,0.03644272042349028,-1.0048517765957534,-91.05716253041412,-10.304202691653051,-79.76271757028876,-0.2675,-0.7136,-0.0898,-0.6412,0
4037705.0,4000.145802,1.0,8.23,5.15,-1.23,-26.37,-33.56,-7.19,126.81,-273.19,10.0,0.9610965425076257,0.7614397878369017,0.09764372306934632,-102.9800928228657,-10.177646918437086,-69.20783162339399,-0.2394,-0.7825,-0.0887,-0.5679,0
4037705.0,4000.145802,1.0,8.23,5.15,-1.23,-26.37,-33.56,-7.19,126.81,-273.19,10.0,0.9610965425076257,0.7614397878369017,0.09764372306934632,-102.9800928228657,-10.177646918437086,-69.20783162339399,-0.2394,-0.7825,-0.0887,-0.5679,0
4037740.0,4000.166001,1.0,8.47,4.09,-3.89,-28.69,-33.56,1.75,130.88,-245.69,12.0,0.06863329035585944,-0.5448661333412055,-0.35698667041442,-110.97447448991245,-10.51132121524803,-62.08851089054388,-0.2161,-0.824,-0.0916,-0.5157,0
4037740.0,4000.166001,1.0,8.47,4.09,-3.89,-28.69,-33.56,1.75,130.88,-245.69,12.0,0.06863329035585944,-0.5448661333412055,-0.35698667041442,-110.97447448991245,-10.51132121524803,-62.08851089054388,-0.2161,-0.824,-0.0916,-0.5157,0
