TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1902913.0,569.275681,1.0,3.41,3.59,-8.31,-15.19,-29.37,26.37,7.31,-5.69,30.19,0.6486984976441648,-0.3727479509091136,0.16234861398725897,-140.71214769326966,22.36094364221954,-12.642160322280048,-0.2517,-0.9418,0.1939,-0.1101,0
1902913.0,569.275681,1.0,3.41,3.59,-8.31,-15.19,-29.37,26.37,7.31,-5.69,30.19,0.6486984976441648,-0.3727479509091136,0.16234861398725897,-140.71214769326966,22.36094364221954,-12.642160322280048,-0.2517,-0.9418,0.1939,-0.1101,0
1902950.0,569.284159,1.0,3.85,2.46,-8.23,-17.37,-29.75,26.37,12.94,-2.31,50.0,1.4225743691885993,-0.9711629638084114,0.552455023566095,-140.17034192327273,23.76437852052494,-12.976563032466053,-0.2466,-0.9402,0.2059,-0.113,0
1902950.0,569.284159,1.0,3.85,2.46,-8.23,-17.37,-29.75,26.37,12.94,-2.31,50.0,1.4225743691885993,-0.9711629638084114,0.552455023566095,-140.17034192327273,23.76437852052494,-12.976563032466053,-0.2466,-0.9402,0.2059,-0.113,0
1902987.0,569.347476,1.0,3.82,2.96,-7.53,-17.75,-28.56,26.37,-13.38,-1.5,47.0,1.1354184867944432,-0.1888452554482023,0.9336537569409451,-138.7806141249359,25.711825174606222,-13.276466658923827,-0.2469,-0.936,0.2225,-0.1156,0
1902987.0,569.347476,1.0,3.82,2.96,-7.53,-17.75,-28.56,26.37,-13.38,-1.5,47.0,1.1354184867944432,-0.1888452554482023,0.9336537569409451,-138.7806141249359,25.711825174606222,-13.276466658923827,-0.2469,-0.936,0.2225,-0.1156,0
1903022.0,569.367979,1.0,3.49,3.15,-6.61,-17.75,-28.56,26.37,7.81,0.75,57.63,0.7375028124284593,0.3592527241808503,1.7368465896418037,-137.7829624670443,27.253986698732735,-13.622622983127282,-0.2452,-0.9329,0.2356,-0.1186,0
1903022.0,569.367979,1.0,3.49,3.15,-6.61,-17.75,-28.56,26.37,7.81,0.75,57.63,0.7375028124284593,0.3592527241808503,1.7368465896418037,-137.7829624670443,27.253986698732735,-13.622622983127282,-0.2452,-0.9329,0.2356,-0.1186,0
1903054.0,569.417621,1.0,5.74,3.92,-5.91,-19.25,-29.0,26.69,-14.06,11.81,35.69,2.1678414256974716,2.181209546771273,1.216836936486695,-136.43524351543036,28.69473124115228,-14.303764676023915,-0.2465,-0.9286,0.2478,-0.1245,0
1903054.0,569.417621,1.0,5.74,3.92,-5.91,-19.25,-29.0,26.69,-14.06,11.81,35.69,2.1678414256974716,2.181209546771273,1.216836936486695,-136.43524351543036,28.69473124115228,-14.303764676023915,-0.2465,-0.9286,0.2478,-0.1245,0
1903091.0,569.438491,1.0,1.73,2.05,-5.25,-20.75,-26.75,26.69,42.81,84.19,-44.69,-0.30302840064060044,-0.5477924056073221,3.9443981059950906,-136.46613430112785,27.65505415801313,-15.817984589415362,-0.2478,-0.9287,0.239,-0.1376,0
1903091.0,569.438491,1.0,1.73,2.05,-5.25,-20.75,-26.75,26.69,42.81,84.19,-44.69,-0.30302840064060044,-0.5477924056073221,3.9443981059950906,-136.46613430112785,27.65505415801313,-15.817984589415362,-0.2478,-0.9287,0.239,-0.1376,0
1903128.0,569.492803,1.0,0.59,-0.9,-4.13,-21.56,-27.87,26.75,-64.37,61.13,-79.62,0.1691002386233451,-2.7353730138860617,6.534931860520162,-137.11973135242658,24.537797991913113,-18.100426311736804,-0.2526,-0.9308,0.2125,-0.1573,0
1903128.0,569.492803,1.0,0.59,-0.9,-4.13,-21.56,-27.87,26.75,-64.37,61.13,-79.62,0.1691002386233451,-2.7353730138860617,6.534931860520162,-137.11973135242658,24.537797991913113,-18.100426311736804,-0.2526,-0.9308,0.2125,-0.1573,0
1903163.0,569.513417,1.0,1.64,2.48,-6.08,-21.56,-27.87,26.75,-65.87,26.37,-61.75,-0.7628313648562319,-1.2265638446234166,3.1945376715640856,-135.7912803367973,22.068995754971112,-18.00760340318733,-0.2838,-0.9265,0.1914,-0.1565,0
1903163.0,569.513417,1.0,1.64,2.48,-6.08,-21.56,-27.87,26.75,-65.87,26.37,-61.75,-0.7628313648562319,-1.2265638446234166,3.1945376715640856,-135.7912803367973,22.068995754971112,-18.00760340318733,-0.2838,-0.9265,0.1914,-0.1565,0
1903200.0,569.579112,1.0,2.59,1.45,-5.2,-20.75,-29.37,24.69,-109.69,56.63,-8.56,0.6886664167046244,-1.545633855328598,4.063188103916308,-133.56064768554157,21.520524528354446,-18.564721836939235,-0.3075,-0.919,0.1867,-0.1613,0
1903200.0,569.579112,1.0,2.59,1.45,-5.2,-20.75,-29.37,24.69,-109.69,56.63,-8.56,0.6886664167046244,-1.545633855328598,4.063188103916308,-133.56064768554157,21.520524528354446,-18.564721836939235,-0.3075,-0.919,0.1867,-0.1613,0
1903235.0,569.582971,1.0,5.31,6.71,-4.44,-21.56,-30.5,23.37,-232.38,73.75,-26.37,0.9007863534966778,2.201741952298521,0.46455621322806273,-126.47990511760632,21.310604474849132,-19.12228331882828,-0.3754,-0.8929,0.1849,-0.1661,0
1903235.0,569.582971,1.0,5.31,6.71,-4.44,-21.56,-30.5,23.37,-232.38,73.75,-26.37,0.9007863534966778,2.201741952298521,0.46455621322806273,-126.47990511760632,21.310604474849132,-19.12228331882828,-0.3754,-0.8929,0.1849,-0.1661,0
1903269.0,569.630037,1.0,3.18,5.95,-5.19,-21.56,-30.5,23.37,-152.19,25.37,35.13,-0.7321331296385466,0.010794545680947731,1.3263867636217075,-121.85369197967641,22.139049946746336,-19.157145947707967,-0.4141,-0.874,0.192,-0.1664,0
1903269.0,569.630037,1.0,3.18,5.95,-5.19,-21.56,-30.5,23.37,-152.19,25.37,35.13,-0.7321331296385466,0.010794545680947731,1.3263867636217075,-121.85369197967641,22.139049946746336,-19.157145947707967,-0.4141,-0.874,0.192,-0.1664,0
1903304.0,569.653336,1.0,1.94,5.27,-1.97,-22.69,-33.5,16.37,-187.25,50.0,54.56,-1.2800279233130862,1.182668212361976,4.11628758491541,-114.4070649484192,24.50261820231894,-20.11076285425295,-0.4668,-0.8406,0.2122,-0.1746,0
1903304.0,569.653336,1.0,1.94,5.27,-1.97,-22.69,-33.5,16.37,-187.25,50.0,54.56,-1.2800279233130862,1.182668212361976,4.11628758491541,-114.4070649484192,24.50261820231894,-20.11076285425295,-0.4668,-0.8406,0.2122,-0.1746,0
1903341.0,569.7487,1.0,2.42,7.17,-0.29,-25.56,-35.75,11.38,-198.63,108.62,89.37,-2.0683618632567273,2.846500751438048,3.1007784925307575,-107.58829882460174,26.288094094940124,-22.150726459273766,-0.5101,-0.8069,0.2274,-0.1921,0
1903341.0,569.7487,1.0,2.42,7.17,-0.29,-25.56,-35.75,11.38,-198.63,108.62,89.37,-2.0683618632567273,2.846500751438048,3.1007784925307575,-107.58829882460174,26.288094094940124,-22.150726459273766,-0.5101,-0.8069,0.2274,-0.1921,0
1903378.0,569.76121,1.0,5.99,6.61,0.57,-28.5,-34.88,2.0,-175.06,153.69,112.0,0.5635991188901245,2.8601195605948173,1.3568469175436295,-98.54126546565152,27.725866499273085,-27.05358083343023,-0.5599,-0.7578,0.2396,-0.2339,0
1903378.0,569.76121,1.0,5.99,6.61,0.57,-28.5,-34.88,2.0,-175.06,153.69,112.0,0.5635991188901245,2.8601195605948173,1.3568469175436295,-98.54126546565152,27.725866499273085,-27.05358083343023,-0.5599,-0.7578,0.2396,-0.2339,0
1903413.0,569.816607,1.0,5.35,7.03,0.02,-28.5,-34.88,2.0,-184.31,159.81,92.81,-0.9579290915619894,0.9881515376399364,1.0802688259852484,-88.66161388971881,28.87218733809866,-32.12669742786024,-0.6107,-0.6988,0.2493,-0.2767,0
1903413.0,569.816607,1.0,5.35,7.03,0.02,-28.5,-34.88,2.0,-184.31,159.81,92.81,-0.9579290915619894,0.9881515376399364,1.0802688259852484,-88.66161388971881,28.87218733809866,-32.12669742786024,-0.6107,-0.6988,0.2493,-0.2767,0
1903450.0,569.836142,1.0,11.43,10.99,6.4,-30.87,-31.56,-4.19,-270.81,146.75,32.13,0.46615820108476247,5.789698848657931,-6.275858628115531,-80.61656173644121,29.06155185997118,-34.63902408126335,-0.6557,-0.6469,0.2509,-0.2977,0
1903450.0,569.836142,1.0,11.43,10.99,6.4,-30.87,-31.56,-4.19,-270.81,146.75,32.13,0.46615820108476247,5.789698848657931,-6.275858628115531,-80.61656173644121,29.06155185997118,-34.63902408126335,-0.6557,-0.6469,0.2509,-0.2977,0
