TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
373055.0,336.566792,1.0,4.04,8.04,-7.11,-0.37,-33.19,25.87,-22.87,117.12,-109.69,1.0717849129037065,-0.40250843736014374,-1.6040714521399089,-114.47055955015439,-42.581400289161934,-33.05792701658909,-0.2831,-0.8409,-0.3631,-0.2845,0
373055.0,336.566792,1.0,4.04,8.04,-7.11,-0.37,-33.19,25.87,-22.87,117.12,-109.69,1.0717849129037065,-0.40250843736014374,-1.6040714521399089,-114.47055955015439,-42.581400289161934,-33.05792701658909,-0.2831,-0.8409,-0.3631,-0.2845,0
373092.0,336.569985,1.0,5.2,7.53,-7.41,0.88,-34.69,24.25,-10.25,137.88,-106.19,0.6553180939788901,-1.9242880656656673,-1.7914823339596602,-108.66217014935283,-47.70706703894191,-36.54056778374004,-0.2795,-0.8124,-0.4044,-0.3135,0
373092.0,336.569985,1.0,5.2,7.53,-7.41,0.88,-34.69,24.25,-10.25,137.88,-106.19,0.6553180939788901,-1.9242880656656673,-1.7914823339596602,-108.66217014935283,-47.70706703894191,-36.54056778374004,-0.2795,-0.8124,-0.4044,-0.3135,0
373127.0,336.597551,1.0,5.81,7.15,-5.87,0.88,-34.69,24.25,-21.56,93.94,-87.06,1.298890915902979,-2.6675684127004766,-0.7067919269879148,-103.55241005030376,-51.83799120873306,-39.25455153393627,-0.2811,-0.7856,-0.4371,-0.3359,0
373127.0,336.597551,1.0,5.81,7.15,-5.87,0.88,-34.69,24.25,-21.56,93.94,-87.06,1.298890915902979,-2.6675684127004766,-0.7067919269879148,-103.55241005030376,-51.83799120873306,-39.25455153393627,-0.2811,-0.7856,-0.4371,-0.3359,0
373164.0,336.644807,1.0,7.17,8.18,-5.98,2.25,-34.25,25.19,-60.13,89.31,-106.31,1.5246283446812587,-3.9155552426526334,-1.8734885074120609,-98.71704488690264,-55.01955829122679,-41.47659109099214,-0.2923,-0.7588,-0.4619,-0.3541,0
373164.0,336.644807,1.0,7.17,8.18,-5.98,2.25,-34.25,25.19,-60.13,89.31,-106.31,1.5246283446812587,-3.9155552426526334,-1.8734885074120609,-98.71704488690264,-55.01955829122679,-41.47659109099214,-0.2923,-0.7588,-0.4619,-0.3541,0
373200.0,336.66167,1.0,5.06,8.58,-4.9,3.38,-35.88,22.19,-58.06,45.13,-64.75,1.3789901012262027,-2.1496342605284884,-0.9964726433231927,-94.69896470096002,-57.253276164013286,-43.25860308220909,-0.3061,-0.7355,-0.4791,-0.3686,0
373200.0,336.66167,1.0,5.06,8.58,-4.9,3.38,-35.88,22.19,-58.06,45.13,-64.75,1.3789901012262027,-2.1496342605284884,-0.9964726433231927,-94.69896470096002,-57.253276164013286,-43.25860308220909,-0.3061,-0.7355,-0.4791,-0.3686,0
373233.0,336.700195,1.0,5.22,7.92,-6.02,3.38,-35.88,22.19,-32.44,33.88,-36.19,-0.1593320107638111,-2.7906075174635054,-1.0746331501538506,-92.52254534707764,-58.39216848405749,-44.41970591493472,-0.3118,-0.7225,-0.4878,-0.378,0
373233.0,336.700195,1.0,5.22,7.92,-6.02,3.38,-35.88,22.19,-32.44,33.88,-36.19,-0.1593320107638111,-2.7906075174635054,-1.0746331501538506,-92.52254534707764,-58.39216848405749,-44.41970591493472,-0.3118,-0.7225,-0.4878,-0.378,0
373268.0,336.772066,1.0,5.41,12.59,-4.55,3.88,-36.38,21.0,-92.69,-1.25,51.44,2.653594585294325,-1.1360413441510975,-4.340665852884465,-91.92747384583168,-56.2374309655145,-46.494530291688996,-0.3245,-0.7189,-0.4713,-0.3947,0
373268.0,336.772066,1.0,5.41,12.59,-4.55,3.88,-36.38,21.0,-92.69,-1.25,51.44,2.653594585294325,-1.1360413441510975,-4.340665852884465,-91.92747384583168,-56.2374309655145,-46.494530291688996,-0.3245,-0.7189,-0.4713,-0.3947,0
373305.0,336.776518,1.0,4.53,8.07,-4.86,4.69,-37.88,19.5,55.06,14.44,14.44,0.2845990412578907,-1.7183421663967442,-0.5002265193388276,-92.4562672082187,-55.835035885969354,-46.93139982661226,-0.3174,-0.7221,-0.4682,-0.3982,0
373305.0,336.776518,1.0,4.53,8.07,-4.86,4.69,-37.88,19.5,55.06,14.44,14.44,0.2845990412578907,-1.7183421663967442,-0.5002265193388276,-92.4562672082187,-55.835035885969354,-46.93139982661226,-0.3174,-0.7221,-0.4682,-0.3982,0
373340.0,336.81751,1.0,2.38,5.66,-3.73,3.5,-38.19,20.19,-8.88,6.38,10.75,-0.17644050352456708,-0.4212505582956676,2.6369696224760766,-92.67181786365629,-56.510450431241885,-46.806506495960065,-0.3079,-0.7234,-0.4734,-0.3972,0
373340.0,336.81751,1.0,2.38,5.66,-3.73,3.5,-38.19,20.19,-8.88,6.38,10.75,-0.17644050352456708,-0.4212505582956676,2.6369696224760766,-92.67181786365629,-56.510450431241885,-46.806506495960065,-0.3079,-0.7234,-0.4734,-0.3972,0
373374.0,336.878494,1.0,3.74,7.7,-3.82,3.5,-38.19,20.19,-52.81,29.37,23.81,0.7380235749766517,-0.872201407836104,0.5026408691496087,-92.14199055285606,-55.70539088046684,-48.13341793224112,-0.311,-0.7202,-0.4672,-0.4078,0
373374.0,336.878494,1.0,3.74,7.7,-3.82,3.5,-38.19,20.19,-52.81,29.37,23.81,0.7380235749766517,-0.872201407836104,0.5026408691496087,-92.14199055285606,-55.70539088046684,-48.13341793224112,-0.311,-0.7202,-0.4672,-0.4078,0
373411.0,336.88626,1.0,3.69,9.22,-4.06,4.19,-37.88,19.75,-44.38,-2.5,39.31,0.7585934318610077,-0.10623509687997323,-0.894814858108365,-91.6311343711985,-54.10413323309201,-50.07356471942518,-0.316,-0.7171,-0.4548,-0.4232,0
373411.0,336.88626,1.0,3.69,9.22,-4.06,4.19,-37.88,19.75,-44.38,-2.5,39.31,0.7585934318610077,-0.10623509687997323,-0.894814858108365,-91.6311343711985,-54.10413323309201,-50.07356471942518,-0.316,-0.7171,-0.4548,-0.4232,0
373446.0,336.951857,1.0,3.01,9.01,-3.65,1.56,-39.5,20.25,-17.31,-1.12,53.06,0.7466641306678299,0.6606374046739267,-0.32097316121210007,-92.00993104367019,-52.859473827379354,-51.01128734852719,-0.3146,-0.7194,-0.4451,-0.4306,0
373446.0,336.951857,1.0,3.01,9.01,-3.65,1.56,-39.5,20.25,-17.31,-1.12,53.06,0.7466641306678299,0.6606374046739267,-0.32097316121210007,-92.00993104367019,-52.859473827379354,-51.01128734852719,-0.3146,-0.7194,-0.4451,-0.4306,0
373481.0,336.969601,1.0,2.61,7.93,-3.91,1.56,-39.5,20.25,1.25,24.69,65.56,-0.06106337492282021,0.9315522856297891,0.635304318837342,-93.12086388400517,-51.11288102782698,-52.271574905386615,-0.3044,-0.7261,-0.4314,-0.4405,0
373481.0,336.969601,1.0,2.61,7.93,-3.91,1.56,-39.5,20.25,1.25,24.69,65.56,-0.06106337492282021,0.9315522856297891,0.635304318837342,-93.12086388400517,-51.11288102782698,-52.271574905386615,-0.3044,-0.7261,-0.4314,-0.4405,0
373516.0,337.010761,1.0,2.9,7.72,-4.25,-0.25,-39.38,18.19,-8.38,22.94,82.81,-0.4695952881104517,0.9189086597959877,0.5867808501510492,-93.78955612253353,-49.707058379108084,-53.76984303048102,-0.2928,-0.7301,-0.4203,-0.4522,0
373516.0,337.010761,1.0,2.9,7.72,-4.25,-0.25,-39.38,18.19,-8.38,22.94,82.81,-0.4695952881104517,0.9189086597959877,0.5867808501510492,-93.78955612253353,-49.707058379108084,-53.76984303048102,-0.2928,-0.7301,-0.4203,-0.4522,0
373553.0,337.017945,1.0,2.95,8.42,-3.3,-1.75,-39.38,19.0,-30.0,38.13,94.81,0.3831224746762474,1.821114241214656,0.4778955231235127,-94.47932062212017,-47.093849573149654,-56.484433541773726,-0.2782,-0.7342,-0.3995,-0.4732,0
373553.0,337.017945,1.0,2.95,8.42,-3.3,-1.75,-39.38,19.0,-30.0,38.13,94.81,0.3831224746762474,1.821114241214656,0.4778955231235127,-94.47932062212017,-47.093849573149654,-56.484433541773726,-0.2782,-0.7342,-0.3995,-0.4732,0
373585.0,337.081761,1.0,5.13,9.68,-2.92,-1.75,-39.38,19.0,3.88,50.31,109.0,1.3855514472015342,1.2535256234765981,-1.376132332606021,-94.93601676687223,-44.86565121405429,-58.87843997243265,-0.264,-0.7369,-0.3816,-0.4915,0
373585.0,337.081761,1.0,5.13,9.68,-2.92,-1.75,-39.38,19.0,3.88,50.31,109.0,1.3855514472015342,1.2535256234765981,-1.376132332606021,-94.93601676687223,-44.86565121405429,-58.87843997243265,-0.264,-0.7369,-0.3816,-0.4915,0
373620.0,337.10064,1.0,5.21,8.2,-3.08,-6.56,-38.56,17.25,69.19,47.44,128.5,0.9385609265433803,1.2823654538454523,-0.2603824440695899,-96.90394078060577,-42.864402911297574,-60.88853462317394,-0.2229,-0.7484,-0.3654,-0.5067,0
373620.0,337.10064,1.0,5.21,8.2,-3.08,-6.56,-38.56,17.25,69.19,47.44,128.5,0.9385609265433803,1.2823654538454523,-0.2603824440695899,-96.90394078060577,-42.864402911297574,-60.88853462317394,-0.2229,-0.7484,-0.3654,-0.5067,0
373655.0,337.151367,1.0,5.52,5.81,-3.6,-10.69,-38.19,17.37,90.56,61.63,135.63,-0.08863212052827585,0.26625438692274983,1.025547965024261,-98.3657986482455,-41.62366360590611,-62.28923949337647,-0.183,-0.7568,-0.3553,-0.5172,0
373655.0,337.151367,1.0,5.52,5.81,-3.6,-10.69,-38.19,17.37,90.56,61.63,135.63,-0.08863212052827585,0.26625438692274983,1.025547965024261,-98.3657986482455,-41.62366360590611,-62.28923949337647,-0.183,-0.7568,-0.3553,-0.5172,0
373692.0,337.169868,1.0,10.0,6.02,-3.62,-15.88,-36.0,18.56,65.44,72.81,120.37,1.0210862731399928,-1.5694893304774604,-2.2697271912077355,-99.67174578184968,-39.558846745858816,-64.43029923866771,-0.1319,-0.7642,-0.3384,-0.5331,0
373692.0,337.169868,1.0,10.0,6.02,-3.62,-15.88,-36.0,18.56,65.44,72.81,120.37,1.0210862731399928,-1.5694893304774604,-2.2697271912077355,-99.67174578184968,-39.558846745858816,-64.43029923866771,-0.1319,-0.7642,-0.3384,-0.5331,0
373727.0,337.213499,1.0,11.45,4.07,-5.22,-15.88,-36.0,18.56,99.94,39.13,64.06,-0.7062357247187006,-2.804177545910416,-3.098915442557825,-100.17050104885809,-39.497964529561656,-65.09518738061837,-0.0906,-0.767,-0.3379,-0.538,0
373727.0,337.213499,1.0,11.45,4.07,-5.22,-15.88,-36.0,18.56,99.94,39.13,64.06,-0.7062357247187006,-2.804177545910416,-3.098915442557825,-100.17050104885809,-39.497964529561656,-65.09518738061837,-0.0906,-0.767,-0.3379,-0.538,0
373764.0,337.268397,1.0,8.68,2.29,-4.18,-20.69,-31.87,19.5,4.56,7.0,-5.19,-1.0499063209379733,-2.5866681231443103,0.30582136571953455,-100.02773556408857,-40.05852194281655,-65.02722926644273,-0.0821,-0.7662,-0.3425,-0.5375,0
373764.0,337.268397,1.0,8.68,2.29,-4.18,-20.69,-31.87,19.5,4.56,7.0,-5.19,-1.0499063209379733,-2.5866681231443103,0.30582136571953455,-100.02773556408857,-40.05852194281655,-65.02722926644273,-0.0821,-0.7662,-0.3425,-0.5375,0
373798.0,337.275372,1.0,7.71,3.75,-3.79,-21.75,-30.75,23.06,-35.75,7.75,-12.0,-0.4192556992407922,-1.0680511552721157,0.503199490195799,-99.14020348928251,-40.14391148287502,-65.76254695121683,-0.089,-0.7612,-0.3432,-0.5429,0
373798.0,337.275372,1.0,7.71,3.75,-3.79,-21.75,-30.75,23.06,-35.75,7.75,-12.0,-0.4192556992407922,-1.0680511552721157,0.503199490195799,-99.14020348928251,-40.14391148287502,-65.76254695121683,-0.089,-0.7612,-0.3432,-0.5429,0
373833.0,337.335407,1.0,7.08,5.6,-3.6,-21.75,-30.75,23.06,-53.75,15.75,-18.56,0.19540357553492838,0.5718558560947891,0.10710370532630087,-98.34826907979404,-39.729378923734636,-66.65172039063913,-0.1002,-0.7567,-0.3398,-0.5494,0
373833.0,337.335407,1.0,7.08,5.6,-3.6,-21.75,-30.75,23.06,-53.75,15.75,-18.56,0.19540357553492838,0.5718558560947891,0.10710370532630087,-98.34826907979404,-39.729378923734636,-66.65172039063913,-0.1002,-0.7567,-0.3398,-0.5494,0
373868.0,337.391249,1.0,6.75,6.14,-3.2,-22.19,-31.56,21.5,-38.06,23.19,-11.25,0.4162374981939181,1.0354371114300802,0.2016140118648888,-97.00765780551974,-39.44926711740337,-68.05627918144376,-0.1097,-0.749,-0.3375,-0.5596,0
373868.0,337.391249,1.0,6.75,6.14,-3.2,-22.19,-31.56,21.5,-38.06,23.19,-11.25,0.4162374981939181,1.0354371114300802,0.2016140118648888,-97.00765780551974,-39.44926711740337,-68.05627918144376,-0.1097,-0.749,-0.3375,-0.5596,0
373905.0,337.401769,1.0,8.0,6.71,-2.7,-21.75,-32.0,18.56,-11.06,21.25,1.63,1.0800833025351761,0.5949967127631917,-0.9075228085459646,-96.19801883290823,-39.1694005926484,-69.01303790274106,-0.1124,-0.7443,-0.3352,-0.5665,0
373905.0,337.401769,1.0,8.0,6.71,-2.7,-21.75,-32.0,18.56,-11.06,21.25,1.63,1.0800833025351761,0.5949967127631917,-0.9075228085459646,-96.19801883290823,-39.1694005926484,-69.01303790274106,-0.1124,-0.7443,-0.3352,-0.5665,0
373940.0,337.420109,1.0,7.8,5.11,-2.88,-21.75,-32.0,18.56,20.37,7.06,9.5,0.3171563535564368,-0.35982115867065456,0.05901230765773313,-96.00944931234567,-39.558846745858816,-69.17998997689496,-0.1044,-0.7432,-0.3384,-0.5677,0
373940.0,337.420109,1.0,7.8,5.11,-2.88,-21.75,-32.0,18.56,20.37,7.06,9.5,0.3171563535564368,-0.35982115867065456,0.05901230765773313,-96.00944931234567,-39.558846745858816,-69.17998997689496,-0.1044,-0.7432,-0.3384,-0.5677,0
373975.0,337.466218,1.0,7.96,5.15,-2.92,-21.75,-32.75,18.56,-2.94,11.81,4.5,0.2826395747798011,-0.37459936146966966,-0.10245138151562294,-95.82122385087233,-39.473614895385275,-69.47256064706727,-0.1026,-0.7421,-0.3377,-0.5698,0
373975.0,337.466218,1.0,7.96,5.15,-2.92,-21.75,-32.75,18.56,-2.94,11.81,4.5,0.2826395747798011,-0.37459936146966966,-0.10245138151562294,-95.82122385087233,-39.473614895385275,-69.47256064706727,-0.1026,-0.7421,-0.3377,-0.5698,0
374009.0,337.482578,1.0,8.16,5.29,-2.83,-22.19,-33.06,17.25,-2.63,10.88,2.38,0.36936185007462885,-0.3665548394205471,-0.3080822937093526,-95.44579560430292,-39.364064490012716,-69.97532009784457,-0.1014,-0.7399,-0.3368,-0.5734,0
374009.0,337.482578,1.0,8.16,5.29,-2.83,-22.19,-33.06,17.25,-2.63,10.88,2.38,0.36936185007462885,-0.3665548394205471,-0.3080822937093526,-95.44579560430292,-39.364064490012716,-69.97532009784457,-0.1014,-0.7399,-0.3368,-0.5734,0
374044.0,337.523707,1.0,7.87,5.36,-2.86,-22.19,-32.75,18.19,2.25,-1.63,-1.25,0.3119233699984767,-0.13282307652000247,-0.12970556135108247,-95.22458643390246,-39.534492464525485,-70.11524930068694,-0.1008,-0.7386,-0.3382,-0.5744,0
374044.0,337.523707,1.0,7.87,5.36,-2.86,-22.19,-32.75,18.19,2.25,-1.63,-1.25,0.3119233699984767,-0.13282307652000247,-0.12970556135108247,-95.22458643390246,-39.534492464525485,-70.11524930068694,-0.1008,-0.7386,-0.3382,-0.5744,0
374079.0,337.54089,1.0,7.35,5.25,-2.99,-22.19,-32.75,18.19,-1.44,-2.31,-1.19,0.10932533160944974,0.12344221050752369,0.2936110537676466,-95.30961142661363,-39.57102458450509,-69.98930763271481,-0.1011,-0.7391,-0.3385,-0.5735,0
374079.0,337.54089,1.0,7.35,5.25,-2.99,-22.19,-32.75,18.19,-1.44,-2.31,-1.19,0.10932533160944974,0.12344221050752369,0.2936110537676466,-95.30961142661363,-39.57102458450509,-69.98930763271481,-0.1011,-0.7391,-0.3385,-0.5735,0
374116.0,337.583178,1.0,7.76,5.62,-3.09,-22.87,-32.75,17.37,-3.13,4.31,-0.37,0.17494663299848445,0.1727172916001587,-0.25762654691507514,-95.1226475867278,-39.59538165871141,-70.15725143860956,-0.1013,-0.738,-0.3387,-0.5747,0
374116.0,337.583178,1.0,7.76,5.62,-3.09,-22.87,-32.75,17.37,-3.13,4.31,-0.37,0.17494663299848445,0.1727172916001587,-0.25762654691507514,-95.1226475867278,-39.59538165871141,-70.15725143860956,-0.1013,-0.738,-0.3387,-0.5747,0
374151.0,337.647455,1.0,7.89,5.47,-2.84,-22.87,-32.38,17.37,1.31,2.63,0.0,0.34885927580991377,-0.07254098399590125,-0.19893019363806097,-94.9699249755717,-39.729378923734636,-70.26931004748687,-0.1001,-0.7371,-0.3398,-0.5755,0
374151.0,337.647455,1.0,7.89,5.47,-2.84,-22.87,-32.38,17.37,1.31,2.63,0.0,0.34885927580991377,-0.07254098399590125,-0.19893019363806097,-94.9699249755717,-39.729378923734636,-70.26931004748687,-0.1001,-0.7371,-0.3398,-0.5755,0
374185.0,337.66472,1.0,7.84,5.22,-2.79,-22.87,-32.38,17.37,2.38,1.88,0.31,0.29946681867165476,-0.23895715045244081,-0.0092207766943595,-94.95296950362922,-39.81467938235784,-70.25529850674774,-0.0993,-0.737,-0.3405,-0.5754,0
374185.0,337.66472,1.0,7.84,5.22,-2.79,-22.87,-32.38,17.37,2.38,1.88,0.31,0.29946681867165476,-0.23895715045244081,-0.0092207766943595,-94.95296950362922,-39.81467938235784,-70.25529850674774,-0.0993,-0.737,-0.3405,-0.5754,0
374218.0,337.707258,1.0,7.85,5.2,-2.86,-23.25,-33.06,18.19,2.69,0.25,0.0,0.22404484690784726,-0.23470216761758067,-0.02883772553194852,-94.78356494040699,-40.00973833586177,-70.32536827305816,-0.0975,-0.736,-0.3421,-0.5759,0
374218.0,337.707258,1.0,7.85,5.2,-2.86,-23.25,-33.06,18.19,2.69,0.25,0.0,0.22404484690784726,-0.23470216761758067,-0.02883772553194852,-94.78356494040699,-40.00973833586177,-70.32536827305816,-0.0975,-0.736,-0.3421,-0.5759,0
374255.0,337.714686,1.0,8.02,5.37,-2.78,-22.56,-32.75,17.0,-1.69,1.75,1.69,0.36348823208001135,-0.2147827227780521,-0.22865989492279404,-94.7158793222747,-39.948769456648414,-70.46559845800101,-0.0971,-0.7356,-0.3416,-0.5769,0
374255.0,337.714686,1.0,8.02,5.37,-2.78,-22.56,-32.75,17.0,-1.69,1.75,1.69,0.36348823208001135,-0.2147827227780521,-0.22865989492279404,-94.7158793222747,-39.948769456648414,-70.46559845800101,-0.0971,-0.7356,-0.3416,-0.5769,0
374288.0,337.780106,1.0,8.08,5.42,-2.77,-22.56,-32.75,17.0,1.63,-1.81,0.12,0.39191293735464533,-0.21005940042317794,-0.2996836229231956,-94.69896470096002,-39.9000028418168,-70.50769114431372,-0.0971,-0.7355,-0.3412,-0.5772,0
