TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
2878867.0,2839.216733,1.0,6.68,3.33,-6.56,-22.69,-31.0,21.75,4.44,2.56,0.88,0.1836321635818246,0.38406618711205986,-0.12127387120365896,-132.7820481898819,-4.768384859798278,-43.48057685802525,-0.1464,-0.9163,-0.0416,-0.3704,0
2878867.0,2839.216733,1.0,6.68,3.33,-6.56,-22.69,-31.0,21.75,4.44,2.56,0.88,0.1836321635818246,0.38406618711205986,-0.12127387120365896,-132.7820481898819,-4.768384859798278,-43.48057685802525,-0.1464,-0.9163,-0.0416,-0.3704,0
2878904.0,2839.27206,1.0,7.17,4.19,-6.3,-22.69,-32.19,23.06,4.06,2.5,-7.06,0.6875282964389412,1.1814351615399872,-0.5271061322431443,-132.72485553305754,-4.997776256010228,-43.56694626623634,-0.1451,-0.9161,-0.0436,-0.3711,0
2878904.0,2839.27206,1.0,7.17,4.19,-6.3,-22.69,-32.19,23.06,4.06,2.5,-7.06,0.6875282964389412,1.1814351615399872,-0.5271061322431443,-132.72485553305754,-4.997776256010228,-43.56694626623634,-0.1451,-0.9161,-0.0436,-0.3711,0
2878939.0,2839.300807,1.0,5.73,4.66,-6.89,-22.69,-32.19,23.06,28.31,6.25,-33.63,-0.6906866916906109,1.7513274425850072,-0.11687780430277073,-132.69628364910096,-6.374577915681861,-43.55460618777381,-0.1418,-0.916,-0.0556,-0.371,0
2878939.0,2839.300807,1.0,5.73,4.66,-6.89,-22.69,-32.19,23.06,28.31,6.25,-33.63,-0.6906866916906109,1.7513274425850072,-0.11687780430277073,-132.69628364910096,-6.374577915681861,-43.55460618777381,-0.1418,-0.916,-0.0556,-0.371,0
2878976.0,2839.356193,1.0,6.4,5.26,-6.46,-22.25,-31.37,21.37,47.69,19.19,-61.88,0.20915828092316643,2.3174605530965637,-0.4376083625347249,-132.49673400768697,-8.590953131273462,-43.8262109221212,-0.1316,-0.9153,-0.0749,-0.3732,0
2878976.0,2839.356193,1.0,6.4,5.26,-6.46,-22.25,-31.37,21.37,47.69,19.19,-61.88,0.20915828092316643,2.3174605530965637,-0.4376083625347249,-132.49673400768697,-8.590953131273462,-43.8262109221212,-0.1316,-0.9153,-0.0749,-0.3732,0
2879010.0,2839.363701,1.0,4.28,8.97,-6.28,-22.69,-31.37,24.25,-5.88,-17.12,-147.44,-0.5361700132910392,5.846154317218494,-0.3792570001701403,-131.6782993972313,-12.572987144073345,-42.864402911297574,-0.1482,-0.9124,-0.1095,-0.3654,0
2879010.0,2839.363701,1.0,4.28,8.97,-6.28,-22.69,-31.37,24.25,-5.88,-17.12,-147.44,-0.5361700132910392,5.846154317218494,-0.3792570001701403,-131.6782993972313,-12.572987144073345,-42.864402911297574,-0.1482,-0.9124,-0.1095,-0.3654,0
