TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
3226142.0,3187.10567,1.0,9.1,2.09,-1.98,-34.25,-27.37,-0.88,-0.69,-1.69,-0.12,-0.029213311478954757,-0.17600832447146186,0.26376429115128097,-100.40294962921641,10.292697102933527,-72.85426803573274,-0.2217,-0.7683,0.0897,-0.5938,0
3226142.0,3187.10567,1.0,9.1,2.09,-1.98,-34.25,-27.37,-0.88,-0.69,-1.69,-0.12,-0.029213311478954757,-0.17600832447146186,0.26376429115128097,-100.40294962921641,10.292697102933527,-72.85426803573274,-0.2217,-0.7683,0.0897,-0.5938,0
3226177.0,3187.152504,1.0,8.94,1.96,-2.14,-34.19,-27.69,-2.19,-5.44,-3.75,-2.38,-0.14168227995802501,-0.3431999617470799,0.41479502253134726,-100.474586173471,10.373238415502241,-72.69768682108878,-0.2225,-0.7687,0.0904,-0.5927,0
3226177.0,3187.152504,1.0,8.94,1.96,-2.14,-34.19,-27.69,-2.19,-5.44,-3.75,-2.38,-0.14168227995802501,-0.3431999617470799,0.41479502253134726,-100.474586173471,10.373238415502241,-72.69768682108878,-0.2225,-0.7687,0.0904,-0.5927,0
3226212.0,3187.180423,1.0,8.72,1.79,-2.53,-34.19,-27.69,-2.19,-3.13,-6.38,-3.75,-0.4246395507329928,-0.639824132406865,0.5841933678686715,-100.74370415119087,10.430771068314458,-72.37079710684985,-0.2234,-0.7702,0.0909,-0.5904,0
3226212.0,3187.180423,1.0,8.72,1.79,-2.53,-34.19,-27.69,-2.19,-3.13,-6.38,-3.75,-0.4246395507329928,-0.639824132406865,0.5841933678686715,-100.74370415119087,10.430771068314458,-72.37079710684985,-0.2234,-0.7702,0.0909,-0.5904,0
3226249.0,3187.221507,1.0,7.36,0.34,-3.38,-35.38,-27.75,-1.75,17.5,-43.0,-13.5,-0.8452440101276513,-2.11662061333082,2.027506104778211,-101.68262407663977,10.200656128703407,-71.50710720400171,-0.2226,-0.7754,0.0889,-0.5843,0
3226249.0,3187.221507,1.0,7.36,0.34,-3.38,-35.38,-27.75,-1.75,17.5,-43.0,-13.5,-0.8452440101276513,-2.11662061333082,2.027506104778211,-101.68262407663977,10.200656128703407,-71.50710720400171,-0.2226,-0.7754,0.0889,-0.5843,0
3226284.0,3187.246673,1.0,4.89,-1.97,-2.27,-34.56,-27.69,-1.37,18.0,-49.31,-1.81,0.42009705652945173,-3.2972315560118357,5.127154030439277,-103.62652170690511,10.074110549810433,-69.79359069064598,-0.2172,-0.786,0.0878,-0.5721,0
3226284.0,3187.246673,1.0,4.89,-1.97,-2.27,-34.56,-27.69,-1.37,18.0,-49.31,-1.81,0.42009705652945173,-3.2972315560118357,5.127154030439277,-103.62652170690511,10.074110549810433,-69.79359069064598,-0.2172,-0.786,0.0878,-0.5721,0
3226318.0,3187.335537,1.0,10.55,1.61,-0.9,-34.56,-27.69,-1.37,-62.63,19.06,30.12,1.9377345810704383,-0.07294225360964623,-0.7263678069232462,-102.6861051412989,11.38620958683243,-70.1852588709464,-0.2233,-0.7809,0.0992,-0.5749,0
3226318.0,3187.335537,1.0,10.55,1.61,-0.9,-34.56,-27.69,-1.37,-62.63,19.06,30.12,1.9377345810704383,-0.07294225360964623,-0.7263678069232462,-102.6861051412989,11.38620958683243,-70.1852588709464,-0.2233,-0.7809,0.0992,-0.5749,0
3226353.0,3187.342708,1.0,11.67,0.4,-1.97,-33.38,-28.5,-0.5,-8.38,11.13,32.13,1.6922889720946066,-1.6037891052313271,-1.803424010998734,-101.75523946512085,12.688278342697656,-70.87295386927123,-0.2232,-0.7758,0.1105,-0.5798,0
3226353.0,3187.342708,1.0,11.67,0.4,-1.97,-33.38,-28.5,-0.5,-8.38,11.13,32.13,1.6922889720946066,-1.6037891052313271,-1.803424010998734,-101.75523946512085,12.688278342697656,-70.87295386927123,-0.2232,-0.7758,0.1105,-0.5798,0
3226390.0,3187.400814,1.0,12.63,-0.54,-1.36,-34.88,-26.19,-1.37,-57.44,-22.25,26.31,2.8883406845679085,-2.0315719696094705,-2.4076163890291404,-101.39272551986974,14.176734355559054,-70.7183188364016,-0.2261,-0.7738,0.1234,-0.5787,0
3226390.0,3187.400814,1.0,12.63,-0.54,-1.36,-34.88,-26.19,-1.37,-57.44,-22.25,26.31,2.8883406845679085,-2.0315719696094705,-2.4076163890291404,-101.39272551986974,14.176734355559054,-70.7183188364016,-0.2261,-0.7738,0.1234,-0.5787,0
3226425.0,3187.418674,1.0,11.68,0.25,-2.08,-35.38,-26.25,-2.19,-97.31,-51.5,13.31,1.9560243510987037,-1.455635362997532,-1.806549147000796,-101.59193421891217,17.137959104392674,-68.5825161330216,-0.2449,-0.7749,0.149,-0.5634,0
