TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
790589.0,584.188545,1.0,8.96,1.54,3.9,-28.19,1.88,-31.19,0.44,0.37,0.0,0.008012035091785163,-0.41996765231619304,-0.07701141560412417,-41.611404826079344,46.84396830154976,-54.387383527876935,-0.7121,-0.3552,0.3975,-0.457,0
790589.0,584.188545,1.0,8.96,1.54,3.9,-28.19,1.88,-31.19,0.44,0.37,0.0,0.008012035091785163,-0.41996765231619304,-0.07701141560412417,-41.611404826079344,46.84396830154976,-54.387383527876935,-0.7121,-0.3552,0.3975,-0.457,0
790624.0,584.192239,1.0,8.58,1.07,4.1,-28.56,3.0,-31.19,1.81,-3.44,-4.19,0.3083087883739797,0.07577566433321414,0.24262868364430012,-41.53786260419432,47.05635227559625,-53.88550274467078,-0.7139,-0.3546,0.3992,-0.4531,0
790624.0,584.192239,1.0,8.58,1.07,4.1,-28.56,3.0,-31.19,1.81,-3.44,-4.19,0.3083087883739797,0.07577566433321414,0.24262868364430012,-41.53786260419432,47.05635227559625,-53.88550274467078,-0.7139,-0.3546,0.3992,-0.4531,0
790659.0,584.200966,1.0,8.73,1.71,4.14,-27.87,1.5,-31.19,-4.25,0.0,3.44,-0.2739498784755552,-0.16699872108111413,-0.00016716415884410196,-41.34183738204944,47.231385466403594,-53.71845771367623,-0.7147,-0.353,0.4006,-0.4518,0
790659.0,584.200966,1.0,8.73,1.71,4.14,-27.87,1.5,-31.19,-4.25,0.0,3.44,-0.2739498784755552,-0.16699872108111413,-0.00016716415884410196,-41.34183738204944,47.231385466403594,-53.71845771367623,-0.7147,-0.353,0.4006,-0.4518,0
790695.0,584.220688,1.0,8.92,1.51,3.96,-27.87,1.5,-31.19,3.81,1.63,1.94,-0.0005609349412283304,-0.3318131960277928,-0.06340570846962201,-41.30509675325747,47.231385466403594,-53.80838968539715,-0.7145,-0.3527,0.4006,-0.4525,0
790695.0,584.220688,1.0,8.92,1.51,3.96,-27.87,1.5,-31.19,3.81,1.63,1.94,-0.0005609349412283304,-0.3318131960277928,-0.06340570846962201,-41.30509675325747,47.231385466403594,-53.80838968539715,-0.7145,-0.3527,0.4006,-0.4525,0
790728.0,584.280841,1.0,8.78,1.38,3.88,-28.56,1.5,-31.56,-3.06,0.69,-1.94,0.10741238261895947,-0.3022514254852351,0.11416287564165728,-41.256116153254155,47.281416405631816,-53.65424247190823,-0.7151,-0.3523,0.401,-0.4513,0
790728.0,584.280841,1.0,8.78,1.38,3.88,-28.56,1.5,-31.56,-3.06,0.69,-1.94,0.10741238261895947,-0.3022514254852351,0.11416287564165728,-41.256116153254155,47.281416405631816,-53.65424247190823,-0.7151,-0.3523,0.401,-0.4513,0
