,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,116910.0,74.222821,1.0,3.8,-2.57,-8.75,-16.87,-4.69,39.75,0.5,-1.75,-0.25,-0.16546212534206012,-0.13681946839908846,-0.07066252508212577,-151.95469309277132,-1.2146932735575866,-23.65899809735879,0.1288,-0.9702,-0.0106,-0.205
1,116910.0,74.222821,1.0,3.8,-2.57,-8.75,-16.87,-4.69,39.75,0.5,-1.75,-0.25,-0.16546212534206012,-0.13681946839908846,-0.07066252508212577,-151.95469309277132,-1.2146932735575866,-23.65899809735879,0.1288,-0.9702,-0.0106,-0.205
2,116944.0,74.22968900000001,1.0,3.68,-2.42,-8.45,-16.19,-5.75,39.38,0.0,-0.37,1.25,-0.13377012001002833,-0.06417902025598933,0.2788335340750052,-152.00202441389632,-1.1917736982377245,-23.588755762396122,0.1292,-0.9703,-0.0104,-0.2044
3,116944.0,74.22968900000001,1.0,3.68,-2.42,-8.45,-16.19,-5.75,39.38,0.0,-0.37,1.25,-0.13377012001002833,-0.06417902025598933,0.2788335340750052,-152.00202441389632,-1.1917736982377245,-23.588755762396122,0.1292,-0.9703,-0.0104,-0.2044
4,116979.0,74.245738,1.0,3.92,-2.26,-8.61,-16.19,-5.75,39.38,2.94,2.69,1.56,0.029700799118043988,0.14854375315953994,0.08126298374562957,-151.95469309277132,-1.1459346897143057,-23.62387580431868,0.1296,-0.9702,-0.01,-0.2047
5,116979.0,74.245738,1.0,3.92,-2.26,-8.61,-16.19,-5.75,39.38,2.94,2.69,1.56,0.029700799118043988,0.14854375315953994,0.08126298374562957,-151.95469309277132,-1.1459346897143057,-23.62387580431868,0.1296,-0.9702,-0.01,-0.2047
6,117012.0,74.286564,1.0,4.04,-2.3,-8.91,-16.19,-5.75,38.69,4.75,2.38,0.25,0.003920226131984627,0.22379484667103733,-0.2407178393114755,-151.7661453802759,-1.1230152546764245,-23.705831329603118,0.1312,-0.9698,-0.0098,-0.2054
7,117012.0,74.286564,1.0,4.04,-2.3,-8.91,-16.19,-5.75,38.69,4.75,2.38,0.25,0.003920226131984627,0.22379484667103733,-0.2407178393114755,-151.7661453802759,-1.1230152546764245,-23.705831329603118,0.1312,-0.9698,-0.0098,-0.2054
8,117047.0,74.310156,1.0,4.01,-2.49,-8.96,-16.5,-5.38,40.19,2.94,2.44,-0.5,-0.06618688556795821,0.0697475821207083,-0.3201735183085521,-151.67233263341282,-1.1459346897143057,-23.75266857932526,0.1321,-0.9696,-0.01,-0.2058
9,117047.0,74.310156,1.0,4.01,-2.49,-8.96,-16.5,-5.38,40.19,2.94,2.44,-0.5,-0.06618688556795821,0.0697475821207083,-0.3201735183085521,-151.67233263341282,-1.1459346897143057,-23.75266857932526,0.1321,-0.9696,-0.01,-0.2058
10,117082.0,74.35026500000001,1.0,4.34,-2.36,-9.03,-16.87,-5.75,39.38,-0.75,2.56,0.0,0.19897608525966767,0.22420202574191064,-0.4819962651384788,-151.57882322936237,-1.1344749665222489,-23.858067126010045,0.132,-0.9694,-0.0099,-0.2067
