,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,930959.0,798.8749809999999,1.0,0.61,7.09,-6.94,11.25,-43.75,0.88,-0.37,-1.19,0.25,-0.07398826729027375,-0.021898450771666408,-0.1330605689329385,-126.60729740721462,-25.523799625853453,-14.788953503219902,-0.3694,-0.8934,-0.2209,-0.1287
1,930959.0,798.8749809999999,1.0,0.61,7.09,-6.94,11.25,-43.75,0.88,-0.37,-1.19,0.25,-0.07398826729027375,-0.021898450771666408,-0.1330605689329385,-126.60729740721462,-25.523799625853453,-14.788953503219902,-0.3694,-0.8934,-0.2209,-0.1287
2,930994.0,798.9001820000001,1.0,0.66,7.04,-6.89,10.5,-43.38,0.06,-0.37,2.31,0.88,-0.03424920515321683,-0.04374613461222232,-0.06584782312727633,-126.60729740721462,-25.523799625853453,-14.84673166768115,-0.3693,-0.8934,-0.2209,-0.1292
3,930994.0,798.9001820000001,1.0,0.66,7.04,-6.89,10.5,-43.38,0.06,-0.37,2.31,0.88,-0.03424920515321683,-0.04374613461222232,-0.06584782312727633,-126.60729740721462,-25.523799625853453,-14.84673166768115,-0.3693,-0.8934,-0.2209,-0.1292
4,931028.0,798.942037,1.0,0.81,7.08,-7.23,10.5,-43.38,0.06,0.75,0.88,-0.19,-0.031644769561337334,-0.29184433557075673,-0.3407253006555653,-126.60729740721462,-25.535549170145078,-14.89295693159816,-0.3691,-0.8934,-0.221,-0.1296
5,931028.0,798.942037,1.0,0.81,7.08,-7.23,10.5,-43.38,0.06,0.75,0.88,-0.19,-0.031644769561337334,-0.29184433557075673,-0.3407253006555653,-126.60729740721462,-25.535549170145078,-14.89295693159816,-0.3691,-0.8934,-0.221,-0.1296
6,931063.0,799.0006099999999,1.0,0.69,6.97,-7.18,10.88,-44.06,-0.25,-0.75,-1.5,0.25,-0.1436191913640008,-0.27075393521450186,-0.2190901639199616,-126.6328096707232,-25.523799625853453,-14.858287755594214,-0.369,-0.8935,-0.2209,-0.1293
7,931063.0,799.0006099999999,1.0,0.69,6.97,-7.18,10.88,-44.06,-0.25,-0.75,-1.5,0.25,-0.1436191913640008,-0.27075393521450186,-0.2190901639199616,-126.6328096707232,-25.523799625853453,-14.858287755594214,-0.369,-0.8935,-0.2209,-0.1293
8,931098.0,799.052395,1.0,0.67,7.0,-6.93,11.25,-43.75,0.06,-0.56,0.25,0.81,-0.052441303253878864,-0.09167541293350424,-0.06566713066271568,-126.6328096707232,-25.512050354420897,-14.84673166768115,-0.369,-0.8935,-0.2208,-0.1292
9,931098.0,799.052395,1.0,0.67,7.0,-6.93,11.25,-43.75,0.06,-0.56,0.25,0.81,-0.052441303253878864,-0.09167541293350424,-0.06566713066271568,-126.6328096707232,-25.512050354420897,-14.84673166768115,-0.369,-0.8935,-0.2208,-0.1292
10,931133.0,799.058285,1.0,0.75,7.1,-7.15,10.88,-43.0,-0.25,0.0,-2.06,-0.06,-0.037856127349472864,-0.1997707739822556,-0.2955110832279182,-126.65833324064701,-25.47680417585264,-14.823619947246295,-0.369,-0.8936,-0.2205,-0.129
11,931133.0,799.058285,1.0,0.75,7.1,-7.15,10.88,-43.0,-0.25,0.0,-2.06,-0.06,-0.037856127349472864,-0.1997707739822556,-0.2955110832279182,-126.65833324064701,-25.47680417585264,-14.823619947246295,-0.369,-0.8936,-0.2205,-0.129
12,931168.0,799.0764519999999,1.0,0.7,6.94,-7.03,10.88,-43.0,-0.25,0.31,0.56,0.69,-0.07769080553249796,-0.1995038485187872,-0.09429249822520093,-126.70941436503277,-25.46505599443148,-14.800508833176535,-0.3688,-0.8938,-0.2204,-0.1288
13,931168.0,799.0764519999999,1.0,0.7,6.94,-7.03,10.88,-43.0,-0.25,0.31,0.56,0.69,-0.07769080553249796,-0.1995038485187872,-0.09429249822520093,-126.70941436503277,-25.46505599443148,-14.800508833176535,-0.3688,-0.8938,-0.2204,-0.1288
14,931203.0,799.1157440000001,1.0,0.69,7.02,-7.03,10.88,-43.69,0.5,-1.81,-0.12,1.88,-0.07291369539613968,-0.14041800113246605,-0.1508781258945806,-126.73497195223709,-25.40631916668005,-14.84673166768115,-0.3688,-0.8939,-0.2199,-0.1292
