,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,802000.0,658.453545,1.0,5.51,5.59,-6.06,-7.06,-29.87,16.0,-1.25,-0.12,-0.44,0.2319272766799085,0.011878275611833631,-0.10686948829981803,-58.352791710028974,-98.12066633896302,-50.42795316020507,0.1013,-0.4875,-0.7554,-0.426
1,802000.0,658.453545,1.0,5.51,5.59,-6.06,-7.06,-29.87,16.0,-1.25,-0.12,-0.44,0.2319272766799085,0.011878275611833631,-0.10686948829981803,-58.352791710028974,-98.12066633896302,-50.42795316020507,0.1013,-0.4875,-0.7554,-0.426
2,802035.0,658.5199700000001,1.0,5.88,5.29,-6.23,-6.38,-29.19,15.19,1.56,2.31,0.25,-0.233993884833702,-0.051447336895479534,-0.2588355835864569,-58.31342248941901,-98.15564818979229,-50.389958349814904,0.1021,-0.4872,-0.7556,-0.4257
3,802035.0,658.5199700000001,1.0,5.88,5.29,-6.23,-6.38,-29.19,15.19,1.56,2.31,0.25,-0.233993884833702,-0.051447336895479534,-0.2588355835864569,-58.31342248941901,-98.15564818979229,-50.389958349814904,0.1021,-0.4872,-0.7556,-0.4257
4,802072.0,658.5356230000001,1.0,5.72,5.39,-6.11,-6.38,-29.19,16.37,0.69,0.44,0.81,-0.03787990392582996,-0.054681279535279785,-0.14815663149952665,-58.326544724242076,-98.15564818979229,-50.37729473020999,0.1021,-0.4873,-0.7556,-0.4256
5,802072.0,658.5356230000001,1.0,5.72,5.39,-6.11,-6.38,-29.19,16.37,0.69,0.44,0.81,-0.03787990392582996,-0.054681279535279785,-0.14815663149952665,-58.326544724242076,-98.15564818979229,-50.37729473020999,0.1021,-0.4873,-0.7556,-0.4256
6,802107.0,658.5383320000001,1.0,5.7,5.48,-6.19,-6.38,-29.19,16.37,0.25,-1.31,1.0,0.029875485781981737,0.002990966412012685,-0.2350430101188241,-58.352791710028974,-98.13815572502692,-50.36463176877203,0.1022,-0.4875,-0.7555,-0.4255
7,802107.0,658.5383320000001,1.0,5.7,5.48,-6.19,-6.38,-29.19,16.37,0.25,-1.31,1.0,0.029875485781981737,0.002990966412012685,-0.2350430101188241,-58.352791710028974,-98.13815572502692,-50.36463176877203,0.1022,-0.4875,-0.7555,-0.4255
8,802144.0,658.575534,1.0,5.59,5.47,-6.04,-6.69,-29.5,16.37,-0.12,-0.63,-0.31,0.11410243085853665,-0.040889655881424236,-0.07443843555780028,-58.37904205289053,-98.15564818979229,-50.35196946524382,0.1019,-0.4877,-0.7556,-0.4254
9,802144.0,658.575534,1.0,5.59,5.47,-6.04,-6.69,-29.5,16.37,-0.12,-0.63,-0.31,0.11410243085853665,-0.040889655881424236,-0.07443843555780028,-58.37904205289053,-98.15564818979229,-50.35196946524382,0.1019,-0.4877,-0.7556,-0.4254
10,802179.0,658.629734,1.0,5.73,5.49,-6.09,-6.69,-29.5,15.19,0.75,0.25,0.12,0.0476630796480364,-0.09689522652710504,-0.1958216718376544,-58.36591646165882,-98.15564818979229,-50.35196946524382,0.102,-0.4876,-0.7556,-0.4254
11,802179.0,658.629734,1.0,5.73,5.49,-6.09,-6.69,-29.5,15.19,0.75,0.25,0.12,0.0476630796480364,-0.09689522652710504,-0.1958216718376544,-58.36591646165882,-98.15564818979229,-50.35196946524382,0.102,-0.4876,-0.7556,-0.4254
12,802213.0,658.63387,1.0,5.61,5.3,-6.08,-6.69,-29.5,15.19,1.37,-0.5,-0.31,-0.038301101007778726,-0.006060185345583502,-0.018165331588436476,-58.37904205289053,-98.20814407664992,-50.27600944578726,0.1021,-0.4877,-0.7559,-0.4248
13,802213.0,658.63387,1.0,5.61,5.3,-6.08,-6.69,-29.5,15.19,1.37,-0.5,-0.31,-0.038301101007778726,-0.006060185345583502,-0.018165331588436476,-58.37904205289053,-98.20814407664992,-50.27600944578726,0.1021,-0.4877,-0.7559,-0.4248
14,802248.0,658.6879230000001,1.0,5.5,5.29,-6.1,-6.38,-29.5,15.06,1.19,-2.13,-0.56,0.0018667358807406,0.07384349357675246,0.037379625312157216,-58.37904205289053,-98.22564887658442,-50.238038297036006,0.1018,-0.4877,-0.7559999999999999,-0.4245
15,802248.0,658.6879230000001,1.0,5.5,5.29,-6.1,-6.38,-29.5,15.06,1.19,-2.13,-0.56,0.0018667358807406,0.07384349357675246,0.037379625312157216,-58.37904205289053,-98.22564887658442,-50.238038297036006,0.1018,-0.4877,-0.7559999999999999,-0.4245
16,802285.0,658.709794,1.0,5.72,5.46,-6.06,-6.38,-29.87,15.38,-0.31,0.81,1.12,0.04574494847609256,-0.12781197346159925,-0.15503517366056485,-58.40529575549325,-98.22564887658442,-50.22538255847991,0.1019,-0.4879,-0.7559999999999999,-0.4244
17,802285.0,658.709794,1.0,5.72,5.46,-6.06,-6.38,-29.87,15.38,-0.31,0.81,1.12,0.04574494847609256,-0.12781197346159925,-0.15503517366056485,-58.40529575549325,-98.22564887658442,-50.22538255847991,0.1019,-0.4879,-0.7559999999999999,-0.4244
18,802318.0,658.749793,1.0,5.56,5.27,-6.01,-6.38,-29.87,15.38,1.75,-2.56,-1.5,-0.017185027293641242,-0.03638371427251785,0.06986506347333155,-58.39216848405749,-98.26066774517868,-50.187419272308674,0.1018,-0.4878,-0.7562,-0.4241
19,802318.0,658.749793,1.0,5.56,5.27,-6.01,-6.38,-29.87,15.38,1.75,-2.56,-1.5,-0.017185027293641242,-0.03638371427251785,0.06986506347333155,-58.39216848405749,-98.26066774517868,-50.187419272308674,0.1018,-0.4878,-0.7562,-0.4241
20,802353.0,658.806652,1.0,5.6,5.28,-6.23,-6.69,-29.87,14.69,0.19,-0.12,0.12,-0.08425110873558084,0.09025494423055624,-0.09466586182961834,-58.39216848405749,-98.29569898571506,-50.13681071668797,0.1017,-0.4878,-0.7564,-0.4237
21,802353.0,658.806652,1.0,5.6,5.28,-6.23,-6.69,-29.87,14.69,0.19,-0.12,0.12,-0.08425110873558084,0.09025494423055624,-0.09466586182961834,-58.39216848405749,-98.29569898571506,-50.13681071668797,0.1017,-0.4878,-0.7564,-0.4237
22,802387.0,658.824293,1.0,5.52,5.38,-5.9,-6.0,-30.25,16.37,1.75,-3.75,-0.12,0.12423328989005256,-0.1315042286870476,0.10138994539453172,-58.41842386753149,-98.33074261459299,-50.073564719425185,0.1013,-0.488,-0.7566,-0.4232
23,802387.0,658.824293,1.0,5.52,5.38,-5.9,-6.0,-30.25,16.37,1.75,-3.75,-0.12,0.12423328989005256,-0.1315042286870476,0.10138994539453172,-58.41842386753149,-98.33074261459299,-50.073564719425185,0.1013,-0.488,-0.7566,-0.4232
24,802422.0,658.866938,1.0,5.54,5.48,-5.93,-6.38,-29.5,17.19,-0.63,-0.06,-0.06,0.18671020139887,-0.1409763696891715,0.017259571383780425,-58.43155282050608,-98.33074261459299,-50.073564719425185,0.1011,-0.4881,-0.7566,-0.4232
25,802422.0,658.866938,1.0,5.54,5.48,-5.93,-6.38,-29.5,17.19,-0.63,-0.06,-0.06,0.18671020139887,-0.1409763696891715,0.017259571383780425,-58.43155282050608,-98.33074261459299,-50.073564719425185,0.1011,-0.4881,-0.7566,-0.4232
26,802457.0,658.884592,1.0,5.63,5.33,-6.2,-6.38,-29.5,17.19,2.63,0.25,0.12,-0.0479815743549471,0.025393056155285088,-0.12022528687761458,-58.41842386753149,-98.34826907979405,-50.060917477055426,0.1014,-0.488,-0.7567,-0.4231
27,802457.0,658.884592,1.0,5.63,5.33,-6.2,-6.38,-29.5,17.19,2.63,0.25,0.12,-0.0479815743549471,0.025393056155285088,-0.12022528687761458,-58.41842386753149,-98.34826907979405,-50.060917477055426,0.1014,-0.488,-0.7567,-0.4231
28,802492.0,658.927156,1.0,5.57,5.2,-6.09,-5.56,-29.5,16.19,1.06,0.06,0.5,-0.08833926062072661,-0.004595317776119767,0.05241117484877833,-58.41842386753149,-98.40086710313936,-49.98504770101025,0.1016,-0.488,-0.757,-0.4225
29,802492.0,658.927156,1.0,5.57,5.2,-6.09,-5.56,-29.5,16.19,1.06,0.06,0.5,-0.08833926062072661,-0.004595317776119767,0.05241117484877833,-58.41842386753149,-98.40086710313936,-49.98504770101025,0.1016,-0.488,-0.757,-0.4225
30,802527.0,658.999403,1.0,5.45,5.32,-6.02,-5.19,-29.19,14.25,-0.19,-0.19,0.44,0.08908722450763384,0.002037718357361218,0.0990571308004764,-58.41842386753149,-98.40086710313936,-49.98504770101025,0.1016,-0.488,-0.757,-0.4225
31,802527.0,658.999403,1.0,5.45,5.32,-6.02,-5.19,-29.19,14.25,-0.19,-0.19,0.44,0.08908722450763384,0.002037718357361218,0.0990571308004764,-58.41842386753149,-98.40086710313936,-49.98504770101025,0.1016,-0.488,-0.757,-0.4225
32,802564.0,659.0024480000001,1.0,5.66,5.37,-6.25,-5.19,-29.19,14.25,0.25,0.63,1.25,-0.029975662480528083,0.032428627753555705,-0.1900019317099808,-58.43155282050608,-98.3657986482455,-49.99769103660335,0.1019,-0.4881,-0.7568,-0.4226
33,802564.0,659.0024480000001,1.0,5.66,5.37,-6.25,-5.19,-29.19,14.25,0.25,0.63,1.25,-0.029975662480528083,0.032428627753555705,-0.1900019317099808,-58.43155282050608,-98.3657986482455,-49.99769103660335,0.1019,-0.4881,-0.7568,-0.4226
34,802598.0,659.034647,1.0,5.59,5.53,-6.2,-6.38,-29.87,15.5,0.69,-0.06,-0.44,0.1524831759499623,0.015334053595539745,-0.20561816200267732,-58.444682614751024,-98.3657986482455,-49.99769103660335,0.102,-0.4882,-0.7568,-0.4226
35,802598.0,659.034647,1.0,5.59,5.53,-6.2,-6.38,-29.87,15.5,0.69,-0.06,-0.44,0.1524831759499623,0.015334053595539745,-0.20561816200267732,-58.444682614751024,-98.3657986482455,-49.99769103660335,0.102,-0.4882,-0.7568,-0.4226
36,802635.0,659.046427,1.0,5.43,5.51,-5.99,-6.0,-29.5,14.56,2.63,1.06,0.37,0.2725789387738832,-0.03448027240554863,0.02658804554635097,-58.40529575549325,-98.40086710313936,-49.9724050156561,0.1022,-0.4879,-0.757,-0.4224
37,802635.0,659.046427,1.0,5.43,5.51,-5.99,-6.0,-29.5,14.56,2.63,1.06,0.37,0.2725789387738832,-0.03448027240554863,0.02658804554635097,-58.40529575549325,-98.40086710313936,-49.9724050156561,0.1022,-0.4879,-0.757,-0.4224
38,802668.0,659.106437,1.0,5.72,5.12,-6.33,-6.0,-29.5,14.56,4.44,2.19,0.94,-0.267084295616685,0.08901208822384721,-0.13932621288051014,-58.37904205289053,-98.4710413426878,-49.89656254432079,0.10300000000000001,-0.4877,-0.7574,-0.4218
39,802668.0,659.106437,1.0,5.72,5.12,-6.33,-6.0,-29.5,14.56,4.44,2.19,0.94,-0.267084295616685,0.08901208822384721,-0.13932621288051014,-58.37904205289053,-98.4710413426878,-49.89656254432079,0.10300000000000001,-0.4877,-0.7574,-0.4218
40,802701.0,659.150029,1.0,5.76,5.41,-6.59,-7.06,-28.75,16.5,3.5,-1.06,3.06,-0.08074007026283503,0.19896410786915772,-0.4806088343461941,-58.4578132506004,-98.4710413426878,-49.75757860526172,0.1041,-0.4883,-0.7574,-0.4207
