,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,394012.0,164.97151499999998,1.0,0.39,4.88,-8.68,0.19,-31.0,5.5,0.19,0.5,0.37,0.00979404974806064,-0.10416814452625324,-0.1581858277623187,-133.41553604515124,-34.92721890485463,-10.971708923508501,-0.2391,-0.9185,-0.3001,-0.0956
1,394012.0,164.97151499999998,1.0,0.39,4.88,-8.68,0.19,-31.0,5.5,0.19,0.5,0.37,0.00979404974806064,-0.10416814452625324,-0.1581858277623187,-133.41553604515124,-34.92721890485463,-10.971708923508501,-0.2391,-0.9185,-0.3001,-0.0956
2,394047.0,165.034875,1.0,0.28,4.7,-8.51,0.5,-31.0,7.0,0.31,-0.56,0.25,-0.11455111552069774,-0.09879503175828663,0.0821645337332697,-133.41553604515124,-34.92721890485463,-10.971708923508501,-0.239,-0.9185,-0.3001,-0.0956
3,394047.0,165.034875,1.0,0.28,4.7,-8.51,0.5,-31.0,7.0,0.31,-0.56,0.25,-0.11455111552069774,-0.09879503175828663,0.0821645337332697,-133.41553604515124,-34.92721890485463,-10.971708923508501,-0.239,-0.9185,-0.3001,-0.0956
4,394084.0,165.04247800000002,1.0,0.41,4.93,-8.64,0.5,-31.0,7.0,-1.0,0.37,0.44,0.060067170160135734,-0.06165706083729905,-0.14901122072853035,-133.444524198005,-34.903193986048876,-10.994732910342313,-0.239,-0.9186,-0.2999,-0.0958
5,394084.0,165.04247800000002,1.0,0.41,4.93,-8.64,0.5,-31.0,7.0,-1.0,0.37,0.44,0.060067170160135734,-0.06165706083729905,-0.14901122072853035,-133.444524198005,-34.903193986048876,-10.994732910342313,-0.239,-0.9186,-0.2999,-0.0958
6,394117.0,165.060218,1.0,0.33,4.82,-8.73,0.19,-31.37,5.38,0.44,-0.31,0.25,-0.08654303155378529,-0.12651433445835458,-0.16985762676328695,-133.444524198005,-34.903193986048876,-10.983220861331361,-0.239,-0.9186,-0.2999,-0.0957
7,394117.0,165.060218,1.0,0.33,4.82,-8.73,0.19,-31.37,5.38,0.44,-0.31,0.25,-0.08654303155378529,-0.12651433445835458,-0.16985762676328695,-133.444524198005,-34.903193986048876,-10.983220861331361,-0.239,-0.9186,-0.2999,-0.0957
8,394153.0,165.06325,1.0,0.39,4.83,-8.62,0.5,-31.0,6.75,0.75,-0.44,-0.19,0.0017251265757465273,-0.11327306140662775,-0.08135112446887938,-133.444524198005,-34.903193986048876,-10.983220861331361,-0.239,-0.9186,-0.2999,-0.0957
9,394153.0,165.06325,1.0,0.39,4.83,-8.62,0.5,-31.0,6.75,0.75,-0.44,-0.19,0.0017251265757465273,-0.11327306140662775,-0.08135112446887938,-133.444524198005,-34.903193986048876,-10.983220861331361,-0.239,-0.9186,-0.2999,-0.0957
10,394186.0,165.066235,1.0,0.29,4.79,-8.55,0.5,-31.0,6.75,0.56,-1.0,-0.25,-0.07271570079264056,-0.056305461674566175,0.0024548712888297075,-133.444524198005,-34.903193986048876,-10.960197096754332,-0.239,-0.9186,-0.2999,-0.0955
11,394186.0,165.066235,1.0,0.29,4.79,-8.55,0.5,-31.0,6.75,0.56,-1.0,-0.25,-0.07271570079264056,-0.056305461674566175,0.0024548712888297075,-133.444524198005,-34.903193986048876,-10.960197096754332,-0.239,-0.9186,-0.2999,-0.0955
12,394221.0,165.108374,1.0,0.21,4.83,-8.57,0.5,-31.0,5.75,0.88,-1.06,0.25,-0.11309873979760245,0.013293572054415392,-0.032299738462851835,-133.47352940641977,-34.89118212049759,-10.902639624835572,-0.2388,-0.9187,-0.2998,-0.095
13,394221.0,165.108374,1.0,0.21,4.83,-8.57,0.5,-31.0,5.75,0.88,-1.06,0.25,-0.11309873979760245,0.013293572054415392,-0.032299738462851835,-133.47352940641977,-34.89118212049759,-10.902639624835572,-0.2388,-0.9187,-0.2998,-0.095
14,394256.0,165.125548,1.0,0.34,4.85,-8.54,0.88,-31.06,7.06,1.0,0.81,-1.69,0.015788372143164864,-0.03438167180548257,-0.020265519528438247,-133.47352940641977,-34.92721890485463,-10.891128461986716,-0.2385,-0.9187,-0.3001,-0.0949
15,394256.0,165.125548,1.0,0.34,4.85,-8.54,0.88,-31.06,7.06,1.0,0.81,-1.69,0.015788372143164864,-0.03438167180548257,-0.020265519528438247,-133.47352940641977,-34.92721890485463,-10.891128461986716,-0.2385,-0.9187,-0.3001,-0.0949
16,394293.0,165.12853700000002,1.0,0.26,4.55,-8.55,0.88,-31.06,5.25,0.56,0.44,0.56,-0.19660156714114285,-0.19811300763383374,0.12188366002029305,-133.50255170239728,-34.96325925488904,-10.868106466869214,-0.2382,-0.9188,-0.3004,-0.0947
17,394293.0,165.12853700000002,1.0,0.26,4.55,-8.55,0.88,-31.06,5.25,0.56,0.44,0.56,-0.19660156714114285,-0.19811300763383374,0.12188366002029305,-133.50255170239728,-34.96325925488904,-10.868106466869214,-0.2382,-0.9188,-0.3004,-0.0947
18,394328.0,165.131448,1.0,0.37,4.87,-8.67,0.88,-31.06,5.25,-0.12,0.37,0.31,0.0092959491188348,-0.08136064425072931,-0.14402806890048406,-133.50255170239728,-34.93923195845143,-10.902639624835572,-0.2382,-0.9188,-0.3002,-0.095
19,394328.0,165.131448,1.0,0.37,4.87,-8.67,0.88,-31.06,5.25,-0.12,0.37,0.31,0.0092959491188348,-0.08136064425072931,-0.14402806890048406,-133.50255170239728,-34.93923195845143,-10.902639624835572,-0.2382,-0.9188,-0.3002,-0.095
20,394364.0,165.17399699999999,1.0,0.34,4.78,-8.76,1.25,-31.06,6.25,0.0,-1.56,-1.0,-0.08373125091430089,-0.16557155977296212,-0.1766948871715659,-133.47352940641977,-34.951245408405796,-10.868106466869214,-0.2383,-0.9187,-0.3003,-0.0947
21,394364.0,165.17399699999999,1.0,0.34,4.78,-8.76,1.25,-31.06,6.25,0.0,-1.56,-1.0,-0.08373125091430089,-0.16557155977296212,-0.1766948871715659,-133.47352940641977,-34.951245408405796,-10.868106466869214,-0.2383,-0.9187,-0.3003,-0.0947
22,394399.0,165.191226,1.0,0.16,4.71,-8.46,0.19,-31.0,5.75,0.37,-1.44,0.5,-0.16044557593356334,0.0006933500666339576,0.1239046900980032,-133.50255170239728,-34.951245408405796,-10.810553401892458,-0.2385,-0.9188,-0.3003,-0.0942
23,394399.0,165.191226,1.0,0.16,4.71,-8.46,0.19,-31.0,5.75,0.37,-1.44,0.5,-0.16044557593356334,0.0006933500666339576,0.1239046900980032,-133.50255170239728,-34.951245408405796,-10.810553401892458,-0.2385,-0.9188,-0.3003,-0.0942
24,394432.0,165.195866,1.0,0.29,4.94,-8.61,0.19,-31.0,5.75,1.37,0.75,0.12,0.009224225739925984,0.034120081498650645,-0.12403732433450546,-133.53159111803808,-34.91520624744418,-10.833574298853826,-0.2383,-0.9189,-0.3,-0.0944
