,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,688912.0,460.14743899999996,1.0,7.3,0.45,6.32,-12.38,8.38,-34.38,-1.63,-0.56,-1.5,0.052126089450735165,0.050300912051688185,0.14074845440968176,-29.950289927892534,38.294857014103954,-61.420935291391004,-0.7516,-0.2584,0.32799999999999996,-0.5107
1,688912.0,460.14743899999996,1.0,7.3,0.45,6.32,-12.38,8.38,-34.38,-1.63,-0.56,-1.5,0.052126089450735165,0.050300912051688185,0.14074845440968176,-29.950289927892534,38.294857014103954,-61.420935291391004,-0.7516,-0.2584,0.32799999999999996,-0.5107
2,688949.0,460.219746,1.0,7.41,0.53,6.35,-12.75,8.38,-34.06,0.88,0.75,0.88,0.0005162582600706234,-0.02415523201998471,0.033681348753674456,-29.950289927892534,38.270597450084026,-61.447593803930225,-0.7515,-0.2584,0.3278,-0.5109
3,688949.0,460.219746,1.0,7.41,0.53,6.35,-12.75,8.38,-34.06,0.88,0.75,0.88,0.0005162582600706234,-0.02415523201998471,0.033681348753674456,-29.950289927892534,38.270597450084026,-61.447593803930225,-0.7515,-0.2584,0.3278,-0.5109
4,688984.0,460.231736,1.0,7.35,0.47,6.32,-12.75,8.38,-34.06,-1.06,-0.75,-1.06,0.048005770405261,0.012503171130910706,0.10183989795681647,-29.950289927892534,38.28272700926836,-61.420935291391004,-0.7516,-0.2584,0.3279,-0.5107
5,688984.0,460.231736,1.0,7.35,0.47,6.32,-12.75,8.38,-34.06,-1.06,-0.75,-1.06,0.048005770405261,0.012503171130910706,0.10183989795681647,-29.950289927892534,38.28272700926836,-61.420935291391004,-0.7516,-0.2584,0.3279,-0.5107
6,689018.0,460.36318,1.0,7.33,0.54,6.24,-12.38,8.38,-35.25,1.25,0.88,1.44,-0.005851988611200286,-0.05635368876177616,0.16533836641029254,-29.96215210560615,38.28272700926836,-61.447593803930225,-0.7514,-0.2585,0.3279,-0.5109
7,689018.0,460.36318,1.0,7.33,0.54,6.24,-12.38,8.38,-35.25,1.25,0.88,1.44,-0.005851988611200286,-0.05635368876177616,0.16533836641029254,-29.96215210560615,38.28272700926836,-61.447593803930225,-0.7514,-0.2585,0.3279,-0.5109
8,689053.0,460.42057800000003,1.0,7.25,0.43,6.46,-12.38,8.38,-34.75,-0.56,-0.25,-1.25,0.029577313677686005,0.18785115791010032,0.0884795381801684,-29.96215210560615,38.270597450084026,-61.420935291391004,-0.7516,-0.2585,0.3278,-0.5107
9,689053.0,460.42057800000003,1.0,7.25,0.43,6.46,-12.38,8.38,-34.75,-0.56,-0.25,-1.25,0.029577313677686005,0.18785115791010032,0.0884795381801684,-29.96215210560615,38.270597450084026,-61.420935291391004,-0.7516,-0.2585,0.3278,-0.5107
10,689088.0,460.47378399999997,1.0,7.4,0.44,6.35,-13.19,8.38,-35.69,-0.81,0.31,0.63,0.08385324192891219,0.01052029622450257,0.046068154782709314,-29.93842807862379,38.25846833636598,-61.43426408705058,-0.7516,-0.2583,0.3277,-0.5108
11,689088.0,460.47378399999997,1.0,7.4,0.44,6.35,-13.19,8.38,-35.69,-0.81,0.31,0.63,0.08385324192891219,0.01052029622450257,0.046068154782709314,-29.93842807862379,38.25846833636598,-61.43426408705058,-0.7516,-0.2583,0.3277,-0.5108
12,689125.0,460.540083,1.0,7.3,0.7,6.35,-13.19,8.38,-35.69,-2.06,-1.63,0.06,-0.19739373910332314,-0.02021493793015816,0.1080353015986173,-29.89098396291072,38.31911836146923,-61.43426408705058,-0.7516,-0.2579,0.3282,-0.5108
