,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,2799239.0,1774.6347449999998,1.0,7.32,0.7,-6.78,-36.69,-17.69,23.37,-0.63,-0.94,1.56,0.17392046654270438,0.09709022454758676,-0.1934062578224971,-126.25130384663841,25.970475433904987,-43.33257535076985,-0.1324,-0.892,0.2247,-0.3692
1,2799239.0,1774.6347449999998,1.0,7.32,0.7,-6.78,-36.69,-17.69,23.37,-0.63,-0.94,1.56,0.17392046654270438,0.09709022454758676,-0.1934062578224971,-126.25130384663841,25.970475433904987,-43.33257535076985,-0.1324,-0.892,0.2247,-0.3692
2,2799271.0,1774.637842,1.0,7.06,0.6,-6.84,-36.25,-16.87,23.37,0.31,-1.19,3.0,0.028070144255042676,-0.07382315171744612,-0.04134280103676957,-126.27665951200248,26.06456338881546,-43.283258399546064,-0.1318,-0.8921,0.2255,-0.3688
3,2799271.0,1774.637842,1.0,7.06,0.6,-6.84,-36.25,-16.87,23.37,0.31,-1.19,3.0,0.028070144255042676,-0.07382315171744612,-0.04134280103676957,-126.27665951200248,26.06456338881546,-43.283258399546064,-0.1318,-0.8921,0.2255,-0.3688
4,2799306.0,1774.6657539999999,1.0,7.38,0.6,-6.64,-36.25,-17.69,23.69,-0.12,1.44,5.25,0.33197168460100523,0.11480169993098766,-0.13269682815305472,-126.17530318519164,26.19396354392425,-43.34490590574986,-0.1315,-0.8917,0.2266,-0.3693
5,2799306.0,1774.6657539999999,1.0,7.38,0.6,-6.64,-36.25,-17.69,23.69,-0.12,1.44,5.25,0.33197168460100523,0.11480169993098766,-0.13269682815305472,-126.17530318519164,26.19396354392425,-43.34490590574986,-0.1315,-0.8917,0.2266,-0.3693
6,2799343.0,1774.711145,1.0,7.1,0.41,-6.36,-36.25,-16.87,22.87,-1.94,-0.63,5.56,0.3917614834331569,-0.003626184260298926,0.2738534643088091,-125.97311846044451,26.41755310589251,-43.45590465390315,-0.1309,-0.8909,0.2285,-0.3702
7,2799343.0,1774.711145,1.0,7.1,0.41,-6.36,-36.25,-16.87,22.87,-1.94,-0.63,5.56,0.3917614834331569,-0.003626184260298926,0.2738534643088091,-125.97311846044451,26.41755310589251,-43.45590465390315,-0.1309,-0.8909,0.2285,-0.3702
8,2799376.0,1774.720807,1.0,7.27,0.0,-6.02,-36.25,-16.87,22.87,-1.44,7.5,11.88,0.8703381843216621,-0.15316695822889814,0.4091848456182827,-125.67114640173416,26.688351311037593,-43.628654629122934,-0.1307,-0.8897,0.2308,-0.3716
9,2799376.0,1774.720807,1.0,7.27,0.0,-6.02,-36.25,-16.87,22.87,-1.44,7.5,11.88,0.8703381843216621,-0.15316695822889814,0.4091848456182827,-125.67114640173416,26.688351311037593,-43.628654629122934,-0.1307,-0.8897,0.2308,-0.3716
10,2799413.0,1774.7802379999998,1.0,7.42,0.04,-5.78,-35.19,-17.25,22.87,-13.88,13.5,11.88,1.0088743678277654,0.0008522565496130731,0.455255890905951,-124.94770072590693,27.183245547895737,-44.060987161952966,-0.1332,-0.8868,0.235,-0.3751
