,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,476968.0,404.68313,1.0,9.42,1.13,2.44,-41.0,2.5,11.69,1.81,0.0,0.19,0.047557539504783135,-0.1495052639028336,0.011636653582263179,-38.57397055139104,-62.94644210281149,-58.74690084345127,0.6146,-0.3303,-0.5221,-0.4905
1,476968.0,404.68313,1.0,9.42,1.13,2.44,-41.0,2.5,11.69,1.81,0.0,0.19,0.047557539504783135,-0.1495052639028336,0.011636653582263179,-38.57397055139104,-62.94644210281149,-58.74690084345127,0.6146,-0.3303,-0.5221,-0.4905
2,477001.0,404.733434,1.0,9.49,1.03,2.26,-41.0,2.5,11.69,1.37,0.63,0.44,0.006004762694409305,0.06685697330236295,-0.002738058790713538,-38.51327351873995,-62.973315569507676,-58.70745568211353,0.6149,-0.3298,-0.5223,-0.4902
3,477001.0,404.733434,1.0,9.49,1.03,2.26,-41.0,2.5,11.69,1.37,0.63,0.44,0.006004762694409305,0.06685697330236295,-0.002738058790713538,-38.51327351873995,-62.973315569507676,-58.70745568211353,0.6149,-0.3298,-0.5223,-0.4902
4,477036.0,404.789468,1.0,9.49,1.12,2.08,-41.38,2.88,10.5,-1.19,-1.44,0.75,0.1519654420941361,0.19664072268931052,0.030191595721413837,-38.57397055139104,-62.973315569507676,-58.69430899208943,0.6147,-0.3303,-0.5223,-0.4901
5,477036.0,404.789468,1.0,9.49,1.12,2.08,-41.38,2.88,10.5,-1.19,-1.44,0.75,0.1519654420941361,0.19664072268931052,0.030191595721413837,-38.57397055139104,-62.973315569507676,-58.69430899208943,0.6147,-0.3303,-0.5223,-0.4901
6,477071.0,404.796304,1.0,9.47,1.05,2.33,-41.0,2.5,10.5,-0.25,-2.0,0.69,0.005637401703015188,-0.024792060174106068,-0.0021039256245192206,-38.61039417078352,-63.00019289675618,-58.68116315004747,0.6145,-0.3306,-0.5225,-0.49
7,477071.0,404.796304,1.0,9.47,1.05,2.33,-41.0,2.5,10.5,-0.25,-2.0,0.69,0.005637401703015188,-0.024792060174106068,-0.0021039256245192206,-38.61039417078352,-63.00019289675618,-58.68116315004747,0.6145,-0.3306,-0.5225,-0.49
8,477106.0,404.86599,1.0,9.46,0.87,2.41,-41.38,2.88,10.06,-2.5,-2.69,3.5,-0.17238081130943986,-0.06917944801857613,0.007563355834424356,-38.780424772104546,-62.973315569507676,-58.60230588655673,0.6143,-0.332,-0.5223,-0.4894
9,477106.0,404.86599,1.0,9.46,0.87,2.41,-41.38,2.88,10.06,-2.5,-2.69,3.5,-0.17238081130943986,-0.06917944801857613,0.007563355834424356,-38.780424772104546,-62.973315569507676,-58.60230588655673,0.6143,-0.332,-0.5223,-0.4894
10,477140.0,404.884283,1.0,9.43,1.22,2.27,-41.38,2.88,10.06,-6.19,-1.5,4.63,0.2323265008866502,-0.06922870950764759,0.03385962146605337,-39.01132279075521,-62.85241532591269,-58.58916597096109,0.6141,-0.3339,-0.5214,-0.4893
11,477140.0,404.884283,1.0,9.43,1.22,2.27,-41.38,2.88,10.06,-6.19,-1.5,4.63,0.2323265008866502,-0.06922870950764759,0.03385962146605337,-39.01132279075521,-62.85241532591269,-58.58916597096109,0.6141,-0.3339,-0.5214,-0.4893
12,477175.0,404.991194,1.0,9.48,1.15,2.21,-40.69,4.0,11.25,0.81,0.12,1.37,0.19093356451879,0.014286556096153591,0.00663263939011749,-39.05995387185956,-62.838986778788296,-58.56288867530428,0.6142,-0.3343,-0.5213,-0.4891
13,477175.0,404.991194,1.0,9.48,1.15,2.21,-40.69,4.0,11.25,0.81,0.12,1.37,0.19093356451879,0.014286556096153591,0.00663263939011749,-39.05995387185956,-62.838986778788296,-58.56288867530428,0.6142,-0.3343,-0.5213,-0.4891
14,477210.0,404.998873,1.0,9.54,0.98,2.14,-41.38,3.25,12.06,2.25,-2.69,-1.06,0.037158264711059534,0.13403839199542802,-0.01843284814102475,-39.023479875283186,-62.95987835378689,-58.510344216731006,0.614,-0.33399999999999996,-0.5222,-0.4887
15,477210.0,404.998873,1.0,9.54,0.98,2.14,-41.38,3.25,12.06,2.25,-2.69,-1.06,0.037158264711059534,0.13403839199542802,-0.01843284814102475,-39.023479875283186,-62.95987835378689,-58.510344216731006,0.614,-0.33399999999999996,-0.5222,-0.4887
16,477243.0,405.006761,1.0,9.62,0.96,2.03,-41.38,3.25,12.06,1.19,-8.56,-0.19,0.029428359038591975,0.20631429270861454,-0.06975969099137913,-39.14507588885785,-63.242263086553784,-58.33966779766776,0.6126,-0.335,-0.5243,-0.4874
17,477243.0,405.006761,1.0,9.62,0.96,2.03,-41.38,3.25,12.06,1.19,-8.56,-0.19,0.029428359038591975,0.20631429270861454,-0.06975969099137913,-39.14507588885785,-63.242263086553784,-58.33966779766776,0.6126,-0.335,-0.5243,-0.4874
18,477280.0,405.047515,1.0,9.42,1.01,2.01,-40.56,3.69,12.88,0.44,-16.37,3.25,0.07546023230903365,0.08629283141678877,0.12246395776671548,-39.40057712393039,-63.552034095396465,-58.11668937344475,0.611,-0.3371,-0.5266,-0.4857
19,477280.0,405.047515,1.0,9.42,1.01,2.01,-40.56,3.69,12.88,0.44,-16.37,3.25,0.07546023230903365,0.08629283141678877,0.12246395776671548,-39.40057712393039,-63.552034095396465,-58.11668937344475,0.611,-0.3371,-0.5266,-0.4857
20,477315.0,405.06568500000003,1.0,9.53,1.05,2.14,-40.69,3.69,11.69,-0.12,-7.94,2.69,0.06712831853831802,-0.08500433301205268,-0.016346897699774487,-39.644101400128214,-63.76783312990714,-57.89395177277983,0.6097,-0.3391,-0.5282,-0.484
21,477315.0,405.06568500000003,1.0,9.53,1.05,2.14,-40.69,3.69,11.69,-0.12,-7.94,2.69,0.06712831853831802,-0.08500433301205268,-0.016346897699774487,-39.644101400128214,-63.76783312990714,-57.89395177277983,0.6097,-0.3391,-0.5282,-0.484
22,477349.0,405.10971800000004,1.0,10.02,0.72,0.76,-40.69,3.69,11.69,-0.63,-27.31,7.63,0.17764953968769248,1.3138070216398148,-0.18027904505377454,-39.99754361581977,-64.05145371860036,-57.592981343645185,0.6081,-0.342,-0.5303,-0.4817
23,477349.0,405.10971800000004,1.0,10.02,0.72,0.76,-40.69,3.69,11.69,-0.63,-27.31,7.63,0.17764953968769248,1.3138070216398148,-0.18027904505377454,-39.99754361581977,-64.05145371860036,-57.592981343645185,0.6081,-0.342,-0.5303,-0.4817
24,477382.0,405.126736,1.0,10.28,0.56,0.27,-39.88,3.69,11.69,-3.25,-73.5,15.88,0.12880708269898533,1.4172885940347553,-0.3933304792296326,-41.62366360590611,-65.61251381736736,-56.2114472624779,0.5986,-0.3553,-0.5418,-0.4711
25,477382.0,405.126736,1.0,10.28,0.56,0.27,-39.88,3.69,11.69,-3.25,-73.5,15.88,0.12880708269898533,1.4172885940347553,-0.3933304792296326,-41.62366360590611,-65.61251381736736,-56.2114472624779,0.5986,-0.3553,-0.5418,-0.4711
26,477419.0,405.170266,1.0,12.46,-0.5,-2.93,-40.25,3.25,13.69,-13.5,-135.06,35.19,-0.019197034052119918,4.421640517420863,-2.2156304246359912,-43.91268486070203,-67.4627610420609,-54.47758400854888,0.5851,-0.3739,-0.5553,-0.4577
27,477419.0,405.170266,1.0,12.46,-0.5,-2.93,-40.25,3.25,13.69,-13.5,-135.06,35.19,-0.019197034052119918,4.421640517420863,-2.2156304246359912,-43.91268486070203,-67.4627610420609,-54.47758400854888,0.5851,-0.3739,-0.5553,-0.4577
28,477454.0,405.224763,1.0,12.89,0.3,-1.6,-40.25,3.25,13.69,-50.5,-225.69,57.13,0.2155803543091157,1.653791538449484,-3.0782480848972518,-48.32173895898989,-70.19926439078702,-51.659688661303676,0.5585,-0.4093,-0.575,-0.4357
29,477454.0,405.224763,1.0,12.89,0.3,-1.6,-40.25,3.25,13.69,-50.5,-225.69,57.13,0.2155803543091157,1.653791538449484,-3.0782480848972518,-48.32173895898989,-70.19926439078702,-51.659688661303676,0.5585,-0.4093,-0.575,-0.4357
30,477489.0,405.241088,1.0,14.02,1.31,-10.51,-38.38,4.0,16.06,-114.69,-276.38,28.69,2.821065377197176,7.700001753576366,-5.733239418284166,-56.01666960756123,-73.65387577244138,-48.30917991037589,0.5027,-0.4696,-0.5994,-0.4092
31,477489.0,405.241088,1.0,14.02,1.31,-10.51,-38.38,4.0,16.06,-114.69,-276.38,28.69,2.821065377197176,7.700001753576366,-5.733239418284166,-56.01666960756123,-73.65387577244138,-48.30917991037589,0.5027,-0.4696,-0.5994,-0.4092
32,477526.0,405.282963,1.0,14.02,-0.04,-8.39,-33.88,4.38,23.0,-107.5,-395.81,-16.69,-0.4232331126333495,2.201979827978856,-6.37748601554142,-64.53868567478604,-80.09163739911392,-43.480576858025245,0.4047,-0.5339,-0.6434,-0.3704
33,477526.0,405.282963,1.0,14.02,-0.04,-8.39,-33.88,4.38,23.0,-107.5,-395.81,-16.69,-0.4232331126333495,2.201979827978856,-6.37748601554142,-64.53868567478604,-80.09163739911392,-43.480576858025245,0.4047,-0.5339,-0.6434,-0.3704
34,477560.0,405.303433,1.0,14.65,0.23,-10.66,-26.5,2.19,31.5,-167.06,-308.31,-87.31,-1.7331363218965017,1.0261747125851937,-8.20040983632458,-69.31924492932319,-84.24222829795386,-41.51335250906026,0.318,-0.5687,-0.6707,-0.3544
35,477560.0,405.303433,1.0,14.65,0.23,-10.66,-26.5,2.19,31.5,-167.06,-308.31,-87.31,-1.7331363218965017,1.0261747125851937,-8.20040983632458,-69.31924492932319,-84.24222829795386,-41.51335250906026,0.318,-0.5687,-0.6707,-0.3544
36,477595.0,405.345904,1.0,14.02,1.81,-8.67,-26.5,2.19,31.5,-164.81,-301.63,-109.75,-2.3022278089448838,-3.4856005768028986,-6.241893103182671,-72.79731116496349,-88.58154277869775,-40.302553807332,0.2039,-0.5934,-0.6983,-0.3445
37,477595.0,405.345904,1.0,14.02,1.81,-8.67,-26.5,2.19,31.5,-164.81,-301.63,-109.75,-2.3022278089448838,-3.4856005768028986,-6.241893103182671,-72.79731116496349,-88.58154277869775,-40.302553807332,0.2039,-0.5934,-0.6983,-0.3445
38,477632.0,405.399965,1.0,13.58,3.89,-11.06,-15.88,-4.56,38.38,-156.38,-271.69,-164.38,-2.541164934705685,-3.79006128928876,-7.544142955886973,-73.13936663783453,-91.72982641130142,-39.826867038243506,0.1178,-0.5958,-0.7177,-0.3406
39,477632.0,405.399965,1.0,13.58,3.89,-11.06,-15.88,-4.56,38.38,-156.38,-271.69,-164.38,-2.541164934705685,-3.79006128928876,-7.544142955886973,-73.13936663783453,-91.72982641130142,-39.826867038243506,0.1178,-0.5958,-0.7177,-0.3406
40,477669.0,405.41489,1.0,7.24,8.77,-4.86,-4.75,-13.75,41.69,-17.87,-290.94,-188.94,3.8723299533170783,-5.209484391689627,-0.7202884488266807,-71.71905293720884,-97.51046175424892,-35.17957649356332,0.0108,-0.5858,-0.7519,-0.3022
41,477669.0,405.41489,1.0,7.24,8.77,-4.86,-4.75,-13.75,41.69,-17.87,-290.94,-188.94,3.8723299533170783,-5.209484391689627,-0.7202884488266807,-71.71905293720884,-97.51046175424892,-35.17957649356332,0.0108,-0.5858,-0.7519,-0.3022
42,477704.0,405.46952000000005,1.0,4.58,6.27,-6.05,-4.75,-13.75,41.69,64.5,-221.75,-237.0,1.2776137825362928,-3.9893178974741086,0.8990776182808311,-66.52833488574433,-105.78405748823394,-28.091903034402694,-0.0639,-0.5485,-0.7975,-0.2427
43,477704.0,405.46952000000005,1.0,4.58,6.27,-6.05,-4.75,-13.75,41.69,64.5,-221.75,-237.0,1.2776137825362928,-3.9893178974741086,0.8990776182808311,-66.52833488574433,-105.78405748823394,-28.091903034402694,-0.0639,-0.5485,-0.7975,-0.2427
44,477739.0,405.47364100000004,1.0,2.58,4.18,-10.4,7.25,-18.37,42.25,60.13,-237.06,-217.5,-1.8281057403838905,-1.8085234606933744,-1.4038839879105292,-61.92808029086676,-111.58357510903522,-22.57123707542117,-0.1138,-0.5145,-0.8270000000000001,-0.1957
45,477739.0,405.47364100000004,1.0,2.58,4.18,-10.4,7.25,-18.37,42.25,60.13,-237.06,-217.5,-1.8281057403838905,-1.8085234606933744,-1.4038839879105292,-61.92808029086676,-111.58357510903522,-22.57123707542117,-0.1138,-0.5145,-0.8270000000000001,-0.1957
46,477775.0,405.52404900000005,1.0,-0.45,2.49,-10.04,19.0,-16.75,42.38,31.94,-232.06,-169.19,-2.3645622780134143,-0.3069792358001515,-0.26900427067560706,-57.22716779893635,-115.77371350268422,-15.806415466969176,-0.1851,-0.4789,-0.847,-0.1375
