,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,622585.0,325.172812,1.0,8.63,-0.56,4.68,-27.69,7.56,-36.06,-1.69,-3.13,-5.81,-0.17479897350983875,-0.12013766179991725,-0.024317005390527058,-33.01011755272957,49.9724050156561,-65.55798771264952,-0.6691,-0.2841,0.4224,-0.5414
1,622585.0,325.172812,1.0,8.63,-0.56,4.68,-27.69,7.56,-36.06,-1.69,-3.13,-5.81,-0.17479897350983875,-0.12013766179991725,-0.024317005390527058,-33.01011755272957,49.9724050156561,-65.55798771264952,-0.6691,-0.2841,0.4224,-0.5414
2,622618.0,325.30998700000004,1.0,9.77,-0.3,4.07,-27.69,7.56,-36.06,4.63,-15.88,-8.19,-0.17260094495483735,-1.1819587093652075,-0.7138529596097012,-33.356870714029654,50.073564719425185,-65.31282652906373,-0.6689,-0.287,0.4232,-0.5396
3,622618.0,325.30998700000004,1.0,9.77,-0.3,4.07,-27.69,7.56,-36.06,4.63,-15.88,-8.19,-0.17260094495483735,-1.1819587093652075,-0.7138529596097012,-33.356870714029654,50.073564719425185,-65.31282652906373,-0.6689,-0.287,0.4232,-0.5396
4,622655.0,325.37310299999996,1.0,9.34,-0.21,4.34,-27.69,7.19,-35.69,16.44,-31.06,-17.0,-0.2899138925115634,-0.5396213724445218,-0.4763485271480956,-34.54300944397086,50.503960586262394,-64.67425982878002,-0.6661,-0.2969,0.4266,-0.5349
5,622655.0,325.37310299999996,1.0,9.34,-0.21,4.34,-27.69,7.19,-35.69,16.44,-31.06,-17.0,-0.2899138925115634,-0.5396213724445218,-0.4763485271480956,-34.54300944397086,50.503960586262394,-64.67425982878002,-0.6661,-0.2969,0.4266,-0.5349
6,622692.0,325.39333700000003,1.0,9.55,0.02,4.17,-28.87,6.75,-36.5,3.44,-28.44,-24.0,-0.3778781011455381,-0.660834986914312,-0.5862468656840178,-35.46820114810156,50.7701742654686,-64.0244233467086,-0.6652,-0.3046,0.4287,-0.5301
7,622692.0,325.39333700000003,1.0,9.55,0.02,4.17,-28.87,6.75,-36.5,3.44,-28.44,-24.0,-0.3778781011455381,-0.660834986914312,-0.5862468656840178,-35.46820114810156,50.7701742654686,-64.0244233467086,-0.6652,-0.3046,0.4287,-0.5301
8,622725.0,325.43549,1.0,11.95,1.91,3.74,-28.87,6.75,-36.5,14.0,-62.19,-37.56,-1.7706073882909836,-2.1524517335351785,-2.549324304413668,-37.09611957275582,51.55786178927636,-62.503584484279976,-0.6638,-0.3181,0.4349,-0.5188
9,622725.0,325.43549,1.0,11.95,1.91,3.74,-28.87,6.75,-36.5,14.0,-62.19,-37.56,-1.7706073882909836,-2.1524517335351785,-2.549324304413668,-37.09611957275582,51.55786178927636,-62.503584484279976,-0.6638,-0.3181,0.4349,-0.5188
10,622759.0,325.455357,1.0,11.67,1.33,3.21,-30.25,6.75,-34.06,59.06,-85.94,-54.38,-0.7846725384773785,-1.5489563723530737,-2.245193143847596,-41.03580078188174,52.14396705080251,-60.609606145201504,-0.6552,-0.3505,0.4395,-0.5046
11,622759.0,325.455357,1.0,11.67,1.33,3.21,-30.25,6.75,-34.06,59.06,-85.94,-54.38,-0.7846725384773785,-1.5489563723530737,-2.245193143847596,-41.03580078188174,52.14396705080251,-60.609606145201504,-0.6552,-0.3505,0.4395,-0.5046
12,622796.0,325.458977,1.0,11.19,1.32,3.52,-32.19,4.19,-32.06,32.13,-89.19,-88.06,-0.527702166347396,-0.4135122118123835,-1.9789105753105485,-44.469220271844826,52.539778806860255,-58.40529575549325,-0.6503,-0.3784,0.4426,-0.4879
13,622796.0,325.458977,1.0,11.19,1.32,3.52,-32.19,4.19,-32.06,32.13,-89.19,-88.06,-0.527702166347396,-0.4135122118123835,-1.9789105753105485,-44.469220271844826,52.539778806860255,-58.40529575549325,-0.6503,-0.3784,0.4426,-0.4879
14,622833.0,325.503407,1.0,13.81,3.82,3.21,-32.19,4.19,-32.06,12.63,-119.0,-124.5,-1.6556655234206907,-0.8016688791023991,-4.761421206677801,-49.378927610894635,53.28215172783013,-53.436046525616895,-0.6498,-0.4177,0.4484,-0.4496
15,622833.0,325.503407,1.0,13.81,3.82,3.21,-32.19,4.19,-32.06,12.63,-119.0,-124.5,-1.6556655234206907,-0.8016688791023991,-4.761421206677801,-49.378927610894635,53.28215172783013,-53.436046525616895,-0.6498,-0.4177,0.4484,-0.4496
16,622868.0,325.511619,1.0,12.39,2.7,2.26,-35.19,1.19,-29.19,122.75,-174.38,-151.19,0.1260793194843357,0.216430456012668,-3.0715083257431868,-55.79613423290889,53.218059503427035,-49.341094211246,-0.6374,-0.4679,0.4479,-0.4174
17,622868.0,325.511619,1.0,12.39,2.7,2.26,-35.19,1.19,-29.19,122.75,-174.38,-151.19,0.1260793194843357,0.216430456012668,-3.0715083257431868,-55.79613423290889,53.218059503427035,-49.341094211246,-0.6374,-0.4679,0.4479,-0.4174
18,622903.0,325.530236,1.0,12.06,4.16,2.03,-37.19,-3.25,-25.5,87.94,-232.06,-171.0,-0.2586294912523939,1.984153876003461,-2.95525989556794,-65.61251381736736,53.88550274467078,-42.507618370719364,-0.6081,-0.5418,0.4531,-0.3625
19,622903.0,325.530236,1.0,12.06,4.16,2.03,-37.19,-3.25,-25.5,87.94,-232.06,-171.0,-0.2586294912523939,1.984153876003461,-2.95525989556794,-65.61251381736736,53.88550274467078,-42.507618370719364,-0.6081,-0.5418,0.4531,-0.3625
20,622940.0,325.566496,1.0,9.58,4.0,0.73,-40.5,-9.56,-19.37,139.0,-196.38,-165.0,0.009250154268257038,1.9643064224797289,-0.4134632436608019,-73.48218124573529,53.25651268144825,-37.519427463611905,-0.5812,-0.5982,0.4482,-0.3216
21,622940.0,325.566496,1.0,9.58,4.0,0.73,-40.5,-9.56,-19.37,139.0,-196.38,-165.0,0.009250154268257038,1.9643064224797289,-0.4134632436608019,-73.48218124573529,53.25651268144825,-37.519427463611905,-0.5812,-0.5982,0.4482,-0.3216
22,622972.0,325.582111,1.0,8.99,3.92,-1.46,-40.5,-9.56,-19.37,144.31,-202.75,-113.37,0.7204655205301516,1.436334148811813,0.022173844033131832,-83.44139093704848,52.83388194622903,-32.222106806155665,-0.5312,-0.6655,0.4449,-0.2775
23,622972.0,325.582111,1.0,8.99,3.92,-1.46,-40.5,-9.56,-19.37,144.31,-202.75,-113.37,0.7204655205301516,1.436334148811813,0.022173844033131832,-83.44139093704848,52.83388194622903,-32.222106806155665,-0.5312,-0.6655,0.4449,-0.2775
24,623009.0,325.600106,1.0,7.66,4.66,-3.16,-40.88,-16.0,-9.69,109.31,-189.38,-117.12,0.05146202020800161,0.5839819544863936,0.3180717747172306,-89.80459924068859,52.578118912593965,-27.89113735405041,-0.4975,-0.7059,0.4429,-0.24100000000000002
25,623009.0,325.600106,1.0,7.66,4.66,-3.16,-40.88,-16.0,-9.69,109.31,-189.38,-117.12,0.05146202020800161,0.5839819544863936,0.3180717747172306,-89.80459924068859,52.578118912593965,-27.89113735405041,-0.4975,-0.7059,0.4429,-0.24100000000000002
26,623046.0,325.645192,1.0,6.7,4.89,-5.38,-40.88,-19.37,-1.5,60.5,-172.5,-113.06,0.1327660706795124,-0.3872290998406043,-0.0715546341788702,-97.31944790610486,51.863473998811436,-22.38430579933233,-0.4555,-0.7508,0.4373,-0.1941
27,623046.0,325.645192,1.0,6.7,4.89,-5.38,-40.88,-19.37,-1.5,60.5,-172.5,-113.06,0.1327660706795124,-0.3872290998406043,-0.0715546341788702,-97.31944790610486,51.863473998811436,-22.38430579933233,-0.4555,-0.7508,0.4373,-0.1941
28,623081.0,325.66450499999996,1.0,6.02,5.65,-5.3,-40.88,-19.37,-1.5,35.75,-150.06,-129.75,-0.27872897804470004,0.3497718089613082,0.0059933975853372345,-101.882452736899,50.75749078075491,-17.6712197397126,-0.4355,-0.7765,0.4286,-0.1536
29,623081.0,325.66450499999996,1.0,6.02,5.65,-5.3,-40.88,-19.37,-1.5,35.75,-150.06,-129.75,-0.27872897804470004,0.3497718089613082,0.0059933975853372345,-101.882452736899,50.75749078075491,-17.6712197397126,-0.4355,-0.7765,0.4286,-0.1536
30,623116.0,325.71022999999997,1.0,5.22,7.64,-5.8,-37.38,-23.06,6.25,50.69,-138.31,-135.88,-1.346261822374856,1.129120790993376,-0.971599641985584,-107.452610813999,48.61076799855758,-11.662626087112969,-0.4128,-0.8062,0.4116,-0.1016
31,623116.0,325.71022999999997,1.0,5.22,7.64,-5.8,-37.38,-23.06,6.25,50.69,-138.31,-135.88,-1.346261822374856,1.129120790993376,-0.971599641985584,-107.452610813999,48.61076799855758,-11.662626087112969,-0.4128,-0.8062,0.4116,-0.1016
32,623153.0,325.77873999999997,1.0,4.03,6.98,-5.5,-35.06,-26.19,12.06,83.81,-127.37,-131.56,-1.0106140470409202,1.5895779717030134,0.2325599064297439,-113.77509319472591,45.946335125324666,-6.6729995322127,-0.3777,-0.8376,0.3903,-0.0582
33,623153.0,325.77873999999997,1.0,4.03,6.98,-5.5,-35.06,-26.19,12.06,83.81,-127.37,-131.56,-1.0106140470409202,1.5895779717030134,0.2325599064297439,-113.77509319472591,45.946335125324666,-6.6729995322127,-0.3777,-0.8376,0.3903,-0.0582
34,623187.0,325.79132599999997,1.0,3.07,6.44,-5.78,-30.87,-29.06,17.0,94.62,-97.0,-132.56,-0.8561185857693339,1.3739880270014018,0.7686127203270967,-118.54340107943031,43.628654629122934,-3.6446260183907717,-0.3494,-0.8596,0.3716,-0.0318
35,623187.0,325.79132599999997,1.0,3.07,6.44,-5.78,-30.87,-29.06,17.0,94.62,-97.0,-132.56,-0.8561185857693339,1.3739880270014018,0.7686127203270967,-118.54340107943031,43.628654629122934,-3.6446260183907717,-0.3494,-0.8596,0.3716,-0.0318
36,623222.0,325.84460099999995,1.0,2.32,6.3,-5.57,-30.87,-29.06,17.0,104.75,-88.62,-131.69,-0.9044527138344164,1.9482085685865818,1.3518437537443602,-125.04696377500795,39.985349368070324,-0.3323159869732291,-0.3098,-0.8872,0.3419,-0.0029
37,623222.0,325.84460099999995,1.0,2.32,6.3,-5.57,-30.87,-29.06,17.0,104.75,-88.62,-131.69,-0.9044527138344164,1.9482085685865818,1.3518437537443602,-125.04696377500795,39.985349368070324,-0.3323159869732291,-0.3098,-0.8872,0.3419,-0.0029
38,623259.0,325.909333,1.0,1.51,5.15,-4.91,-24.75,-31.69,21.5,137.81,-77.12,-122.44,-0.7672616073219553,1.817378399724772,2.805282606544376,-130.18802216268048,37.28956626386321,1.5584932484256673,-0.2737,-0.907,0.3197,0.0136
39,623259.0,325.909333,1.0,1.51,5.15,-4.91,-24.75,-31.69,21.5,137.81,-77.12,-122.44,-0.7672616073219553,1.817378399724772,2.805282606544376,-130.18802216268048,37.28956626386321,1.5584932484256673,-0.2737,-0.907,0.3197,0.0136
40,623296.0,325.923449,1.0,1.35,3.71,-5.27,-18.37,-31.56,26.19,152.69,-65.69,-113.62,0.12997156123385928,1.411384003685059,3.3762065792542444,-137.1510918031107,33.751834870470574,3.438262641755622,-0.2196,-0.9309,0.2903,0.03
41,623296.0,325.923449,1.0,1.35,3.71,-5.27,-18.37,-31.56,26.19,152.69,-65.69,-113.62,0.12997156123385928,1.411384003685059,3.3762065792542444,-137.1510918031107,33.751834870470574,3.438262641755622,-0.2196,-0.9309,0.2903,0.03
42,623331.0,325.93147799999997,1.0,1.27,1.44,-6.48,-18.37,-31.56,26.19,156.19,-53.94,-102.56,1.4539548928257515,-0.24015093777354654,3.2107995850258595,-142.1344807161217,31.221437269957963,4.355527902560735,-0.1776,-0.9459,0.2691,0.038
43,623331.0,325.93147799999997,1.0,1.27,1.44,-6.48,-18.37,-31.56,26.19,156.19,-53.94,-102.56,1.4539548928257515,-0.24015093777354654,3.2107995850258595,-142.1344807161217,31.221437269957963,4.355527902560735,-0.1776,-0.9459,0.2691,0.038
44,623366.0,325.97865099999996,1.0,0.42,0.17,-7.01,-12.06,-29.25,29.56,99.0,-37.56,-91.12,1.382109035032917,-1.277392367219314,3.0388258773258436,-147.39783944401512,28.115528300006982,5.4451479667522715,-0.1326,-0.9598,0.2429,0.0475
45,623366.0,325.97865099999996,1.0,0.42,0.17,-7.01,-12.06,-29.25,29.56,99.0,-37.56,-91.12,1.382109035032917,-1.277392367219314,3.0388258773258436,-147.39783944401512,28.115528300006982,5.4451479667522715,-0.1326,-0.9598,0.2429,0.0475
46,623400.0,325.996182,1.0,-0.48,-0.19,-7.59,-8.0,-26.75,34.06,71.69,-42.44,-79.69,0.8412277286836349,-1.7157340317790195,2.443010095666745,-151.16170585731885,25.265378432632104,6.615607303690656,-0.1041,-0.9685,0.2187,0.0577
47,623400.0,325.996182,1.0,-0.48,-0.19,-7.59,-8.0,-26.75,34.06,71.69,-42.44,-79.69,0.8412277286836349,-1.7157340317790195,2.443010095666745,-151.16170585731885,25.265378432632104,6.615607303690656,-0.1041,-0.9685,0.2187,0.0577
48,623437.0,326.062865,1.0,0.42,0.39,-8.97,-4.56,-25.0,35.38,15.0,-9.69,-74.06,1.6592514267093623,-0.8881236604507114,1.0175931070955857,-153.4604028099656,23.109005518751957,7.143680335170353,-0.0935,-0.9733,0.2003,0.0623
49,623437.0,326.062865,1.0,0.42,0.39,-8.97,-4.56,-25.0,35.38,15.0,-9.69,-74.06,1.6592514267093623,-0.8881236604507114,1.0175931070955857,-153.4604028099656,23.109005518751957,7.143680335170353,-0.0935,-0.9733,0.2003,0.0623
50,623472.0,326.06712000000005,1.0,-0.8,1.59,-8.95,-4.56,-25.0,35.38,-3.06,-46.69,-71.31,0.3475296558777592,-0.1438475554794406,0.6891321898135008,-155.3754969883622,20.506574164810864,8.751841754333862,-0.0893,-0.977,0.17800000000000002,0.0763
51,623472.0,326.06712000000005,1.0,-0.8,1.59,-8.95,-4.56,-25.0,35.38,-3.06,-46.69,-71.31,0.3475296558777592,-0.1438475554794406,0.6891321898135008,-155.3754969883622,20.506574164810864,8.751841754333862,-0.0893,-0.977,0.17800000000000002,0.0763
52,623509.0,326.109371,1.0,-1.39,0.64,-9.01,-1.56,-24.69,35.38,1.75,-4.06,-63.81,0.15645967322229698,-1.0826347438415382,0.7333252299897044,-156.98580474112185,18.80859962930239,9.154139652218912,-0.0822,-0.9799,0.1634,0.0798
53,623509.0,326.109371,1.0,-1.39,0.64,-9.01,-1.56,-24.69,35.38,1.75,-4.06,-63.81,0.15645967322229698,-1.0826347438415382,0.7333252299897044,-156.98580474112185,18.80859962930239,9.154139652218912,-0.0822,-0.9799,0.1634,0.0798
54,623544.0,326.20820699999996,1.0,-0.21,2.17,-9.92,-0.06,-24.69,34.56,-26.12,-31.75,-61.13,1.2612413589857938,0.5517713545898028,-0.2563624021904012,-158.04377345766537,16.396650200988272,10.52282880334764,-0.087,-0.9817,0.1426,0.0917
55,623544.0,326.20820699999996,1.0,-0.21,2.17,-9.92,-0.06,-24.69,34.56,-26.12,-31.75,-61.13,1.2612413589857938,0.5517713545898028,-0.2563624021904012,-158.04377345766537,16.396650200988272,10.52282880334764,-0.087,-0.9817,0.1426,0.0917
56,623579.0,326.21911800000004,1.0,-2.54,1.32,-7.57,-0.06,-24.69,34.56,22.12,-71.69,-58.75,-0.8983299856026344,-0.4226316841693365,1.7746337091485334,-158.16444882979192,14.950741939900693,12.7228682118641,-0.081,-0.9819,0.1301,0.1108
57,623579.0,326.21911800000004,1.0,-2.54,1.32,-7.57,-0.06,-24.69,34.56,22.12,-71.69,-58.75,-0.8983299856026344,-0.4226316841693365,1.7746337091485334,-158.16444882979192,14.950741939900693,12.7228682118641,-0.081,-0.9819,0.1301,0.1108
58,623613.0,326.26545,1.0,-1.48,-0.15,-9.2,2.06,-25.06,35.06,42.56,-42.88,-56.69,1.0662849376017642,-1.407119555481573,0.655915002830378,-159.0283735374385,13.045763563399612,14.569430825374987,-0.0648,-0.9833,0.1136,0.1268
59,623613.0,326.26545,1.0,-1.48,-0.15,-9.2,2.06,-25.06,35.06,42.56,-42.88,-56.69,1.0662849376017642,-1.407119555481573,0.655915002830378,-159.0283735374385,13.045763563399612,14.569430825374987,-0.0648,-0.9833,0.1136,0.1268
60,623648.0,326.346199,1.0,-0.95,-0.58,-10.62,5.06,-24.37,33.5,-14.31,-75.12,-54.56,2.329114445808623,-1.7054394409148281,-0.4739142944197212,-158.6538881524584,11.628070333672753,16.454539675361616,-0.0596,-0.9827,0.1013,0.1431
61,623648.0,326.346199,1.0,-0.95,-0.58,-10.62,5.06,-24.37,33.5,-14.31,-75.12,-54.56,2.329114445808623,-1.7054394409148281,-0.4739142944197212,-158.6538881524584,11.628070333672753,16.454539675361616,-0.0596,-0.9827,0.1013,0.1431
62,623685.0,326.350997,1.0,-2.87,1.4,-8.63,8.88,-24.25,34.69,-52.19,-93.56,-56.88,0.2119750615518165,-0.05554594530615875,0.6074227921721462,-156.30638493987288,9.464560757916416,20.20387293870638,-0.0676,-0.9787,0.0825,0.1754
63,623685.0,326.350997,1.0,-2.87,1.4,-8.63,8.88,-24.25,34.69,-52.19,-93.56,-56.88,0.2119750615518165,-0.05554594530615875,0.6074227921721462,-156.30638493987288,9.464560757916416,20.20387293870638,-0.0676,-0.9787,0.0825,0.1754
64,623720.0,326.354236,1.0,-2.42,-0.26,-8.8,8.88,-24.25,34.69,39.81,-45.75,-50.25,1.1541594541734093,-1.4427421800124525,0.8651506315296835,-155.591382770185,8.1313637329408,21.917240280609395,-0.0601,-0.9774,0.0709,0.1901
65,623720.0,326.354236,1.0,-2.42,-0.26,-8.8,8.88,-24.25,34.69,39.81,-45.75,-50.25,1.1541594541734093,-1.4427421800124525,0.8651506315296835,-155.591382770185,8.1313637329408,21.917240280609395,-0.0601,-0.9774,0.0709,0.1901
66,623757.0,326.402861,1.0,-3.15,-2.61,-8.97,11.88,-24.25,33.0,19.12,-37.13,-32.31,1.0142001322619794,-3.5493247109562795,0.6650313146732643,-154.9492208405226,7.028869316139517,23.49511329436541,-0.0434,-0.9762,0.0613,0.2036
67,623757.0,326.402861,1.0,-3.15,-2.61,-8.97,11.88,-24.25,33.0,19.12,-37.13,-32.31,1.0142001322619794,-3.5493247109562795,0.6650313146732643,-154.9492208405226,7.028869316139517,23.49511329436541,-0.0434,-0.9762,0.0613,0.2036
68,623792.0,326.418939,1.0,-3.01,-1.14,-9.09,14.19,-23.19,33.0,-26.5,-26.31,-20.44,1.1646322099940525,-2.105679809834411,0.4686874623850557,-154.27134430279997,6.282764679968377,24.38536915234885,-0.0456,-0.9749,0.0548,0.2112
69,623792.0,326.418939,1.0,-3.01,-1.14,-9.09,14.19,-23.19,33.0,-26.5,-26.31,-20.44,1.1646322099940525,-2.105679809834411,0.4686874623850557,-154.27134430279997,6.282764679968377,24.38536915234885,-0.0456,-0.9749,0.0548,0.2112
70,623826.0,326.425558,1.0,-3.77,-0.56,-8.53,14.19,-23.19,33.0,-9.63,-23.69,-1.88,0.35395313385534205,-1.6286762992890478,0.6137434579335519,-153.2614432071201,5.92702598542953,25.418065988790868,-0.0487,-0.9729,0.0517,0.22
71,623826.0,326.425558,1.0,-3.77,-0.56,-8.53,14.19,-23.19,33.0,-9.63,-23.69,-1.88,0.35395313385534205,-1.6286762992890478,0.6137434579335519,-153.2614432071201,5.92702598542953,25.418065988790868,-0.0487,-0.9729,0.0517,0.22
72,623861.0,326.479679,1.0,-4.24,-0.35,-8.34,17.19,-24.0,31.75,5.19,-23.37,-1.25,-0.03753720932251461,-1.4498023759736254,0.5571979065764392,-152.52794284369597,5.250129975900072,26.288094094940124,-0.0496,-0.9714,0.0458,0.2274
73,623861.0,326.479679,1.0,-4.24,-0.35,-8.34,17.19,-24.0,31.75,5.19,-23.37,-1.25,-0.03753720932251461,-1.4498023759736254,0.5571979065764392,-152.52794284369597,5.250129975900072,26.288094094940124,-0.0496,-0.9714,0.0458,0.2274
74,623898.0,326.489408,1.0,-3.93,0.63,-9.1,17.19,-23.19,31.37,-12.31,-11.88,6.06,0.5813401334690026,-0.525413658185858,-0.09475313980851753,-152.19213918576153,4.89454770282183,26.676574330601248,-0.0515,-0.9707,0.0427,0.2307
75,623898.0,326.489408,1.0,-3.93,0.63,-9.1,17.19,-23.19,31.37,-12.31,-11.88,6.06,0.5813401334690026,-0.525413658185858,-0.09475313980851753,-152.19213918576153,4.89454770282183,26.676574330601248,-0.0515,-0.9707,0.0427,0.2307
76,623933.0,326.534181,1.0,-4.47,1.06,-8.56,17.19,-23.19,31.37,0.88,-32.0,5.31,-0.046311196124095164,-0.14867234504338528,0.09305891292345514,-151.43912137388486,5.0551272004985615,27.395500797517954,-0.0532,-0.9691,0.0441,0.2368
77,623933.0,326.534181,1.0,-4.47,1.06,-8.56,17.19,-23.19,31.37,0.88,-32.0,5.31,-0.046311196124095164,-0.14867234504338528,0.09305891292345514,-151.43912137388486,5.0551272004985615,27.395500797517954,-0.0532,-0.9691,0.0441,0.2368
78,623968.0,326.55237999999997,1.0,-5.41,0.09,-7.58,17.87,-24.0,31.37,10.25,-13.69,4.19,-1.133756202090191,-1.0789640381524188,0.6260708527677359,-150.65977940351803,4.89454770282183,28.28093937794029,-0.0508,-0.9674,0.0427,0.2443
79,623968.0,326.55237999999997,1.0,-5.41,0.09,-7.58,17.87,-24.0,31.37,10.25,-13.69,4.19,-1.133756202090191,-1.0789640381524188,0.6260708527677359,-150.65977940351803,4.89454770282183,28.28093937794029,-0.0508,-0.9674,0.0427,0.2443
80,624003.0,326.596106,1.0,-5.3,0.2,-7.11,17.87,-23.19,32.25,-5.0,2.0,3.38,-1.2725380472747605,-0.9309036983531492,1.0776085163873486,-150.70506138327715,4.745446786894516,28.257305549296962,-0.0519,-0.9675,0.0414,0.2441
81,624003.0,326.596106,1.0,-5.3,0.2,-7.11,17.87,-23.19,32.25,-5.0,2.0,3.38,-1.2725380472747605,-0.9309036983531492,1.0776085163873486,-150.70506138327715,4.745446786894516,28.257305549296962,-0.0519,-0.9675,0.0414,0.2441
82,624039.0,326.660608,1.0,-4.45,0.99,-8.21,18.25,-23.56,30.69,-11.06,11.69,6.38,-0.11111494316380324,-0.1928204837610547,0.41850994296805055,-151.06981274894218,4.4587366294239885,27.832105272694303,-0.055,-0.9683,0.0389,0.2405
83,624039.0,326.660608,1.0,-4.45,0.99,-8.21,18.25,-23.56,30.69,-11.06,11.69,6.38,-0.11111494316380324,-0.1928204837610547,0.41850994296805055,-151.06981274894218,4.4587366294239885,27.832105272694303,-0.055,-0.9683,0.0389,0.2405
84,624072.0,326.678359,1.0,-4.77,0.58,-8.39,18.25,-23.56,30.69,7.06,3.31,2.5,-0.3187514267975761,-0.6332013052709127,0.16409568929385365,-151.2538864729402,4.6192907619204595,27.65505415801313,-0.0538,-0.9687,0.0403,0.239
85,624072.0,326.678359,1.0,-4.77,0.58,-8.39,18.25,-23.56,30.69,7.06,3.31,2.5,-0.3187514267975761,-0.6332013052709127,0.16409568929385365,-151.2538864729402,4.6192907619204595,27.65505415801313,-0.0538,-0.9687,0.0403,0.239
86,624109.0,326.73647400000004,1.0,-4.7,0.74,-8.51,16.75,-22.5,31.06,-2.69,7.63,1.81,-0.23944246177870815,-0.4674176232279778,0.07105099054027164,-151.43912137388486,4.4587366294239885,27.478070348739482,-0.0536,-0.9691,0.0389,0.2375
87,624109.0,326.73647400000004,1.0,-4.7,0.74,-8.51,16.75,-22.5,31.06,-2.69,7.63,1.81,-0.23944246177870815,-0.4674176232279778,0.07105099054027164,-151.43912137388486,4.4587366294239885,27.478070348739482,-0.0536,-0.9691,0.0389,0.2375
