,TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
0,946649.0,649.8740730000001,1.0,7.02,-3.21,5.86,-17.87,16.37,-39.88,1.94,6.44,2.75,-0.10021300362684303,0.007724352053279038,0.11572653067627135,-16.269308165184984,50.187419272308674,-76.26760036880688,-0.6472,-0.1415,0.4241,-0.6175
1,946649.0,649.8740730000001,1.0,7.02,-3.21,5.86,-17.87,16.37,-39.88,1.94,6.44,2.75,-0.10021300362684303,0.007724352053279038,0.11572653067627135,-16.269308165184984,50.187419272308674,-76.26760036880688,-0.6472,-0.1415,0.4241,-0.6175
2,946683.0,649.877074,1.0,6.66,-2.88,6.31,-17.19,16.75,-38.69,2.75,8.81,2.69,-0.5190683204729112,0.4600607926009945,0.21576828110716484,-16.1419863535435,49.959762980286655,-76.44252722312795,-0.6475,-0.1404,0.4223,-0.6187
3,946683.0,649.877074,1.0,6.66,-2.88,6.31,-17.19,16.75,-38.69,2.75,8.81,2.69,-0.5190683204729112,0.4600607926009945,0.21576828110716484,-16.1419863535435,49.959762980286655,-76.44252722312795,-0.6475,-0.1404,0.4223,-0.6187
4,946718.0,649.93743,1.0,6.83,-3.19,5.93,-17.19,16.75,-38.69,14.38,17.19,4.75,-0.0602348427403826,0.032969425984366474,0.21575928116317836,-16.014684599323402,49.27805128980349,-76.88076806545367,-0.6483,-0.1393,0.4169,-0.6217
5,946718.0,649.93743,1.0,6.83,-3.19,5.93,-17.19,16.75,-38.69,14.38,17.19,4.75,-0.0602348427403826,0.032969425984366474,0.21575928116317836,-16.014684599323402,49.27805128980349,-76.88076806545367,-0.6483,-0.1393,0.4169,-0.6217
6,946753.0,649.941155,1.0,6.82,-3.26,5.97,-17.56,16.75,-38.69,11.5,14.56,4.06,0.02656110314914295,-0.0018589344841013489,0.1744025440755994,-15.910543420989347,48.76169642019097,-77.27632517522541,-0.6486,-0.1384,0.4128,-0.6244
7,946753.0,649.941155,1.0,6.82,-3.26,5.97,-17.56,16.75,-38.69,11.5,14.56,4.06,0.02656110314914295,-0.0018589344841013489,0.1744025440755994,-15.910543420989347,48.76169642019097,-77.27632517522541,-0.6486,-0.1384,0.4128,-0.6244
8,946790.0,649.9483799999999,1.0,6.8,-3.31,6.07,-16.37,16.37,-41.06,4.31,18.5,0.81,0.0783364302524413,-0.026428400890168516,0.1095285228129832,-15.598198868035936,48.120868117186305,-77.5847366999739,-0.6503,-0.1357,0.4077,-0.6265
9,946790.0,649.9483799999999,1.0,6.8,-3.31,6.07,-16.37,16.37,-41.06,4.31,18.5,0.81,0.0783364302524413,-0.026428400890168516,0.1095285228129832,-15.598198868035936,48.120868117186305,-77.5847366999739,-0.6503,-0.1357,0.4077,-0.6265
10,946825.0,650.013803,1.0,6.86,-2.94,6.33,-16.37,16.37,-41.06,4.56,16.37,5.13,-0.3542256925811531,-0.03982122266782362,0.026821860971141483,-15.29753283007483,47.74465793118145,-77.79071544905813,-0.6513,-0.1331,0.4047,-0.6279
11,946825.0,650.013803,1.0,6.86,-2.94,6.33,-16.37,16.37,-41.06,4.56,16.37,5.13,-0.3542256925811531,-0.03982122266782362,0.026821860971141483,-15.29753283007483,47.74465793118145,-77.79071544905813,-0.6513,-0.1331,0.4047,-0.6279
12,946857.0,650.03174,1.0,7.14,-2.92,6.08,-16.37,16.37,-40.69,9.38,19.62,-3.5,-0.2449034651058588,-0.5314233500585117,0.002058651259771338,-15.089441590206313,46.98137369898728,-78.05598509412033,-0.6537,-0.1313,0.3986,-0.6297
13,946857.0,650.03174,1.0,7.14,-2.92,6.08,-16.37,16.37,-40.69,9.38,19.62,-3.5,-0.2449034651058588,-0.5314233500585117,0.002058651259771338,-15.089441590206313,46.98137369898728,-78.05598509412033,-0.6537,-0.1313,0.3986,-0.6297
14,946894.0,650.0934570000001,1.0,7.29,-3.15,6.01,-15.69,16.37,-41.56,11.5,2.06,-3.69,0.043800305946746665,-0.6851690888092409,-0.12890860799679693,-15.216602467156429,46.54442190080458,-78.15927995925256,-0.655,-0.1324,0.3951,-0.6304
15,946894.0,650.0934570000001,1.0,7.29,-3.15,6.01,-15.69,16.37,-41.56,11.5,2.06,-3.69,0.043800305946746665,-0.6851690888092409,-0.12890860799679693,-15.216602467156429,46.54442190080458,-78.15927995925256,-0.655,-0.1324,0.3951,-0.6304
16,946929.0,650.1395650000001,1.0,8.91,-2.64,5.1,-14.56,16.0,-40.69,-1.63,-26.31,-7.69,-0.2808683026242376,-2.389257989982198,-0.517121561492786,-15.979969398223385,47.04385436374432,-77.92328819790765,-0.6526,-0.139,0.3991,-0.6288
