TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1314584.0,1212.935011,1.0,1.26,3.68,8.76,15.38,-12.25,-41.5,2.88,-0.5,-3.13,-0.15809310498419815,0.004461163704455373,0.22319620357697545,-21.74218613420642,-7.8097295337257515,-78.02648613919354,-0.7507,-0.1886,-0.0681,-0.6295,0
1314584.0,1212.935011,1.0,1.26,3.68,8.76,15.38,-12.25,-41.5,2.88,-0.5,-3.13,-0.15809310498419815,0.004461163704455373,0.22319620357697545,-21.74218613420642,-7.8097295337257515,-78.02648613919354,-0.7507,-0.1886,-0.0681,-0.6295,0
1314619.0,1212.938626,1.0,1.24,3.48,9.11,15.38,-12.69,-41.19,4.06,-0.81,0.06,0.16177479691558905,0.12575003324507072,-0.02178404842408277,-21.847212431989455,-7.878645873813734,-77.98224923808431,-0.7507,-0.1895,-0.0687,-0.6292,0
1314619.0,1212.938626,1.0,1.24,3.48,9.11,15.38,-12.69,-41.19,4.06,-0.81,0.06,0.16177479691558905,0.12575003324507072,-0.02178404842408277,-21.847212431989455,-7.878645873813734,-77.98224923808431,-0.7507,-0.1895,-0.0687,-0.6292,0
1314652.0,1213.015574,1.0,1.34,3.08,9.05,15.38,-12.69,-41.19,3.69,1.5,4.75,0.552334059101301,0.07531279731382146,0.16954695656845864,-21.95225731085251,-7.982025743589274,-78.02648613919354,-0.7501,-0.1904,-0.0696,-0.6295,0
1314652.0,1213.015574,1.0,1.34,3.08,9.05,15.38,-12.69,-41.19,3.69,1.5,4.75,0.552334059101301,0.07531279731382146,0.16954695656845864,-21.95225731085251,-7.982025743589274,-78.02648613919354,-0.7501,-0.1904,-0.0696,-0.6295,0
1314686.0,1213.02406,1.0,1.54,3.71,8.97,15.38,-13.38,-40.69,-9.63,-1.44,5.25,-0.04317603212601451,-0.213786239090473,-0.019286661419380735,-21.858883165817783,-7.867159619602529,-78.23310832001326,-0.7492,-0.1896,-0.0686,-0.6309,0
1314686.0,1213.02406,1.0,1.54,3.71,8.97,15.38,-13.38,-40.69,-9.63,-1.44,5.25,-0.04317603212601451,-0.213786239090473,-0.019286661419380735,-21.858883165817783,-7.867159619602529,-78.23310832001326,-0.7492,-0.1896,-0.0686,-0.6309,0
1314723.0,1213.087901,1.0,1.76,3.73,8.83,15.0,-12.69,-40.38,4.63,-13.44,4.0,-0.09179195804702767,-0.41046863072706374,0.06999298952525734,-21.975603150496873,-7.580028689727107,-78.29219886729086,-0.7488,-0.1906,-0.0661,-0.6313,0
1314723.0,1213.087901,1.0,1.76,3.73,8.83,15.0,-12.69,-40.38,4.63,-13.44,4.0,-0.09179195804702767,-0.41046863072706374,0.06999298952525734,-21.975603150496873,-7.580028689727107,-78.29219886729086,-0.7488,-0.1906,-0.0661,-0.6313,0
1314760.0,1213.095316,1.0,2.1,3.94,9.09,15.0,-12.69,-40.38,3.5,-19.5,3.38,-0.1212084252318329,-0.6108890538906167,-0.3014568000634732,-22.466080778094224,-7.2240523141440205,-78.24787863308072,-0.7483,-0.1948,-0.063,-0.631,0
1314760.0,1213.095316,1.0,2.1,3.94,9.09,15.0,-12.69,-40.38,3.5,-19.5,3.38,-0.1212084252318329,-0.6108890538906167,-0.3014568000634732,-22.466080778094224,-7.2240523141440205,-78.24787863308072,-0.7483,-0.1948,-0.063,-0.631,0
1314793.0,1213.162049,1.0,3.86,4.63,8.23,15.38,-11.88,-39.88,14.25,-31.69,28.44,-0.7313044556698763,-2.3954470245419,-0.08255761971002151,-23.22597958095469,-6.569694717687417,-78.72135037210387,-0.7443,-0.2013,-0.0573,-0.6342,0
1314793.0,1213.162049,1.0,3.86,4.63,8.23,15.38,-11.88,-39.88,14.25,-31.69,28.44,-0.7313044556698763,-2.3954470245419,-0.08255761971002151,-23.22597958095469,-6.569694717687417,-78.72135037210387,-0.7443,-0.2013,-0.0573,-0.6342,0
1314828.0,1213.180907,1.0,4.6,5.36,8.64,13.5,-13.0,-42.0,16.19,-75.87,10.19,-1.0594739205818962,-2.597793996002353,-0.9946546140705106,-25.476804175852635,-4.9518964029981625,-78.48441476201302,-0.7411,-0.2205,-0.0432,-0.6326,0
1314828.0,1213.180907,1.0,4.6,5.36,8.64,13.5,-13.0,-42.0,16.19,-75.87,10.19,-1.0594739205818962,-2.597793996002353,-0.9946546140705106,-25.476804175852635,-4.9518964029981625,-78.48441476201302,-0.7411,-0.2205,-0.0432,-0.6326,0
1314865.0,1213.185479,1.0,6.46,5.69,8.52,10.88,-13.0,-42.0,63.88,-122.81,-63.31,-0.6475594994920741,-3.916885406166523,-1.6361108298686933,-28.505522169511824,-3.644626018390771,-76.34046104575957,-0.746,-0.2462,-0.0318,-0.618,0
1314865.0,1213.185479,1.0,6.46,5.69,8.52,10.88,-13.0,-42.0,63.88,-122.81,-63.31,-0.6475594994920741,-3.916885406166523,-1.6361108298686933,-28.505522169511824,-3.644626018390771,-76.34046104575957,-0.746,-0.2462,-0.0318,-0.618,0
1314899.0,1213.228352,1.0,6.84,5.12,8.94,10.88,-13.0,-42.0,67.94,-158.69,-118.25,1.123937277405244,-3.059980577475941,-2.1221757536913035,-34.30308206548676,-1.9137679978932431,-70.26931004748687,-0.7626,-0.2949,-0.0167,-0.5755,0
1314899.0,1213.228352,1.0,6.84,5.12,8.94,10.88,-13.0,-42.0,67.94,-158.69,-118.25,1.123937277405244,-3.059980577475941,-2.1221757536913035,-34.30308206548676,-1.9137679978932431,-70.26931004748687,-0.7626,-0.2949,-0.0167,-0.5755,0
1314936.0,1213.294024,1.0,6.28,4.79,8.17,7.06,-14.88,-41.56,84.44,-225.5,-108.75,1.635156493797412,-1.7668278246960707,-1.299023445526478,-39.912193788917286,0.41253050356335247,-64.86423446267784,-0.772,-0.3413,0.0036,-0.5363,0
1314936.0,1213.294024,1.0,6.28,4.79,8.17,7.06,-14.88,-41.56,84.44,-225.5,-108.75,1.635156493797412,-1.7668278246960707,-1.299023445526478,-39.912193788917286,0.41253050356335247,-64.86423446267784,-0.772,-0.3413,0.0036,-0.5363,0
1314973.0,1213.315751,1.0,6.72,7.16,7.61,0.37,-17.5,-42.06,47.75,-264.44,-127.44,0.45819663679797196,-1.353308873800997,-2.5341243247382366,-46.943892407350866,5.192774664418371,-56.27641242483391,-0.7855,-0.3983,0.0453,-0.4716,0
1314973.0,1213.315751,1.0,6.72,7.16,7.61,0.37,-17.5,-42.06,47.75,-264.44,-127.44,0.45819663679797196,-1.353308873800997,-2.5341243247382366,-46.943892407350866,5.192774664418371,-56.27641242483391,-0.7855,-0.3983,0.0453,-0.4716,0
1315010.0,1213.365484,1.0,7.03,7.94,6.43,0.37,-17.5,-42.06,130.69,-246.75,-81.62,0.29147651334513514,-1.1140480948672669,-2.5417644036589078,-53.500200054022216,8.579461739762628,-50.45328632935345,-0.7811,-0.4501,0.0748,-0.4262,0
1315010.0,1213.365484,1.0,7.03,7.94,6.43,0.37,-17.5,-42.06,130.69,-246.75,-81.62,0.29147651334513514,-1.1140480948672669,-2.5417644036589078,-53.500200054022216,8.579461739762628,-50.45328632935345,-0.7811,-0.4501,0.0748,-0.4262,0
1315045.0,1213.384007,1.0,6.44,7.46,5.19,-7.88,-18.56,-40.06,57.13,-252.25,-109.62,0.5791812145106355,0.03364564408755211,-1.3165112903612943,-61.420935291391,12.780520582262026,-42.67980499317124,-0.7709,-0.5107,0.1113,-0.3639,0
1315045.0,1213.384007,1.0,6.44,7.46,5.19,-7.88,-18.56,-40.06,57.13,-252.25,-109.62,0.5791812145106355,0.03364564408755211,-1.3165112903612943,-61.420935291391,12.780520582262026,-42.67980499317124,-0.7709,-0.5107,0.1113,-0.3639,0
1315080.0,1213.439772,1.0,6.38,9.08,4.33,-16.06,-23.69,-34.0,102.06,-226.56,-83.12,-0.16676999581128915,0.5221057122643638,-2.092900134089861,-68.4854543216403,16.732468293463864,-35.16755548021839,-0.7556,-0.5627,0.1455,-0.3021,0
1315080.0,1213.439772,1.0,6.38,9.08,4.33,-16.06,-23.69,-34.0,102.06,-226.56,-83.12,-0.16676999581128915,0.5221057122643638,-2.092900134089861,-68.4854543216403,16.732468293463864,-35.16755548021839,-0.7556,-0.5627,0.1455,-0.3021,0
1315117.0,1213.481858,1.0,5.55,9.62,3.64,-22.56,-27.56,-28.06,78.75,-225.75,-75.37,-0.9742697395592126,1.1304832521378092,-1.785127520778044,-73.58231300844332,19.691932497848978,-30.163859528562902,-0.7378,-0.5989,0.171,-0.2602,0
1315117.0,1213.481858,1.0,5.55,9.62,3.64,-22.56,-27.56,-28.06,78.75,-225.75,-75.37,-0.9742697395592126,1.1304832521378092,-1.785127520778044,-73.58231300844332,19.691932497848978,-30.163859528562902,-0.7378,-0.5989,0.171,-0.2602,0
