TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
334299.0,395.60208,1.0,8.19,4.87,-2.67,-24.25,-36.38,8.0,0.81,0.69,-0.06,-0.243276544178339,-0.018206257261621506,-0.0858918904975674,-101.12175699059142,-18.762140123042595,-71.0981430834236,-0.1974,-0.7723,-0.163,-0.5814,0
334299.0,395.60208,1.0,8.19,4.87,-2.67,-24.25,-36.38,8.0,0.81,0.69,-0.06,-0.243276544178339,-0.018206257261621506,-0.0858918904975674,-101.12175699059142,-18.762140123042595,-71.0981430834236,-0.1974,-0.7723,-0.163,-0.5814,0
334333.0,395.607,1.0,8.24,4.9,-2.55,-24.69,-34.88,7.19,0.81,0.12,1.94,-0.11382204006342111,0.004150028709931863,-0.11288261602871863,-101.12175699059142,-18.762140123042595,-71.11222790088254,-0.197,-0.7723,-0.163,-0.5815,0
334333.0,395.607,1.0,8.24,4.9,-2.55,-24.69,-34.88,7.19,0.81,0.12,1.94,-0.11382204006342111,0.004150028709931863,-0.11288261602871863,-101.12175699059142,-18.762140123042595,-71.11222790088254,-0.197,-0.7723,-0.163,-0.5815,0
334368.0,395.629187,1.0,8.12,4.81,-2.46,-24.69,-34.88,7.19,1.31,-0.56,0.19,-0.057364128267140546,6.045052511538529e-05,0.053762768357573876,-101.15784107033816,-18.75052573300884,-71.0981430834236,-0.1967,-0.7725,-0.1629,-0.5814,0
334368.0,395.629187,1.0,8.12,4.81,-2.46,-24.69,-34.88,7.19,1.31,-0.56,0.19,-0.057364128267140546,6.045052511538529e-05,0.053762768357573876,-101.15784107033816,-18.75052573300884,-71.0981430834236,-0.1967,-0.7725,-0.1629,-0.5814,0
334401.0,395.658213,1.0,8.08,4.84,-2.58,-24.69,-36.0,8.5,1.12,0.75,0.25,-0.18118089210839716,0.031362915484324905,0.042706644374305824,-101.15784107033816,-18.785369486689323,-71.0981430834236,-0.1965,-0.7725,-0.1632,-0.5814,0
334401.0,395.658213,1.0,8.08,4.84,-2.58,-24.69,-36.0,8.5,1.12,0.75,0.25,-0.18118089210839716,0.031362915484324905,0.042706644374305824,-101.15784107033816,-18.785369486689323,-71.0981430834236,-0.1965,-0.7725,-0.1632,-0.5814,0
334436.0,395.696997,1.0,8.13,4.87,-2.4,-25.06,-35.56,7.19,1.5,0.06,0.94,0.010629514365600445,0.058870237995172214,0.030647682666868903,-101.17588829449862,-18.796984460560502,-71.08405950295474,-0.1961,-0.7726,-0.1633,-0.5813,0
334436.0,395.696997,1.0,8.13,4.87,-2.4,-25.06,-35.56,7.19,1.5,0.06,0.94,0.010629514365600445,0.058870237995172214,0.030647682666868903,-101.17588829449862,-18.796984460560502,-71.08405950295474,-0.1961,-0.7726,-0.1633,-0.5813,0
334473.0,395.734887,1.0,8.18,4.88,-2.51,-25.06,-36.0,7.56,1.31,0.56,0.5,-0.08016098787208842,0.03568611993123261,-0.043182522275069246,-101.17588829449862,-18.831830551914916,-71.0981430834236,-0.1956,-0.7726,-0.1636,-0.5814,0
334473.0,395.734887,1.0,8.18,4.88,-2.51,-25.06,-36.0,7.56,1.31,0.56,0.5,-0.08016098787208842,0.03568611993123261,-0.043182522275069246,-101.17588829449862,-18.831830551914916,-71.0981430834236,-0.1956,-0.7726,-0.1636,-0.5814,0
334505.0,395.784091,1.0,8.13,4.76,-2.57,-25.06,-36.0,7.56,1.44,1.12,-0.12,-0.15460310439342584,-0.05025932354510543,0.04278949912695751,-101.17588829449862,-18.855062255560348,-71.11222790088254,-0.1954,-0.7726,-0.1638,-0.5815,0
334505.0,395.784091,1.0,8.13,4.76,-2.57,-25.06,-36.0,7.56,1.44,1.12,-0.12,-0.15460310439342584,-0.05025932354510543,0.04278949912695751,-101.17588829449862,-18.855062255560348,-71.11222790088254,-0.1954,-0.7726,-0.1638,-0.5815,0
334542.0,395.792336,1.0,8.3,4.75,-2.55,-24.69,-36.0,7.19,1.19,0.63,0.37,-0.09433474042516254,-0.13274404277362972,-0.08923197059044341,-101.13979730318007,-18.878294741272413,-71.1544897805901,-0.1949,-0.7724,-0.164,-0.5818,0
334542.0,395.792336,1.0,8.3,4.75,-2.55,-24.69,-36.0,7.19,1.19,0.63,0.37,-0.09433474042516254,-0.13274404277362972,-0.08923197059044341,-101.13979730318007,-18.878294741272413,-71.1544897805901,-0.1949,-0.7724,-0.164,-0.5818,0
334577.0,395.851707,1.0,8.2,4.72,-2.52,-25.75,-36.0,8.06,0.69,1.0,-0.37,-0.09515657319269316,-0.10718394648829443,0.016437702598404158,-101.12175699059142,-18.88991127772655,-71.16857955140104,-0.1948,-0.7723,-0.1641,-0.5819,0
334577.0,395.851707,1.0,8.2,4.72,-2.52,-25.75,-36.0,8.06,0.69,1.0,-0.37,-0.09515657319269316,-0.10718394648829443,0.016437702598404158,-101.12175699059142,-18.88991127772655,-71.16857955140104,-0.1948,-0.7723,-0.1641,-0.5819,0
334614.0,395.85506,1.0,8.24,4.76,-2.61,-25.75,-36.0,8.06,-0.25,-2.0,1.12,-0.1668904233469562,-0.09880363547808813,-0.058930845961956635,-101.15784107033816,-18.86667840059343,-71.1544897805901,-0.1948,-0.7725,-0.1639,-0.5818,0
334614.0,395.85506,1.0,8.24,4.76,-2.61,-25.75,-36.0,8.06,-0.25,-2.0,1.12,-0.1668904233469562,-0.09880363547808813,-0.058930845961956635,-101.15784107033816,-18.86667840059343,-71.1544897805901,-0.1948,-0.7725,-0.1639,-0.5818,0
334647.0,395.896507,1.0,8.15,4.72,-2.74,-25.37,-36.0,6.75,1.31,-1.44,0.25,-0.3072160336260143,-0.10188020404485432,0.003398563221136186,-101.21199312357183,-18.86667840059343,-71.0981430834236,-0.1946,-0.7728,-0.1639,-0.5814,0
334647.0,395.896507,1.0,8.15,4.72,-2.74,-25.37,-36.0,6.75,1.31,-1.44,0.25,-0.3072160336260143,-0.10188020404485432,0.003398563221136186,-101.21199312357183,-18.86667840059343,-71.0981430834236,-0.1946,-0.7728,-0.1639,-0.5814,0
334684.0,395.936551,1.0,8.05,4.71,-2.56,-25.06,-36.0,7.56,0.44,-1.12,0.19,-0.14590649277258155,-0.04099176501781754,0.1362192458625433,-101.30231586461943,-18.84344630604392,-70.9995839667978,-0.1946,-0.7733,-0.1637,-0.5807,0
334684.0,395.936551,1.0,8.05,4.71,-2.56,-25.06,-36.0,7.56,0.44,-1.12,0.19,-0.14590649277258155,-0.04099176501781754,0.1362192458625433,-101.30231586461943,-18.84344630604392,-70.9995839667978,-0.1946,-0.7733,-0.1637,-0.5807,0
334718.0,395.969478,1.0,7.93,4.57,-2.66,-25.06,-36.0,7.56,-0.06,1.19,-1.06,-0.27624162815389586,-0.11792581906869959,0.28009846945801264,-101.32039083270725,-18.84344630604392,-70.98550903019819,-0.1947,-0.7734,-0.1637,-0.5806,0
334718.0,395.969478,1.0,7.93,4.57,-2.66,-25.06,-36.0,7.56,-0.06,1.19,-1.06,-0.27624162815389586,-0.11792581906869959,0.28009846945801264,-101.32039083270725,-18.84344630604392,-70.98550903019819,-0.1947,-0.7734,-0.1637,-0.5806,0
