TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
669741.0,731.605463,1.0,4.46,0.96,-8.85,-14.88,-16.19,31.69,2.31,-0.5,0.56,-0.012090201459477649,-0.11390762269119781,-0.1493822860325036,-152.04943428155016,-5.192774664418371,-26.923951406435997,-0.0447,-0.9704,-0.0453,-0.2328,0
669741.0,731.605463,1.0,4.46,0.96,-8.85,-14.88,-16.19,31.69,2.31,-0.5,0.56,-0.012090201459477649,-0.11390762269119781,-0.1493822860325036,-152.04943428155016,-5.192774664418371,-26.923951406435997,-0.0447,-0.9704,-0.0453,-0.2328,0
669777.0,731.644579,1.0,4.48,0.94,-8.95,-15.69,-16.56,31.69,1.0,0.94,1.5,-0.04498626671929115,-0.1359857579488925,-0.2450157380476874,-152.04943428155016,-5.181303758795193,-26.94751777725,-0.0444,-0.9704,-0.0452,-0.233,0
669777.0,731.644579,1.0,4.48,0.94,-8.95,-15.69,-16.56,31.69,1.0,0.94,1.5,-0.04498626671929115,-0.1359857579488925,-0.2450157380476874,-152.04943428155016,-5.181303758795193,-26.94751777725,-0.0444,-0.9704,-0.0452,-0.233,0
669812.0,731.677258,1.0,4.43,1.06,-8.67,-14.5,-16.19,30.87,0.19,-0.81,1.69,0.05042577277445305,0.015103747693775205,0.013048562416088316,-152.09692309623645,-5.112479412053579,-26.923951406435997,-0.0441,-0.9705,-0.0446,-0.2328,0
669812.0,731.677258,1.0,4.43,1.06,-8.67,-14.5,-16.19,30.87,0.19,-0.81,1.69,0.05042577277445305,0.015103747693775205,0.013048562416088316,-152.09692309623645,-5.112479412053579,-26.923951406435997,-0.0441,-0.9705,-0.0446,-0.2328,0
669847.0,731.769399,1.0,4.6,0.81,-8.72,-14.5,-16.19,30.87,1.44,-0.81,2.75,0.16228819261145472,-0.24044830191804079,-0.08123891304122921,-152.09692309623645,-5.0551272004985615,-26.923951406435997,-0.0435,-0.9705,-0.0441,-0.2328,0
669847.0,731.769399,1.0,4.6,0.81,-8.72,-14.5,-16.19,30.87,1.44,-0.81,2.75,0.16228819261145472,-0.24044830191804079,-0.08123891304122921,-152.09692309623645,-5.0551272004985615,-26.923951406435997,-0.0435,-0.9705,-0.0441,-0.2328,0
669880.0,731.77529,1.0,4.82,0.13,-8.86,-14.5,-16.19,30.87,1.88,0.0,6.31,0.25443069340668467,-0.916767600788496,-0.23544650363892217,-152.19213918576153,-4.8486696265391345,-26.912168656137837,-0.0424,-0.9707,-0.0423,-0.2327,0
669880.0,731.77529,1.0,4.82,0.13,-8.86,-14.5,-16.19,30.87,1.88,0.0,6.31,0.25443069340668467,-0.916767600788496,-0.23544650363892217,-152.19213918576153,-4.8486696265391345,-26.912168656137837,-0.0424,-0.9707,-0.0423,-0.2327,0
669917.0,731.806228,1.0,5.58,-1.38,-8.87,-14.88,-15.75,33.0,-4.88,-2.69,17.12,0.8494942682837412,-2.44946523396729,-0.4401143456721801,-152.28767595523584,-4.435801047006329,-26.88860402502931,-0.0413,-0.9709,-0.0387,-0.2325,0
669917.0,731.806228,1.0,5.58,-1.38,-8.87,-14.88,-15.75,33.0,-4.88,-2.69,17.12,0.8494942682837412,-2.44946523396729,-0.4401143456721801,-152.28767595523584,-4.435801047006329,-26.88860402502931,-0.0413,-0.9709,-0.0387,-0.2325,0
669952.0,731.819721,1.0,4.62,-1.49,-8.27,-14.88,-15.75,33.0,-22.06,-12.38,24.94,0.350931954089407,-2.466664477171031,0.5465305018152407,-152.67309729035,-3.369477361207863,-26.594143494418116,-0.0458,-0.9717,-0.0294,-0.23,0
669952.0,731.819721,1.0,4.62,-1.49,-8.27,-14.88,-15.75,33.0,-22.06,-12.38,24.94,0.350931954089407,-2.466664477171031,0.5465305018152407,-152.67309729035,-3.369477361207863,-26.594143494418116,-0.0458,-0.9717,-0.0294,-0.23,0
669986.0,731.853324,1.0,3.89,-1.26,-7.55,-14.88,-15.38,31.25,-46.56,-4.19,32.63,0.07072481216862395,-2.1753489444777965,1.5009257708491752,-152.67309729035,-2.2002931334350637,-26.582368805630423,-0.0513,-0.9717,-0.0192,-0.2299,0
669986.0,731.853324,1.0,3.89,-1.26,-7.55,-14.88,-15.38,31.25,-46.56,-4.19,32.63,0.07072481216862395,-2.1753489444777965,1.5009257708491752,-152.67309729035,-2.2002931334350637,-26.582368805630423,-0.0513,-0.9717,-0.0192,-0.2299,0
670023.0,731.892029,1.0,4.93,-0.53,-8.09,-14.88,-16.19,32.06,-69.87,20.44,44.25,0.6990558699089827,-1.7834208778875693,0.5133927204956539,-151.53218134606593,-0.10313241704642769,-27.277569433768978,-0.0696,-0.9693,-0.0009,-0.2358,0
670023.0,731.892029,1.0,4.93,-0.53,-8.09,-14.88,-16.19,32.06,-69.87,20.44,44.25,0.6990558699089827,-1.7834208778875693,0.5133927204956539,-151.53218134606593,-0.10313241704642769,-27.277569433768978,-0.0696,-0.9693,-0.0009,-0.2358,0
670058.0,731.927272,1.0,4.71,0.28,-7.48,-16.37,-17.25,30.0,-79.69,19.25,57.38,0.66087628905407,-1.0602553135071586,1.0515371394626793,-150.2106621453537,2.085681528609333,-27.997414145218112,-0.0858,-0.9664,0.0182,-0.2419,0
670058.0,731.927272,1.0,4.71,0.28,-7.48,-16.37,-17.25,30.0,-79.69,19.25,57.38,0.66087628905407,-1.0602553135071586,1.0515371394626793,-150.2106621453537,2.085681528609333,-27.997414145218112,-0.0858,-0.9664,0.0182,-0.2419,0
670093.0,731.972981,1.0,4.54,1.31,-7.56,-16.37,-17.25,30.0,-92.69,21.81,65.56,0.20318548413227047,-0.34761928248699414,0.900518601155655,-147.80861501075393,5.204245622111723,-29.002366759572602,-0.1098,-0.9608,0.0454,-0.2504,0
670093.0,731.972981,1.0,4.54,1.31,-7.56,-16.37,-17.25,30.0,-92.69,21.81,65.56,0.20318548413227047,-0.34761928248699414,0.900518601155655,-147.80861501075393,5.204245622111723,-29.002366759572602,-0.1098,-0.9608,0.0454,-0.2504,0
670128.0,732.003278,1.0,4.48,2.16,-7.19,-17.19,-18.06,30.37,-85.31,47.75,63.25,-0.03111052532391593,0.34607772194099806,1.0710125106355157,-145.4536804163923,7.56854445586477,-30.151991743632966,-0.1272,-0.9549,0.066,-0.2601,0
670128.0,732.003278,1.0,4.48,2.16,-7.19,-17.19,-18.06,30.37,-85.31,47.75,63.25,-0.03111052532391593,0.34607772194099806,1.0710125106355157,-145.4536804163923,7.56854445586477,-30.151991743632966,-0.1272,-0.9549,0.066,-0.2601,0
670164.0,732.062957,1.0,5.47,2.26,-7.64,-19.37,-20.25,26.75,-77.69,40.56,66.19,0.15834890743250343,0.0876396810654343,0.1440755547593504,-141.7129266019107,10.580368342525214,-32.22210680615566,-0.1486,-0.9447,0.0922,-0.2775,0
670164.0,732.062957,1.0,5.47,2.26,-7.64,-19.37,-20.25,26.75,-77.69,40.56,66.19,0.15834890743250343,0.0876396810654343,0.1440755547593504,-141.7129266019107,10.580368342525214,-32.22210680615566,-0.1486,-0.9447,0.0922,-0.2775,0
670199.0,732.07833,1.0,4.98,2.68,-5.7,-19.37,-20.25,26.75,-76.25,54.88,64.5,0.3261091420325482,0.9373780906674114,1.8387283674398809,-138.9763854221543,12.803582439206055,-33.64407662582566,-0.1627,-0.9366,0.1115,-0.2894,0
670199.0,732.07833,1.0,4.98,2.68,-5.7,-19.37,-20.25,26.75,-76.25,54.88,64.5,0.3261091420325482,0.9373780906674114,1.8387283674398809,-138.9763854221543,12.803582439206055,-33.64407662582566,-0.1627,-0.9366,0.1115,-0.2894,0
670234.0,732.135734,1.0,5.02,3.95,-7.15,-22.75,-20.37,25.5,-67.25,81.0,54.25,-1.3613789824702764,1.1323680647028578,0.3838165709230932,-134.26323636741046,15.436288478593854,-36.55263549385707,-0.1863,-0.9214,0.1343,-0.3136,0
670234.0,732.135734,1.0,5.02,3.95,-7.15,-22.75,-20.37,25.5,-67.25,81.0,54.25,-1.3613789824702764,1.1323680647028578,0.3838165709230932,-134.26323636741046,15.436288478593854,-36.55263549385707,-0.1863,-0.9214,0.1343,-0.3136,0
670269.0,732.138865,1.0,5.85,2.42,-5.94,-24.25,-20.75,22.19,-49.31,58.13,55.88,0.12660309009491394,0.2536490874545736,1.130122249914029,-131.37124925693712,17.253853117357277,-38.464723978916496,-0.1964,-0.9113,0.15,-0.3294,0
670269.0,732.138865,1.0,5.85,2.42,-5.94,-24.25,-20.75,22.19,-49.31,58.13,55.88,0.12660309009491394,0.2536490874545736,1.130122249914029,-131.37124925693712,17.253853117357277,-38.464723978916496,-0.1964,-0.9113,0.15,-0.3294,0
670306.0,732.177434,1.0,6.6,4.05,-6.29,-27.69,-20.37,22.0,-65.81,52.25,47.44,-0.6497665416269234,1.3400703599839308,-0.05786290595104404,-127.68873899317937,19.61052428537218,-40.48570286910027,-0.2133,-0.8976,0.1703,-0.346,0
670306.0,732.177434,1.0,6.6,4.05,-6.29,-27.69,-20.37,22.0,-65.81,52.25,47.44,-0.6497665416269234,1.3400703599839308,-0.05786290595104404,-127.68873899317937,19.61052428537218,-40.48570286910027,-0.2133,-0.8976,0.1703,-0.346,0
670341.0,732.226968,1.0,6.49,3.68,-4.85,-27.69,-20.37,22.0,-41.63,71.37,39.5,-0.23797703404396986,1.4852556438476974,1.0361093893143511,-124.13498454962266,21.12406961438943,-43.049117635330035,-0.2265,-0.8835,0.1833,-0.3669,0
670341.0,732.226968,1.0,6.49,3.68,-4.85,-27.69,-20.37,22.0,-41.63,71.37,39.5,-0.23797703404396986,1.4852556438476974,1.0361093893143511,-124.13498454962266,21.12406961438943,-43.049117635330035,-0.2265,-0.8835,0.1833,-0.3669,0
670377.0,732.256621,1.0,10.04,4.05,-7.51,-29.06,-20.37,19.06,-37.19,80.06,40.38,-0.20242924938295837,0.6314183996988385,-3.352549565456707,-121.01031078825766,22.104021805228786,-45.64778844933024,-0.2352,-0.8704,0.1917,-0.3879,0
670377.0,732.256621,1.0,10.04,4.05,-7.51,-29.06,-20.37,19.06,-37.19,80.06,40.38,-0.20242924938295837,0.6314183996988385,-3.352549565456707,-121.01031078825766,22.104021805228786,-45.64778844933024,-0.2352,-0.8704,0.1917,-0.3879,0
670414.0,732.276291,1.0,7.83,3.06,-5.72,-31.69,-20.0,15.75,-25.94,27.81,20.81,-0.30513813635226256,0.3297707670736554,-0.3515507244849765,-118.88063215220505,23.284475807440252,-46.91890783705629,-0.2437,-0.8611,0.2018,-0.3981,0
670414.0,732.276291,1.0,7.83,3.06,-5.72,-31.69,-20.0,15.75,-25.94,27.81,20.81,-0.30513813635226256,0.3297707670736554,-0.3515507244849765,-118.88063215220505,23.284475807440252,-46.91890783705629,-0.2437,-0.8611,0.2018,-0.3981,0
670447.0,732.308065,1.0,8.28,3.75,-5.7,-31.69,-20.0,15.75,-23.06,28.12,38.25,-0.6120998077825655,0.9212413123043106,-0.8651609180127604,-117.56367389565742,24.315032171134934,-47.70706703894191,-0.2464,-0.8552,0.2106,-0.4044,0
670447.0,732.308065,1.0,8.28,3.75,-5.7,-31.69,-20.0,15.75,-23.06,28.12,38.25,-0.6120998077825655,0.9212413123043106,-0.8651609180127604,-117.56367389565742,24.315032171134934,-47.70706703894191,-0.2464,-0.8552,0.2106,-0.4044,0
670482.0,732.363459,1.0,8.15,3.51,-5.28,-33.56,-20.0,14.88,-20.0,16.37,20.06,-0.5148839923563888,0.894087632058602,-0.46741938757058854,-116.16277934389494,25.359334591166075,-48.49763058758105,-0.2505,-0.8488,0.2195,-0.4107,0
670482.0,732.363459,1.0,8.15,3.51,-5.28,-33.56,-20.0,14.88,-20.0,16.37,20.06,-0.5148839923563888,0.894087632058602,-0.46741938757058854,-116.16277934389494,25.359334591166075,-48.49763058758105,-0.2505,-0.8488,0.2195,-0.4107,0
670519.0,732.405605,1.0,7.93,3.96,-6.06,-33.06,-20.0,13.75,-18.31,17.19,5.25,-1.4441307746691092,0.615903435673141,-0.8152730492213429,-115.3224465772307,25.688318141008548,-48.887538949850274,-0.2558,-0.8449,0.2223,-0.4138,0
670519.0,732.405605,1.0,7.93,3.96,-6.06,-33.06,-20.0,13.75,-18.31,17.19,5.25,-1.4441307746691092,0.615903435673141,-0.8152730492213429,-115.3224465772307,25.688318141008548,-48.887538949850274,-0.2558,-0.8449,0.2223,-0.4138,0
670554.0,732.421442,1.0,6.27,5.03,-4.58,-33.06,-20.0,13.75,-12.81,-0.75,10.56,-2.193903797662901,2.033207132399073,1.05204807396351,-114.7888564887898,26.27632678993584,-48.950483767377584,-0.2588,-0.8424,0.2273,-0.4143,0
670554.0,732.421442,1.0,6.27,5.03,-4.58,-33.06,-20.0,13.75,-12.81,-0.75,10.56,-2.193903797662901,2.033207132399073,1.05204807396351,-114.7888564887898,26.27632678993584,-48.950483767377584,-0.2588,-0.8424,0.2273,-0.4143,0
670588.0,732.479331,1.0,7.65,5.15,-5.71,-34.56,-18.87,12.56,-7.13,27.75,-19.25,-2.2154825247214376,1.541312614328778,-0.6988291707739318,-114.30136176070127,25.9116795113663,-49.49246229674105,-0.2621,-0.8401,0.2242,-0.4186,0
670588.0,732.479331,1.0,7.65,5.15,-5.71,-34.56,-18.87,12.56,-7.13,27.75,-19.25,-2.2154825247214376,1.541312614328778,-0.6988291707739318,-114.30136176070127,25.9116795113663,-49.49246229674105,-0.2621,-0.8401,0.2242,-0.4186,0
670623.0,732.521963,1.0,7.12,5.99,-6.22,-34.56,-19.25,12.69,-4.75,27.69,-40.06,-3.250717137956563,1.5441813128606405,-0.7910498524211604,-114.02723737175657,24.420541139763646,-49.98504770101026,-0.2704,-0.8388,0.2115,-0.4225,0
670623.0,732.521963,1.0,7.12,5.99,-6.22,-34.56,-19.25,12.69,-4.75,27.69,-40.06,-3.250717137956563,1.5441813128606405,-0.7910498524211604,-114.02723737175657,24.420541139763646,-49.98504770101026,-0.2704,-0.8388,0.2115,-0.4225,0
670660.0,732.530013,1.0,7.38,6.27,-5.34,-33.0,-20.0,12.69,65.81,12.88,-46.06,-2.5937700194388795,2.4345193555716573,-0.6641843790553281,-115.0871856928756,22.325902171258925,-50.3899583498149,-0.2633,-0.8438,0.1936,-0.4257,0
670660.0,732.530013,1.0,7.38,6.27,-5.34,-33.0,-20.0,12.69,65.81,12.88,-46.06,-2.5937700194388795,2.4345193555716573,-0.6641843790553281,-115.0871856928756,22.325902171258925,-50.3899583498149,-0.2633,-0.8438,0.1936,-0.4257,0
670693.0,732.560462,1.0,9.58,5.41,-7.44,-33.0,-20.0,12.69,110.62,-4.19,-64.37,-1.8841166485056287,1.0222043481911847,-3.300725890137697,-117.71861115458816,18.506668239532367,-50.57999179913578,-0.243,-0.8559,0.1608,-0.4272,0
670693.0,732.560462,1.0,9.58,5.41,-7.44,-33.0,-20.0,12.69,110.62,-4.19,-64.37,-1.8841166485056287,1.0222043481911847,-3.300725890137697,-117.71861115458816,18.506668239532367,-50.57999179913578,-0.243,-0.8559,0.1608,-0.4272,0
670730.0,732.601669,1.0,8.51,4.52,-7.83,-33.0,-20.37,12.19,141.13,22.12,-85.06,-2.196133050774782,0.21577657805959216,-2.411772160477824,-119.56019073883043,14.661854827129085,-51.1001794642751,-0.2257,-0.8641,0.1276,-0.4313,0
670730.0,732.601669,1.0,8.51,4.52,-7.83,-33.0,-20.37,12.19,141.13,22.12,-85.06,-2.196133050774782,0.21577657805959216,-2.411772160477824,-119.56019073883043,14.661854827129085,-51.1001794642751,-0.2257,-0.8641,0.1276,-0.4313,0
670767.0,732.673339,1.0,6.22,0.81,-5.12,-31.87,-21.87,15.5,229.69,-35.13,-28.75,-0.10334556775353163,-1.1327212543209062,1.790094489455873,-124.2819393463901,9.499056247386589,-50.63069251685698,-0.1693,-0.8841,0.0828,-0.4276,0
670767.0,732.673339,1.0,6.22,0.81,-5.12,-31.87,-21.87,15.5,229.69,-35.13,-28.75,-0.10334556775353163,-1.1327212543209062,1.790094489455873,-124.2819393463901,9.499056247386589,-50.63069251685698,-0.1693,-0.8841,0.0828,-0.4276,0
670801.0,732.676886,1.0,9.61,2.08,-6.02,-31.87,-21.87,15.5,149.25,-90.94,-11.56,1.3584364198025294,0.33758974348205384,-1.6371074099790217,-127.81886761171006,7.247016388579905,-49.114214046345325,-0.1293,-0.8981,0.0632,-0.4156,0
670801.0,732.676886,1.0,9.61,2.08,-6.02,-31.87,-21.87,15.5,149.25,-90.94,-11.56,1.3584364198025294,0.33758974348205384,-1.6371074099790217,-127.81886761171006,7.247016388579905,-49.114214046345325,-0.1293,-0.8981,0.0632,-0.4156,0
670836.0,732.723818,1.0,10.8,1.99,-5.65,-31.87,-20.75,20.06,224.31,-37.75,-69.87,3.1438241220878274,0.9110088363801091,-2.101709785856995,-132.46829135766265,2.750461504037132,-46.544421900804586,-0.0753,-0.9152,0.024,-0.3951,0
670836.0,732.723818,1.0,10.8,1.99,-5.65,-31.87,-20.75,20.06,224.31,-37.75,-69.87,3.1438241220878274,0.9110088363801091,-2.101709785856995,-132.46829135766265,2.750461504037132,-46.544421900804586,-0.0753,-0.9152,0.024,-0.3951,0
670871.0,732.752755,1.0,5.85,-4.33,-5.14,-28.87,-18.87,23.69,135.13,-50.06,5.63,0.6151632594078095,-4.697260837235947,2.2602392775940032,-135.09605869286386,-0.057295781900406746,-44.7912774389752,-0.0265,-0.9242,-0.0005,-0.381,0
670871.0,732.752755,1.0,5.85,-4.33,-5.14,-28.87,-18.87,23.69,135.13,-50.06,5.63,0.6151632594078095,-4.697260837235947,2.2602392775940032,-135.09605869286386,-0.057295781900406746,-44.7912774389752,-0.0265,-0.9242,-0.0005,-0.381,0
670908.0,732.795157,1.0,9.73,0.66,-8.65,-27.0,-15.88,28.69,67.5,-125.94,73.44,1.435264811601565,0.7716178955435754,-3.1268576736303544,-138.00625925895054,0.8479852761926534,-41.99165970563765,0.001,-0.9336,0.0074,-0.3583,0
670908.0,732.795157,1.0,9.73,0.66,-8.65,-27.0,-15.88,28.69,67.5,-125.94,73.44,1.435264811601565,0.7716178955435754,-3.1268576736303544,-138.00625925895054,0.8479852761926534,-41.99165970563765,0.001,-0.9336,0.0074,-0.3583,0
