TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1584678.0,1555.309724,1.0,5.47,6.09,-5.16,-5.56,-38.19,19.25,-2.06,-4.0,-0.88,-0.023663869594197418,0.1294539959072174,0.13104760613224364,-107.60770074242589,-39.558846745858816,-52.29710483920903,-0.2,-0.807,-0.3384,-0.4407,0
1584678.0,1555.309724,1.0,5.47,6.09,-5.16,-5.56,-38.19,19.25,-2.06,-4.0,-0.88,-0.023663869594197418,0.1294539959072174,0.13104760613224364,-107.60770074242589,-39.558846745858816,-52.29710483920903,-0.2,-0.807,-0.3384,-0.4407,0
1584713.0,1555.359261,1.0,5.52,6.05,-5.16,-4.5,-37.38,19.25,-1.0,0.06,-0.37,-0.01422717353871572,0.05876303672188765,0.12704027165618115,-107.62710715031899,-39.558846745858816,-52.24604776210595,-0.2003,-0.8071,-0.3384,-0.4403,0
1584713.0,1555.359261,1.0,5.52,6.05,-5.16,-4.5,-37.38,19.25,-1.0,0.06,-0.37,-0.01422717353871572,0.05876303672188765,0.12704027165618115,-107.62710715031899,-39.558846745858816,-52.24604776210595,-0.2003,-0.8071,-0.3384,-0.4403,0
1584750.0,1555.42086,1.0,5.62,6.02,-5.06,-4.88,-37.75,18.75,1.0,3.44,-0.56,0.08470472003079965,-0.028893744428178714,0.1412275952658213,-107.54950844448108,-39.58320288872563,-52.335404976984144,-0.2002,-0.8067,-0.3386,-0.441,0
1584750.0,1555.42086,1.0,5.62,6.02,-5.06,-4.88,-37.75,18.75,1.0,3.44,-0.56,0.08470472003079965,-0.028893744428178714,0.1412275952658213,-107.54950844448108,-39.58320288872563,-52.335404976984144,-0.2002,-0.8067,-0.3386,-0.441,0
1584783.0,1555.437882,1.0,5.61,5.99,-5.05,-4.88,-37.75,18.75,1.56,-0.5,0.44,0.07394876271606321,-0.03959911912855185,0.17090075615512923,-107.51073598064622,-39.607560894653446,-52.373711405765214,-0.2,-0.8065,-0.3388,-0.4413,0
1584783.0,1555.437882,1.0,5.61,5.99,-5.05,-4.88,-37.75,18.75,1.56,-0.5,0.44,0.07394876271606321,-0.03959911912855185,0.17090075615512923,-107.51073598064622,-39.607560894653446,-52.373711405765214,-0.2,-0.8065,-0.3388,-0.4413,0
1584818.0,1555.480888,1.0,5.72,6.07,-5.41,-5.25,-37.38,18.87,0.37,0.37,0.5,-0.15472495293223176,-0.06867853846766936,-0.13330691375440828,-107.53011997485689,-39.61974059674283,-52.360941896715254,-0.1997,-0.8066,-0.3389,-0.4412,0
1584818.0,1555.480888,1.0,5.72,6.07,-5.41,-5.25,-37.38,18.87,0.37,0.37,0.5,-0.15472495293223176,-0.06867853846766936,-0.13330691375440828,-107.53011997485689,-39.61974059674283,-52.360941896715254,-0.1997,-0.8066,-0.3389,-0.4412,0
1584852.0,1555.497742,1.0,5.5,6.05,-5.12,-5.56,-37.75,18.75,0.56,-2.25,0.5,0.012012303392308299,0.08173141723951449,0.15988496295243593,-107.60770074242589,-39.607560894653446,-52.28433952334371,-0.1997,-0.807,-0.3388,-0.4406,0
1584852.0,1555.497742,1.0,5.5,6.05,-5.12,-5.56,-37.75,18.75,0.56,-2.25,0.5,0.012012303392308299,0.08173141723951449,0.15988496295243593,-107.60770074242589,-39.607560894653446,-52.28433952334371,-0.1997,-0.807,-0.3388,-0.4406,0
1584887.0,1555.543566,1.0,5.7,5.94,-5.38,-5.56,-37.75,18.06,1.31,1.12,-0.19,-0.1722591158114397,-0.14459340683826394,-0.025309089811084817,-107.58829882460174,-39.61974059674283,-52.28433952334371,-0.1996,-0.8069,-0.3389,-0.4406,0
1584887.0,1555.543566,1.0,5.7,5.94,-5.38,-5.56,-37.75,18.06,1.31,1.12,-0.19,-0.1722591158114397,-0.14459340683826394,-0.025309089811084817,-107.58829882460174,-39.61974059674283,-52.28433952334371,-0.1996,-0.8069,-0.3389,-0.4406,0
1584922.0,1555.599731,1.0,5.52,6.05,-5.31,-5.56,-37.75,18.06,-0.06,-1.69,0.06,-0.13822680353195782,0.06105744408276692,0.04723580962425977,-107.62710715031899,-39.59538165871141,-52.25881098506493,-0.1998,-0.8071,-0.3387,-0.4404,0
1584922.0,1555.599731,1.0,5.52,6.05,-5.31,-5.56,-37.75,18.06,-0.06,-1.69,0.06,-0.13822680353195782,0.06105744408276692,0.04723580962425977,-107.62710715031899,-39.59538165871141,-52.25881098506493,-0.1998,-0.8071,-0.3387,-0.4404,0
1584959.0,1555.616786,1.0,5.5,6.06,-5.18,-4.88,-38.5,19.25,0.19,-0.88,-0.37,-0.02399307898385372,0.0799162511004532,0.12165966830782438,-107.66593345101971,-39.59538165871141,-52.19500183844674,-0.2,-0.8073,-0.3387,-0.4399,0
1584959.0,1555.616786,1.0,5.5,6.06,-5.18,-4.88,-38.5,19.25,0.19,-0.88,-0.37,-0.02399307898385372,0.0799162511004532,0.12165966830782438,-107.66593345101971,-39.59538165871141,-52.19500183844674,-0.2,-0.8073,-0.3387,-0.4399,0
1584994.0,1555.659218,1.0,5.44,6.04,-5.17,-4.5,-37.38,19.69,0.12,-0.63,0.44,-0.04357379319228638,0.10945358443870434,0.17388190160790984,-107.68535335119317,-39.59538165871141,-52.18224209821447,-0.2,-0.8074,-0.3387,-0.4398,0
1584994.0,1555.659218,1.0,5.44,6.04,-5.17,-4.5,-37.38,19.69,0.12,-0.63,0.44,-0.04357379319228638,0.10945358443870434,0.17388190160790984,-107.68535335119317,-39.59538165871141,-52.18224209821447,-0.2,-0.8074,-0.3387,-0.4398,0
1585029.0,1555.680441,1.0,5.52,5.97,-5.26,-4.5,-37.38,19.69,-2.31,-0.25,-0.19,-0.11665115702353779,-0.0012808494945444338,0.12340204969997437,-107.68535335119317,-39.58320288872563,-52.18224209821447,-0.2002,-0.8074,-0.3386,-0.4398,0
1585029.0,1555.680441,1.0,5.52,5.97,-5.26,-4.5,-37.38,19.69,-2.31,-0.25,-0.19,-0.11665115702353779,-0.0012808494945444338,0.12340204969997437,-107.68535335119317,-39.58320288872563,-52.18224209821447,-0.2002,-0.8074,-0.3386,-0.4398,0
1585063.0,1555.718209,1.0,5.57,5.91,-5.35,-5.25,-38.5,18.87,-0.25,3.75,-0.75,-0.20664016517154382,-0.08437025198656256,0.08421812815242191,-107.62710715031899,-39.58320288872563,-52.23328523623708,-0.2005,-0.8071,-0.3386,-0.4402,0
1585063.0,1555.718209,1.0,5.57,5.91,-5.35,-5.25,-38.5,18.87,-0.25,3.75,-0.75,-0.20664016517154382,-0.08437025198656256,0.08421812815242191,-107.62710715031899,-39.58320288872563,-52.23328523623708,-0.2005,-0.8071,-0.3386,-0.4402,0
1585100.0,1555.734133,1.0,5.57,5.87,-5.18,-6.0,-38.19,19.25,-4.19,6.5,-1.37,-0.11622261038255044,-0.10314393516069087,0.19987876126034543,-107.41388301314086,-39.58320288872563,-52.463117579437494,-0.2007,-0.806,-0.3386,-0.442,0
1585100.0,1555.734133,1.0,5.57,5.87,-5.18,-6.0,-38.19,19.25,-4.19,6.5,-1.37,-0.11622261038255044,-0.10314393516069087,0.19987876126034543,-107.41388301314086,-39.58320288872563,-52.463117579437494,-0.2007,-0.806,-0.3386,-0.442,0
1585135.0,1555.781161,1.0,5.26,5.68,-4.39,-6.0,-38.19,19.25,-7.5,14.13,-0.44,0.31609492201745726,0.012295150391724796,0.9127176397022438,-107.14328559013717,-39.57102458450509,-52.78270669863224,-0.2012,-0.8046,-0.3385,-0.4445,0
1585135.0,1555.781161,1.0,5.26,5.68,-4.39,-6.0,-38.19,19.25,-7.5,14.13,-0.44,0.31609492201745726,0.012295150391724796,0.9127176397022438,-107.14328559013717,-39.57102458450509,-52.78270669863224,-0.2012,-0.8046,-0.3385,-0.4445,0
