TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
2458540.0,2381.6394,1.0,6.47,5.38,4.96,-22.06,-32.69,-25.5,3.19,-0.56,-2.94,0.11603093926689712,0.5548779260615428,0.055468158381902555,-60.27806481809002,-9.142643881088318,-99.74283872407179,-0.3961,-0.5021,-0.0797,-0.7646,0
2458540.0,2381.6394,1.0,6.47,5.38,4.96,-22.06,-32.69,-25.5,3.19,-0.56,-2.94,0.11603093926689712,0.5548779260615428,0.055468158381902555,-60.27806481809002,-9.142643881088318,-99.74283872407179,-0.3961,-0.5021,-0.0797,-0.7646,0
2458574.0,2381.665541,1.0,6.64,5.29,4.72,-23.19,-32.69,-24.56,3.69,4.0,-6.56,-0.05674815475828865,0.2606193747207821,0.09681183510499203,-60.17208928443668,-9.51055493545105,-99.81398402974047,-0.3959,-0.5013,-0.0829,-0.765,0
2458574.0,2381.665541,1.0,6.64,5.29,4.72,-23.19,-32.69,-24.56,3.69,4.0,-6.56,-0.05674815475828865,0.2606193747207821,0.09681183510499203,-60.17208928443668,-9.51055493545105,-99.81398402974047,-0.3959,-0.5013,-0.0829,-0.765,0
2458609.0,2381.671188,1.0,6.72,4.9,4.82,-22.0,-32.69,-25.75,6.5,6.06,-3.69,0.2255475901745686,-0.07228235426830931,0.1970348388279426,-60.09264488671134,-9.786552516199244,-99.79619278642058,-0.3961,-0.5007,-0.0853,-0.7649,0
2458609.0,2381.671188,1.0,6.72,4.9,4.82,-22.0,-32.69,-25.75,6.5,6.06,-3.69,0.2255475901745686,-0.07228235426830931,0.1970348388279426,-60.09264488671134,-9.786552516199244,-99.79619278642058,-0.3961,-0.5007,-0.0853,-0.7649,0
2458644.0,2381.714879,1.0,6.88,4.87,4.41,-22.0,-32.69,-25.75,2.13,7.0,-0.44,-0.1461434774673963,-0.3434735084221958,0.3008587108433769,-59.90739833750701,-10.005090889774307,-99.97425316489789,-0.3956,-0.4993,-0.0872,-0.7659,0
2458644.0,2381.714879,1.0,6.88,4.87,4.41,-22.0,-32.69,-25.75,2.13,7.0,-0.44,-0.1461434774673963,-0.3434735084221958,0.3008587108433769,-59.90739833750701,-10.005090889774307,-99.97425316489789,-0.3956,-0.4993,-0.0872,-0.7659,0
2458679.0,2381.734278,1.0,7.04,5.06,4.25,-21.69,-32.25,-25.75,0.56,-3.06,1.81,-0.4081874177214876,-0.3621169670069646,0.16663162168662993,-59.93385155178053,-9.947577287046574,-99.95643230547014,-0.3958,-0.4995,-0.0867,-0.7658,0
2458679.0,2381.734278,1.0,7.04,5.06,4.25,-21.69,-32.25,-25.75,0.56,-3.06,1.81,-0.4081874177214876,-0.3621169670069646,0.16663162168662993,-59.93385155178053,-9.947577287046574,-99.95643230547014,-0.3958,-0.4995,-0.0867,-0.7658,0
