TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
854433.0,805.240989,1.0,-5.13,4.28,-6.94,-3.0,-27.5,32.19,2.44,0.37,0.31,0.15697123558276715,-0.06975573247360689,0.17496301541693882,-101.30231586461943,61.07470873985765,44.14753269822065,-0.0505,-0.7733,0.5081,0.3758,0
854433.0,805.240989,1.0,-5.13,4.28,-6.94,-3.0,-27.5,32.19,2.44,0.37,0.31,0.15697123558276715,-0.06975573247360689,0.17496301541693882,-101.30231586461943,61.07470873985765,44.14753269822065,-0.0505,-0.7733,0.5081,0.3758,0
854470.0,805.252262,1.0,-5.08,4.65,-6.9,-3.69,-27.87,31.37,-3.94,-0.75,1.06,-0.12626979446656378,0.13071967558178832,0.05955462212351037,-101.28424437309432,61.07470873985765,44.17226486112258,-0.051,-0.7732,0.5081,0.376,0
854470.0,805.252262,1.0,-5.08,4.65,-6.9,-3.69,-27.87,31.37,-3.94,-0.75,1.06,-0.12626979446656378,0.13071967558178832,0.05955462212351037,-101.28424437309432,61.07470873985765,44.17226486112258,-0.051,-0.7732,0.5081,0.376,0
854503.0,805.290304,1.0,-5.13,4.35,-6.82,-3.69,-27.87,31.37,-0.06,0.25,-0.94,0.032272312538198095,-0.06759497006674442,0.22822688249964962,-101.30231586461943,61.06140467738283,44.18463175478608,-0.0504,-0.7733,0.508,0.3761,0
854503.0,805.290304,1.0,-5.13,4.35,-6.82,-3.69,-27.87,31.37,-0.06,0.25,-0.94,0.032272312538198095,-0.06759497006674442,0.22822688249964962,-101.30231586461943,61.06140467738283,44.18463175478608,-0.0504,-0.7733,0.508,0.3761,0
854542.0,805.297338,1.0,-5.18,4.35,-6.57,-3.69,-28.56,31.37,0.5,0.06,-1.0,-0.1354863689995734,-0.17770354143278588,0.37956853778819166,-101.32039083270725,61.02149795384262,44.2093671676142,-0.0502,-0.7734,0.5077,0.3763,0
854542.0,805.297338,1.0,-5.18,4.35,-6.57,-3.69,-28.56,31.37,0.5,0.06,-1.0,-0.1354863689995734,-0.17770354143278588,0.37956853778819166,-101.32039083270725,61.02149795384262,44.2093671676142,-0.0502,-0.7734,0.5077,0.3763,0
854575.0,805.315482,1.0,-5.15,4.25,-6.76,-4.06,-27.5,31.37,0.31,0.06,0.44,0.06344927911417764,-0.14328558117657986,0.3062266709474031,-101.33846927981492,61.00819753273681,44.19699919021152,-0.0502,-0.7735,0.5076,0.3762,0
854575.0,805.315482,1.0,-5.15,4.25,-6.76,-4.06,-27.5,31.37,0.31,0.06,0.44,0.06344927911417764,-0.14328558117657986,0.3062266709474031,-101.33846927981492,61.00819753273681,44.19699919021152,-0.0502,-0.7735,0.5076,0.3762,0
