TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1297346.0,950.145972,1.0,6.78,-2.39,6.5,12.19,53.25,-17.0,1.25,1.06,2.13,0.10299095934600877,-0.024658265407205837,0.1154537460672529,-20.320279509683687,42.49532318150223,-80.0766693058582,-0.6509,-0.1764,0.3624,-0.6433,0
1297346.0,950.145972,1.0,6.78,-2.39,6.5,12.19,53.25,-17.0,1.25,1.06,2.13,0.10299095934600877,-0.024658265407205837,0.1154537460672529,-20.320279509683687,42.49532318150223,-80.0766693058582,-0.6509,-0.1764,0.3624,-0.6433,0
1297381.0,950.154674,1.0,6.77,-2.32,6.67,12.19,53.25,-16.25,1.12,-0.19,1.37,-0.004905808981649384,0.09000309748939372,0.024212912265648256,-20.331921330362565,42.47073434166396,-80.13655154254863,-0.6506,-0.1765,0.3622,-0.6437,0
1297381.0,950.154674,1.0,6.77,-2.32,6.67,12.19,53.25,-16.25,1.12,-0.19,1.37,-0.004905808981649384,0.09000309748939372,0.024212912265648256,-20.331921330362565,42.47073434166396,-80.13655154254863,-0.6506,-0.1765,0.3622,-0.6437,0
1297416.0,950.234371,1.0,6.76,-2.23,6.61,11.5,52.19,-16.69,0.63,1.12,1.94,-0.08284655423208909,0.03486005433691752,0.09302445517568536,-20.285355318851703,42.44614755191601,-80.22642428776203,-0.6503,-0.1761,0.362,-0.6443,0
1297416.0,950.234371,1.0,6.76,-2.23,6.61,11.5,52.19,-16.69,0.63,1.12,1.94,-0.08284655423208909,0.03486005433691752,0.09302445517568536,-20.285355318851703,42.44614755191601,-80.22642428776203,-0.6503,-0.1761,0.362,-0.6443,0
1297451.0,950.282805,1.0,6.87,-2.28,6.4,11.5,52.19,-16.69,0.63,0.69,2.56,0.005174480096721723,-0.1930235747406266,0.14652499437248068,-20.27371434520358,42.396980116115046,-80.31635645484545,-0.6499,-0.176,0.3616,-0.6449,0
1297451.0,950.282805,1.0,6.87,-2.28,6.4,11.5,52.19,-16.69,0.63,0.69,2.56,0.005174480096721723,-0.1930235747406266,0.14652499437248068,-20.27371434520358,42.396980116115046,-80.31635645484545,-0.6499,-0.176,0.3616,-0.6449,0
1297487.0,950.296013,1.0,6.77,-2.15,6.65,11.88,52.88,-17.0,2.75,-1.0,0.63,-0.17409824084917846,0.04222839746885265,0.07804236247136664,-20.30863790096007,42.4092712076169,-80.37634433071155,-0.6494,-0.1763,0.3617,-0.6453,0
1297487.0,950.296013,1.0,6.77,-2.15,6.65,11.88,52.88,-17.0,2.75,-1.0,0.63,-0.17409824084917846,0.04222839746885265,0.07804236247136664,-20.30863790096007,42.4092712076169,-80.37634433071155,-0.6494,-0.1763,0.3617,-0.6453,0
1297522.0,950.305041,1.0,6.79,-2.38,6.49,12.19,52.88,-18.19,4.06,0.56,-0.63,0.10186688769803243,-0.05971542321724921,0.11775650252461922,-20.40177671287519,42.323244297018356,-80.42135265062156,-0.6493,-0.1771,0.361,-0.6456,0
1297522.0,950.305041,1.0,6.79,-2.38,6.49,12.19,52.88,-18.19,4.06,0.56,-0.63,0.10186688769803243,-0.05971542321724921,0.11775650252461922,-20.40177671287519,42.323244297018356,-80.42135265062156,-0.6493,-0.1771,0.361,-0.6456,0
1297555.0,950.346237,1.0,6.72,-2.26,6.52,12.19,52.88,-18.19,-1.0,-2.0,-0.88,-0.013684362261484395,0.008014770997075482,0.17461239097482384,-20.436707276203283,42.360109908529765,-80.37634433071155,-0.6493,-0.1774,0.3613,-0.6453,0
1297555.0,950.346237,1.0,6.72,-2.26,6.52,12.19,52.88,-18.19,-1.0,-2.0,-0.88,-0.013684362261484395,0.008014770997075482,0.17461239097482384,-20.436707276203283,42.360109908529765,-80.37634433071155,-0.6493,-0.1774,0.3613,-0.6453,0
1297592.0,950.401742,1.0,6.81,-2.39,6.43,11.5,51.75,-17.75,3.88,0.81,-0.69,0.13451242427139554,-0.1041130098485763,0.14206687971504373,-20.48328434708745,42.323244297018356,-80.37634433071155,-0.6494,-0.1778,0.361,-0.6453,0
