TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z,LABLE
1852411.0,572.151952,1.0,-0.34,-0.98,-9.6,-29.19,-16.25,27.87,-0.63,1.19,-3.5,0.24160545625835894,0.18408697422627618,0.15554960732837486,-115.27961518989136,64.36259051293125,0.4010712754482724,0.0538,-0.8447,0.5326,0.0035,0
1852411.0,572.151952,1.0,-0.34,-0.98,-9.6,-29.19,-16.25,27.87,-0.63,1.19,-3.5,0.24160545625835894,0.18408697422627618,0.15554960732837486,-115.27961518989136,64.36259051293125,0.4010712754482724,0.0538,-0.8447,0.5326,0.0035,0
1852448.0,572.198074,1.0,-0.3,-0.88,-9.74,-28.19,-15.88,28.56,-11.5,4.31,0.88,0.18421758718037692,0.2320071690365783,0.02686285742429284,-115.36530326577596,64.2949069533977,0.3781528311358495,0.0513,-0.8451,0.5321,0.0033,0
1852448.0,572.198074,1.0,-0.3,-0.88,-9.74,-28.19,-15.88,28.56,-11.5,4.31,0.88,0.18421758718037692,0.2320071690365783,0.02686285742429284,-115.36530326577596,64.2949069533977,0.3781528311358495,0.0513,-0.8451,0.5321,0.0033,0
1852481.0,572.215151,1.0,-0.48,0.16,-9.44,-28.19,-15.88,28.56,-3.31,3.44,-6.5,-0.7765871803719171,0.4526988894073891,0.39593397693292864,-115.38674111389929,64.30844165448818,0.4583674584234223,0.0486,-0.8452,0.5322,0.004,0
1852481.0,572.215151,1.0,-0.48,0.16,-9.44,-28.19,-15.88,28.56,-3.31,3.44,-6.5,-0.7765871803719171,0.4526988894073891,0.39593397693292864,-115.38674111389929,64.30844165448818,0.4583674584234223,0.0486,-0.8452,0.5322,0.004,0
1852516.0,572.218248,1.0,-1.19,-0.86,-9.2,-29.56,-15.88,28.25,-6.0,12.44,-6.75,-0.15909134846611866,-0.6941739189410248,0.5174889768986546,-115.64449198892324,64.07848807925822,0.29793838914592274,0.0463,-0.8464,0.5305,0.0026,0
1852516.0,572.218248,1.0,-1.19,-0.86,-9.2,-29.56,-15.88,28.25,-6.0,12.44,-6.75,-0.15909134846611866,-0.6941739189410248,0.5174889768986546,-115.64449198892324,64.07848807925822,0.29793838914592274,0.0463,-0.8464,0.5305,0.0026,0
1852553.0,572.221286,1.0,-0.22,-0.18,-9.8,-28.19,-16.69,27.87,-6.5,19.12,-4.38,-0.36797610669135405,0.3980022629605975,0.01752400307961466,-115.77371350268422,64.0109096555285,-0.057295781900406746,0.0409,-0.847,0.53,-0.0005,0
1852553.0,572.221286,1.0,-0.22,-0.18,-9.8,-28.19,-16.69,27.87,-6.5,19.12,-4.38,-0.36797610669135405,0.3980022629605975,0.01752400307961466,-115.77371350268422,64.0109096555285,-0.057295781900406746,0.0409,-0.847,0.53,-0.0005,0
1852590.0,572.258952,1.0,-0.18,-0.22,-10.04,-28.19,-16.69,27.87,-12.06,7.75,-16.69,-0.3182168905287946,0.35483215755094083,-0.22605811648330132,-116.1411089977447,63.6868789211639,-0.26356081813331494,0.0374,-0.8487,0.5276,-0.0023,0
1852590.0,572.258952,1.0,-0.18,-0.22,-10.04,-28.19,-16.69,27.87,-12.06,7.75,-16.69,-0.3182168905287946,0.35483215755094083,-0.22605811648330132,-116.1411089977447,63.6868789211639,-0.26356081813331494,0.0374,-0.8487,0.5276,-0.0023,0
1852622.0,572.266562,1.0,-0.47,-1.95,-8.93,-29.19,-18.19,27.5,-4.31,30.37,-7.25,1.0926855260527026,-0.881282369551988,0.7624430294430056,-116.75038875897289,63.1077408741901,-0.9625804159917916,0.0325,-0.8515,0.5233,-0.0084,0
1852622.0,572.266562,1.0,-0.47,-1.95,-8.93,-29.19,-18.19,27.5,-4.31,30.37,-7.25,1.0926855260527026,-0.881282369551988,0.7624430294430056,-116.75038875897289,63.1077408741901,-0.9625804159917916,0.0325,-0.8515,0.5233,-0.0084,0
1852659.0,572.284358,1.0,1.52,-1.35,-10.95,-28.87,-17.37,28.25,-8.88,30.31,-4.81,1.3226483798943105,1.0287090352302155,-1.2036978139429664,-116.90353178561006,62.97331556950768,-1.7533192633889718,0.0247,-0.8522,0.5223,-0.0153,0
1852659.0,572.284358,1.0,1.52,-1.35,-10.95,-28.87,-17.37,28.25,-8.88,30.31,-4.81,1.3226483798943105,1.0287090352302155,-1.2036978139429664,-116.90353178561006,62.97331556950768,-1.7533192633889718,0.0247,-0.8522,0.5223,-0.0153,0
1852696.0,572.330553,1.0,-0.78,-0.4,-8.65,-30.69,-17.75,26.69,-26.12,-3.81,-1.06,-0.34703630571478306,-0.7033628493315052,1.1477963515834784,-117.07896160834984,62.85241532591269,-1.3636717386286215,0.019,-0.853,0.5214,-0.0119,0
1852696.0,572.330553,1.0,-0.78,-0.4,-8.65,-30.69,-17.75,26.69,-26.12,-3.81,-1.06,-0.34703630571478306,-0.7033628493315052,1.1477963515834784,-117.07896160834984,62.85241532591269,-1.3636717386286215,0.019,-0.853,0.5214,-0.0119,0
1852729.0,572.439078,1.0,0.04,-0.28,-9.17,-30.69,-17.75,26.69,-7.13,34.38,11.63,-0.1140888555270404,-0.0821358745986612,0.6333661042978473,-116.70669462733447,63.22880649321045,-2.0054546535892377,0.0113,-0.8513,0.5242,-0.0175,0
1852729.0,572.439078,1.0,0.04,-0.28,-9.17,-30.69,-17.75,26.69,-7.13,34.38,11.63,-0.1140888555270404,-0.0821358745986612,0.6333661042978473,-116.70669462733447,63.22880649321045,-2.0054546535892377,0.0113,-0.8513,0.5242,-0.0175,0
1852766.0,572.448128,1.0,1.89,-0.03,-11.27,-30.37,-18.19,27.06,-5.63,14.5,-0.63,0.37235478400420474,1.5337313784628457,-1.5112526313865953,-116.57577410041328,63.34995089580225,-2.544141615361497,0.0063,-0.8507,0.5251,-0.0222,0
1852766.0,572.448128,1.0,1.89,-0.03,-11.27,-30.37,-18.19,27.06,-5.63,14.5,-0.63,0.37235478400420474,1.5337313784628457,-1.5112526313865953,-116.57577410041328,63.34995089580225,-2.544141615361497,0.0063,-0.8507,0.5251,-0.0222,0
1852803.0,572.499268,1.0,0.12,-0.79,-9.23,-31.5,-18.56,25.06,-5.88,16.44,10.0,0.356191188601243,-0.4390949422233321,0.5593950846817943,-116.4886280777146,63.43075774250616,-2.7619239753850606,0.0026,-0.8503,0.5257,-0.0241,0
1852803.0,572.499268,1.0,0.12,-0.79,-9.23,-31.5,-18.56,25.06,-5.88,16.44,10.0,0.356191188601243,-0.4390949422233321,0.5593950846817943,-116.4886280777146,63.43075774250616,-2.7619239753850606,0.0026,-0.8503,0.5257,-0.0241,0
1852837.0,572.552426,1.0,1.82,0.89,-11.04,-31.5,-18.56,25.06,-2.56,19.19,9.75,-0.5170259106295154,1.6749449504580725,-1.279979046769478,-116.11944522588419,63.76783312990714,-3.2548379133840775,-0.001,-0.8486,0.5282,-0.0284,0
1852837.0,572.552426,1.0,1.82,0.89,-11.04,-31.5,-18.56,25.06,-2.56,19.19,9.75,-0.5170259106295154,1.6749449504580725,-1.279979046769478,-116.11944522588419,63.76783312990714,-3.2548379133840775,-0.001,-0.8486,0.5282,-0.0284,0
1852872.0,572.635381,1.0,1.63,-0.05,-10.94,-31.5,-18.19,26.25,11.0,-1.06,-6.06,0.18042178831482092,1.0803661649963041,-1.199859752316236,-116.18445627109945,63.6868789211639,-3.5873017007906127,0.0002,-0.8489,0.5276,-0.0313,0
1852872.0,572.635381,1.0,1.63,-0.05,-10.94,-31.5,-18.19,26.25,11.0,-1.06,-6.06,0.18042178831482092,1.0803661649963041,-1.199859752316236,-116.18445627109945,63.6868789211639,-3.5873017007906127,0.0002,-0.8489,0.5276,-0.0313,0
1852907.0,572.641285,1.0,0.99,-0.04,-10.33,-32.56,-18.56,26.25,7.81,1.44,3.5,-0.11387954143270412,0.553267994409109,-0.5553732568936862,-116.18445627109945,63.6868789211639,-3.6904861286986015,0.002,-0.8489,0.5276,-0.0322,0
1852907.0,572.641285,1.0,0.99,-0.04,-10.33,-32.56,-18.56,26.25,7.81,1.44,3.5,-0.11387954143270412,0.553267994409109,-0.5553732568936862,-116.18445627109945,63.6868789211639,-3.6904861286986015,0.002,-0.8489,0.5276,-0.0322,0
1852944.0,572.68372,1.0,1.25,-0.12,-10.52,-33.0,-18.19,25.06,13.38,-1.44,-5.75,-0.030880914343591026,0.7664333411636728,-0.7602287398494383,-116.18445627109945,63.64641513634406,-4.057388916858228,0.0052,-0.8489,0.5273,-0.0354,0
1852944.0,572.68372,1.0,1.25,-0.12,-10.52,-33.0,-18.19,25.06,13.38,-1.44,-5.75,-0.030880914343591026,0.7664333411636728,-0.7602287398494383,-116.18445627109945,63.64641513634406,-4.057388916858228,0.0052,-0.8489,0.5273,-0.0354,0
